<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADBE.US,D,20000103,000000,16.73,16.8,15.98,16.32,7384400,0
ADBE.US,D,20000104,000000,15.68,16.38,14.91,14.95,7813200,0
ADBE.US,D,20000105,000000,14.49,15.62,14.49,15.24,14927200,0
ADBE.US,D,20000106,000000,15.29,15.58,15.09,15.37,10221200,0
ADBE.US,D,20000107,000000,15.32,16.11,15.14,16.11,8253200,0
ADBE.US,D,20000110,000000,16.27,16.73,15.83,16.73,10987200,0
ADBE.US,D,20000111,000000,16.71,16.73,15.52,15.58,9616000,0
ADBE.US,D,20000112,000000,15.62,15.77,15.37,15.51,8051200,0
ADBE.US,D,20000113,000000,15.63,16.42,15.62,16.33,5527200,0
ADBE.US,D,20000114,000000,16.57,16.77,16.33,16.5,5136800,0
ADBE.US,D,20000118,000000,16.19,16.39,15.93,15.93,5201600,0
ADBE.US,D,20000119,000000,15.86,16.02,15.55,15.71,4559200,0
ADBE.US,D,20000120,000000,15.83,16.08,15.3,15.88,4248800,0
ADBE.US,D,20000121,000000,16.05,16.14,15.43,15.64,6900000,0
ADBE.US,D,20000124,000000,15.7,15.8,14.96,15.07,5895600,0
ADBE.US,D,20000125,000000,14.97,15.77,14.65,15.68,7566000,0
ADBE.US,D,20000126,000000,15.71,15.98,15.16,15.22,4466000,0
ADBE.US,D,20000127,000000,15.13,15.93,15.13,15.6,5864400,0
ADBE.US,D,20000128,000000,15.22,15.39,14.09,14.32,5712000,0
ADBE.US,D,20000131,000000,14.21,14.46,13.29,13.7,16459200,0
ADBE.US,D,20000201,000000,13.9,14.15,13.71,13.9,6765600,0
ADBE.US,D,20000202,000000,13.92,15.34,13.84,15.26,13409600,0
ADBE.US,D,20000203,000000,15.88,17.2,15.77,17.18,19747200,0
ADBE.US,D,20000204,000000,17.1,18.54,16.67,18.41,13516800,0
ADBE.US,D,20000207,000000,18.35,19.27,17.98,19.18,12919200,0
ADBE.US,D,20000208,000000,19.3,20.9,19.09,20.84,14297200,0
