<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADI.US,D,20000103,000000,35.0242,35.1711,32.9679,33.7836,4879215.6298525,0
ADI.US,D,20000104,000000,33.5271,34.2776,32.0527,32.0715,3381124.8114876,0
ADI.US,D,20000105,000000,32.0715,33.0528,31.1593,32.5459,4308488.098674,0
ADI.US,D,20000106,000000,32.5459,32.823,31.183,31.6544,3471616.887245,0
ADI.US,D,20000107,000000,31.4679,33.1543,30.9502,32.5459,2523429.3904778,0
ADI.US,D,20000110,000000,33.7145,35.4986,33.4315,35.3773,3430238.1880886,0
ADI.US,D,20000111,000000,35.0242,35.2135,33.8023,33.9246,2570946.7547167,0
ADI.US,D,20000112,000000,33.8338,35.7756,33.3407,35.0242,3793819.741225,0
ADI.US,D,20000113,000000,35.8703,35.8703,34.75,35.1455,2249009.5648021,0
ADI.US,D,20000114,000000,35.8703,38.187,35.822,37.9788,6258254.4714495,0
ADI.US,D,20000118,000000,37.6475,38.1189,36.7323,36.8989,2627802.9206424,0
ADI.US,D,20000119,000000,37.2728,38.3003,37.0843,38.0005,2450017.8917467,0
ADI.US,D,20000120,000000,38.6751,38.9612,37.0843,37.2481,2657431.5618242,0
ADI.US,D,20000121,000000,37.4147,37.4384,36.1938,36.1938,2387286.6968338,0
ADI.US,D,20000124,000000,37.6475,38.0222,36.5686,36.9206,3817574.3674045,0
ADI.US,D,20000125,000000,36.9206,39.4256,36.7126,39.332,3214284.7364905,0
ADI.US,D,20000126,000000,38.9612,39.0479,36.9443,38.0913,3580796.7062256,0
ADI.US,D,20000127,000000,38.187,38.6209,35.2135,35.9857,3580796.7062256,0
ADI.US,D,20000128,000000,35.5884,36.757,34.8388,35.7756,3785010.239699,0
ADI.US,D,20000131,000000,35.2135,35.822,32.2155,35.0242,4941145.7766294,0
ADI.US,D,20000201,000000,34.8388,36.968,33.7619,36.7126,3772195.4974932,0
ADI.US,D,20000202,000000,36.6672,36.8782,35.611,36.0528,3386458.3724943,0
ADI.US,D,20000203,000000,36.7126,40.3152,36.5232,39.6189,5532696.5034038,0
ADI.US,D,20000204,000000,39.7086,42.1427,38.8685,41.7689,4960101.2118879,0
ADI.US,D,20000207,000000,41.6742,44.8646,40.899,44.5776,3545563.7700467,0
ADI.US,D,20000208,000000,44.909,45.0944,42.7077,42.9898,3723611.4210528,0
ADI.US,D,20000209,000000,42.9582,43.8261,42.0479,43.338,3709999.6866509,0
ADI.US,D,20000210,000000,42.9898,44.4879,42.7077,43.5006,3830656.8016457,0
ADI.US,D,20000211,000000,44.2038,44.8863,42.1427,42.9384,2720167.8266621,0
ADI.US,D,20000214,000000,43.8261,44.4879,42.9898,43.8261,3114181.0970862,0
ADI.US,D,20000215,000000,43.8261,44.909,41.9562,44.909,4376824.6025688,0
ADI.US,D,20000216,000000,46.3607,47.9494,45.7935,47.7631,5714484.7450095,0
ADI.US,D,20000217,000000,48.2788,53.8006,46.6378,52.8222,6091409.3265275,0
ADI.US,D,20000218,000000,52.8222,53.196,50.5274,50.8557,4839444.0968931,0
ADI.US,D,20000222,000000,50.9485,54.6487,50.9001,53.8243,5898413.5089127,0
ADI.US,D,20000223,000000,53.8243,56.3776,53.7128,55.2977,5354107.3844172,0
ADI.US,D,20000224,000000,56.5669,62.6815,56.3776,60.4329,7215517.133808,0
ADI.US,D,20000225,000000,58.6261,60.775,58.1074,58.7672,4566888.9895998,0
ADI.US,D,20000228,000000,57.8795,58.1074,51.8844,55.9831,5759333.3007751,0
ADI.US,D,20000229,000000,58.8115,60.1203,56.8213,58.9052,5232118.9071406,0
ADI.US,D,20000301,000000,59.563,61.8106,58.9052,60.4989,4912051.5055333,0
ADI.US,D,20000302,000000,60.6399,60.8066,57.3816,58.4624,4471858.3170617,0
ADI.US,D,20000303,000000,59.1883,62.8471,58.4624,62.5591,4364275.5244283,0
ADI.US,D,20000306,000000,64.0571,69.4893,63.6824,68.4113,5357580.2829814,0
ADI.US,D,20000307,000000,68.7417,68.7417,59.1883,61.8106,5180328.6101863,0
ADI.US,D,20000308,000000,61.8106,62.8471,58.8115,62.0414,3986555.9786842,0
ADI.US,D,20000309,000000,62.0414,67.5187,60.8747,66.3047,4281526.2379955,0
ADI.US,D,20000310,000000,66.3264,66.7702,63.1222,64.783,3276747.2253831,0
ADI.US,D,20000313,000000,63.3086,64.2001,61.6242,61.8106,3378989.3591149,0
ADI.US,D,20000314,000000,62.7456,62.9309,54.3164,54.5502,6071924.5911083,0
ADI.US,D,20000315,000000,54.6487,54.6931,50.1969,50.1969,6918141.7021188,0
ADI.US,D,20000316,000000,53.196,59.1883,50.9001,59.1883,5353312.420191,0
ADI.US,D,20000317,000000,56.1922,58.5285,54.8351,58.3499,2901557.5721697,0
ADI.US,D,20000320,000000,63.3086,64.0571,58.6261,60.1203,3873370.9190237,0
ADI.US,D,20000321,000000,59.9368,63.6824,57.0827,63.6824,3041032.2204654,0
ADI.US,D,20000322,000000,65.5543,70.4261,65.4685,68.9281,3892720.7944403,0
ADI.US,D,20000323,000000,68.9281,69.3009,64.1509,67.8057,3432905.982577,0
ADI.US,D,20000324,000000,67.8057,70.9448,65.0926,65.7436,2620729.3614061,0
ADI.US,D,20000327,000000,65.932,67.6184,65.1794,65.932,2729907.1524167,0
ADI.US,D,20000328,000000,65.4685,65.4685,61.0621,61.0621,2637014.9742063,0
ADI.US,D,20000329,000000,62.3678,64.6646,60.3115,64.6203,5545376.385607,0
ADI.US,D,20000330,000000,63.7721,64.4319,51.6951,58.4387,4724258.4448626,0
ADI.US,D,20000331,000000,59.279,61.347,54.8351,60.3115,4065438.9403796,0
ADI.US,D,20000403,000000,60.3549,61.2474,53.9426,55.5856,3334673.145465,0
ADI.US,D,20000404,000000,55.4427,56.5669,47.2927,53.196,5633601.1909441,0
ADI.US,D,20000405,000000,53.1024,56.5669,52.0708,54.6754,4521113.6515604,0
ADI.US,D,20000406,000000,57.5994,59.3757,56.7986,59.0471,3235101.8481763,0
ADI.US,D,20000407,000000,58.9052,60.8747,58.7672,59.1883,2960555.2743779,0
ADI.US,D,20000410,000000,59.9368,61.5276,53.196,53.196,3057721.3992886,0
ADI.US,D,20000411,000000,53.196,53.2404,50.1969,51.1359,4245756.9037611,0
ADI.US,D,20000412,000000,49.7325,50.6625,45.6585,46.6378,6534674.8894952,0
ADI.US,D,20000413,000000,48.3242,50.1969,46.4513,46.5421,4926732.9940915,0
ADI.US,D,20000414,000000,44.5776,46.5421,40.5036,43.9208,6749032.3287313,0
ADI.US,D,20000417,000000,44.2038,48.7896,43.4503,48.7896,5280834.8016286,0
ADI.US,D,20000418,000000,47.7631,52.1191,46.4513,49.119,3506320.5232631,0
ADI.US,D,20000419,000000,49.8242,50.1043,45.043,47.2463,3585334.2890212,0
ADI.US,D,20000420,000000,46.9188,48.699,45.8893,48.5125,2123276.440986,0
ADI.US,D,20000424,000000,47.5737,47.9494,45.0944,46.0747,2058545.6676881,0
ADI.US,D,20000425,000000,46.6378,49.8242,46.4513,49.7325,3710534.0567365,0
ADI.US,D,20000426,000000,48.699,51.5097,48.699,49.119,2866848.8662268,0
