<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMAT.US,D,20000103,000000,26.0051,26.0051,24.5748,25.614,17748153.657976,0
AMAT.US,D,20000104,000000,24.6572,25.3639,24.3008,24.3525,28190051.954215,0
AMAT.US,D,20000105,000000,23.9058,24.3425,23.0164,23.4432,34329954.495388,0
AMAT.US,D,20000106,000000,23.1355,24.0725,22.7295,23.4799,27725877.742819,0
AMAT.US,D,20000107,000000,22.8378,23.7003,22.4755,23.6854,46589037.217885,0
AMAT.US,D,20000110,000000,24.1192,25.756,23.9951,25.5902,37309547.552468,0
AMAT.US,D,20000111,000000,25.0622,26.2593,24.3425,24.4636,33674193.408107,0
AMAT.US,D,20000112,000000,24.7048,25.764,23.875,25.7233,37735701.38668,0
AMAT.US,D,20000113,000000,25.0383,25.8224,24.2304,25.2051,54585632.574827,0
AMAT.US,D,20000114,000000,26.283,28.1501,26.2284,27.4682,75827420.552073,0
AMAT.US,D,20000118,000000,27.1119,27.898,26.7546,27.3601,34246505.917985,0
AMAT.US,D,20000119,000000,27.4425,29.0067,27.1853,28.838,35922954.803542,0
AMAT.US,D,20000120,000000,29.1378,29.4454,28.0766,28.3526,34802030.183197,0
AMAT.US,D,20000121,000000,28.6822,28.9115,27.906,28.6018,38083330.080339,0
AMAT.US,D,20000124,000000,28.4142,29.6936,28.3973,28.4479,31320738.205824,0
AMAT.US,D,20000125,000000,28.6425,29.4286,27.3818,29.2509,40569616.324547,0
AMAT.US,D,20000126,000000,29.1675,29.2509,27.1456,27.2032,33631725.113244,0
AMAT.US,D,20000127,000000,27.7858,28.4142,27.0165,27.4425,33332482.510245,0
AMAT.US,D,20000128,000000,27.2687,28.0241,26.0379,26.274,38890692.11991,0
AMAT.US,D,20000131,000000,26.0607,27.8573,25.9714,27.7918,37490278.083864,0
AMAT.US,D,20000201,000000,27.089,28.6335,26.9818,28.4479,28164372.911472,0
AMAT.US,D,20000202,000000,28.3605,29.7939,28.2801,29.1208,34450940.878614,0
AMAT.US,D,20000203,000000,29.3541,30.3784,29.3541,30.0688,29156417.731828,0
AMAT.US,D,20000204,000000,30.304,30.5552,29.3403,29.4454,23479201.389729,0
AMAT.US,D,20000207,000000,29.4693,31.2282,29.1615,31.1109,26491378.592103,0
AMAT.US,D,20000208,000000,31.3414,32.7111,30.8777,32.6297,45814757.006812,0
AMAT.US,D,20000209,000000,32.2397,34.1365,32.2237,33.1558,46636934.692448,0
AMAT.US,D,20000210,000000,33.1637,35.3911,32.6565,35.3911,34157622.116147,0
AMAT.US,D,20000211,000000,35.0081,35.3017,33.1161,33.4138,40918236.354784,0
