<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMD.US,D,20000103,000000,14.97,15.6,14.69,15.5,7845000,0
AMD.US,D,20000104,000000,15.12,15.5,14.6,14.62,6296000,0
AMD.US,D,20000105,000000,14.53,15.06,14,15,8207200,0
AMD.US,D,20000106,000000,15.5,16,15.25,16,11494600,0
AMD.US,D,20000107,000000,15.4,16.41,15.38,16.25,8545400,0
AMD.US,D,20000110,000000,16.75,17.75,16.69,17.5,12925600,0
AMD.US,D,20000111,000000,17.5,17.97,16.97,17.25,6691000,0
AMD.US,D,20000112,000000,17,18.38,16.82,18.12,8829000,0
AMD.US,D,20000113,000000,18.38,18.88,17.57,18.88,7543400,0
AMD.US,D,20000114,000000,18.57,20.28,18.5,20.19,15012200,0
AMD.US,D,20000118,000000,20,20.62,19.34,19.5,10877800,0
AMD.US,D,20000119,000000,19.88,21.5,19.41,19.59,8926800,0
AMD.US,D,20000120,000000,21.75,22.57,19,19.5,28851200,0
AMD.US,D,20000121,000000,19.57,19.57,18.07,18.94,11723400,0
AMD.US,D,20000124,000000,18.62,19.22,16.91,17.25,10275400,0
AMD.US,D,20000125,000000,17.28,20.25,17.25,20,10809000,0
AMD.US,D,20000126,000000,18.82,19.12,18.28,18.5,7607800,0
AMD.US,D,20000127,000000,19,19.5,18.44,18.47,6172200,0
AMD.US,D,20000128,000000,18.59,18.88,17.19,17.62,6871200,0
AMD.US,D,20000131,000000,17.62,18.12,17.22,18,4293800,0
AMD.US,D,20000201,000000,18.25,18.38,17.5,18.28,5117600,0
AMD.US,D,20000202,000000,18.16,18.25,17.78,18.03,4085400,0
AMD.US,D,20000203,000000,18.38,19.69,18.16,19.5,9526000,0
AMD.US,D,20000204,000000,19.5,20.07,19.19,19.28,7114400,0
AMD.US,D,20000207,000000,19.28,20.66,19.07,20.66,6066000,0
AMD.US,D,20000208,000000,20.5,21,19.59,20.69,8586000,0
AMD.US,D,20000209,000000,20.69,21.19,20.25,21.03,7821200,0
AMD.US,D,20000210,000000,21.03,21.38,20.66,21.25,6381200,0
