<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMGN.US,D,20000103,000000,52.4738,52.4738,47.1345,47.1805,30569318.884985,0
AMGN.US,D,20000104,000000,46.4746,48.0644,43.2453,43.5659,20080720.052867,0
AMGN.US,D,20000105,000000,44.3687,45.4959,43.6638,45.0668,20105806.656525,0
AMGN.US,D,20000106,000000,45.539,46.4326,45.1625,45.8137,14832353.409692,0
AMGN.US,D,20000107,000000,47.0368,51.3474,46.94,50.9749,21283083.009496,0
AMGN.US,D,20000110,000000,52.0994,54.4838,52.0994,54.0645,14081158.603261,0
AMGN.US,D,20000111,000000,54.0157,54.2551,48.0644,49.8047,18814049.597081,0
AMGN.US,D,20000112,000000,50.6856,50.7863,46.896,47.6439,15443877.601596,0
AMGN.US,D,20000113,000000,48.5366,50.7863,47.8345,50.0814,14077554.200307,0
AMGN.US,D,20000114,000000,51.633,52.4738,50.5076,51.2066,11967909.628781,0
AMGN.US,D,20000118,000000,52.4738,52.5618,51.1597,51.7689,11550225.400135,0
AMGN.US,D,20000119,000000,52.4738,54.6765,52.3819,53.9706,16103021.029708,0
AMGN.US,D,20000120,000000,55.755,55.843,52.1844,53.8278,12621189.253788,0
AMGN.US,D,20000121,000000,55.005,56.2213,53.9706,55.9867,10878134.146537,0
AMGN.US,D,20000124,000000,56.8812,57.3456,51.8128,51.9107,13144928.232166,0
AMGN.US,D,20000125,000000,53.0379,53.079,49.4752,52.0084,15010448.146192,0
AMGN.US,D,20000126,000000,50.8811,51.633,48.0165,48.0644,21345653.767387,0
AMGN.US,D,20000127,000000,48.7243,48.7713,44.3179,46.0102,19739742.919583,0
AMGN.US,D,20000128,000000,46.0552,46.0552,44.5104,44.7451,14540863.174308,0
AMGN.US,D,20000131,000000,45.7286,47.8845,44.8859,47.7418,16834878.480216,0
AMGN.US,D,20000201,000000,48.5366,49.4752,47.0368,48.957,13210563.346257,0
AMGN.US,D,20000202,000000,48.8152,48.8152,46.3847,47.7418,13309550.438661,0
AMGN.US,D,20000203,000000,48.5366,48.7243,46.7611,47.9735,10156019.016731,0
AMGN.US,D,20000204,000000,48.5366,49.8487,48.0644,48.4388,10765140.61427,0
AMGN.US,D,20000207,000000,49.8487,52.1442,48.8152,51.8647,12260062.648817,0
AMGN.US,D,20000208,000000,52.7563,54.1104,51.8647,52.8453,14818877.811242,0
AMGN.US,D,20000209,000000,53.4104,53.5981,49.9386,50.0814,10370937.168442,0
AMGN.US,D,20000210,000000,50.5076,50.5995,48.3498,48.866,11846378.65285,0
AMGN.US,D,20000211,000000,48.957,49.7059,46.4326,46.94,10812368.112019,0
AMGN.US,D,20000214,000000,47.6439,49.3843,46.1012,48.7713,11732319.346498,0
AMGN.US,D,20000215,000000,48.9091,49.2855,48.1181,48.7713,11150409.763894,0
AMGN.US,D,20000216,000000,48.8152,52.4738,48.5366,52.3819,15547931.723582,0
AMGN.US,D,20000217,000000,52.6146,55.4724,52.4268,54.5347,19800841.845506,0
AMGN.US,D,20000218,000000,55.843,56.2213,52.4268,53.4543,19956787.505387,0
AMGN.US,D,20000222,000000,53.7389,53.9304,49.7588,50.5995,11548893.693935,0
AMGN.US,D,20000223,000000,51.4921,54.0645,50.3131,53.5512,12137867.865419,0
AMGN.US,D,20000224,000000,54.0645,54.8642,51.3123,54.3921,12846905.272128,0
AMGN.US,D,20000225,000000,54.7205,55.4724,52.5618,55.1409,11414683.89308,0
AMGN.US,D,20000228,000000,54.6305,54.6305,49.8487,51.3035,17695730.393701,0
AMGN.US,D,20000229,000000,52.6615,52.8453,50.3131,51.1157,11464043.961819,0
AMGN.US,D,20000301,000000,50.2252,50.4118,48.5815,48.7713,13623581.489125,0
AMGN.US,D,20000302,000000,48.957,50.8811,47.2265,48.957,16108494.11717,0
AMGN.US,D,20000303,000000,50.1332,50.8811,48.7243,49.7059,13982041.613248,0
AMGN.US,D,20000306,000000,50.1332,50.1332,47.4572,48.3919,16870096.074586,0
AMGN.US,D,20000307,000000,49.0518,49.0997,45.3542,45.7286,16995364.419529,0
AMGN.US,D,20000308,000000,47.2265,47.5101,45.4959,46.0102,20804308.037455,0
AMGN.US,D,20000309,000000,46.1442,46.2429,44.137,44.226,14587687.682624,0
AMGN.US,D,20000310,000000,44.9758,47.5101,44.0393,44.6483,21403016.347114,0
AMGN.US,D,20000313,000000,43.6188,45.1625,43.477,43.477,13448557.245721,0
AMGN.US,D,20000314,000000,44.8859,44.9758,38.2768,39.1683,36804869.515044,0
AMGN.US,D,20000315,000000,42.8718,44.5104,41.9783,43.8534,44729583.086711,0
AMGN.US,D,20000316,000000,46.852,49.0997,45.8137,48.5366,24301080.084082,0
AMGN.US,D,20000317,000000,48.1642,48.866,46.6164,47.3145,16356089.188752,0
AMGN.US,D,20000320,000000,46.6643,46.7611,42.6831,43.477,27051861.411181,0
AMGN.US,D,20000321,000000,43.5659,46.1012,41.3202,45.8137,22143136.103827,0
AMGN.US,D,20000322,000000,46.2429,47.3145,44.9758,46.285,14975895.382104,0
AMGN.US,D,20000323,000000,43.5659,43.8534,42.5844,43.2453,26766243.161429,0
AMGN.US,D,20000324,000000,43.6638,43.7919,39.5417,40.8989,28860282.631963,0
AMGN.US,D,20000327,000000,41.3202,45.7286,41.3202,45.2594,21244406.252016,0
AMGN.US,D,20000328,000000,45.9115,49.2855,45.2828,47.0838,24062818.206874,0
AMGN.US,D,20000329,000000,48.6784,49.3843,46.2429,46.6643,14040334.955371,0
