<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXGN.US,D,20000103,000000,1.23,1.2792,1.1234,1.23,18902,0
AXGN.US,D,20000104,000000,1.25,1.25,1.25,1.25,979,0
AXGN.US,D,20000105,000000,1.28,1.28,1.28,1.28,2438,0
AXGN.US,D,20000106,000000,1.2308,1.28,1.2308,1.28,1463,0
AXGN.US,D,20000107,000000,1.2308,1.3867,1.2308,1.28,5484,0
AXGN.US,D,20000111,000000,1.3027,1.36,1.3027,1.36,4516,0
AXGN.US,D,20000112,000000,1.3459,1.51,1.3459,1.51,7799,0
AXGN.US,D,20000113,000000,1.6154,1.64,1.6154,1.64,976,0
AXGN.US,D,20000114,000000,1.6373,3.3729,1.6373,3.07,129112,0
AXGN.US,D,20000118,000000,2.789,2.8136,2.2492,2.56,85097,0
AXGN.US,D,20000119,000000,2.5666,2.9192,2.255,2.87,30732,0
AXGN.US,D,20000120,000000,2.7716,2.87,2.46,2.87,5244,0
AXGN.US,D,20000121,000000,2.6049,2.858,2.4497,2.76,6491,0
AXGN.US,D,20000124,000000,2.87,2.87,2.3534,2.46,12317,0
AXGN.US,D,20000125,000000,2.6612,2.6612,2.35,2.35,9282,0
AXGN.US,D,20000126,000000,2.46,2.46,2.4108,2.46,15366,0
AXGN.US,D,20000127,000000,2.4108,2.46,2.3862,2.46,9634,0
AXGN.US,D,20000128,000000,2.4108,2.46,2.3534,2.46,165610,0
AXGN.US,D,20000131,000000,2.87,3.075,2.46,2.46,80610,0
AXGN.US,D,20000201,000000,2.7716,2.7716,2.3534,2.46,15610,0
AXGN.US,D,20000202,000000,2.4592,2.5084,2.3526,2.41,10613,0
AXGN.US,D,20000203,000000,2.4108,2.46,2.255,2.46,3415,0
AXGN.US,D,20000204,000000,2.4546,2.4546,2.25,2.25,8922,0
AXGN.US,D,20000207,000000,2.3059,2.3059,2.15,2.15,12552,0
AXGN.US,D,20000208,000000,2.2567,2.2567,2.15,2.15,4631,0
AXGN.US,D,20000209,000000,2.3552,2.3552,2.1008,2.15,9993,0
AXGN.US,D,20000210,000000,2.0946,2.25,2.0946,2.25,5133,0
AXGN.US,D,20000211,000000,2.0992,2.3534,2.05,2.05,5610,0
AXGN.US,D,20000214,000000,2.0483,2.0483,1.95,1.95,8177,0
AXGN.US,D,20000215,000000,1.9516,2.05,1.7384,2.05,4634,0
AXGN.US,D,20000217,000000,2.05,2.05,2.05,2.05,14634,0
AXGN.US,D,20000218,000000,2.0515,2.15,1.8464,2.15,5971,0
AXGN.US,D,20000222,000000,2.2058,2.2058,2.0008,2.05,7317,0
AXGN.US,D,20000224,000000,2.255,2.46,2.255,2.46,3659,0
AXGN.US,D,20000225,000000,2.4618,2.4618,2.1008,2.15,8287,0
AXGN.US,D,20000228,000000,2.1477,2.41,2.1477,2.41,2684,0
AXGN.US,D,20000229,000000,2.2796,2.4108,1.9516,2.05,4512,0
AXGN.US,D,20000301,000000,2.3828,2.4565,2.35,2.35,15266,0
AXGN.US,D,20000302,000000,2.3288,2.46,2.3288,2.46,14756,0
AXGN.US,D,20000303,000000,2.4121,3.0767,2.4121,2.97,43513,0
AXGN.US,D,20000306,000000,2.9692,3.1251,2.8708,2.92,21579,0
AXGN.US,D,20000307,000000,2.9192,2.9192,2.7142,2.87,8415,0
AXGN.US,D,20000308,000000,2.9684,2.9684,2.6158,2.87,13171,0
AXGN.US,D,20000309,000000,2.7731,2.97,2.7731,2.97,18283,0
