<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIIB.US,D,20000103,000000,30.203,30.24,26.39,28.628,3031882,0
BIIB.US,D,20000104,000000,27.523,28.481,26.325,26.694,3186912,0
BIIB.US,D,20000105,000000,26.445,29.015,23.028,28.554,3680338,0
BIIB.US,D,20000106,000000,27.79,30.24,27.329,29.826,2977165,0
BIIB.US,D,20000107,000000,29.78,33.317,29.78,33.252,5142051,0
BIIB.US,D,20000110,000000,35.306,37.112,34.698,36.688,6259180,0
BIIB.US,D,20000111,000000,35.573,36.384,33.16,33.814,3675127,0
BIIB.US,D,20000112,000000,33.888,33.906,29.936,32.432,4620615,0
BIIB.US,D,20000113,000000,32.589,36.154,32.082,35.656,3450724,0
BIIB.US,D,20000114,000000,36.347,36.844,33.003,35.463,3124379,0
BIIB.US,D,20000118,000000,35.039,36.844,32.239,32.874,3647117,0
BIIB.US,D,20000119,000000,32.874,37.498,32.543,37.148,2914958,0
BIIB.US,D,20000120,000000,35.619,38.226,30.093,37.673,16882328,0
BIIB.US,D,20000121,000000,38.53,45.752,36.54,45.365,10017358,0
BIIB.US,D,20000124,000000,44.213,46.553,40.225,42.159,5227708,0
BIIB.US,D,20000125,000000,43.136,43.366,38.263,41.717,4535935,0
BIIB.US,D,20000126,000000,41.376,45.752,41.146,44.02,3963366,0
BIIB.US,D,20000127,000000,44.25,44.517,39.995,39.995,1791966,0
BIIB.US,D,20000128,000000,39.764,40.704,37.517,39.377,2062292,0
BIIB.US,D,20000131,000000,39.258,39.304,36.54,38.742,2363884,0
BIIB.US,D,20000201,000000,38.88,40.916,37.618,40.814,1629445,0
BIIB.US,D,20000202,000000,35.002,36.154,32.22,32.543,17692654,0
BIIB.US,D,20000203,000000,33.16,34.238,31.474,31.668,9201496,0
BIIB.US,D,20000204,000000,32.488,35.076,31.548,33.621,3495669,0
BIIB.US,D,20000207,000000,34.846,35.555,33.777,35.251,3999518,0
BIIB.US,D,20000208,000000,35.979,40.068,35.463,39.875,5511713,0
BIIB.US,D,20000209,000000,39.764,39.801,36.384,37.766,3545826,0
BIIB.US,D,20000210,000000,37.876,38.014,35.619,35.979,2456381,0
BIIB.US,D,20000211,000000,36.015,37.766,35.232,36.476,2355416,0
BIIB.US,D,20000214,000000,36.54,37.766,35.85,36.476,1517081,0
BIIB.US,D,20000215,000000,36.522,36.614,34.846,35.73,1563981,0
BIIB.US,D,20000216,000000,35.619,38.456,34.698,37.416,4658721,0
BIIB.US,D,20000217,000000,37.729,40.833,37.692,40.418,5538745,0
BIIB.US,D,20000218,000000,41.376,45.752,37.766,40.492,5704524,0
BIIB.US,D,20000222,000000,40.372,40.603,37.554,38.337,2814970,0
BIIB.US,D,20000223,000000,39.93,42.988,38.687,42.657,1970772,0
BIIB.US,D,20000224,000000,42.74,43.292,40.778,42.601,2617274,0
BIIB.US,D,20000225,000000,43.679,43.753,41.68,42.196,2092907,0
BIIB.US,D,20000228,000000,42.988,43.909,39.995,40.989,4466236,0
BIIB.US,D,20000229,000000,41.082,44.213,40.916,43.255,2795103,0
BIIB.US,D,20000301,000000,43.136,46.056,41.754,45.079,2100398,0
BIIB.US,D,20000302,000000,46.019,46.019,41.984,42.693,1983474,0
BIIB.US,D,20000303,000000,43.578,46.056,42.675,46.056,2895416,0
