<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNBX.US,D,20030716,000000,97218000,100818750,97218000,97218000,0,0
BNBX.US,D,20030725,000000,97218750,99018750,88217250,93618000,0,0
BNBX.US,D,20030728,000000,97219500,99019500,88217250,90378000,0,0
BNBX.US,D,20030729,000000,93258000,97218750,92898000,93618000,0,0
BNBX.US,D,20030730,000000,91817250,99018000,88216500,97218000,0,0
BNBX.US,D,20030731,000000,99018750,99018750,86416500,95418000,0,0
BNBX.US,D,20030815,000000,95418000,97218000,95418000,97218000,0,0
BNBX.US,D,20030818,000000,88218000,90018000,88218000,88218000,0,0
BNBX.US,D,20030819,000000,93618750,93618750,90738000,91098000,0,0
BNBX.US,D,20030821,000000,88218000,90378000,88218000,90018000,0,0
BNBX.US,D,20030825,000000,88577250,93618750,88217250,90738000,0,0
BNBX.US,D,20030826,000000,91097250,95418000,90017250,95418000,0,0
BNBX.US,D,20030827,000000,92178000,92178000,89658000,90378000,0,0
BNBX.US,D,20030829,000000,97218000,100818750,95418000,95418000,0,0
BNBX.US,D,20030902,000000,98658750,98658750,95418000,95418000,0,0
BNBX.US,D,20030903,000000,91098000,91458000,90018000,90018000,0.0000666666667,0
BNBX.US,D,20030904,000000,91098000,93618000,90378000,92178000,0.0000666666667,0
BNBX.US,D,20030905,000000,95418750,95418750,90018000,90018000,0,0
BNBX.US,D,20030908,000000,90018000,90018000,90018000,90018000,0,0
BNBX.US,D,20030909,000000,90018000,91818000,90018000,91818000,0,0
BNBX.US,D,20030910,000000,93618750,95419500,88218000,88218000,0,0
BNBX.US,D,20030911,000000,97219500,97219500,90018000,90018000,0,0
BNBX.US,D,20030915,000000,91817250,95418000,88216500,95418000,0,0
BNBX.US,D,20030919,000000,97218000,97218000,95418000,95418000,0,0
BNBX.US,D,20030923,000000,91818000,93618000,90017250,93618000,0,0
BNBX.US,D,20030924,000000,93618000,93618000,93618000,93618000,0,0
BNBX.US,D,20030925,000000,91818000,91818000,90018000,90018000,0,0
BNBX.US,D,20031001,000000,90018000,99019500,90018000,90018000,0,0
BNBX.US,D,20031002,000000,93618750,99020250,88218000,88218000,0,0
BNBX.US,D,20031003,000000,95418000,95418000,88216500,95418000,0,0
BNBX.US,D,20031006,000000,91458000,93618750,90018000,90378000,0,0
BNBX.US,D,20031010,000000,88218000,95418750,88218000,90018000,0,0
BNBX.US,D,20031021,000000,90017250,96138750,90017250,93618000,0,0
BNBX.US,D,20031022,000000,91818000,96499500,88218000,90018000,0.0000666666667,0
BNBX.US,D,20031023,000000,90017250,96498000,90017250,95418000,0,0
BNBX.US,D,20031024,000000,96498000,100098750,96498000,97938000,0,0
BNBX.US,D,20031027,000000,97221750,106944000,97221750,106224000,0.0000666666667,0
BNBX.US,D,20031028,000000,108023250,117024750,106222500,113064000,0,0
BNBX.US,D,20031029,000000,113424000,118824750,111623250,115224000,0,0
BNBX.US,D,20031030,000000,118825500,118825500,111624000,113424000,0,0
BNBX.US,D,20031031,000000,115225500,115225500,108023250,109824000,0,0
BNBX.US,D,20031103,000000,111624750,115225500,93621000,108024000,0,0
BNBX.US,D,20031104,000000,108023250,113424000,93620250,111624000,0,0
BNBX.US,D,20031105,000000,110904000,113424750,102622500,109824000,0.0000666666667,0
BNBX.US,D,20031106,000000,108024000,109824750,104423250,106584000,0,0
BNBX.US,D,20031107,000000,108024000,113425500,106223250,108384000,0,0
BNBX.US,D,20031110,000000,108022500,118824750,108022500,115224000,0,0
BNBX.US,D,20031111,000000,120626250,124227000,111624000,111624000,0,0
BNBX.US,D,20031112,000000,115223250,124224750,114862500,120624000,0,0
BNBX.US,D,20031113,000000,121344000,126024750,119544000,120624000,0,0
BNBX.US,D,20031114,000000,118823250,126024000,118823250,124224000,0,0
BNBX.US,D,20031117,000000,126025500,126025500,117744000,118464000,0,0
BNBX.US,D,20031118,000000,121704000,123144000,118823250,122424000,0,0
BNBX.US,D,20031119,000000,123504000,124224750,120984000,122064000,0,0
BNBX.US,D,20031120,000000,120984750,122424750,117024000,118464000,0,0
BNBX.US,D,20031121,000000,118463250,122424000,118463250,120624000,0,0
