<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMCSA.US,D,20000103,000000,10.914,11.0418,10.1841,10.5348,3452146,0
CMCSA.US,D,20000104,000000,10.2785,10.6169,9.46363,9.74508,1573190,0
CMCSA.US,D,20000105,000000,9.63317,9.69073,9.2106,9.4913,1226152,0
CMCSA.US,D,20000106,000000,9.40771,10.1676,9.32586,9.85959,1631757,0
CMCSA.US,D,20000107,000000,9.88783,9.88783,9.38002,9.54802,1092570,0
CMCSA.US,D,20000110,000000,10.2946,11.0968,10.1148,10.772,3461912,0
CMCSA.US,D,20000111,000000,10.9291,10.985,9.69073,9.78755,3127295,0
CMCSA.US,D,20000112,000000,9.88783,10.5616,9.66318,10.1841,2263263,0
CMCSA.US,D,20000113,000000,10.3519,10.803,10.323,10.7588,1070394,0
CMCSA.US,D,20000114,000000,10.9408,11.1813,10.8154,10.9984,1458259,0
CMCSA.US,D,20000118,000000,10.8439,11.1269,10.5768,10.9291,2533529,0
CMCSA.US,D,20000119,000000,11.0418,11.7198,11.0168,11.5912,2696838,0
CMCSA.US,D,20000120,000000,11.7272,11.8016,11.1269,11.2379,1244357,0
CMCSA.US,D,20000121,000000,11.3517,11.4351,10.9984,11.1813,1206191,0
CMCSA.US,D,20000124,000000,11.2673,11.3658,10.8615,10.9291,898648,0
CMCSA.US,D,20000125,000000,10.7588,10.8154,10.0531,10.2946,1107659,0
CMCSA.US,D,20000126,000000,10.2659,10.5901,10.1148,10.4909,776613,0
CMCSA.US,D,20000127,000000,10.5616,11.2053,10.4322,10.4909,723360,0
CMCSA.US,D,20000128,000000,10.4322,10.4322,9.66318,9.69073,796580,0
CMCSA.US,D,20000131,000000,9.8085,9.81517,9.18488,9.71748,1334001,0
CMCSA.US,D,20000201,000000,9.7049,10.0423,9.43613,9.97299,695841,0
CMCSA.US,D,20000202,000000,10.2785,10.8154,10.1148,10.5616,876021,0
CMCSA.US,D,20000203,000000,10.894,10.9291,10.3096,10.8881,795244,0
CMCSA.US,D,20000204,000000,10.9074,11.1269,10.7456,10.9291,830751,0
CMCSA.US,D,20000207,000000,11.1411,11.1536,10.5901,10.7321,844512,0
CMCSA.US,D,20000208,000000,10.8998,10.8998,10.6169,10.772,479721,0
CMCSA.US,D,20000209,000000,10.8154,10.8287,10.2235,10.2235,444667,0
CMCSA.US,D,20000210,000000,10.2525,10.5057,10.1409,10.5057,468179,0
CMCSA.US,D,20000211,000000,10.5057,10.5901,10.3803,10.4773,632827,0
CMCSA.US,D,20000214,000000,10.4506,10.5057,9.92539,10.0156,532980,0
CMCSA.US,D,20000215,000000,10.0221,10.5309,9.90343,10.3096,385187,0
CMCSA.US,D,20000216,000000,10.2235,10.2235,9.69073,9.74508,584007,0
CMCSA.US,D,20000217,000000,9.88783,9.95884,9.3084,9.7049,745543,0
CMCSA.US,D,20000218,000000,9.7049,9.71748,8.90092,8.90092,578241,0
CMCSA.US,D,20000222,000000,8.97693,9.23895,8.87337,9.01772,1658397,0
CMCSA.US,D,20000223,000000,9.09627,9.66318,8.95598,9.53549,834302,0
CMCSA.US,D,20000224,000000,9.64488,9.64488,8.76143,8.92596,542293,0
CMCSA.US,D,20000225,000000,8.92596,9.54802,8.90092,9.40771,891553,0
CMCSA.US,D,20000228,000000,9.52126,9.64488,9.2106,9.32586,1578514,0
CMCSA.US,D,20000229,000000,9.47616,9.47616,8.83243,9.01772,1211515,0
CMCSA.US,D,20000301,000000,9.0094,9.3084,8.39236,9.15471,2468293,0
CMCSA.US,D,20000302,000000,9.22644,9.35431,8.56102,8.65042,1223492,0
CMCSA.US,D,20000303,000000,8.72972,8.98854,8.45084,8.85998,1483996,0
CMCSA.US,D,20000306,000000,8.97015,9.01772,8.72972,8.81572,1028225,0
CMCSA.US,D,20000307,000000,8.93513,8.95598,8.62115,8.66459,698955,0
CMCSA.US,D,20000308,000000,8.67628,8.90092,8.63456,8.84659,573802,0
CMCSA.US,D,20000309,000000,8.84659,8.97015,8.57357,8.97015,1506620,0
CMCSA.US,D,20000310,000000,8.9117,9.08294,8.57357,8.5886,2013411,0
CMCSA.US,D,20000313,000000,8.63456,8.63456,7.99993,8.16943,3405542,0
CMCSA.US,D,20000314,000000,8.29719,8.40575,7.78752,8.22371,1922441,0
CMCSA.US,D,20000315,000000,8.50675,8.72972,8.33726,8.57357,1546120,0
CMCSA.US,D,20000316,000000,8.72972,9.17306,8.62115,9.17306,1301154,0
CMCSA.US,D,20000317,000000,8.98854,9.07453,8.78898,8.85998,368775,0
CMCSA.US,D,20000320,000000,8.98854,9.17306,8.70215,8.71556,1043758,0
CMCSA.US,D,20000321,000000,8.78898,8.90092,8.46503,8.63456,1279861,0
CMCSA.US,D,20000322,000000,8.62115,8.63456,8.29719,8.45084,2878785,0
CMCSA.US,D,20000323,000000,8.32389,8.60614,8.19535,8.54771,1985013,0
CMCSA.US,D,20000324,000000,8.62115,8.66459,8.31054,8.52013,2574797,0
CMCSA.US,D,20000327,000000,8.47842,8.74303,8.13856,8.60614,1736049,0
CMCSA.US,D,20000328,000000,8.62115,8.62115,8.19535,8.23541,1180006,0
CMCSA.US,D,20000329,000000,8.22371,8.37733,8.11267,8.31054,1152490,0
CMCSA.US,D,20000330,000000,8.28383,8.65042,8.25125,8.4241,939475,0
CMCSA.US,D,20000331,000000,8.47842,9.29408,8.47842,9.29408,1035335,0
CMCSA.US,D,20000403,000000,9.04198,9.63317,9.01772,9.40771,1274534,0
CMCSA.US,D,20000404,000000,9.35431,9.74508,8.62115,9.22644,1428964,0
CMCSA.US,D,20000405,000000,8.95598,9.34083,8.76143,8.77481,1040218,0
CMCSA.US,D,20000406,000000,8.88667,8.97015,8.5886,8.83912,626609,0
CMCSA.US,D,20000407,000000,8.87337,8.94174,8.70215,8.85998,225440,0
CMCSA.US,D,20000410,000000,8.68968,8.85998,8.50675,8.50675,436676,0
CMCSA.US,D,20000411,000000,8.54101,8.56102,8.11267,8.13856,1354847,0
CMCSA.US,D,20000412,000000,8.16943,9.08294,8.12686,8.9117,1777775,0
CMCSA.US,D,20000413,000000,8.9117,9.12389,8.32389,8.32389,514777,0
CMCSA.US,D,20000414,000000,8.22371,8.36399,7.88698,7.90023,1751148,0
CMCSA.US,D,20000417,000000,7.94233,8.21034,7.54761,8.21034,1925548,0
CMCSA.US,D,20000418,000000,8.11267,8.16943,7.83001,8.06925,1717862,0
CMCSA.US,D,20000419,000000,8.13856,8.22371,7.98658,8.13856,1305591,0
CMCSA.US,D,20000420,000000,8.08594,8.22371,7.80054,8.18279,675870,0
CMCSA.US,D,20000424,000000,8.06925,8.56102,7.83001,8.50675,1115655,0
