<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSX.US,D,20000103,000000,1.30092,1.32441,1.25456,1.28309,11331633.154995,0
CSX.US,D,20000104,000000,1.24742,1.27596,1.22573,1.24376,9454959.8392332,0
CSX.US,D,20000105,000000,1.25179,1.28042,1.23387,1.27061,12671495.310372,0
CSX.US,D,20000106,000000,1.27061,1.38672,1.25179,1.32688,19775576.922463,0
CSX.US,D,20000107,000000,1.32688,1.32965,1.31173,1.32688,12687126.431538,0
CSX.US,D,20000110,000000,1.32242,1.32965,1.31627,1.32688,10631518.417665,0
CSX.US,D,20000111,000000,1.32688,1.35561,1.32688,1.32688,12472414.282507,0
CSX.US,D,20000112,000000,1.32688,1.3447,1.32441,1.33222,11915439.631949,0
CSX.US,D,20000113,000000,1.32688,1.37156,1.32242,1.35114,11613489.978658,0
CSX.US,D,20000114,000000,1.33222,1.35274,1.32688,1.33758,10495083.006824,0
CSX.US,D,20000118,000000,1.32688,1.33946,1.31627,1.31627,9273785.2019641,0
CSX.US,D,20000119,000000,1.31627,1.32688,1.30092,1.31627,41067688.551656,0
CSX.US,D,20000120,000000,1.30359,1.31173,1.24376,1.25713,19285712.625701,0
CSX.US,D,20000121,000000,1.31173,1.31173,1.26784,1.27239,11311513.070585,0
CSX.US,D,20000124,000000,1.29924,1.29924,1.24912,1.26784,10535339.326624,0
CSX.US,D,20000125,000000,1.26784,1.29924,1.24108,1.24742,20533839.228646,0
CSX.US,D,20000126,000000,1.27061,1.27596,1.2284,1.24108,52909327.285987,0
CSX.US,D,20000127,000000,1.24108,1.27061,1.23664,1.25981,17925729.376479,0
CSX.US,D,20000128,000000,1.24376,1.24376,1.18472,1.2081,19028483.019547,0
CSX.US,D,20000131,000000,1.21791,1.23117,1.20533,1.21255,12315841.626838,0
CSX.US,D,20000201,000000,1.21255,1.21612,1.19532,1.19987,5891733.4695033,0
CSX.US,D,20000202,000000,1.19987,1.19987,1.16055,1.17233,9723373.999635,0
CSX.US,D,20000203,000000,1.1769,1.18472,1.15064,1.15618,8754835.0075397,0
CSX.US,D,20000204,000000,1.16589,1.1769,1.1437,1.14807,29856831.42212,0
CSX.US,D,20000207,000000,1.14807,1.15618,1.08368,1.08368,14841181.739826,0
CSX.US,D,20000208,000000,1.05772,1.07822,1.02661,1.02661,41157147.825222,0
CSX.US,D,20000209,000000,1.05505,1.0704,1.02661,1.03721,34636878.7467,0
CSX.US,D,20000210,000000,0.985303,1.00323,0.948649,0.954097,39560078.27129,0
CSX.US,D,20000211,000000,0.954097,0.956673,0.876331,0.896738,23430510.580407,0
CSX.US,D,20000214,000000,0.891487,0.925566,0.870882,0.906645,65958822.171353,0
CSX.US,D,20000215,000000,0.922792,0.93785,0.906645,0.912985,19516094.254479,0
CSX.US,D,20000216,000000,0.917344,0.935373,0.902187,0.910212,25184163.893807,0
CSX.US,D,20000217,000000,0.912985,0.943398,0.889605,0.933491,24551134.274365,0
CSX.US,D,20000218,000000,0.928043,0.928043,0.894063,0.904862,15890236.399834,0
CSX.US,D,20000222,000000,0.894063,0.943398,0.894063,0.929827,16386806.381963,0
CSX.US,D,20000223,000000,0.912985,0.912985,0.881681,0.886139,19784514.471498,0
CSX.US,D,20000224,000000,0.883463,0.899413,0.839677,0.899413,28159098.861085,0
CSX.US,D,20000225,000000,0.891487,0.899413,0.873558,0.881681,25434671.663612,0
CSX.US,D,20000228,000000,0.881681,0.920117,0.873558,0.902187,17299426.640565,0
CSX.US,D,20000229,000000,0.902187,0.935373,0.902187,0.920117,39844157.873693,0
