<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CTAS.US,D,20000103,000000,7.30111,7.30111,6.75,7.19784,3325495.0803232,0
CTAS.US,D,20000104,000000,7.16375,7.25582,6.78334,6.90389,4141793.3526384,0
CTAS.US,D,20000105,000000,6.93971,7.11108,6.85326,6.98231,4910518.5030383,0
CTAS.US,D,20000106,000000,6.89537,7.16375,6.87005,7.02004,5758059.9899792,0
CTAS.US,D,20000107,000000,7.01595,7.45523,6.9567,7.37278,4873625.3129457,0
CTAS.US,D,20000110,000000,7.43873,7.64572,7.38755,7.5422,4423598.1972942,0
CTAS.US,D,20000111,000000,7.46401,7.46401,7.05173,7.10309,5868070.2681046,0
CTAS.US,D,20000112,000000,7.05979,7.07706,6.90389,6.90389,7355147.095776,0
CTAS.US,D,20000113,000000,6.88732,7.48937,6.88732,7.48061,4510905.9213825,0
CTAS.US,D,20000114,000000,7.50813,7.66253,7.36854,7.51665,4843811.0165334,0
CTAS.US,D,20000118,000000,7.41318,7.66253,7.35205,7.62016,4405839.3717906,0
CTAS.US,D,20000119,000000,7.64572,7.64572,7.10309,7.16375,3272974.1237877,0
CTAS.US,D,20000120,000000,7.22342,7.2485,7.02421,7.05979,5831875.1127717,0
CTAS.US,D,20000121,000000,6.99084,7.02421,6.73293,6.78334,7269970.430748,0
CTAS.US,D,20000124,000000,6.77502,6.85326,6.75,6.75848,5049661.4671628,0
CTAS.US,D,20000125,000000,6.70708,6.70708,6.19227,6.50866,10970963.044823,0
CTAS.US,D,20000126,000000,6.50866,6.69856,6.48305,6.57027,4708934.2766163,0
CTAS.US,D,20000127,000000,6.57854,6.71516,6.47502,6.55099,3753521.7827844,0
CTAS.US,D,20000128,000000,6.46651,6.61165,6.14715,6.18109,9748659.0136711,0
CTAS.US,D,20000131,000000,6.25073,6.4913,6.22541,6.4538,6719853.3427326,0
CTAS.US,D,20000201,000000,6.48744,6.52567,6.3333,6.40489,3583878.8057484,0
CTAS.US,D,20000202,000000,6.48744,6.66133,6.38612,6.65253,5872332.3862252,0
CTAS.US,D,20000203,000000,6.61629,6.86806,6.52154,6.74775,4762173.7983461,0
CTAS.US,D,20000204,000000,6.72172,6.96305,6.68641,6.84226,3821674.6118499,0
CTAS.US,D,20000207,000000,6.84226,6.87684,6.23609,6.2892,5635957.2861639,0
CTAS.US,D,20000208,000000,6.46257,6.47916,5.68279,6.04592,12219533.713373,0
CTAS.US,D,20000209,000000,6.02885,6.03715,5.75193,5.8983,21430870.205564,0
CTAS.US,D,20000210,000000,5.83864,5.83864,5.50938,5.57904,14633637.656679,0
CTAS.US,D,20000211,000000,5.58752,5.59588,5.33572,5.3784,13358089.997711,0
CTAS.US,D,20000214,000000,5.43072,5.64674,5.29996,5.52181,9702518.9160566,0
CTAS.US,D,20000215,000000,5.40562,5.71591,5.32746,5.64674,8195564.5220813,0
CTAS.US,D,20000216,000000,5.59588,5.61265,5.43923,5.46481,4136829.093671,0
CTAS.US,D,20000217,000000,5.54322,5.63793,5.43923,5.62093,4251824.1611977,0
CTAS.US,D,20000218,000000,5.68279,5.69106,5.12697,5.1794,8788984.401718,0
CTAS.US,D,20000222,000000,5.10142,5.11824,4.81598,5.05003,15513103.968658,0
CTAS.US,D,20000223,000000,5.04151,5.19643,4.95513,5.04151,7521956.872905,0
CTAS.US,D,20000224,000000,5.10998,5.29996,4.98914,5.29148,7472265.0101895,0
CTAS.US,D,20000225,000000,5.28287,5.6657,5.27461,5.3233,6972558.3500832,0
CTAS.US,D,20000228,000000,5.19643,5.51767,5.01474,5.36127,6383408.8007406,0
CTAS.US,D,20000229,000000,5.36127,5.59588,5.25732,5.53422,4738756.7852022,0
CTAS.US,D,20000301,000000,5.55981,5.74344,5.24953,5.64674,5163227.6164761,0
CTAS.US,D,20000302,000000,5.59588,5.8194,5.54322,5.62093,3986345.1177448,0
CTAS.US,D,20000303,000000,5.75193,5.92488,5.62967,5.71591,5303056.2970998,0
CTAS.US,D,20000306,000000,5.66989,5.70179,5.57904,5.62093,4689779.3815939,0
CTAS.US,D,20000307,000000,5.61265,5.65722,5.52593,5.54322,6220861.141733,0
CTAS.US,D,20000308,000000,5.61265,5.61265,5.26145,5.54736,5854594.0911555,0
CTAS.US,D,20000309,000000,5.52181,5.71591,5.45606,5.6657,6886663.1198616,0
CTAS.US,D,20000310,000000,5.61265,5.95044,5.58752,5.75634,6048134.4934936,0
