<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXC.US,D,20000103,000000,7.18751,7.2172,6.87515,7.05892,2024013.1295564,0
EXC.US,D,20000104,000000,6.98086,7.11217,6.90485,7.00646,1964887.673704,0
EXC.US,D,20000105,000000,7.00646,7.44661,7.00646,7.34159,2283909.0560062,0
EXC.US,D,20000106,000000,7.26977,7.50064,7.16132,7.35614,1928704.9580951,0
EXC.US,D,20000107,000000,7.37413,7.78604,7.29459,7.35614,5927307.5027351,0
EXC.US,D,20000110,000000,7.6734,7.85033,7.61877,7.80128,2251252.292402,0
EXC.US,D,20000111,000000,7.76044,7.85033,7.73621,7.74598,2149764.2375721,0
EXC.US,D,20000112,000000,7.71139,7.89107,7.6734,7.81506,3049481.7688538,0
EXC.US,D,20000113,000000,7.85033,8.08462,7.78604,8.04594,2428198.7906292,0
EXC.US,D,20000114,000000,7.99543,8.12673,7.93328,8.02171,2294499.1940013,0
EXC.US,D,20000118,000000,7.97334,8.0092,7.76044,7.85033,2000632.3319956,0
EXC.US,D,20000119,000000,7.88413,8.03557,7.85033,7.99543,2300676.0068746,0
EXC.US,D,20000120,000000,7.94226,7.95467,7.76044,7.88413,2121088.8827629,0
EXC.US,D,20000121,000000,7.97334,8.13915,7.82757,8.10045,7934120.7415977,0
EXC.US,D,20000124,000000,8.10045,8.54413,8.07553,8.46674,5749488.983867,0
EXC.US,D,20000125,000000,8.44945,8.44945,8.27056,8.33407,5576518.7769426,0
EXC.US,D,20000126,000000,8.31052,8.57177,8.21721,8.51658,3393208.3556526,0
EXC.US,D,20000127,000000,8.54413,8.78947,8.52957,8.75087,20350885.081453,0
EXC.US,D,20000128,000000,8.71208,8.85521,8.58077,8.58077,7580667.8494573,0
EXC.US,D,20000131,000000,8.59327,8.7025,8.44945,8.7025,6557413.0372096,0
EXC.US,D,20000201,000000,8.67476,8.7749,8.5877,8.66234,6058355.214996,0
EXC.US,D,20000202,000000,8.66234,8.81575,8.64779,8.68443,2382749.3204626,0
EXC.US,D,20000203,000000,8.73836,9.1074,8.73836,9.06597,3894914.9917381,0
EXC.US,D,20000204,000000,9.05219,9.06597,8.94638,8.96152,12882298.495316,0
EXC.US,D,20000207,000000,8.87867,8.93328,8.75087,8.75087,2550429.0641322,0
EXC.US,D,20000208,000000,8.76533,8.85521,8.76533,8.8303,2444964.7179994,0
