<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAST.US,D,20000103,000000,0.967179,0.973358,0.908196,0.917748,5435839,0
FAST.US,D,20000104,000000,0.910733,0.918581,0.863849,0.864584,4865091,0
FAST.US,D,20000105,000000,0.863849,0.907225,0.859558,0.901137,11138622,0
FAST.US,D,20000106,000000,0.905653,0.915951,0.892553,0.901137,4128657,0
FAST.US,D,20000107,000000,0.901137,0.91341,0.896893,0.900352,13794415,0
FAST.US,D,20000110,000000,0.902058,0.902058,0.875155,0.876904,7442642,0
FAST.US,D,20000111,000000,0.875155,0.892553,0.875155,0.883876,13642548,0
FAST.US,D,20000112,000000,0.878566,0.886414,0.862138,0.866477,11138622,0
FAST.US,D,20000113,000000,0.866477,1.05333,0.866477,1.00027,34953221,0
FAST.US,D,20000114,000000,1.00027,1.00544,0.969819,0.971656,14498628,0
FAST.US,D,20000118,000000,0.969819,0.983662,0.959333,0.960251,7925919,0
FAST.US,D,20000119,000000,0.985499,1.08026,0.981156,1.03498,21936674,0
FAST.US,D,20000120,000000,1.05855,1.08975,1.04366,1.05508,27501387,0
FAST.US,D,20000121,000000,1.05411,1.06897,1.04366,1.05935,19920666,0
FAST.US,D,20000124,000000,1.05676,1.05935,0.983662,0.995964,7378203,0
FAST.US,D,20000125,000000,1.00027,1.02989,0.991597,1.0176,8174460,0
FAST.US,D,20000126,000000,1.01849,1.06545,1.0176,1.06205,8119252,0
FAST.US,D,20000127,000000,1.05411,1.08377,1.02714,1.06545,10452818,0
FAST.US,D,20000128,000000,1.06545,1.06545,1.01069,1.01421,11354962,0
FAST.US,D,20000131,000000,1.02714,1.02714,0.938613,0.945442,17145218,0
FAST.US,D,20000201,000000,0.94811,1.01333,0.94811,0.976869,9200880,0
FAST.US,D,20000202,000000,0.978573,1.04807,0.976869,1.03414,11760006,0
FAST.US,D,20000203,000000,1.02893,1.07587,1.02893,1.04807,7617533,0
FAST.US,D,20000204,000000,1.04032,1.07153,1.03321,1.06376,2927330,0
FAST.US,D,20000207,000000,1.06205,1.06808,1.04032,1.06115,5090631,0
FAST.US,D,20000208,000000,1.06545,1.0732,1.03321,1.06115,7981156,0
FAST.US,D,20000209,000000,1.05508,1.05935,1.03498,1.03498,6048023,0
FAST.US,D,20000210,000000,1.02989,1.02989,0.996799,1.0176,12864668,0
FAST.US,D,20000211,000000,1.01333,1.0176,1.00284,1.00544,5224119,0
FAST.US,D,20000214,000000,1.00728,1.02029,1.00284,1.01683,4731619,0
FAST.US,D,20000215,000000,1.01683,1.01683,0.988976,0.993338,13513659,0
FAST.US,D,20000216,000000,0.978573,0.988126,0.967179,0.967179,6172296,0
FAST.US,D,20000217,000000,0.967179,0.985499,0.937731,0.969819,5946734,0
FAST.US,D,20000218,000000,0.969819,0.981156,0.954208,0.955175,7240120,0
FAST.US,D,20000222,000000,0.951579,0.954208,0.905653,0.915951,7631357,0
FAST.US,D,20000223,000000,0.908196,0.945442,0.903811,0.939443,6278141,0
FAST.US,D,20000224,000000,0.945442,0.945442,0.908196,0.910733,6356385,0
FAST.US,D,20000225,000000,0.910733,0.936855,0.908196,0.908196,5721199,0
FAST.US,D,20000228,000000,0.905653,0.910733,0.873349,0.905653,9845274,0
FAST.US,D,20000229,000000,0.911656,0.969819,0.901137,0.955175,8938536,0
FAST.US,D,20000301,000000,0.940267,0.990767,0.930766,0.982076,8188285,0
FAST.US,D,20000302,000000,0.980335,0.982076,0.918581,0.918581,9481637,0
FAST.US,D,20000303,000000,0.926287,0.962002,0.918581,0.959333,12022378,0
FAST.US,D,20000306,000000,0.951579,0.954208,0.918581,0.936855,8666960,0
FAST.US,D,20000307,000000,0.937731,0.940267,0.883876,0.887199,6770639,0
FAST.US,D,20000308,000000,0.889046,0.896893,0.879443,0.889046,5569319,0
FAST.US,D,20000309,000000,0.896893,0.896893,0.883876,0.887199,8538099,0
FAST.US,D,20000310,000000,0.887199,0.887199,0.822128,0.822128,15994533,0
FAST.US,D,20000313,000000,0.823878,0.827385,0.789082,0.816031,10010964,0
FAST.US,D,20000314,000000,0.822128,0.832604,0.771732,0.771732,14300708,0
FAST.US,D,20000315,000000,0.786497,0.859558,0.774313,0.850832,33503368,0
FAST.US,D,20000316,000000,0.883876,0.962002,0.883876,0.952452,48103273,0
FAST.US,D,20000317,000000,0.908196,0.971656,0.889046,0.944557,15313325,0
FAST.US,D,20000320,000000,0.958587,0.960251,0.922088,0.929933,15607898,0
FAST.US,D,20000321,000000,0.929933,0.995148,0.918581,0.991597,13697772,0
FAST.US,D,20000322,000000,0.991597,1.02205,0.981156,1.01849,26309279,0
FAST.US,D,20000323,000000,1.00027,1.01849,0.967179,0.991597,10517264,0
FAST.US,D,20000324,000000,0.995964,1.02205,0.995148,1.01849,2361208,0
FAST.US,D,20000327,000000,1.03245,1.0377,0.973358,0.973358,3267954,0
