<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GT.US,D,20000103,000000,21.892,22.428,21.163,21.205,1942465,0
GT.US,D,20000104,000000,21.261,21.839,20.965,21.357,1541871,0
GT.US,D,20000105,000000,21.357,21.696,20.674,20.674,1628880,0
GT.US,D,20000106,000000,20.769,21.357,20.674,20.816,1425216,0
GT.US,D,20000107,000000,21.065,22.186,20.574,21.599,1694674,0
GT.US,D,20000110,000000,22.622,22.622,21.553,21.839,1551074,0
GT.US,D,20000111,000000,21.839,21.936,21.501,21.742,1523789,0
GT.US,D,20000112,000000,21.839,22.721,21.839,22.186,2247960,0
GT.US,D,20000113,000000,22.232,22.428,21.936,21.936,1271171,0
GT.US,D,20000114,000000,22.037,22.133,21.405,21.458,1743623,0
GT.US,D,20000118,000000,21.553,21.992,21.458,21.501,1230080,0
GT.US,D,20000119,000000,21.742,22.186,21.261,21.261,2842005,0
GT.US,D,20000120,000000,21.065,21.11,20.376,20.376,1915180,0
GT.US,D,20000121,000000,20.376,20.432,19.116,19.7,3746828,0
GT.US,D,20000124,000000,20.04,20.084,19.549,19.549,1179892,0
GT.US,D,20000125,000000,19.745,19.846,18.819,18.819,1355043,0
GT.US,D,20000126,000000,18.918,19.409,18.918,19.018,1050778,0
GT.US,D,20000127,000000,19.116,19.409,19.018,19.354,724957,0
GT.US,D,20000128,000000,19.21,19.255,17.991,18.285,1852534,0
GT.US,D,20000131,000000,18.135,18.529,17.752,18.529,1689733,0
GT.US,D,20000201,000000,18.481,19.116,18.135,18.723,1374804,0
GT.US,D,20000202,000000,18.678,18.723,17.652,18.135,1137680,0
GT.US,D,20000203,000000,17.752,18.135,17.504,17.752,1946391,0
GT.US,D,20000204,000000,17.794,17.941,17.359,17.359,1029781,0
GT.US,D,20000207,000000,17.652,18.285,17.304,17.941,1523789,0
GT.US,D,20000208,000000,18.135,18.285,17.209,17.209,1854441,0
GT.US,D,20000209,000000,17.261,18.678,17.261,17.752,3230815,0
GT.US,D,20000210,000000,18.034,18.427,17.6,17.941,2483627,0
GT.US,D,20000211,000000,17.941,18.034,17.067,17.067,2147141,0
GT.US,D,20000214,000000,17.102,18.293,17.102,17.404,2161287,0
GT.US,D,20000215,000000,17.404,19.87,17.351,18.882,2948217,0
GT.US,D,20000216,000000,19.968,19.968,18.688,18.934,2141863,0
GT.US,D,20000217,000000,19.282,19.282,18.491,18.491,935586,0
GT.US,D,20000218,000000,18.534,19.229,18.088,18.688,1942913,0
GT.US,D,20000222,000000,18.74,20.121,18.587,19.282,1736326,0
GT.US,D,20000223,000000,19.382,19.675,19.078,19.078,1307435,0
GT.US,D,20000224,000000,19.078,19.621,18.534,18.534,1811664,0
GT.US,D,20000225,000000,18.74,19.326,18.088,18.088,1386253,0
GT.US,D,20000228,000000,18.143,18.491,17.894,17.991,1162154,0
GT.US,D,20000229,000000,17.697,18.143,17.447,18.088,1587336,0
GT.US,D,20000301,000000,17.894,17.991,17.102,17.102,2038572,0
GT.US,D,20000302,000000,17.794,17.894,17.209,17.752,1274989,0
GT.US,D,20000303,000000,17.547,18.293,17.304,17.447,1083339,0
GT.US,D,20000306,000000,17.404,17.644,17.004,17.057,1055717,0
GT.US,D,20000307,000000,17.004,17.057,16.413,16.413,1546470,0
GT.US,D,20000308,000000,16.61,17.209,16.316,16.363,1697930,0
GT.US,D,20000309,000000,16.211,17.057,16.114,16.316,1226035,0
GT.US,D,20000310,000000,16.514,17.209,16.211,16.514,1466642,0
GT.US,D,20000313,000000,16.211,16.61,16.211,16.265,1297332,0
GT.US,D,20000314,000000,16.316,16.514,16.114,16.114,1143629,0
GT.US,D,20000315,000000,16.211,17.697,16.166,17.351,1413873,0
GT.US,D,20000316,000000,18.882,19.134,17.991,18.189,2560533,0
GT.US,D,20000317,000000,18.293,19.727,18.243,18.534,1840179,0
GT.US,D,20000320,000000,18.978,19.134,18.437,18.437,936255,0
GT.US,D,20000321,000000,18.341,19.382,18.189,18.785,1187530,0
GT.US,D,20000322,000000,18.785,19.134,18.437,18.534,759540,0
GT.US,D,20000323,000000,18.491,18.882,18.341,18.635,656580,0
GT.US,D,20000324,000000,18.635,19.185,18.534,19.078,953886,0
GT.US,D,20000327,000000,18.978,19.078,18.688,19.035,943894,0
GT.US,D,20000328,000000,18.688,18.785,18.243,18.243,997671,0
GT.US,D,20000329,000000,18.189,18.243,17.849,17.991,1294641,0
GT.US,D,20000330,000000,18.088,18.837,17.991,18.534,1058752,0
GT.US,D,20000331,000000,18.491,18.534,18.088,18.437,1456765,0
GT.US,D,20000403,000000,18.534,20.174,18.143,20.022,1889470,0
GT.US,D,20000404,000000,20.565,21.405,20.367,20.913,4070739,0
GT.US,D,20000405,000000,21.057,21.501,20.86,21.011,1335506,0
GT.US,D,20000406,000000,21.011,21.501,20.816,20.958,925592,0
GT.US,D,20000407,000000,20.958,21.011,19.827,19.827,948833,0
GT.US,D,20000410,000000,20.174,22.544,19.968,22.544,2650802,0
GT.US,D,20000411,000000,23.14,23.575,22.293,22.988,3630851,0
GT.US,D,20000412,000000,23.14,23.478,22.641,22.934,1812789,0
GT.US,D,20000413,000000,23.727,25.011,23.087,23.63,2984819,0
GT.US,D,20000414,000000,23.826,24.173,21.802,21.802,2648448,0
GT.US,D,20000417,000000,22.293,23.337,22.195,22.641,1633370,0
GT.US,D,20000418,000000,22.544,23.034,22.346,22.738,1200667,0
GT.US,D,20000419,000000,22.793,23.337,22.346,22.544,827243,0
GT.US,D,20000420,000000,22.586,22.838,22.293,22.793,864852,0
GT.US,D,20000424,000000,22.586,23.184,22.346,22.934,970612,0
GT.US,D,20000425,000000,23.63,23.683,23.087,23.435,1314958,0
GT.US,D,20000426,000000,23.382,23.727,23.184,23.281,692621,0
GT.US,D,20000427,000000,23.087,23.281,22.738,22.988,957142,0
GT.US,D,20000428,000000,22.934,22.988,21.553,21.849,1552871,0
GT.US,D,20000501,000000,22.251,22.641,22.151,22.293,1645721,0
GT.US,D,20000502,000000,22.293,23.281,22.195,22.641,818930,0
GT.US,D,20000503,000000,22.446,22.695,22.346,22.446,731357,0
GT.US,D,20000504,000000,22.446,22.641,22.346,22.544,530387,0
GT.US,D,20000505,000000,22.346,22.446,21.655,21.655,628062,0
GT.US,D,20000508,000000,22.251,22.738,22.151,22.151,752016,0
GT.US,D,20000509,000000,22.151,22.889,22.151,22.151,958936,0
GT.US,D,20000510,000000,22.151,22.39,21.458,21.553,732479,0
GT.US,D,20000511,000000,21.599,22.544,21.501,22.293,593369,0
GT.US,D,20000512,000000,22.482,22.586,21.786,21.936,920537,0
GT.US,D,20000515,000000,21.786,21.839,20.834,20.884,1162268,0
GT.US,D,20000516,000000,20.487,20.94,20.183,20.432,1722516,0
GT.US,D,20000517,000000,20.487,20.94,20.487,20.487,1160019,0
GT.US,D,20000518,000000,20.487,20.54,19.735,20.14,1057401,0
GT.US,D,20000519,000000,20.14,20.292,19.391,19.436,836893,0
GT.US,D,20000522,000000,19.641,19.836,19.282,19.282,847561,0
GT.US,D,20000523,000000,19.791,20.582,19.585,20.14,1178434,0
GT.US,D,20000524,000000,20.237,21.083,20.237,20.638,791649,0
GT.US,D,20000525,000000,20.385,20.54,19.986,19.986,756168,0
GT.US,D,20000526,000000,20.183,20.292,19.237,19.237,865303,0
GT.US,D,20000530,000000,19.585,20.789,19.585,20.084,1576447,0
GT.US,D,20000531,000000,19.986,20.54,19.889,19.889,1307883,0
GT.US,D,20000601,000000,20.183,21.232,20.14,20.94,1146213,0
GT.US,D,20000602,000000,21.786,22.284,21.232,22.232,1603395,0
GT.US,D,20000605,000000,22.631,22.685,22.232,22.482,1291832,0
GT.US,D,20000606,000000,22.436,22.482,21.786,22.037,1482586,0
GT.US,D,20000607,000000,21.983,22.089,21.687,21.936,812532,0
GT.US,D,20000608,000000,21.936,22.482,21.936,22.133,757518,0
GT.US,D,20000609,000000,22.133,22.186,21.636,21.687,872485,0
GT.US,D,20000612,000000,21.732,21.786,21.232,21.232,945241,0
GT.US,D,20000613,000000,21.232,21.786,21.232,21.636,894719,0
