<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HAS.US,D,20000103,000000,12.9692,13.0565,12.6662,12.7073,1283004.0499714,0
HAS.US,D,20000104,000000,12.6662,12.7917,11.8463,11.8904,2225686.7595759,0
HAS.US,D,20000105,000000,11.8463,11.8463,11.2873,11.3314,2740005.9993411,0
HAS.US,D,20000106,000000,11.3314,11.3314,10.9019,11.0304,4715227.640708,0
HAS.US,D,20000107,000000,11.0304,11.5452,10.9441,11.4168,3462644.0589657,0
HAS.US,D,20000110,000000,11.4168,12.0199,11.4168,11.9327,1907130.4525251,0
HAS.US,D,20000111,000000,11.8904,12.0199,11.6316,11.6316,2243547.2617559,0
HAS.US,D,20000112,000000,11.7189,11.9758,11.6747,11.8031,1048172.3521973,0
HAS.US,D,20000113,000000,11.76,11.9758,11.7189,11.7189,1001706.4941994,0
HAS.US,D,20000114,000000,11.76,11.8031,11.3737,11.3737,1163986.7212856,0
HAS.US,D,20000118,000000,11.2432,11.5452,11.2432,11.2873,817383.86830524,0
HAS.US,D,20000119,000000,11.2873,11.3737,10.9441,11.0304,2383078.4198651,0
HAS.US,D,20000120,000000,11.0746,11.0746,10.5999,10.6862,2093961.6045605,0
HAS.US,D,20000121,000000,10.7706,11.1148,10.642,10.6862,2416283.7600012,0
HAS.US,D,20000124,000000,10.7303,11.0746,10.6862,10.9019,1737042.182893,0
HAS.US,D,20000125,000000,10.8568,10.9441,10.3871,10.5999,1636020.979955,0
HAS.US,D,20000126,000000,10.4715,10.8147,10.3871,10.8147,1774715.9626839,0
HAS.US,D,20000127,000000,10.5558,10.9441,10.5558,10.6862,777055.74154466,0
HAS.US,D,20000128,000000,10.9441,10.9441,10.5087,10.7303,851984.19371014,0
HAS.US,D,20000131,000000,10.7303,10.9441,10.3803,10.3803,1772904.929177,0
HAS.US,D,20000201,000000,10.4636,10.642,10.3342,10.5558,1458394.8951864,0
HAS.US,D,20000202,000000,10.642,11.4168,10.5999,10.8568,2152846.7064093,0
HAS.US,D,20000203,000000,10.8568,11.5893,10.8568,11.3737,1958900.9255581,0
HAS.US,D,20000204,000000,11.5041,11.5893,10.8568,10.9854,1963921.0370186,0
HAS.US,D,20000207,000000,11.1148,11.3314,10.9441,11.1148,1505557.2260926,0
HAS.US,D,20000208,000000,11.4168,11.5893,10.7303,11.2432,3446174.4631502,0
HAS.US,D,20000209,000000,11.2432,11.2873,10.5558,10.9019,1360163.662786,0
HAS.US,D,20000210,000000,10.7303,10.7706,10.29,10.3803,2653075.3712888,0
HAS.US,D,20000211,000000,10.4194,10.5999,9.94772,10.4194,2772653.5493151,0
HAS.US,D,20000214,000000,10.5558,11.1589,10.5558,10.9441,2866975.1519491,0
HAS.US,D,20000215,000000,11.0304,11.2873,10.9441,10.9854,2213822.2467091,0
HAS.US,D,20000216,000000,10.9854,11.1589,10.8147,10.9441,2045128.9623456,0
HAS.US,D,20000217,000000,10.9441,11.0304,10.6862,10.7303,1350534.3894725,0
HAS.US,D,20000218,000000,10.6862,11.203,10.5558,10.642,2304660.4650755,0
HAS.US,D,20000222,000000,10.6862,10.9441,10.5087,10.7303,1527324.2988607,0
HAS.US,D,20000223,000000,10.6862,10.6862,10.3342,10.4194,1192862.3045131,0
HAS.US,D,20000224,000000,10.4194,10.4636,9.98997,10.0341,1734808.9827917,0
HAS.US,D,20000225,000000,10.0772,11.1148,10.0341,11.0746,3801706.0376315,0
HAS.US,D,20000228,000000,11.0304,11.1148,10.5999,10.9019,2518007.554204,0
HAS.US,D,20000229,000000,10.9019,11.1148,10.8147,10.9019,1843644.346632,0
HAS.US,D,20000301,000000,10.9019,11.0304,10.642,10.642,2291405.0458442,0
HAS.US,D,20000302,000000,10.642,10.7706,10.5087,10.5558,1876432.618804,0
HAS.US,D,20000303,000000,10.5558,10.8147,10.5087,10.8147,1287186.9663254,0
HAS.US,D,20000306,000000,10.642,10.642,10.5087,10.5999,1264448.0946091,0
HAS.US,D,20000307,000000,10.5558,10.5558,9.94772,10.0341,2150617.5852123,0
HAS.US,D,20000308,000000,9.94772,9.98997,9.51922,9.77616,2172941.4284166,0
HAS.US,D,20000309,000000,9.86049,10.1605,9.64769,10.1204,997240.09399684,0
HAS.US,D,20000310,000000,9.73202,10.1605,9.6879,9.94772,1292770.9863047,0
HAS.US,D,20000313,000000,9.94772,10.2056,9.8193,10.0341,988310.35276992,0
HAS.US,D,20000314,000000,10.0341,10.2056,9.94772,10.0772,1246025.7233627,0
HAS.US,D,20000315,000000,10.0772,10.4636,10.0772,10.3803,1512954.3190308,0
HAS.US,D,20000316,000000,10.3803,10.8568,10.3803,10.7303,2094942.5810432,0
HAS.US,D,20000317,000000,10.7303,10.9441,10.6862,10.8568,1266954.5812982,0
HAS.US,D,20000320,000000,11.0304,11.1589,10.9019,11.0304,851984.19371014,0
HAS.US,D,20000321,000000,11.0304,11.2873,10.9854,11.1589,1340629.7901192,0
HAS.US,D,20000322,000000,11.1589,11.3314,11.1148,11.1589,1583136.9660496,0
