<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HON.US,D,20000103,000000,38.641,39.1898,37.8732,37.9959,3071907,0
HON.US,D,20000104,000000,37.7834,37.8252,36.2436,37.3132,3904655,0
HON.US,D,20000105,000000,37.3534,37.6955,36.6287,36.8011,4351236,0
HON.US,D,20000106,000000,37.1887,37.612,36.5042,37.5308,3491868,0
HON.US,D,20000107,000000,38.0371,39.7923,37.8252,39.5338,5766254,0
HON.US,D,20000110,000000,39.8378,40.1365,39.0625,39.7472,2145712,0
HON.US,D,20000111,000000,40.178,40.3471,39.3605,39.4554,3861811,0
HON.US,D,20000112,000000,39.7923,40.0466,39.5852,39.8378,2992065,0
HON.US,D,20000113,000000,40.178,40.2192,39.8771,40.1365,2257571,0
HON.US,D,20000114,000000,40.2192,40.5204,39.707,40.1365,3727284,0
HON.US,D,20000118,000000,40.0466,40.4795,38.596,39.5338,4656260,0
HON.US,D,20000119,000000,39.5338,39.5338,35.1745,36.3744,16685360,0
HON.US,D,20000120,000000,36.5042,37.0094,35.2199,35.4331,7593789,0
HON.US,D,20000121,000000,35.5184,35.6038,33.4694,34.3628,7406768,0
HON.US,D,20000124,000000,34.4561,34.4561,31.4989,32.0127,10154785,0
HON.US,D,20000125,000000,30.9868,32.1449,30.128,31.8819,7375908,0
HON.US,D,20000126,000000,32.1449,32.4845,30.9041,31.9308,6975690,0
HON.US,D,20000127,000000,31.5876,32.2723,29.9185,30.9868,6859437,0
HON.US,D,20000128,000000,30.2204,31.2455,30.0489,30.2611,4591629,0
HON.US,D,20000131,000000,30.2611,32.1824,30.2611,32.1824,4960994,0
HON.US,D,20000201,000000,32.1824,32.401,31.5876,31.8428,4168304,0
HON.US,D,20000202,000000,32.1824,32.8252,32.0127,32.3148,3800258,0
HON.US,D,20000203,000000,32.3148,32.8252,31.329,31.8428,3575361,0
HON.US,D,20000204,000000,31.8428,31.9718,30.9868,31.7583,5340154,0
HON.US,D,20000207,000000,31.4989,31.4989,29.8314,30.128,3884631,0
HON.US,D,20000208,000000,30.8161,31.4588,30.128,30.3004,6575909,0
HON.US,D,20000209,000000,29.8314,30.128,28.4631,29.3243,5420000,0
HON.US,D,20000210,000000,28.9829,29.7904,28.3814,28.9829,4632719,0
HON.US,D,20000211,000000,28.4631,29.7904,28.2985,28.2985,4737703,0
HON.US,D,20000214,000000,28.9829,30.0915,28.5494,28.5494,4747508,0
HON.US,D,20000215,000000,28.72,31.2455,28.6425,31.0355,4986147,0
HON.US,D,20000216,000000,31.0355,31.0355,30.008,30.1735,3990491,0
HON.US,D,20000217,000000,31.1167,31.5406,30.5636,31.2455,3487480,0
HON.US,D,20000218,000000,31.0739,31.2001,29.5794,29.8314,3498590,0
HON.US,D,20000222,000000,29.665,31.8009,28.9334,31.8009,3611471,0
HON.US,D,20000223,000000,31.8009,31.8009,29.5794,30.392,3207603,0
HON.US,D,20000224,000000,30.392,30.9868,28.6425,30.7752,5123159,0
HON.US,D,20000225,000000,30.7752,31.4588,29.8783,31.329,3761655,0
HON.US,D,20000228,000000,31.3769,32.7832,30.5636,32.3148,4252824,0
HON.US,D,20000229,000000,32.9558,33.5488,32.1824,32.401,3907881,0
HON.US,D,20000301,000000,32.9558,33.4275,31.329,32.401,3331893,0
HON.US,D,20000302,000000,32.401,32.401,30.2611,30.8579,3333064,0
HON.US,D,20000303,000000,31.0355,32.5646,30.0915,30.6019,4617365,0
HON.US,D,20000306,000000,30.7752,30.7752,29.6169,29.8314,3372546,0
HON.US,D,20000307,000000,29.2791,29.3635,27.6979,28.1193,4634473,0
HON.US,D,20000308,000000,28.0399,29.0241,27.1438,28.72,6370169,0
HON.US,D,20000309,000000,29.8783,30.3527,28.8072,29.6169,6842186,0
HON.US,D,20000310,000000,30.6019,30.6925,29.5371,30.5157,4735660,0
HON.US,D,20000313,000000,30.1735,30.5636,29.5371,30.008,3120887,0
HON.US,D,20000314,000000,30.0489,30.9449,29.7904,30.2611,3410857,0
HON.US,D,20000315,000000,29.7083,31.2873,29.2791,30.9041,5844051,0
HON.US,D,20000316,000000,32.2233,33.8517,31.329,33.4694,5814072,0
HON.US,D,20000317,000000,32.6963,33.3798,31.5406,31.5406,6382456,0
HON.US,D,20000320,000000,32.1449,33.5488,31.1167,31.9718,4986290,0
HON.US,D,20000321,000000,31.6284,33.641,31.5876,33.641,4485321,0
HON.US,D,20000322,000000,33.2073,33.2073,31.1167,31.1167,4192139,0
HON.US,D,20000323,000000,31.4588,32.059,30.8579,31.1167,4772071,0
HON.US,D,20000324,000000,31.1575,33.4275,30.9449,33.3798,4399630,0
HON.US,D,20000327,000000,32.7832,33.1681,31.6284,32.3148,4236742,0
HON.US,D,20000328,000000,31.8819,32.6963,31.3769,31.4989,3382343,0
HON.US,D,20000329,000000,31.3769,33.3798,31.3769,32.9558,3639846,0
HON.US,D,20000330,000000,32.9956,35.1405,32.9558,34.6668,7234948,0
HON.US,D,20000331,000000,35.6437,36.3292,34.4049,35.4331,5907076,0
HON.US,D,20000403,000000,37.0094,37.0094,35.8615,36.587,4873842,0
HON.US,D,20000404,000000,36.9301,37.1887,34.9193,36.1662,4165085,0
HON.US,D,20000405,000000,35.9851,36.9301,35.4778,35.4778,2774480,0
HON.US,D,20000406,000000,35.8207,36.1141,34.3237,35.091,2567720,0
HON.US,D,20000407,000000,34.8374,35.7326,34.6668,34.7462,1842294,0
HON.US,D,20000410,000000,34.7462,36.8872,34.4049,35.9851,3256148,0
HON.US,D,20000411,000000,36.5042,38.1682,36.4146,37.7415,4036555,0
HON.US,D,20000412,000000,37.2712,37.612,35.3025,35.5611,2889420,0
HON.US,D,20000413,000000,37.5308,38.3414,35.8207,37.3132,6297350,0
HON.US,D,20000414,000000,35.6437,37.7415,35.3486,36.4146,4687840,0
HON.US,D,20000417,000000,35.4778,37.1887,35.4778,37.0094,3212429,0
HON.US,D,20000418,000000,36.5042,36.9699,35.9043,36.1662,3256148,0
HON.US,D,20000419,000000,36.9699,37.4012,36.2866,36.5477,3244745,0
HON.US,D,20000420,000000,36.5477,38.3414,36.3744,38.3414,3214915,0
HON.US,D,20000424,000000,37.6955,39.2829,37.6955,37.8252,4158801,0
HON.US,D,20000425,000000,38.2536,39.323,37.8252,38.8979,3657100,0
HON.US,D,20000426,000000,39.0217,39.2829,36.9699,37.4856,3264486,0
HON.US,D,20000427,000000,36.5042,37.9566,36.3744,37.2313,3110072,0
