<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTC.US,D,20000103,000000,27.5675,28.935,27.5675,28.8153,86999257,0
INTC.US,D,20000104,000000,28.2713,29.1075,27.2372,27.4477,76913044,0
INTC.US,D,20000105,000000,27.4904,28.4412,26.6597,27.6928,78977440,0
INTC.US,D,20000106,000000,27.0701,27.6102,25.8716,26.0739,83171661,0
INTC.US,D,20000107,000000,25.6627,27.1554,25.6172,27.1554,61953626,0
INTC.US,D,20000110,000000,28.3983,28.895,27.8609,28.3983,80832902,0
INTC.US,D,20000111,000000,29.3128,30.593,29.2246,29.6831,159015878,0
INTC.US,D,20000112,000000,30.1028,31.3829,29.5598,30.2226,146721754,0
INTC.US,D,20000113,000000,30.6812,30.8074,29.5598,30.1399,114728567,0
INTC.US,D,20000114,000000,32.6296,35.2816,32.5413,34.1221,277994449,0
INTC.US,D,20000118,000000,33.2053,34.9912,33.2053,33.7918,153918655,0
INTC.US,D,20000119,000000,33.4594,33.7918,33.0862,33.129,68694652,0
INTC.US,D,20000120,000000,33.0425,33.3723,31.589,31.6743,105529383,0
INTC.US,D,20000121,000000,31.8006,32.5413,31.6743,32.4245,83755072,0
INTC.US,D,20000124,000000,33.8308,34.6988,32.5413,32.7093,112811609,0
INTC.US,D,20000125,000000,32.9156,33.7045,32.2499,33.6237,77460275,0
INTC.US,D,20000126,000000,33.3723,33.4985,31.9203,31.9677,74330061,0
INTC.US,D,20000127,000000,32.9156,33.4985,31.6354,32.5042,92685321,0
INTC.US,D,20000128,000000,32.2147,32.7093,30.8074,31.1369,81289678,0
INTC.US,D,20000131,000000,31.0125,32.7975,30.7674,32.7549,103194537,0
INTC.US,D,20000201,000000,32.5831,33.5783,32.004,33.5783,72438422,0
INTC.US,D,20000202,000000,33.4594,34.0833,33.0019,33.129,78512522,0
INTC.US,D,20000203,000000,33.6654,34.6605,33.3723,34.4936,84611044,0
INTC.US,D,20000204,000000,34.5753,35.8591,34.5334,34.6988,84351443,0
INTC.US,D,20000207,000000,34.7451,35.821,34.4936,35.7412,64536911,0
INTC.US,D,20000208,000000,36.0253,36.4467,35.7802,36.0253,57324939,0
INTC.US,D,20000209,000000,35.821,36.0744,34.617,34.6605,58213170,0
INTC.US,D,20000210,000000,34.5753,35.821,34.1603,35.654,65636194,0
INTC.US,D,20000211,000000,35.5286,36.0253,34.8647,35.0774,56917909,0
INTC.US,D,20000214,000000,35.1981,36.403,34.9912,36.403,51819782,0
INTC.US,D,20000215,000000,36.403,37.3982,34.8647,37.105,94629116,0
INTC.US,D,20000216,000000,36.8968,37.3982,35.4496,35.4878,69421279,0
INTC.US,D,20000217,000000,36.0744,37.2256,35.7412,36.4467,73370373,0
INTC.US,D,20000218,000000,36.4467,36.6119,34.826,34.9048,75933765,0
INTC.US,D,20000222,000000,34.7451,35.3643,33.6237,35.3643,69034752,0
INTC.US,D,20000223,000000,34.8647,36.8162,34.5334,36.1116,61570115,0
INTC.US,D,20000224,000000,37.2256,38.6003,36.521,37.8513,128663475,0
INTC.US,D,20000225,000000,37.7332,38.2225,37.3527,37.5199,69796641,0
INTC.US,D,20000228,000000,36.9824,37.9374,35.8591,37.2256,71489893,0
INTC.US,D,20000229,000000,37.4789,38.3088,36.8542,37.4381,66955276,0
INTC.US,D,20000301,000000,37.3982,38.7274,37.274,38.3953,61526398,0
INTC.US,D,20000302,000000,38.2225,38.7646,37.8103,38.345,54978938,0
INTC.US,D,20000303,000000,38.7646,39.6762,38.3088,39.5092,51685305,0
INTC.US,D,20000306,000000,39.0998,39.3911,38.6394,38.8825,42258788,0
INTC.US,D,20000307,000000,39.0126,39.7598,38.1425,38.345,60186510,0
INTC.US,D,20000308,000000,38.474,38.5549,37.1894,38.0621,69935636,0
INTC.US,D,20000309,000000,37.6462,39.2668,37.105,39.2175,57852270,0
INTC.US,D,20000310,000000,39.0543,39.9658,38.8825,39.8006,65573482,0
INTC.US,D,20000313,000000,39.343,41.5384,39.343,40.4227,101665918,0
INTC.US,D,20000314,000000,41.129,41.5866,39.0126,39.0543,85604496,0
INTC.US,D,20000315,000000,39.4275,40.7539,39.3003,39.8006,73711073,0
