<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INTU.US,D,20000103,000000,26.8257,27.1756,24.3107,27.1178,5632188.6569171,0
INTU.US,D,20000104,000000,25.7117,27.9647,25.5144,27.4037,7515813.9141977,0
INTU.US,D,20000105,000000,27.881,35.9822,27.6847,35.3087,25050855.809761,0
INTU.US,D,20000106,000000,33.0576,34.1846,31.5102,31.5102,9701332.2678299,0
INTU.US,D,20000107,000000,31.3377,33.6525,28.6652,33.1104,9483403.2359424,0
INTU.US,D,20000110,000000,33.7591,40.5141,32.9699,38.315,9327457.5006661,0
INTU.US,D,20000111,000000,37.3335,37.9831,35.6654,37.0813,6324861.3295676,0
INTU.US,D,20000112,000000,36.8034,36.8332,29.8799,32.0143,9268142.6449864,0
INTU.US,D,20000113,000000,33.1384,36.8034,33.0038,36.0092,8644117.8481971,0
INTU.US,D,20000114,000000,37.2817,38.6568,34.938,36.631,6532129.6438865,0
INTU.US,D,20000118,000000,36.605,36.605,33.9853,34.5523,3910304.6393803,0
INTU.US,D,20000119,000000,34.6619,35.1632,33.2858,33.5359,3947178.0975013,0
INTU.US,D,20000120,000000,33.9853,35.2558,33.3118,34.3819,4910424.0571657,0
INTU.US,D,20000121,000000,35.5597,35.6654,33.3636,34.0382,7080394.4020162,0
INTU.US,D,20000124,000000,34.0102,34.0382,30.3313,30.411,4951080.9008871,0
INTU.US,D,20000125,000000,31.5102,32.5225,30.6662,31.6546,5624196.38028,0
INTU.US,D,20000126,000000,32.0671,32.8613,29.5102,29.6009,3260730.4489568,0
INTU.US,D,20000127,000000,30.1839,31.9327,27.2044,28.8087,6811373.6077141,0
INTU.US,D,20000128,000000,28.3862,29.4285,25.4865,26.0017,7935902.1845177,0
INTU.US,D,20000131,000000,25.6041,27.4844,24.9853,27.1526,6767167.2056722,0
INTU.US,D,20000201,000000,27.9926,29.2083,26.6683,29.1794,4977738.2143365,0
INTU.US,D,20000202,000000,29.565,31.9615,29.4823,30.5575,6997977.812511,0
INTU.US,D,20000203,000000,31.1385,31.6546,29.4823,31.3377,5723718.4890316,0
INTU.US,D,20000204,000000,31.9515,32.5225,30.719,31.1663,4268632.4013128,0
INTU.US,D,20000207,000000,31.2311,31.2311,30.0762,30.411,3197645.2538338,0
INTU.US,D,20000208,000000,31.4842,32.409,30.8863,31.0607,4909758.7031464,0
INTU.US,D,20000209,000000,31.2032,31.6466,29.2352,29.3657,5734830.8043509,0
INTU.US,D,20000210,000000,28.9791,29.1146,27.4565,28.7011,6955771.4867294,0
INTU.US,D,20000211,000000,28.3862,28.7499,26.9553,27.4565,6062280.3191907,0
INTU.US,D,20000214,000000,27.6339,27.6339,26.5597,26.8995,3516870.6718579,0
INTU.US,D,20000215,000000,26.7331,27.4565,24.7581,25.8552,9935702.468495,0
INTU.US,D,20000216,000000,26.5597,28.3613,26.218,27.4844,8811396.6799152,0
INTU.US,D,20000217,000000,28.4421,29.0857,27.9089,28.9542,5032162.7681513,0
INTU.US,D,20000218,000000,29.6009,29.6009,26.9553,27.5403,4541879.147011,0
INTU.US,D,20000222,000000,27.2871,28.1879,26.8995,27.9647,5246766.0334924,0
INTU.US,D,20000223,000000,27.7614,30.6382,27.7375,30.411,8377756.4628715,0
INTU.US,D,20000224,000000,30.8863,32.7497,30.6104,32.5584,11797325.883361,0
INTU.US,D,20000225,000000,28.3613,28.5855,25.6589,26.3604,47560529.930686,0
INTU.US,D,20000228,000000,26.3604,26.7829,23.7148,24.1642,12484441.896576,0
INTU.US,D,20000229,000000,24.6485,24.7013,23.0661,23.631,12091681.311478,0
INTU.US,D,20000301,000000,23.6879,24.2559,21.4967,21.7139,17288683.279943,0
INTU.US,D,20000302,000000,21.9152,22.3367,20.4803,20.9586,11367243.253042,0
INTU.US,D,20000303,000000,23.0661,24.7581,22.2989,23.8035,13039599.039932,0
INTU.US,D,20000306,000000,24.9853,25.7675,24.228,24.784,10575052.485843,0
INTU.US,D,20000307,000000,25.3778,25.5503,22.7322,23.2634,7198133.9640316,0
INTU.US,D,20000308,000000,24.0805,24.2559,22.8488,23.1269,6104042.0720756,0
INTU.US,D,20000309,000000,22.7322,25.3778,22.5071,25.3142,11799330.977374,0
INTU.US,D,20000310,000000,24.8667,26.8337,24.7312,26.3036,10454202.92065,0
INTU.US,D,20000313,000000,25.8023,25.8552,24.0545,24.0805,7249678.3277474,0
INTU.US,D,20000314,000000,24.8667,25.2045,22.9575,22.9854,5417820.2224064,0
INTU.US,D,20000315,000000,23.8563,23.8563,21.975,22.536,6760054.0393231,0
INTU.US,D,20000316,000000,23.3003,23.8643,20.8171,23.384,11563848.842692,0
INTU.US,D,20000317,000000,24.2011,24.7581,23.631,24.5309,11947503.210034,0
INTU.US,D,20000320,000000,24.478,24.7013,22.5071,22.9575,4661617.7817361,0
INTU.US,D,20000321,000000,22.9575,23.8832,21.7139,23.8304,5527115.910034,0
INTU.US,D,20000322,000000,23.5753,23.8035,22.9575,23.6022,5956757.981658,0
INTU.US,D,20000323,000000,22.9575,25.5503,22.7871,25.1776,12015706.512999,0
INTU.US,D,20000324,000000,25.6041,27.5113,25.5503,26.8995,20204188.323041,0
INTU.US,D,20000327,000000,27.0101,27.6339,26.3036,26.5318,7269225.4854993,0
INTU.US,D,20000328,000000,26.3873,26.3873,25.1776,25.2344,4049814.2236317,0
INTU.US,D,20000329,000000,25.4347,25.4347,23.1797,23.384,7990102.9465582,0
INTU.US,D,20000330,000000,23.0123,24.1642,22.7322,22.9296,6284428.2776204,0
INTU.US,D,20000331,000000,23.4089,24.7581,22.9027,24.478,7024191.5566141,0
INTU.US,D,20000403,000000,23.8563,24.2011,22.0557,22.2012,5155907.5767006,0
INTU.US,D,20000404,000000,22.9296,23.6879,20.5341,23.2634,6721177.4942901,0
INTU.US,D,20000405,000000,22.5071,23.5125,21.1569,22.3367,5366947.2340132,0
INTU.US,D,20000406,000000,22.813,22.9575,21.5545,21.948,5073702.736363,0
INTU.US,D,20000407,000000,22.1394,22.9296,22.0029,22.6516,5643969.3369074,0
INTU.US,D,20000410,000000,21.3043,21.3043,18.0101,18.4534,20860424.082063,0
INTU.US,D,20000411,000000,18.5342,18.5342,16.8821,17.7779,17595246.900587,0
INTU.US,D,20000412,000000,18.2313,18.4534,16.2583,16.8532,10939605.271881,0
INTU.US,D,20000413,000000,16.9089,18.0619,15.8617,16.0361,9671343.1665309,0
INTU.US,D,20000414,000000,15.5837,18.0619,14.3501,14.4019,9386771.3527954,0
INTU.US,D,20000417,000000,14.2953,15.754,13.7283,15.2529,10993810.048123,0
INTU.US,D,20000418,000000,15.754,16.7106,14.8542,16.5482,9983244.672589,0
INTU.US,D,20000419,000000,16.8821,16.8821,15.502,15.7312,6850024.3538719,0
INTU.US,D,20000420,000000,15.781,15.9254,15.2529,15.754,5886559.620186,0
INTU.US,D,20000424,000000,15.502,15.5289,13.5051,14.2953,5292525.9317969,0
INTU.US,D,20000425,000000,15.0236,16.1795,14.657,16.0082,8130726.4719281,0
INTU.US,D,20000426,000000,16.0949,18.1137,15.9793,16.7106,10071883.275548,0
INTU.US,D,20000427,000000,16.4835,18.1515,15.3325,18.0101,6647647.3449684,0
INTU.US,D,20000428,000000,18.287,18.3488,15.9793,16.1795,8268013.1916955,0
INTU.US,D,20000501,000000,16.7106,17.1023,16.2065,16.2583,9088862.3521556,0
INTU.US,D,20000502,000000,16.4297,16.6538,15.3585,15.5289,4437242.9446201,0
INTU.US,D,20000503,000000,15.3325,15.3325,14.0102,14.4287,4761584.4633845,0
INTU.US,D,20000504,000000,14.8542,15.4771,14.4557,15.0805,4333501.9093263,0
INTU.US,D,20000505,000000,14.657,15.8617,14.6301,15.5837,3627727.8841524,0
INTU.US,D,20000508,000000,15.6106,15.6754,14.3769,14.4019,3705258.1859948,0
INTU.US,D,20000509,000000,14.5753,14.5753,13.253,14.2076,7896578.0559361,0
INTU.US,D,20000510,000000,14.1258,14.4557,13.2798,13.5967,3852769.0788384,0
INTU.US,D,20000511,000000,13.9544,13.9544,12.963,13.5319,10038113.799301,0
INTU.US,D,20000512,000000,13.6405,13.6755,12.7387,12.8563,10856967.901253,0
INTU.US,D,20000515,000000,13.0258,13.0536,12.2614,12.7109,8069856.1128847,0
INTU.US,D,20000516,000000,12.8285,12.9181,12.406,12.7757,6877132.2615214,0
INTU.US,D,20000517,000000,12.6929,13.0258,12.4319,12.6053,6168689.795416,0
INTU.US,D,20000518,000000,12.7109,12.7387,11.5948,11.7593,4912427.1440777,0
INTU.US,D,20000519,000000,11.7961,13.5051,11.7961,13.1104,13697387.291667,0
INTU.US,D,20000522,000000,13.3297,13.3954,11.9297,12.7387,19628152.310344,0
INTU.US,D,20000523,000000,12.7757,13.1662,12.0472,12.1778,9217265.6423911,0
INTU.US,D,20000524,000000,13.3197,16.2065,12.9988,15.781,30659503.177708,0
INTU.US,D,20000525,000000,15.8617,17.2777,14.1786,14.3769,14714840.034674,0
INTU.US,D,20000526,000000,14.6301,15.0805,14.3501,14.9958,7170367.7272166,0
INTU.US,D,20000530,000000,15.502,17.2507,15.4771,17.2149,6054282.0212503,0
INTU.US,D,20000531,000000,16.9339,17.1023,16.2583,16.3131,3942957.163858,0
INTU.US,D,20000601,000000,16.6538,17.5596,16.6,17.2777,4076023.9535325,0
INTU.US,D,20000602,000000,18.2313,18.6807,17.7231,18.4286,7270558.2006392,0
INTU.US,D,20000605,000000,18.4286,19.6343,18.287,19.1888,8183821.3212547,0
INTU.US,D,20000606,000000,18.7633,18.8271,17.3843,17.5048,6760942.1815662,0
INTU.US,D,20000607,000000,17.7779,18.0101,16.2065,16.9598,10282258.582392,0
INTU.US,D,20000608,000000,17.3016,17.3285,16.7106,16.7635,4687165.1682692,0
INTU.US,D,20000609,000000,17.1591,18.0619,16.9339,17.3564,6247997.3852951,0
INTU.US,D,20000612,000000,17.5048,17.5318,16.3789,16.4048,3128553.8086264,0
INTU.US,D,20000613,000000,16.4297,16.9598,16.2583,16.4297,4150670.0510738,0
INTU.US,D,20000614,000000,16.4835,16.8821,16.4546,16.629,4835561.1927042,0
INTU.US,D,20000615,000000,16.8004,17.3285,15.8358,17.2507,4098017.7675428,0
INTU.US,D,20000616,000000,16.9967,17.448,16.8272,17.1959,5598427.2090738,0
INTU.US,D,20000619,000000,17.2777,17.5318,16.4835,17.477,3393802.2563841,0
INTU.US,D,20000620,000000,17.477,17.5048,16.8272,17.0225,4189985.1477003,0
INTU.US,D,20000621,000000,16.7106,17.2777,16.3789,17.0783,4334165.2562447,0
INTU.US,D,20000622,000000,17.0783,18.0339,16.9089,16.9967,4212206.767687,0
INTU.US,D,20000623,000000,17.1023,17.3843,16.5482,16.6538,3268729.7504478,0
INTU.US,D,20000626,000000,16.9967,17.5048,16.3789,17.477,4535876.9111287,0
INTU.US,D,20000627,000000,17.6085,17.6623,16.9967,17.2777,5719945.1389368,0
INTU.US,D,20000628,000000,17.448,17.7779,16.8821,17.477,7042851.5756736,0
INTU.US,D,20000629,000000,17.3564,18.9049,17.2777,18.7375,12224305.535356,0
INTU.US,D,20000630,000000,18.9049,18.9049,17.9811,18.6259,6332640.8534865,0
INTU.US,D,20000703,000000,18.4814,18.5601,18.1137,18.1515,967465.88975716,0
INTU.US,D,20000705,000000,18.287,20.2282,18.0101,19.8366,8815619.6206596,0
INTU.US,D,20000706,000000,19.8087,20.2012,18.9577,20.1464,5378274.3091517,0
INTU.US,D,20000707,000000,20.2012,20.4803,19.8615,20.005,3709476.1089865,0
INTU.US,D,20000710,000000,19.8366,20.7882,19.4639,20.1464,3596848.6335092,0
INTU.US,D,20000711,000000,20.1006,20.7603,19.5526,19.6991,6947771.1816879,0
INTU.US,D,20000712,000000,19.9163,20.2581,18.5073,19.1072,5593986.4978585,0
INTU.US,D,20000713,000000,19.0892,19.7539,18.5601,19.2118,5548661.1369452,0
INTU.US,D,20000714,000000,19.5526,19.7807,18.8003,19.0135,4238862.0740352,0
INTU.US,D,20000717,000000,18.9298,18.9577,18.1785,18.4814,3750573.5114025,0
INTU.US,D,20000718,000000,18.2313,18.6259,17.7779,17.8048,3294719.7027765,0
INTU.US,D,20000719,000000,18.2313,18.7375,17.477,17.5846,6264438.5540727,0
INTU.US,D,20000720,000000,17.9253,18.2313,17.5048,17.5048,4811566.298883,0
INTU.US,D,20000721,000000,17.5418,17.7779,17.0505,17.0505,3614174.9338783,0
INTU.US,D,20000724,000000,17.187,17.5318,16.4835,16.7106,4237750.1400179,0
INTU.US,D,20000725,000000,16.8004,17.187,16.3789,16.8004,3288499.6964234,0
INTU.US,D,20000726,000000,16.8004,16.8272,15.1971,15.9524,6348631.428064,0
INTU.US,D,20000727,000000,15.7032,16.1507,15.3325,15.6106,2351690.2690858,0
INTU.US,D,20000728,000000,15.6484,16.2861,14.8542,14.908,3810772.4951232,0
INTU.US,D,20000731,000000,15.2239,15.502,14.5125,15.3037,4200655.9007743,0
INTU.US,D,20000801,000000,16.4835,16.8821,15.4771,15.754,7391630.5540549,0
INTU.US,D,20000802,000000,16.3519,18.3488,16.2313,17.6364,11786884.943365,0
INTU.US,D,20000803,000000,17.2777,17.6623,16.6538,17.5596,6108932.3739405,0
INTU.US,D,20000804,000000,18.0101,18.2313,17.187,17.5596,3825663.17829,0
INTU.US,D,20000807,000000,17.9811,18.9577,17.7779,18.6807,3673268.0048849,0
INTU.US,D,20000808,000000,18.7095,19.3543,18.6807,18.9846,2461212.7591392,0
INTU.US,D,20000809,000000,19.2456,19.3543,18.2313,18.2572,2149090.4719586,0
INTU.US,D,20000810,000000,18.1137,18.4534,17.8337,17.8985,1868291.0047674,0
INTU.US,D,20000811,000000,17.8985,18.5073,17.8337,18.4006,4620521.3828707,0
INTU.US,D,20000814,000000,18.5073,19.2456,17.9811,19.16,4450572.1031201,0
INTU.US,D,20000815,000000,19.2746,19.5795,18.9298,19.2456,3303607.1465106,0
INTU.US,D,20000816,000000,19.3832,21.4637,19.3543,21.4359,7246345.5363471,0
INTU.US,D,20000817,000000,21.0722,21.4359,20.3109,21.3542,4019820.1045799,0
