<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,D,20000103,000000,40.471,40.8992,38.6126,40.1865,77193325.494835,0
MSFT.US,D,20000104,000000,39.1545,40.378,38.702,38.8342,78484901.620581,0
MSFT.US,D,20000105,000000,38.3086,40.1274,37.7086,39.2409,92901040.975204,0
MSFT.US,D,20000106,000000,38.6796,39.2642,37.3658,37.927,79728621.758994,0
MSFT.US,D,20000107,000000,37.4495,38.702,36.9968,38.4194,89933866.773534,0
MSFT.US,D,20000110,000000,39.1098,39.1932,38.3971,38.702,65207479.974728,0
MSFT.US,D,20000111,000000,38.4398,39.3887,37.4707,37.7086,67788892.776219,0
MSFT.US,D,20000112,000000,37.4066,37.5358,36.0055,36.4823,96487167.923791,0
MSFT.US,D,20000113,000000,35.9812,37.4495,34.9907,37.1727,120577775.96378,0
MSFT.US,D,20000114,000000,36.9592,39.2798,36.4627,38.702,106470537.80036,0
MSFT.US,D,20000118,000000,38.5514,40.1635,38.5263,39.7546,118169820.00404,0
MSFT.US,D,20000119,000000,38.097,38.4398,36.5453,36.8882,141496155.52668,0
MSFT.US,D,20000120,000000,36.9105,37.8235,36.5066,36.5453,81720073.676776,0
MSFT.US,D,20000121,000000,36.8882,36.9746,35.5975,35.7667,99219104.427545,0
MSFT.US,D,20000124,000000,35.79,36.4356,34.7606,34.9084,92231028.316178,0
MSFT.US,D,20000125,000000,34.822,35.8114,34.3286,35.4444,86757289.156509,0
MSFT.US,D,20000126,000000,35.3239,35.6821,34.1732,34.2626,71590519.969051,0
MSFT.US,D,20000127,000000,34.4374,34.883,33.5304,34.0441,92313982.264439,0
MSFT.US,D,20000128,000000,33.8286,34.5616,33.5304,33.8802,84440116.21484,0
MSFT.US,D,20000131,000000,33.6587,33.8537,32.707,33.748,106148298.76609,0
MSFT.US,D,20000201,000000,33.9626,35.5975,33.6721,35.4889,101801086.74701,0
MSFT.US,D,20000202,000000,35.3239,35.8355,34.653,34.7606,72389009.908698,0
MSFT.US,D,20000203,000000,35.1909,35.92,34.5219,35.7297,71330926.881521,0
MSFT.US,D,20000204,000000,35.9812,37.236,35.8967,36.7435,80292465.145957,0
MSFT.US,D,20000207,000000,36.828,36.8531,35.9425,36.7579,58017540.124416,0
MSFT.US,D,20000208,000000,36.6969,37.927,36.6969,37.9028,81544885.623977,0
MSFT.US,D,20000209,000000,37.7349,37.7349,35.8114,35.859,79893074.449565,0
MSFT.US,D,20000210,000000,35.8114,36.7435,35.3375,36.5453,79077756.438276,0
MSFT.US,D,20000211,000000,36.159,36.159,34.1732,34.4547,167586916.85392,0
MSFT.US,D,20000214,000000,34.9084,35.083,34.153,34.3452,117509959.80098,0
MSFT.US,D,20000215,000000,34.3908,34.4782,33.8286,33.9869,103006230.02449,0
MSFT.US,D,20000216,000000,34.2228,34.5464,33.4867,33.6587,94558651.346157,0
MSFT.US,D,20000217,000000,33.9626,34.3703,33.4867,34.3452,116516265.26015,0
MSFT.US,D,20000218,000000,34.4782,34.5004,32.707,32.7809,114659394.66097,0
MSFT.US,D,20000222,000000,32.7954,33.4867,32.0031,32.348,96144621.917872,0
MSFT.US,D,20000223,000000,32.2389,33.0071,31.7389,32.4936,109995750.01324,0
MSFT.US,D,20000224,000000,32.4936,33.0575,31.7176,32.6691,101129051.4238,0
MSFT.US,D,20000225,000000,32.6468,32.6468,31.201,31.4788,94701936.093978,0
MSFT.US,D,20000228,000000,31.1185,31.7623,30.3787,31.5718,110408487.82153,0
MSFT.US,D,20000229,000000,31.6303,31.6303,30.6417,30.8097,84747573.528659,0
MSFT.US,D,20000301,000000,30.9018,32.4534,30.6651,31.31,155014599.64882,0
MSFT.US,D,20000302,000000,31.6543,32.8837,31.4167,32.1944,155076676.07759,0
MSFT.US,D,20000303,000000,32.6691,34.0917,32.3641,33.1373,147104189.70115,0
MSFT.US,D,20000306,000000,33.1031,33.5713,31.0719,31.2458,135754993.17981,0
MSFT.US,D,20000307,000000,33.1373,33.6168,31.6955,32.0235,195869262.62686,0
