<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MU.US,D,20000103,000000,38.3857,38.7522,35.9645,37.6716,6619232.0455091,0
MU.US,D,20000104,000000,37.086,37.6019,36.1528,36.2125,7278413.3303081,0
MU.US,D,20000105,000000,35.7773,37.086,34.7545,36.093,6819606.6571774,0
MU.US,D,20000106,000000,36.093,37.3539,35.5981,36.7095,6399101.3136418,0
MU.US,D,20000107,000000,36.591,36.591,33.7336,34.9736,9546239.4133172,0
MU.US,D,20000110,000000,35.8371,37.4535,35.2504,36.8968,6638987.1616363,0
MU.US,D,20000111,000000,36.828,38.078,35.5981,35.9058,5669163.0766964,0
MU.US,D,20000112,000000,36.332,37.8498,35.2804,36.7095,9391625.3819538,0
MU.US,D,20000113,000000,37.1457,38.6347,36.591,38.6347,8311937.7495474,0
MU.US,D,20000114,000000,38.2572,38.8817,35.9645,36.332,12326292.814867,0
MU.US,D,20000118,000000,36.4316,36.9565,35.7475,36.4914,9374086.2526776,0
MU.US,D,20000119,000000,36.4616,36.8968,35.4686,35.7773,10745064.20196,0
MU.US,D,20000120,000000,35.9058,36.1528,34.4767,34.6061,12097897.566565,0
MU.US,D,20000121,000000,35.4686,35.4686,32.3044,33.2954,15598616.600361,0
MU.US,D,20000124,000000,33.3851,35.2206,33.3851,34.4767,12048711.092678,0
MU.US,D,20000125,000000,34.1987,34.6061,31.9967,32.6809,17163316.180399,0
MU.US,D,20000126,000000,32.7108,33.6141,31.2518,31.5306,13250961.774903,0
MU.US,D,20000127,000000,31.6591,32.6212,31.5306,32.1262,7858575.1546703,0
MU.US,D,20000128,000000,31.6889,32.7407,29.2987,29.5158,13898250.831218,0
MU.US,D,20000131,000000,30.1423,31.0038,28.8903,30.8464,11262329.953676,0
MU.US,D,20000201,000000,30.8265,31.7477,30.0128,31.5007,8416761.8597665,0
MU.US,D,20000202,000000,32.2148,33.1371,31.5007,32.6809,12293837.192315,0
MU.US,D,20000203,000000,32.7407,34.2286,32.185,33.7336,9256765.4626456,0
MU.US,D,20000204,000000,33.8322,33.8322,32.4916,33.4249,8265371.9035179,0
MU.US,D,20000207,000000,33.4847,36.8081,33.4847,36.7095,14555012.302556,0
MU.US,D,20000208,000000,36.7394,37.8898,36.1528,37.7314,13326556.34583,0
MU.US,D,20000209,000000,37.7314,38.5052,36.332,36.332,12967936.978533,0
MU.US,D,20000210,000000,36.828,36.8569,34.6649,35.9058,11992670.823484,0
MU.US,D,20000211,000000,35.4686,36.591,34.3481,35.2804,9891554.8269323,0
MU.US,D,20000214,000000,33.9806,34.8441,33.2357,33.6141,7912800.0617325,0
MU.US,D,20000215,000000,34.6947,35.2206,32.4916,34.2286,12872990.928414,0
MU.US,D,20000216,000000,35.102,35.102,32.4916,32.8403,10587021.264799,0
MU.US,D,20000217,000000,32.9299,33.9508,32.2148,32.3632,13132833.711003,0
MU.US,D,20000218,000000,32.6212,32.6411,30.8464,31.3214,10751312.541867,0
MU.US,D,20000222,000000,31.9967,32.5514,31.3214,31.9967,9017685.8844478,0
MU.US,D,20000223,000000,32.2447,33.3353,31.7477,33.2357,8548395.6958159,0
MU.US,D,20000224,000000,33.6141,36.0243,32.7407,34.7844,13296318.718273,0
MU.US,D,20000225,000000,35.4686,37.0561,35.0024,36.5212,10628951.310515,0
MU.US,D,20000228,000000,36.828,39.4384,35.5283,38.7233,14320165.891809,0
MU.US,D,20000229,000000,39.1894,49.5771,39.1894,47.6231,45496434.069673,0
MU.US,D,20000301,000000,50.5999,55.4114,50.1618,50.4805,31554238.020283,0
MU.US,D,20000302,000000,49.607,49.6369,45.6382,48.3671,18426647.573139,0
MU.US,D,20000303,000000,46.9389,48.2376,45.2417,46.3821,12171073.328102,0
