<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NWL.US,D,20000103,000000,17.9937,18.1837,17.1402,17.2218,1473607.4809266,0
NWL.US,D,20000104,000000,17.0585,18.11,17.0585,17.6432,1742221.34627,0
NWL.US,D,20000105,000000,17.5271,17.8775,16.9846,17.3763,1315671.8643849,0
NWL.US,D,20000106,000000,17.2592,17.8775,17.1402,17.7181,2993147.5026747,0
NWL.US,D,20000107,000000,17.9543,18.3029,17.8371,18.3029,2596635.7631831,0
NWL.US,D,20000110,000000,18.3029,18.419,17.6077,17.9543,1914158.258616,0
NWL.US,D,20000111,000000,17.9543,18.5362,17.7181,17.7614,1216361.9220404,0
NWL.US,D,20000112,000000,17.9169,17.9937,17.1402,17.5271,1281548.1974627,0
NWL.US,D,20000113,000000,17.6432,17.7614,17.4915,17.5684,1891696.609779,0
NWL.US,D,20000114,000000,18.3029,18.5362,17.6864,17.8371,4086137.0010072,0
NWL.US,D,20000118,000000,17.7181,18.7705,17.7181,18.5362,3088526.7085494,0
NWL.US,D,20000119,000000,18.4603,18.5006,17.8371,18.3029,1576708.5946412,0
NWL.US,D,20000120,000000,18.227,19.2352,18.227,19.0411,2926354.1455425,0
NWL.US,D,20000121,000000,19.7027,19.7027,19.0411,19.2352,2065669.7144405,0
NWL.US,D,20000124,000000,19.7027,19.7027,18.926,18.926,2005154.7037419,0
NWL.US,D,20000125,000000,18.926,19.1584,18.926,18.9606,1648307.5739441,0
NWL.US,D,20000126,000000,18.926,19.1171,18.8866,19.0028,1209947.1350985,0
NWL.US,D,20000127,000000,19.1171,19.5424,18.9606,19.3937,809064.0916948,0
NWL.US,D,20000128,000000,19.0777,19.1948,18.3442,18.5006,1506270.9219529,0
NWL.US,D,20000131,000000,18.5362,18.8866,18.4603,18.5785,1074473.1673938,0
NWL.US,D,20000201,000000,18.4603,18.6946,18.3029,18.419,901810.30822233,0
NWL.US,D,20000202,000000,18.419,19.0411,18.419,18.9606,1259672.9303513,0
NWL.US,D,20000203,000000,19.4694,19.7786,16.7533,17.0585,5083610.8529569,0
NWL.US,D,20000204,000000,14.2684,14.6947,13.0279,14.5776,21448578.064323,0
NWL.US,D,20000207,000000,15.2026,16.2875,15.1258,16.0927,9745770.516297,0
NWL.US,D,20000208,000000,16.0524,17.7614,16.0524,17.6864,4591729.281366,0
NWL.US,D,20000209,000000,16.7533,17.3341,16.1714,16.2088,4425630.1480116,0
NWL.US,D,20000210,000000,16.711,16.711,16.327,16.4037,3379009.5918205,0
NWL.US,D,20000211,000000,16.327,16.5939,16.2875,16.4451,3607234.9837057,0
NWL.US,D,20000214,000000,16.4451,17.2592,16.4451,17.0585,3652442.6192324,0
NWL.US,D,20000215,000000,16.9136,17.4915,16.6773,17.1756,3426118.0206852,0
NWL.US,D,20000216,000000,17.1565,17.4665,17.0412,17.2736,2988185.6509146,0
NWL.US,D,20000217,000000,17.1182,17.3908,16.375,16.375,2643741.067456,0
NWL.US,D,20000218,000000,16.2934,16.2934,15.0443,15.434,3435592.8245185,0
NWL.US,D,20000222,000000,15.3189,15.9438,15.2776,15.7528,1388007.2058193,0
NWL.US,D,20000223,000000,15.7076,16.0994,15.2362,15.2362,1501604.8648821,0
NWL.US,D,20000224,000000,15.0057,15.5521,14.6554,14.8878,2411725.5457313,0
NWL.US,D,20000225,000000,15.2362,15.626,14.5776,14.6947,2554348.5794481,0
NWL.US,D,20000228,000000,14.6947,15.6712,14.6947,15.2362,1646123.484284,0
NWL.US,D,20000229,000000,15.2362,15.4792,14.4547,14.5402,1787723.7349553,0
NWL.US,D,20000301,000000,14.4547,15.0057,14.1849,14.8148,3016477.7880289,0
NWL.US,D,20000302,000000,15.2362,15.2362,14.4221,14.8878,1560370.1041791,0
NWL.US,D,20000303,000000,14.6947,15.2776,14.6122,15.119,1151902.6349741,0
NWL.US,D,20000306,000000,15.2776,15.434,14.3808,14.4547,1683746.6940093,0
NWL.US,D,20000307,000000,14.4221,14.4221,13.989,14.0303,2787087.9649371,0
NWL.US,D,20000308,000000,14.0303,14.5402,13.9477,14.4221,1786411.4064042,0
NWL.US,D,20000309,000000,14.2233,14.4221,13.797,14.1849,1519104.6619589,0
NWL.US,D,20000310,000000,13.8709,14.0303,13.2074,13.4418,2361413.3687528,0
NWL.US,D,20000313,000000,13.4418,13.9477,13.3246,13.797,2045254.6732249,0
NWL.US,D,20000314,000000,13.7134,13.7134,13.2498,13.5224,1726032.8362137,0
NWL.US,D,20000315,000000,13.2871,14.8148,13.2871,14.4221,2511764.5594932,0
NWL.US,D,20000316,000000,14.5402,15.6712,14.4951,15.3189,1904094.9899958,0
NWL.US,D,20000317,000000,15.6712,15.7528,15.36,15.4792,2258315.37963,0
NWL.US,D,20000320,000000,15.4792,15.5935,15.0057,15.2362,1077095.741435,0
NWL.US,D,20000321,000000,15.3189,15.9438,15.2776,15.7528,1274550.153387,0
NWL.US,D,20000322,000000,15.7528,15.8276,15.4792,15.5521,1272649.360049,0
NWL.US,D,20000323,000000,15.626,15.626,15.2362,15.5521,1030722.6331712,0
NWL.US,D,20000324,000000,15.3946,15.7854,15.0057,15.0864,972537.52641629,0
NWL.US,D,20000327,000000,15.4792,15.5108,14.9683,15.119,835897.04444386,0
