<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEP.US,D,20000103,000000,24.0646,25.4244,23.8018,25.0753,7515265.926237,0
PEP.US,D,20000104,000000,24.8636,25.5528,24.3176,24.442,6461813.4901411,0
PEP.US,D,20000105,000000,24.3578,24.6999,23.7146,23.8441,8087586.1573458,0
PEP.US,D,20000106,000000,23.6293,25.0753,23.4646,24.9077,9734634.9425965,0
PEP.US,D,20000107,000000,25.0753,26.2674,24.9519,25.5891,14932652.32504,0
PEP.US,D,20000110,000000,25.9303,25.9744,24.9077,25.0753,9081323.0645005,0
PEP.US,D,20000111,000000,25.3292,25.5891,24.9077,24.993,7954117.2273498,0
PEP.US,D,20000112,000000,24.993,25.3292,24.6999,24.6999,6052750.5903756,0
PEP.US,D,20000113,000000,24.6999,24.9077,24.442,24.442,4459744.8586391,0
PEP.US,D,20000114,000000,24.5273,25.0361,24.442,24.6146,7678800.7100736,0
PEP.US,D,20000118,000000,24.442,25.1635,24.1911,24.6508,6838970.373205,0
PEP.US,D,20000119,000000,25.0753,25.0753,24.442,24.7792,5673181.2986829,0
PEP.US,D,20000120,000000,24.7792,24.7792,24.4852,24.5704,4405699.765033,0
PEP.US,D,20000121,000000,24.6146,24.7792,24.3176,24.5704,6318130.8402298,0
PEP.US,D,20000124,000000,24.6146,24.7411,23.6754,24.0186,5368653.726057,0
PEP.US,D,20000125,000000,24.0186,24.0646,23.0402,23.3362,6179271.98753,0
PEP.US,D,20000126,000000,23.3362,23.7587,22.9549,23.0813,4502152.2482089,0
PEP.US,D,20000127,000000,23.1235,23.3362,22.6166,22.997,3702173.0658049,0
PEP.US,D,20000128,000000,22.8293,23.1235,22.5735,22.6166,5802397.6571891,0
PEP.US,D,20000131,000000,22.7853,23.3784,22.6166,23.2107,4240453.3441228,0
PEP.US,D,20000201,000000,23.1235,23.3362,22.9137,23.1235,5109937.4362756,0
PEP.US,D,20000202,000000,22.9549,23.0813,22.398,22.4402,4665267.7931676,0
PEP.US,D,20000203,000000,22.4402,22.7019,22.1853,22.4843,5195465.2275216,0
PEP.US,D,20000204,000000,22.8715,23.2107,22.1853,22.2716,5511346.9314146,0
PEP.US,D,20000207,000000,22.3568,22.5735,21.9344,22.0167,5673181.2986829,0
PEP.US,D,20000208,000000,22.6559,22.9549,22.4402,22.6559,7106907.8782103,0
PEP.US,D,20000209,000000,23.8018,23.8852,22.9549,23.1235,11960678.119488,0
PEP.US,D,20000210,000000,23.7146,23.7146,23.1686,23.548,8382053.016946,0
PEP.US,D,20000211,000000,23.8018,23.8852,23.1235,23.3784,7844328.6636611,0
PEP.US,D,20000214,000000,23.251,23.4646,23.0813,23.1686,4954908.8154643,0
PEP.US,D,20000215,000000,23.1235,23.7146,23.1235,23.251,5545387.9042515,0
PEP.US,D,20000216,000000,23.2107,23.6754,23.0813,23.1235,6534301.0141947,0
PEP.US,D,20000217,000000,23.5029,23.6754,23.2941,23.3362,4039179.9209462,0
PEP.US,D,20000218,000000,23.3784,23.6293,23.0813,23.2941,5197733.8096739,0
PEP.US,D,20000222,000000,23.3362,23.7146,23.2107,23.5931,4155064.2791235,0
PEP.US,D,20000223,000000,23.3362,23.6293,23.1235,23.251,4608814.3711165,0
PEP.US,D,20000224,000000,23.1686,23.3784,22.5735,23.1235,5124404.7477266,0
PEP.US,D,20000225,000000,23.1235,23.3784,22.2314,22.2716,5965093.9632699,0
PEP.US,D,20000228,000000,22.5735,23.0402,22.2716,22.6166,5183835.6838527,0
PEP.US,D,20000229,000000,22.3568,22.4843,21.8499,21.8499,6575006.9671502,0
PEP.US,D,20000301,000000,21.7647,22.398,21.6814,22.1432,7796104.972188,0
PEP.US,D,20000302,000000,22.2314,22.3568,21.4676,21.4676,7333702.8506012,0
PEP.US,D,20000303,000000,22.1039,22.1039,21.298,21.5088,6562376.7584223,0
PEP.US,D,20000306,000000,21.1284,21.3843,20.8667,21.0873,6323094.383734,0
PEP.US,D,20000307,000000,21.0873,21.4255,20.1913,20.8266,10004274.904262,0
PEP.US,D,20000308,000000,21.0873,21.4255,20.4471,20.7402,7318673.4938416,0
PEP.US,D,20000309,000000,20.9109,21.5951,20.8266,21.3402,5550489.1539566,0
PEP.US,D,20000310,000000,21.1284,21.3402,20.7402,20.9109,5175891.5661357,0
PEP.US,D,20000313,000000,20.4874,21.2137,20.4874,21.1735,6110477.0297496,0
PEP.US,D,20000314,000000,20.8266,20.9109,20.4874,20.8667,6528761.1447389,0
PEP.US,D,20000315,000000,20.6991,22.5735,20.6138,22.5735,7749867.3101442,0
PEP.US,D,20000316,000000,22.4402,23.251,21.9344,23.1686,7673980.9930457,0
PEP.US,D,20000317,000000,22.4402,23.0813,22.3127,22.4402,6332456.3652963,0
PEP.US,D,20000320,000000,22.1039,22.8715,21.9344,22.6166,3749972.4181705,0
PEP.US,D,20000321,000000,22.7019,23.3362,22.1853,23.3362,7772414.4054213,0
PEP.US,D,20000322,000000,23.3362,23.3784,22.2716,22.7853,4867529.6408521,0
PEP.US,D,20000323,000000,22.3568,23.1235,22.2716,22.7853,5379147.9586037,0
PEP.US,D,20000324,000000,22.4402,22.7853,22.1432,22.398,4745550.5082321,0
PEP.US,D,20000327,000000,22.2716,22.398,21.4676,22.0088,4818455.2310718,0
PEP.US,D,20000328,000000,21.5511,22.5332,21.4676,22.1039,6828616.906997,0
PEP.US,D,20000329,000000,22.0167,22.9137,22.0167,22.6166,6034445.8661289,0
PEP.US,D,20000330,000000,23.0813,24.442,22.997,24.442,9717332.9235008,0
PEP.US,D,20000331,000000,24.4852,24.5273,23.5029,23.7146,7031868.1992354,0
PEP.US,D,20000403,000000,23.548,24.7411,23.548,24.5704,6151752.1683351,0
PEP.US,D,20000404,000000,24.5704,25.3292,24.1048,24.7792,8231551.3599803,0
PEP.US,D,20000405,000000,25.1635,25.4244,24.8263,24.993,6780673.7281552,0
PEP.US,D,20000406,000000,24.9519,25.3763,24.5704,25.0361,5744527.3913386,0
PEP.US,D,20000407,000000,24.7792,24.8636,24.0186,24.4852,5431908.8143816,0
PEP.US,D,20000410,000000,24.4852,25.1204,24.3989,24.6508,3616216.8552676,0
PEP.US,D,20000411,000000,24.5273,25.291,24.5273,25.2028,3416360.2758904,0
PEP.US,D,20000412,000000,24.6508,25.7596,24.6508,25.3292,5775307.2773317,0
PEP.US,D,20000413,000000,24.8636,25.1204,24.6508,24.7792,4021880.9619883,0
PEP.US,D,20000414,000000,24.9519,24.9519,24.145,24.7792,4832921.5224769,0
PEP.US,D,20000417,000000,24.3578,24.9077,23.548,24.9077,5175325.4406435,0
PEP.US,D,20000418,000000,24.5704,24.6508,23.8018,24.442,4227263.1301782,0
PEP.US,D,20000419,000000,24.442,24.7411,23.6754,24.0186,4184143.748548,0
PEP.US,D,20000420,000000,24.993,25.5057,24.442,25.291,6995275.0714769,0
PEP.US,D,20000424,000000,24.9519,26.0577,24.9077,25.7596,6322248.7656566,0
PEP.US,D,20000425,000000,25.2489,25.6802,25.1635,25.4636,4744274.4307715,0
PEP.US,D,20000426,000000,25.4636,25.9303,25.2489,25.6802,4744982.3426481,0
PEP.US,D,20000427,000000,25.2489,25.5528,24.993,25.4636,4007697.2233063,0
PEP.US,D,20000428,000000,24.9077,25.0753,24.6146,24.9519,3233812.8559304,0
PEP.US,D,20000501,000000,24.7792,25.3292,24.5704,25.1635,3021335.2482386,0
PEP.US,D,20000502,000000,25.2028,25.6332,24.6146,25.5057,4579023.9296774,0
PEP.US,D,20000503,000000,25.2028,25.7155,25.2028,25.5528,5392911.4383619,0
PEP.US,D,20000504,000000,25.4244,25.6332,24.9077,24.9519,3291261.842811,0
PEP.US,D,20000505,000000,24.6508,25.6332,24.6508,25.5057,3195234.7187886,0
PEP.US,D,20000508,000000,25.6332,25.8047,25.4244,25.8047,4604277.2068117,0
PEP.US,D,20000509,000000,25.8047,26.0998,25.3763,25.6332,6106220.3780761,0
PEP.US,D,20000510,000000,25.9744,26.737,25.8439,26.6469,12459817.19531,0
PEP.US,D,20000511,000000,25.8439,27.2076,25.8439,27.2076,8146024.5887803,0
PEP.US,D,20000512,000000,26.2262,26.8704,26.2262,26.8704,5103690.674989,0
PEP.US,D,20000515,000000,26.5223,27.1223,26.3537,26.7724,4991637.6093317,0
