<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTEN.US,D,20000103,000000,5.5705,5.64798,5.16564,5.3811,469239,0
PTEN.US,D,20000104,000000,5.00227,5.45827,5.00227,5.32948,1029305,0
PTEN.US,D,20000105,000000,5.19169,5.54495,5.13987,5.49305,802584,0
PTEN.US,D,20000106,000000,5.40656,5.94933,5.40656,5.88921,1586119,0
PTEN.US,D,20000107,000000,6.0268,6.10427,5.81153,6.07862,1976384,0
PTEN.US,D,20000110,000000,6.07862,6.13013,5.81153,5.94933,840913,0
PTEN.US,D,20000111,000000,5.92377,6.07862,5.86345,6.00064,716866,0
PTEN.US,D,20000112,000000,5.78588,5.97509,5.78588,5.94933,1004683,0
PTEN.US,D,20000113,000000,5.86345,6.37987,5.86345,6.37987,962871,0
PTEN.US,D,20000114,000000,6.43158,6.4832,6.24188,6.40562,1329668,0
PTEN.US,D,20000118,000000,6.37987,6.78455,6.37987,6.6725,932209,0
PTEN.US,D,20000119,000000,6.6636,7.10324,6.64664,6.97396,2096712,0
PTEN.US,D,20000120,000000,7.1288,7.55933,7.1288,7.29195,3211040,0
PTEN.US,D,20000121,000000,7.29195,7.98976,7.21488,7.96381,2813580,0
PTEN.US,D,20000124,000000,8.07606,8.15343,7.55933,7.5853,1143593,0
PTEN.US,D,20000125,000000,7.53338,7.69703,7.10324,7.3186,2038401,0
PTEN.US,D,20000126,000000,7.24936,7.64512,6.91392,6.93929,1176815,0
PTEN.US,D,20000127,000000,6.86182,7.15426,6.78455,7.1288,1115256,0
PTEN.US,D,20000128,000000,6.9911,7.5853,6.9911,7.05113,1019781,0
PTEN.US,D,20000131,000000,7.18903,7.23222,6.59493,7.15426,653918,0
PTEN.US,D,20000201,000000,7.15426,7.48197,6.97396,7.42173,382825,0
PTEN.US,D,20000202,000000,7.48197,8.01563,7.44749,7.64512,2007275,0
PTEN.US,D,20000203,000000,7.69703,7.80046,7.48197,7.5853,925005,0
PTEN.US,D,20000204,000000,7.5853,7.64512,7.50752,7.61986,586782,0
PTEN.US,D,20000207,000000,7.5853,7.9121,7.55933,7.7747,1011881,0
PTEN.US,D,20000208,000000,7.96381,7.98976,7.36992,7.50752,880175,0
PTEN.US,D,20000209,000000,7.50752,7.53338,7.36992,7.4045,1774976,0
PTEN.US,D,20000210,000000,7.4045,7.55933,7.36992,7.48197,846254,0
PTEN.US,D,20000211,000000,7.61986,7.72289,7.26669,7.36992,677607,0
PTEN.US,D,20000214,000000,7.38716,7.69703,7.26669,7.64512,1080645,0
PTEN.US,D,20000215,000000,7.69703,7.7747,7.42173,7.72289,902003,0
PTEN.US,D,20000216,000000,7.7747,7.96381,7.66265,7.74874,861822,0
PTEN.US,D,20000217,000000,7.69703,7.9121,7.64512,7.7747,1592157,0
PTEN.US,D,20000218,000000,7.74874,7.74874,7.3186,7.4045,1054162,0
PTEN.US,D,20000222,000000,7.26669,7.3186,7.07728,7.3186,555885,0
PTEN.US,D,20000223,000000,7.15426,7.5853,7.15426,7.53338,786321,0
PTEN.US,D,20000224,000000,7.48197,7.80046,7.48197,7.74874,2646554,0
PTEN.US,D,20000225,000000,7.72289,8.48014,7.72289,8.26537,2994534,0
PTEN.US,D,20000228,000000,7.85177,8.68739,7.74874,8.60981,1793331,0
PTEN.US,D,20000229,000000,8.58375,9.81434,8.58375,9.81434,2534825,0
PTEN.US,D,20000301,000000,9.85002,10.3859,9.57362,10.3057,2020752,0
PTEN.US,D,20000302,000000,10.3859,11.4063,10.3859,11.3211,4075643,0
PTEN.US,D,20000303,000000,11.2993,11.3559,10.9754,11.1943,3503496,0
PTEN.US,D,20000306,000000,11.0626,11.4063,11.027,11.3559,1799371,0
PTEN.US,D,20000307,000000,11.3559,12.3821,11.3211,11.8897,2374071,0
PTEN.US,D,20000308,000000,11.5956,11.6728,10.5465,10.7614,3314180,0
PTEN.US,D,20000309,000000,10.6584,10.8119,9.89954,10.8119,1973364,0
PTEN.US,D,20000310,000000,10.4603,11.6471,10.3325,11.1943,1426767,0
PTEN.US,D,20000313,000000,10.7068,11.5956,10.5465,11.1061,848808,0
PTEN.US,D,20000314,000000,11.1061,11.2993,10.7068,10.8485,1306437,0
PTEN.US,D,20000315,000000,10.6742,10.7961,9.20153,10.0304,492003,0
PTEN.US,D,20000316,000000,10.0897,11.5172,10.066,11.5172,2050255,0
PTEN.US,D,20000317,000000,11.0626,11.3559,10.5732,11.1943,1066244,0
PTEN.US,D,20000320,000000,10.9278,11.1417,10.8119,10.8664,1430480,0
PTEN.US,D,20000321,000000,11.1061,12.0789,11.027,11.9521,1902973,0
PTEN.US,D,20000322,000000,11.8135,12.9398,11.5172,12.7506,2073943,0
PTEN.US,D,20000323,000000,12.826,13.0033,12.5317,12.826,2069070,0
PTEN.US,D,20000324,000000,12.5882,12.8626,12.396,12.5694,475277,0
PTEN.US,D,20000327,000000,12.5317,12.7259,11.6202,12.2702,808389,0
PTEN.US,D,20000328,000000,11.5718,12.2434,11.4063,11.6728,1136860,0
PTEN.US,D,20000329,000000,11.6202,12.7506,11.5172,12.7259,1956633,0
PTEN.US,D,20000330,000000,12.6744,13.7235,12.5059,13.3202,3546937,0
PTEN.US,D,20000331,000000,13.3202,13.672,13.242,13.672,1384721,0
PTEN.US,D,20000403,000000,13.345,13.8284,13.0785,13.6897,1060899,0
PTEN.US,D,20000404,000000,13.5848,13.8809,12.5694,12.6149,1849317,0
PTEN.US,D,20000405,000000,11.8391,12.5882,11.5172,11.7491,1350109,0
PTEN.US,D,20000406,000000,11.9244,12.4812,11.9244,12.4812,2450958,0
PTEN.US,D,20000407,000000,12.4812,12.5882,11.5361,11.7084,1959192,0
PTEN.US,D,20000410,000000,11.7084,12.0533,10.6584,10.6742,1072518,0
PTEN.US,D,20000411,000000,10.1165,12.1593,10.1165,12.0017,2303222,0
PTEN.US,D,20000412,000000,11.6728,12.7001,11.6202,12.0533,2073711,0
PTEN.US,D,20000413,000000,11.9521,12.0533,11.4063,11.5361,442526,0
PTEN.US,D,20000414,000000,11.4589,11.8391,10.1165,10.3582,1019781,0
PTEN.US,D,20000417,000000,10.3325,10.3582,8.90998,9.57362,1531071,0
PTEN.US,D,20000418,000000,9.6598,10.8485,9.52011,10.7872,1489020,0
PTEN.US,D,20000419,000000,10.8664,11.1943,10.8485,10.9278,1575437,0
PTEN.US,D,20000420,000000,10.9278,11.969,10.9278,11.7858,581898,0
PTEN.US,D,20000424,000000,11.4063,12.3226,11.2993,12.2702,1089010,0
PTEN.US,D,20000425,000000,12.1593,12.3821,11.3211,11.4589,1078322,0
PTEN.US,D,20000426,000000,11.4589,11.5718,10.9278,11.434,1546166,0
PTEN.US,D,20000427,000000,11.0873,12.2196,10.9278,12.2196,1162415,0
PTEN.US,D,20000428,000000,12.3821,12.396,11.5172,12.1593,2205426,0
PTEN.US,D,20000501,000000,12.1423,12.2196,11.6471,11.7234,1028380,0
PTEN.US,D,20000502,000000,11.8391,11.969,11.7084,11.7234,679001,0
PTEN.US,D,20000503,000000,11.7402,12.0274,11.4589,11.6202,772153,0
PTEN.US,D,20000504,000000,11.5172,11.9244,11.4063,11.8391,753796,0
PTEN.US,D,20000505,000000,11.6549,12.1593,11.6202,11.9521,512912,0
PTEN.US,D,20000508,000000,12.0017,12.4306,11.9521,12.0533,1037205,0
PTEN.US,D,20000509,000000,12.0789,12.7001,11.9521,12.5882,1203064,0
PTEN.US,D,20000510,000000,12.5059,12.8903,12.4306,12.6485,1108980,0
PTEN.US,D,20000511,000000,12.6485,12.9121,12.6149,12.826,983538,0
PTEN.US,D,20000512,000000,12.8626,13.1053,12.4812,12.5317,875527,0
PTEN.US,D,20000515,000000,12.6485,12.9121,12.5317,12.8091,763558,0
PTEN.US,D,20000516,000000,12.4812,12.7001,11.8135,12.2702,1072518,0
PTEN.US,D,20000517,000000,12.2196,12.5694,12.1057,12.2702,678073,0
PTEN.US,D,20000518,000000,12.3564,12.3564,11.6471,11.6471,641602,0
PTEN.US,D,20000519,000000,11.6728,11.7858,11.4063,11.4063,362615,0
PTEN.US,D,20000522,000000,11.5956,11.6471,10.4335,11.0873,722212,0
PTEN.US,D,20000523,000000,10.8119,11.2469,10.5465,10.6584,755893,0
PTEN.US,D,20000524,000000,10.6009,11.1883,9.95101,10.7872,873898,0
PTEN.US,D,20000525,000000,10.5465,10.8664,10.1412,10.2027,589334,0
PTEN.US,D,20000526,000000,10.2304,10.6584,10.1165,10.3325,718259,0
PTEN.US,D,20000530,000000,10.3325,10.5465,9.63404,10.3057,972626,0
PTEN.US,D,20000531,000000,10.2304,10.8951,10.1412,10.3859,2336908,0
PTEN.US,D,20000601,000000,10.3325,10.7068,9.81434,10.2483,765876,0
PTEN.US,D,20000602,000000,10.2304,10.5465,9.73806,9.79552,901544,0
PTEN.US,D,20000605,000000,10.167,10.167,8.44626,8.55771,2382198,0
PTEN.US,D,20000606,000000,8.87561,9.6598,8.60981,9.55776,2399158,0
PTEN.US,D,20000607,000000,9.44681,10.1412,9.42006,9.68754,2107163,0
PTEN.US,D,20000608,000000,9.73806,9.95101,9.6598,9.87775,1946416,0
PTEN.US,D,20000609,000000,9.96884,10.4959,9.89954,10.4959,2597773,0
PTEN.US,D,20000612,000000,10.4335,10.6009,9.68754,9.9243,2009136,0
PTEN.US,D,20000613,000000,9.79552,10.2304,9.71231,10.1412,1341513,0
PTEN.US,D,20000614,000000,10.0304,10.3859,9.63404,9.63404,1606563,0
PTEN.US,D,20000615,000000,9.87775,9.89954,9.57362,9.85002,796547,0
PTEN.US,D,20000616,000000,9.93424,10.2819,9.87775,10.2304,967052,0
PTEN.US,D,20000619,000000,10.2304,10.2483,9.95101,10.1412,643927,0
PTEN.US,D,20000620,000000,10.066,10.2027,9.60037,10.167,2145492,0
PTEN.US,D,20000621,000000,10.3057,11.0873,10.2304,10.8485,2496491,0
PTEN.US,D,20000622,000000,10.7337,11.0031,10.4959,10.4959,1207478,0
PTEN.US,D,20000623,000000,10.4523,10.9516,10.4335,10.6584,1173330,0
PTEN.US,D,20000626,000000,10.6584,11.011,10.6584,10.8664,1515966,0
PTEN.US,D,20000627,000000,10.8664,10.9754,10.6742,10.9754,445547,0
PTEN.US,D,20000628,000000,11.0031,11.1417,10.7614,10.9754,669013,0
PTEN.US,D,20000629,000000,11.0031,12.1057,10.9754,12.0274,1909709,0
PTEN.US,D,20000630,000000,11.9611,12.6744,11.8897,12.2702,2499747,0
PTEN.US,D,20000703,000000,12.2702,12.396,12.0017,12.0533,176085,0
PTEN.US,D,20000705,000000,12.0274,12.0274,11.2191,11.2469,936153,0
PTEN.US,D,20000706,000000,11.2993,11.5172,10.7872,11.4589,955201,0
PTEN.US,D,20000707,000000,11.4915,11.9244,11.3559,11.8897,795612,0
PTEN.US,D,20000710,000000,11.8135,11.8391,11.6202,11.7858,1248360,0
PTEN.US,D,20000711,000000,11.8135,12.2702,11.7858,12.2196,1009562,0
PTEN.US,D,20000712,000000,12.1423,12.1849,12.0017,12.0533,789343,0
PTEN.US,D,20000713,000000,12.1057,12.1593,11.7491,12.1423,585854,0
PTEN.US,D,20000714,000000,12.0691,12.0789,11.8897,11.969,1908083,0
PTEN.US,D,20000717,000000,11.9244,11.969,11.3211,11.6202,452280,0
PTEN.US,D,20000718,000000,11.3379,12.1423,11.3211,11.6728,535912,0
PTEN.US,D,20000719,000000,11.7858,11.8897,11.5956,11.5956,217198,0
PTEN.US,D,20000720,000000,11.5956,11.7234,11.027,11.3559,1111769,0
PTEN.US,D,20000721,000000,11.1696,11.2993,10.5465,10.6009,687134,0
PTEN.US,D,20000724,000000,10.6672,10.8119,9.57362,9.71231,1205852,0
PTEN.US,D,20000725,000000,10.0035,10.3325,9.22867,9.52011,1104111,0
PTEN.US,D,20000726,000000,9.47159,10.3859,9.30892,10.2483,1188895,0
PTEN.US,D,20000727,000000,10.4147,10.8951,10.2819,10.7068,1152659,0
PTEN.US,D,20000728,000000,10.7872,10.9754,10.6009,10.6584,875063,0
PTEN.US,D,20000731,000000,10.6336,10.7337,10.2483,10.7337,772617,0
PTEN.US,D,20000801,000000,10.7248,12.0533,10.7068,11.027,701072,0
PTEN.US,D,20000802,000000,11.1943,11.7858,11.1696,11.4915,1078554,0
PTEN.US,D,20000803,000000,11.434,11.7491,11.4063,11.434,994231,0
PTEN.US,D,20000804,000000,11.8391,11.8391,11.5361,11.6202,623020,0
PTEN.US,D,20000807,000000,11.5956,12.0274,11.5956,11.865,683887,0
PTEN.US,D,20000808,000000,11.7858,11.9521,11.2993,11.2993,741256,0
PTEN.US,D,20000809,000000,11.444,11.8897,11.2469,11.7234,1257883,0
PTEN.US,D,20000810,000000,11.7234,11.7858,11.3559,11.3559,583527,0
PTEN.US,D,20000811,000000,11.4063,11.5172,10.9516,11.5172,428583,0
PTEN.US,D,20000814,000000,11.434,12.1593,11.2805,12.1593,784697,0
PTEN.US,D,20000815,000000,12.0789,12.3821,12.0274,12.3226,1405630,0
PTEN.US,D,20000816,000000,12.1849,12.6149,12.0789,12.6149,1287622,0
PTEN.US,D,20000817,000000,12.6485,13.3956,12.6149,13.1053,3254705,0
PTEN.US,D,20000818,000000,12.9676,13.5095,12.9121,13.2945,2211462,0
PTEN.US,D,20000821,000000,13.672,13.7749,13.0785,13.2162,1032790,0
PTEN.US,D,20000822,000000,13.2608,13.451,13.242,13.345,886214,0
PTEN.US,D,20000823,000000,13.345,14.0672,13.3202,14.0672,1658827,0
PTEN.US,D,20000824,000000,14.0672,14.0672,13.5095,13.8007,699908,0
PTEN.US,D,20000825,000000,13.8196,13.8284,13.0785,13.4312,523829,0
PTEN.US,D,20000828,000000,13.345,13.9899,13.345,13.6897,985170,0
PTEN.US,D,20000829,000000,13.6897,13.8007,13.451,13.5095,1387972,0
PTEN.US,D,20000830,000000,13.4738,13.6115,12.9398,13.2162,626273,0
PTEN.US,D,20000831,000000,13.1806,13.5095,13.13,13.5095,525456,0
PTEN.US,D,20000901,000000,13.4312,13.8284,13.3202,13.7749,418368,0
PTEN.US,D,20000905,000000,13.6471,13.7235,13.345,13.451,863910,0
PTEN.US,D,20000906,000000,13.345,14.5833,13.242,14.4734,1144065,0
PTEN.US,D,20000907,000000,14.4465,15.1708,13.9374,14.8528,2091834,0
PTEN.US,D,20000908,000000,14.6368,14.6607,14.0186,14.0414,1361491,0
PTEN.US,D,20000911,000000,14.2564,15.468,14.1276,15.468,2532269,0
PTEN.US,D,20000912,000000,15.1459,15.1459,14.6101,14.8786,4131166,0
PTEN.US,D,20000913,000000,14.6784,14.7131,14.0186,14.3694,2200082,0
PTEN.US,D,20000914,000000,14.3435,14.7398,14.1276,14.7131,1106660,0
PTEN.US,D,20000915,000000,14.6368,14.9647,14.4465,14.5575,679466,0
PTEN.US,D,20000918,000000,14.5575,14.7398,13.9899,14.0414,1285063,0
PTEN.US,D,20000919,000000,14.0672,14.2068,13.242,14.2068,2467220,0
PTEN.US,D,20000920,000000,14.1812,15.0202,13.9899,14.3694,2138294,0
PTEN.US,D,20000921,000000,14.3069,14.3069,12.9676,13.242,1120832,0
PTEN.US,D,20000922,000000,13.1132,13.9633,12.826,13.9374,1494600,0
PTEN.US,D,20000925,000000,13.8543,13.9137,12.8091,13.7235,1167059,0
PTEN.US,D,20000926,000000,13.451,14.3941,13.3956,14.2068,582601,0
PTEN.US,D,20000927,000000,14.2832,14.7754,14.2564,14.7398,1003755,0
PTEN.US,D,20000928,000000,14.7754,14.826,13.9374,14.6607,953348,0
PTEN.US,D,20000929,000000,14.5833,14.9647,14.4921,14.7993,778655,0
PTEN.US,D,20001002,000000,14.8093,15.0916,14.4734,15.0202,759616,0
PTEN.US,D,20001003,000000,14.9925,15.1192,14.6368,14.826,797940,0
PTEN.US,D,20001004,000000,14.6101,14.6607,13.5095,13.7482,1273912,0
PTEN.US,D,20001005,000000,13.7749,13.7749,13.345,13.6471,1565677,0
PTEN.US,D,20001006,000000,13.5848,13.7749,13.0459,13.0785,674121,0
PTEN.US,D,20001009,000000,13.2162,13.451,12.8626,12.8903,741026,0
PTEN.US,D,20001010,000000,12.9121,14.2564,12.8903,14.2068,1390763,0
PTEN.US,D,20001011,000000,14.1553,14.5347,14.0186,14.2068,1411669,0
PTEN.US,D,20001012,000000,14.2564,14.8528,13.8809,13.9374,1720157,0
PTEN.US,D,20001013,000000,13.973,14.1276,13.2945,14.1019,638581,0
PTEN.US,D,20001016,000000,13.9899,14.0186,12.9398,12.9398,732196,0
PTEN.US,D,20001017,000000,13.0785,13.7482,13.0459,13.559,1120137,0
PTEN.US,D,20001018,000000,13.6115,13.7749,13.345,13.5848,1034418,0
PTEN.US,D,20001019,000000,13.559,14.0672,13.559,13.9374,1020246,0
PTEN.US,D,20001020,000000,14.0335,14.9647,13.9137,14.8528,997484,0
PTEN.US,D,20001023,000000,14.826,14.8528,14.1019,14.2306,1340120,0
PTEN.US,D,20001024,000000,14.1276,14.3069,13.345,13.5332,722674,0
PTEN.US,D,20001025,000000,13.451,13.672,12.5882,12.6149,2251884,0
PTEN.US,D,20001026,000000,13.0033,13.345,12.6485,12.7001,1315725,0
PTEN.US,D,20001027,000000,12.7259,12.9121,12.1057,12.1057,1259281,0
PTEN.US,D,20001030,000000,11.9244,12.2702,11.5718,11.8897,1968251,0
PTEN.US,D,20001031,000000,11.8897,12.2613,11.865,12.1057,1655580,0
PTEN.US,D,20001101,000000,12.3226,12.8626,12.3226,12.826,813504,0
