<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SLM.US,D,20000103,000000,4.18537,4.18537,3.87483,3.94251,8107951.00016,0
SLM.US,D,20000104,000000,3.95458,3.97312,3.75154,3.80097,11462561.861025,0
SLM.US,D,20000105,000000,3.77607,3.86208,3.73899,3.75733,3910791.5553445,0
SLM.US,D,20000106,000000,3.75154,3.96066,3.75154,3.87483,3333181.416332,0
SLM.US,D,20000107,000000,3.93605,4.0655,3.91759,4.05933,4920876.0035983,0
SLM.US,D,20000110,000000,4.04727,4.05325,3.96683,3.97939,4424109.2826483,0
SLM.US,D,20000111,000000,3.98538,4.10249,3.92388,3.92995,3887409.7160123,0
SLM.US,D,20000112,000000,3.94251,4.08425,3.94251,4.05933,3156880.6757429,0
SLM.US,D,20000113,000000,4.16105,4.33367,4.13653,4.33367,7132935.2327953,0
SLM.US,D,20000114,000000,4.34564,4.34564,4.25933,4.30268,6399474.0319817,0
SLM.US,D,20000118,000000,4.30876,4.33367,4.16105,4.17331,4695874.4824554,0
SLM.US,D,20000119,000000,4.18537,4.18537,4.03472,4.0716,4216636.4945496,0
SLM.US,D,20000120,000000,4.07777,4.09641,4.04079,4.04079,2490635.8909636,0
SLM.US,D,20000121,000000,4.14889,4.14889,3.99793,4.04079,3768576.6713172,0
SLM.US,D,20000124,000000,4.03472,4.05933,3.86208,3.89916,4929634.7627202,0
SLM.US,D,20000125,000000,3.89318,3.96683,3.84384,3.86208,3613701.2971519,0
SLM.US,D,20000126,000000,3.88661,3.90554,3.78204,3.86826,6299151.5251307,0
SLM.US,D,20000127,000000,3.90554,3.98538,3.84982,3.94251,3382859.9235762,0
SLM.US,D,20000128,000000,3.92995,3.92995,3.80676,3.81285,5461472.2036137,0
SLM.US,D,20000131,000000,3.81285,3.96066,3.77607,3.8562,2720506.6745399,0
SLM.US,D,20000201,000000,3.89916,4.05933,3.89916,4.02246,4776718.920045,0
SLM.US,D,20000202,000000,3.97312,3.98538,3.86208,3.86208,4033524.2920011,0
SLM.US,D,20000203,000000,3.88661,3.93605,3.78823,3.86826,3018566.5032045,0
SLM.US,D,20000204,000000,3.86826,3.88072,3.73899,3.81285,4390992.9965582,0
SLM.US,D,20000207,000000,3.7639,3.7639,3.63413,3.65268,4864381.9562854,0
SLM.US,D,20000208,000000,3.67748,3.67748,3.5234,3.54841,8137174.7309796,0
SLM.US,D,20000209,000000,3.54841,3.54841,3.4467,3.46494,7114422.6558966,0
SLM.US,D,20000210,000000,3.45866,3.45866,3.24935,3.31105,8900825.1549755,0
SLM.US,D,20000211,000000,3.32929,3.49898,3.31693,3.46494,9567071.9788094,0
SLM.US,D,20000214,000000,3.44013,3.49241,3.27407,3.29849,3216296.6883268,0
SLM.US,D,20000215,000000,3.3234,3.45277,3.31693,3.40923,4647168.6042652,0
SLM.US,D,20000216,000000,3.42179,3.46494,3.35392,3.40923,3000056.9848878,0
SLM.US,D,20000217,000000,3.42807,3.4467,3.26788,3.31105,3188052.7232524,0
SLM.US,D,20000218,000000,3.28642,3.29849,3.06456,3.11997,3031230.0519245,0
SLM.US,D,20000222,000000,3.19383,3.21257,3.08309,3.15695,5053343.1870126,0
SLM.US,D,20000223,000000,3.16323,3.16323,3.05848,3.06456,2133158.0106606,0
SLM.US,D,20000224,000000,3.08309,3.08309,2.90439,3.02749,5863753.2115636,0
SLM.US,D,20000225,000000,3.05848,3.07053,2.94127,3.04622,7582944.3922447,0
SLM.US,D,20000228,000000,3.02139,3.11997,3.00286,3.07053,7808921.6010235,0
SLM.US,D,20000229,000000,3.10762,3.14449,3.03376,3.10154,6053690.1299266,0
SLM.US,D,20000301,000000,3.14773,3.22158,3.10467,3.20923,4575088.023434,0
SLM.US,D,20000302,000000,3.20315,3.20923,3.10467,3.11694,3013695.2017164,0
SLM.US,D,20000303,000000,3.14136,3.14773,3.06152,3.10467,3018566.5032045,0
SLM.US,D,20000306,000000,3.10467,3.10467,3.02454,3.08613,4346186.8103296,0
SLM.US,D,20000307,000000,3.07368,3.08613,2.96893,2.98148,3968260.2707658,0
SLM.US,D,20000308,000000,2.98148,3.0368,2.94127,2.95048,3681885.2446035,0
SLM.US,D,20000309,000000,2.97511,3.02454,2.89213,2.98148,4852691.0366193,0
SLM.US,D,20000310,000000,3.0059,3.0059,2.8983,2.93508,4451381.6381961,0
SLM.US,D,20000313,000000,2.96893,2.96893,2.86143,2.86143,3142275.9470243,0
SLM.US,D,20000314,000000,2.88584,2.96294,2.83651,2.9293,3808517.6732216,0
SLM.US,D,20000315,000000,2.98756,2.99972,2.91057,2.99394,9938179.9197225,0
SLM.US,D,20000316,000000,3.06152,3.37245,3.01208,3.26788,15372377.728734,0
SLM.US,D,20000317,000000,3.18461,3.48347,3.16,3.39726,11480097.730762,0
SLM.US,D,20000320,000000,3.4467,3.4467,3.25552,3.29241,4845876.5160779,0
SLM.US,D,20000321,000000,3.27407,3.39726,3.24601,3.39726,3719875.8907635,0
SLM.US,D,20000322,000000,3.3848,3.4772,3.37873,3.44013,3560136.3518012,0
SLM.US,D,20000323,000000,3.44013,3.58539,3.37245,3.48937,5069908.4667488,0
SLM.US,D,20000324,000000,3.57284,3.64032,3.49584,3.52644,5309516.7556649,0
SLM.US,D,20000327,000000,3.52644,3.55754,3.47102,3.4772,4413397.1092,0
SLM.US,D,20000328,000000,3.45866,3.55144,3.43414,3.51418,2534472.5067203,0
SLM.US,D,20000329,000000,3.49584,3.52055,3.42179,3.46494,2615307.7685643,0
SLM.US,D,20000330,000000,3.45277,3.57284,3.44013,3.49584,3383831.5331028,0
SLM.US,D,20000331,000000,3.50192,3.50192,3.31693,3.31693,9768693.6996747,0
SLM.US,D,20000403,000000,3.34174,3.61589,3.31693,3.60334,8659254.2759873,0
SLM.US,D,20000404,000000,3.70789,3.72064,3.53281,3.57911,6076094.2425683,0
SLM.US,D,20000405,000000,3.57911,3.65268,3.5387,3.61589,5799459.7803277,0
SLM.US,D,20000406,000000,3.60334,3.61589,3.55754,3.58539,5726403.5118606,0
SLM.US,D,20000407,000000,3.59705,3.61589,3.42179,3.46494,2782845.6719222,0
SLM.US,D,20000410,000000,3.48347,3.60334,3.45866,3.5081,5219905.4027347,0
SLM.US,D,20000411,000000,3.48347,3.53281,3.45866,3.50192,3095514.3074146,0
SLM.US,D,20000412,000000,3.50192,3.67748,3.50192,3.57284,9542715.4713688,0
SLM.US,D,20000413,000000,3.55754,3.55754,3.40923,3.45277,7171890.3517907,0
SLM.US,D,20000414,000000,3.40923,3.42807,3.26788,3.29849,4840027.4878993,0
SLM.US,D,20000417,000000,3.33546,3.39108,3.26171,3.29241,4797166.5597784,0
SLM.US,D,20000418,000000,3.27407,3.29849,3.19707,3.20923,5785826.6611356,0
SLM.US,D,20000419,000000,3.20923,3.23395,3.05533,3.11694,5546212.2550557,0
SLM.US,D,20000420,000000,3.08613,3.20923,3.08613,3.18461,3232855.850899,0
SLM.US,D,20000424,000000,3.16,3.29849,3.16,3.25552,2586088.1158538,0
SLM.US,D,20000425,000000,3.31105,3.37245,3.24601,3.37245,5030939.074371,0
SLM.US,D,20000426,000000,3.33546,3.33546,3.17226,3.19707,3578637.7138995,0
SLM.US,D,20000427,000000,3.22158,3.22158,3.09213,3.16628,4048133.0988289,0
SLM.US,D,20000428,000000,3.17226,3.19707,3.11086,3.11694,2073747.0957132,0
SLM.US,D,20000501,000000,3.09213,3.18461,3.07986,3.10467,4276055.5657154,0
SLM.US,D,20000502,000000,3.08613,3.11086,2.98148,3.0368,5280295.0638999,0
SLM.US,D,20000503,000000,3.13537,3.13537,2.96294,2.98756,4345214.1812756,0
SLM.US,D,20000504,000000,2.98148,2.98756,2.8983,2.92292,3734487.7561733,0
SLM.US,D,20000505,000000,2.95048,2.95048,2.88584,2.94127,5370889.241157,0
SLM.US,D,20000508,000000,2.98756,3.06152,2.97511,2.99972,2930903.4669641,0
SLM.US,D,20000509,000000,2.96294,3.03063,2.83651,2.90439,2783818.3009761,0
SLM.US,D,20000510,000000,2.90439,2.95048,2.76884,2.81817,5216987.5155729,0
SLM.US,D,20000511,000000,2.91057,3.02454,2.89213,2.96294,12677196.112579,0
