<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WEN.US,D,20000103,000000,2.16957,2.16957,2.09979,2.10715,3607136.0789497,0
WEN.US,D,20000104,000000,2.11539,2.1306,2.10715,2.1306,2520975.1389716,0
WEN.US,D,20000105,000000,2.11539,2.15416,2.09164,2.1306,5666826.435609,0
WEN.US,D,20000106,000000,2.09164,2.13836,2.07624,2.07624,2925939.5745325,0
WEN.US,D,20000107,000000,2.09979,2.10715,2.06102,2.06102,4408128.0751488,0
WEN.US,D,20000110,000000,2.09164,2.14631,2.09164,2.14631,4645032.1884391,0
WEN.US,D,20000111,000000,2.11539,2.14631,2.10715,2.1306,3243292.8836273,0
WEN.US,D,20000112,000000,2.1306,2.16171,2.09979,2.13836,3462312.0390428,0
WEN.US,D,20000113,000000,2.23199,2.24739,2.16957,2.23973,3975448.2211892,0
WEN.US,D,20000114,000000,2.23973,2.29412,2.23973,2.24739,5836681.0614641,0
WEN.US,D,20000118,000000,2.20834,2.23199,2.15416,2.16957,2932197.7304754,0
WEN.US,D,20000119,000000,2.16957,2.16957,2.1306,2.15416,2691722.3315161,0
WEN.US,D,20000120,000000,2.1306,2.14631,2.1306,2.14631,2394028.9245573,0
WEN.US,D,20000121,000000,2.13836,2.13836,2.11539,2.11539,3904826.4291733,0
WEN.US,D,20000124,000000,2.11539,2.1306,2.05278,2.07624,4038921.3283964,0
WEN.US,D,20000125,000000,2.07624,2.07624,2.02167,2.06102,3872647.1584161,0
WEN.US,D,20000126,000000,2.06102,2.07624,1.9829,2.00616,7056041.2772408,0
WEN.US,D,20000127,000000,1.9829,2.03707,1.95954,1.9671,5296726.1032554,0
WEN.US,D,20000128,000000,1.97525,2.02981,1.95954,1.95954,4014783.3091374,0
WEN.US,D,20000131,000000,1.9671,1.9986,1.95954,1.99076,2442304.9630752,0
WEN.US,D,20000201,000000,1.9671,2.00616,1.95954,1.9671,3305872.4052334,0
WEN.US,D,20000202,000000,1.9671,1.9829,1.90536,1.90536,6266676.0829735,0
WEN.US,D,20000203,000000,1.92833,1.92833,1.90536,1.92087,3020697.347984,0
WEN.US,D,20000204,000000,1.92833,1.95179,1.88977,1.93628,5454065.4361365,0
WEN.US,D,20000207,000000,1.95179,1.95954,1.92087,1.92087,5093794.5453951,0
WEN.US,D,20000208,000000,1.93628,1.97525,1.90536,1.92087,3708152.0083441,0
WEN.US,D,20000209,000000,1.92087,1.92833,1.88977,1.88977,2166962.4041732,0
WEN.US,D,20000210,000000,1.88977,1.90536,1.78897,1.81183,5262756.6045608,0
WEN.US,D,20000211,000000,1.82724,1.86641,1.81183,1.82724,8687526.8403282,0
WEN.US,D,20000214,000000,1.84285,1.87396,1.81183,1.81183,5339636.5525198,0
WEN.US,D,20000215,000000,1.81183,1.83529,1.79623,1.79623,5337848.3624058,0
WEN.US,D,20000216,000000,1.80428,1.83529,1.78897,1.79623,5743710.4592148,0
WEN.US,D,20000217,000000,1.79623,1.81998,1.79623,1.80428,6758353.9837524,0
WEN.US,D,20000218,000000,1.80428,1.81998,1.74216,1.74971,6449043.9639792,0
WEN.US,D,20000222,000000,1.77288,1.78897,1.71095,1.72645,7435085.6168993,0
WEN.US,D,20000223,000000,1.70309,1.73381,1.70309,1.70309,5599780.0049091,0
WEN.US,D,20000224,000000,1.7182,1.72645,1.65657,1.66403,9201553.5513405,0
WEN.US,D,20000225,000000,1.66403,1.68768,1.64863,1.65657,5848299.7121019,0
WEN.US,D,20000228,000000,1.65657,1.67924,1.64077,1.66403,6440105.051233,0
WEN.US,D,20000229,000000,1.66403,1.67924,1.65657,1.66403,9606516.9679897,0
WEN.US,D,20000302,000000,1.67208,1.68768,1.60976,1.61761,12597717.839844,0
