<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WMT.US,D,20000103,000000,17.2444,17.4047,16.5163,16.8487,33034999.644514,0
WMT.US,D,20000104,000000,16.5163,16.5941,16.185,16.2156,26622104.872261,0
WMT.US,D,20000105,000000,16.1039,16.231,15.6779,15.8838,27701970.061075,0
WMT.US,D,20000106,000000,15.8838,16.2788,15.8046,16.058,25830352.962788,0
WMT.US,D,20000107,000000,16.2625,17.3858,16.2625,17.277,31483871.761212,0
WMT.US,D,20000110,000000,16.9601,17.0236,16.5469,16.9601,26500538.515275,0
WMT.US,D,20000111,000000,16.9119,17.0868,16.5469,16.7074,19510618.839948,0
WMT.US,D,20000112,000000,16.6915,16.8338,16.4052,16.4052,16123001.011597,0
WMT.US,D,20000113,000000,16.6432,16.6739,16.3899,16.4202,19817296.696953,0
WMT.US,D,20000114,000000,16.1378,16.6259,16.1378,16.2625,24913506.628227,0
WMT.US,D,20000118,000000,15.9326,16.7526,15.8981,16.5325,25426593.357182,0
WMT.US,D,20000119,000000,16.454,16.5941,16.1378,16.1521,19023567.349832,0
WMT.US,D,20000120,000000,16.2456,16.2625,15.7557,15.977,22647593.375932,0
WMT.US,D,20000121,000000,16.1186,16.1186,15.6461,15.7381,27440681.153299,0
WMT.US,D,20000124,000000,15.9922,15.9922,14.5049,14.9791,30785280.501154,0
WMT.US,D,20000125,000000,15.0918,15.4255,15.0113,15.406,25275043.027172,0
WMT.US,D,20000126,000000,15.406,15.6461,15.123,15.6121,17912526.812518,0
WMT.US,D,20000127,000000,15.4546,15.5037,14.5983,14.9175,28904190.739601,0
WMT.US,D,20000128,000000,14.852,14.852,13.4921,13.9047,55372353.319231,0
WMT.US,D,20000131,000000,13.7607,13.9985,13.6516,13.8086,31467284.621196,0
WMT.US,D,20000201,000000,13.8717,15.0113,13.8561,14.8077,32991968.881796,0
WMT.US,D,20000202,000000,14.852,15.153,14.6166,14.7263,23817843.432121,0
WMT.US,D,20000203,000000,14.7263,14.8367,14.188,14.7263,27624208.246757,0
WMT.US,D,20000204,000000,14.6166,14.6166,14.1258,14.2033,25850888.836989,0
WMT.US,D,20000207,000000,14.2844,14.2844,13.7776,14.062,23853759.718087,0
WMT.US,D,20000208,000000,14.4583,15.0598,14.345,15.0113,33848838.058645,0
WMT.US,D,20000209,000000,15.123,15.153,14.4583,14.5837,32429925.218291,0
WMT.US,D,20000210,000000,14.5378,14.7263,14.3303,14.3798,18122500.599232,0
WMT.US,D,20000211,000000,14.4899,14.5049,14.0314,14.1407,19010932.014554,0
WMT.US,D,20000214,000000,14.3007,14.852,14.2515,14.852,22906112.642779,0
WMT.US,D,20000215,000000,14.3629,14.6322,13.8717,14.6322,38332502.90252,0
WMT.US,D,20000216,000000,14.2515,14.2515,13.2865,13.3015,53621522.656871,0
WMT.US,D,20000217,000000,13.35,13.4921,12.0988,12.1916,97751203.360567,0
WMT.US,D,20000218,000000,12.2251,12.4779,11.9079,12.0353,76547378.970571,0
WMT.US,D,20000222,000000,12.4147,12.43,11.7816,12.1313,48714759.849774,0
WMT.US,D,20000223,000000,12.2098,12.2251,11.7816,11.8444,50813714.725301,0
WMT.US,D,20000224,000000,11.8444,12.064,10.9573,12.064,76695370.526928,0
WMT.US,D,20000225,000000,11.1784,11.4328,11.0049,11.2269,66735818.511808,0
WMT.US,D,20000228,000000,11.2442,11.8295,11.2442,11.6549,70396942.98768,0
WMT.US,D,20000229,000000,12.0825,12.5414,12.0825,12.2887,67875289.321133,0
WMT.US,D,20000302,000000,13.3015,13.3321,12.7166,12.7466,61345179.16883,0
WMT.US,D,20000303,000000,13.1455,13.4442,12.9853,13.2715,42589987.568529,0
WMT.US,D,20000306,000000,13.2715,13.2865,12.2574,12.7316,41416983.224187,0
WMT.US,D,20000307,000000,12.5114,12.5114,11.8777,11.9861,38382227.475909,0
WMT.US,D,20000308,000000,11.9232,12.43,11.5132,12.1773,39542590.343862,0
WMT.US,D,20000309,000000,12.3515,12.4629,11.8119,12.3365,31357564.466759,0
WMT.US,D,20000310,000000,12.5414,12.5414,11.9565,12.0825,27649868.877843,0
WMT.US,D,20000313,000000,11.6705,12.0825,11.5768,12.0193,30501097.532664,0
WMT.US,D,20000314,000000,11.8444,12.3036,11.6848,12.0353,39409595.379849,0
WMT.US,D,20000315,000000,11.9708,13.1116,11.7513,13.0002,57900722.290336,0
WMT.US,D,20000316,000000,13.2058,14.0314,13.0332,13.7929,77816694.354117,0
WMT.US,D,20000317,000000,13.7776,14.2033,13.6669,14.0776,49877916.923098,0
WMT.US,D,20000320,000000,14.0919,14.0919,13.4761,13.9196,26716834.575461,0
WMT.US,D,20000321,000000,13.9985,14.3007,13.7607,14.3007,31001177.389145,0
WMT.US,D,20000322,000000,14.2671,14.2671,13.6327,13.9831,39324740.582664,0
WMT.US,D,20000323,000000,13.7304,13.7776,13.507,13.6327,27728803.644306,0
WMT.US,D,20000324,000000,13.7451,14.062,13.6327,14.0138,31389138.987455,0
WMT.US,D,20000327,000000,13.8086,14.0138,13.6965,13.9985,22792852.138023,0
WMT.US,D,20000328,000000,13.7776,14.1258,13.7607,13.7607,22882432.519896,0
WMT.US,D,20000329,000000,14.0138,14.9967,13.9985,14.8367,53664541.13737,0
WMT.US,D,20000330,000000,15.0918,15.3441,14.8699,14.9009,45668563.212249,0
WMT.US,D,20000331,000000,14.9638,14.9791,14.0138,14.2671,35735049.506525,0
WMT.US,D,20000403,000000,14.3007,15.6607,14.3007,15.4546,47108773.424532,0
WMT.US,D,20000404,000000,15.5815,15.9922,14.5212,15.153,53976739.852898,0
WMT.US,D,20000405,000000,14.9791,15.1875,14.5378,14.7103,27888653.685435,0
WMT.US,D,20000406,000000,14.9328,15.4702,14.8367,15.4405,28631451.730913,0
WMT.US,D,20000407,000000,15.4702,15.6607,15.3142,15.5343,15839229.497525,0
WMT.US,D,20000410,000000,15.5343,16.0736,15.406,16.0414,21790736.481306,0
WMT.US,D,20000411,000000,15.8838,16.0251,15.5343,16.0104,21137116.574949,0
