<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRX.US,D,20000103,000000,49.7275,52.9394,49.3311,51.4779,4013191,0
XRX.US,D,20000104,000000,51.4779,51.4779,48.8086,49.0745,2847270,0
XRX.US,D,20000105,000000,48.9426,51.6075,48.0008,51.6075,2863466,0
XRX.US,D,20000106,000000,50.1458,50.9316,49.7275,50.5391,1989234,0
XRX.US,D,20000107,000000,50.5391,52.6569,49.0745,51.7433,2853262,0
XRX.US,D,20000110,000000,52.6569,52.6569,50.2747,50.5391,2306219,0
XRX.US,D,20000111,000000,50.7982,51.1953,49.3311,50.0139,2704219,0
XRX.US,D,20000112,000000,49.4701,50.5391,49.3311,49.8835,1393968,0
XRX.US,D,20000113,000000,50.0139,51.4779,49.2112,51.1953,2012014,0
XRX.US,D,20000114,000000,51.4779,51.7433,49.5986,50.1458,1887404,0
XRX.US,D,20000118,000000,50.5391,50.668,49.5986,50.2747,1611132,0
XRX.US,D,20000119,000000,49.8835,50.668,47.2173,50.668,4910799,0
XRX.US,D,20000120,000000,50.0139,50.0139,48.1388,48.4168,1962518,0
XRX.US,D,20000121,000000,48.8086,48.8086,46.8225,47.0821,2096556,0
XRX.US,D,20000124,000000,47.4779,48.4168,45.489,46.2777,2434310,0
XRX.US,D,20000125,000000,46.8225,47.6115,44.6828,46.6921,3127248,0
XRX.US,D,20000126,000000,47.4779,48.0008,46.537,46.8225,2229452,0
XRX.US,D,20000127,000000,47.4779,47.4779,44.6828,45.6225,2283070,0
XRX.US,D,20000128,000000,45.489,45.6225,43.6333,43.6333,1840097,0
XRX.US,D,20000131,000000,44.9387,45.1002,43.8953,44.4192,1468123,0
XRX.US,D,20000201,000000,44.5471,45.2259,44.1601,44.2827,1473114,0
XRX.US,D,20000202,000000,45.1002,45.8839,44.4192,44.5471,1601529,0
XRX.US,D,20000203,000000,45.3509,46.2777,44.8124,46.2777,1827334,0
XRX.US,D,20000204,000000,46.8225,47.2173,45.8839,46.8225,1672804,0
XRX.US,D,20000207,000000,46.6921,46.8225,45.8839,46.1476,1065412,0
XRX.US,D,20000208,000000,46.1476,47.4779,45.1002,46.2777,1947005,0
XRX.US,D,20000209,000000,46.8225,47.6115,45.489,46.014,2181785,0
XRX.US,D,20000210,000000,45.7471,45.7471,43.6333,44.1601,3414632,0
XRX.US,D,20000211,000000,44.4192,44.4192,42.8234,43.0855,2255848,0
XRX.US,D,20000214,000000,44.6828,47.0821,44.4192,46.8225,3575300,0
XRX.US,D,20000215,000000,47.2173,47.7394,45.3509,47.3431,2811179,0
XRX.US,D,20000216,000000,46.2777,46.537,45.3509,45.6225,1362677,0
XRX.US,D,20000217,000000,46.1476,46.2777,44.2827,44.4192,1994312,0
XRX.US,D,20000218,000000,44.4192,44.9387,44.0202,44.6828,1571788,0
XRX.US,D,20000222,000000,44.5471,44.9387,43.8953,44.5471,1557288,0
XRX.US,D,20000223,000000,44.6828,45.1002,43.7643,43.8953,1697366,0
XRX.US,D,20000224,000000,44.0202,44.0202,42.6916,43.3486,2046231,0
XRX.US,D,20000225,000000,43.0855,44.2827,42.5572,42.8234,2916171,0
XRX.US,D,20000228,000000,42.9568,44.1601,42.6916,44.1601,1783416,0
XRX.US,D,20000229,000000,42.9568,51.0604,42.9568,46.2777,3845022,0
XRX.US,D,20000301,000000,47.2173,47.2173,44.2827,45.8839,2264449,0
XRX.US,D,20000302,000000,45.7471,46.014,44.1601,45.1002,1878296,0
XRX.US,D,20000303,000000,45.7471,46.6921,44.4192,44.5471,1834103,0
XRX.US,D,20000306,000000,44.6828,45.8839,44.6828,45.7471,1857343,0
XRX.US,D,20000307,000000,45.8839,46.537,43.6333,44.0202,2366651,0
XRX.US,D,20000308,000000,44.2827,45.3509,43.2111,45.2259,2857845,0
XRX.US,D,20000309,000000,45.2259,51.0604,44.1601,47.8721,9537694,0
XRX.US,D,20000310,000000,48.8086,51.8689,48.4168,51.7433,7193322,0
XRX.US,D,20000313,000000,50.0139,53.2095,49.2112,52.1349,3958617,0
XRX.US,D,20000314,000000,51.6075,52.397,49.0745,49.4701,4489972,0
XRX.US,D,20000315,000000,50.7982,55.3215,50.1458,54.2598,5991857,0
XRX.US,D,20000316,000000,56.1378,56.5343,53.7301,54.5398,5080708,0
XRX.US,D,20000317,000000,53.7301,55.196,53.5981,54.9347,2664922,0
XRX.US,D,20000320,000000,55.3215,57.0462,54.8005,55.3215,2611353,0
XRX.US,D,20000321,000000,56.1378,63.2982,55.8508,63.2982,4169143,0
XRX.US,D,20000322,000000,60.1161,61.4482,57.4426,57.4426,4316541,0
