<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZION.US,D,20000103,000000,46.8627,46.9361,42.4305,44.0582,1433765.2395268,0
ZION.US,D,20000104,000000,43.3627,43.668,41.6832,41.9258,975402.15271254,0
ZION.US,D,20000105,000000,41.8769,42.2799,40.5368,41.8769,1344240.8477235,0
ZION.US,D,20000106,000000,41.8769,43.6161,41.5834,42.4696,1329181.5964058,0
ZION.US,D,20000107,000000,42.6712,43.0722,42.3278,42.5694,934648.83971385,0
ZION.US,D,20000110,000000,42.6203,42.6712,40.8869,41.7996,488599.1519983,0
ZION.US,D,20000111,000000,41.826,42.0764,39.6006,39.6006,1180619.3373259,0
ZION.US,D,20000112,000000,40.0946,40.2952,38.8963,39.942,949351.31425411,0
ZION.US,D,20000113,000000,40.5368,44.0582,40.4848,43.4156,548239.14397983,0
ZION.US,D,20000114,000000,44.4603,45.0511,43.6161,44.1619,712941.20754048,0
ZION.US,D,20000118,000000,44.1619,44.5591,41.8769,41.9258,569871.67518176,0
ZION.US,D,20000119,000000,41.8769,43.3627,41.7741,42.3767,370994.68992172,0
ZION.US,D,20000120,000000,42.9724,42.9724,41.2313,41.6332,440073.42112103,0
ZION.US,D,20000121,000000,42.1762,42.3278,39.9174,41.9766,536530.93643501,0
ZION.US,D,20000124,000000,42.4696,43.0722,40.7871,41.2811,684848.86987074,0
ZION.US,D,20000125,000000,41.1305,42.768,40.7871,42.6203,594256.19230099,0
ZION.US,D,20000126,000000,42.8746,43.0478,41.734,42.5205,647198.1858687,0
ZION.US,D,20000127,000000,42.904,46.7953,42.8042,46.1007,1156122.3690733,0
ZION.US,D,20000128,000000,45.6977,45.6977,43.801,44.8066,957833.19655562,0
ZION.US,D,20000131,000000,44.8458,47.347,44.8066,47.1963,526487.00566335,0
ZION.US,D,20000201,000000,46.9948,47.8918,46.7454,47.6923,873451.91067733,0
ZION.US,D,20000202,000000,47.4957,47.5407,46.7454,46.7953,783337.66156572,0
ZION.US,D,20000203,000000,46.7454,47.4957,45.5998,46.2446,355337.40303127,0
ZION.US,D,20000204,000000,46.1946,46.3913,43.8979,44.1522,287327.97988154,0
ZION.US,D,20000207,000000,44.1991,44.5024,43.0066,44.1003,459316.87688142,0
ZION.US,D,20000208,000000,43.9526,46.6456,43.8979,46.3434,437440.02003526,0
ZION.US,D,20000209,000000,46.7454,46.8452,43.1064,44.0005,1118470.6627883,0
ZION.US,D,20000210,000000,44.252,45.0961,43.6993,43.8509,433260.92700783,0
ZION.US,D,20000211,000000,44.252,44.7039,43.5085,43.6503,536408.26247139,0
ZION.US,D,20000214,000000,43.6503,44.0905,43.1563,43.2052,238329.95424433,0
ZION.US,D,20000215,000000,43.4068,44.3028,42.7523,43.7511,493140.13321842,0
ZION.US,D,20000216,000000,43.6993,43.7511,43.306,43.5505,279554.53971994,0
ZION.US,D,20000217,000000,43.6993,44.5024,43.1563,43.9263,525292.97908408,0
ZION.US,D,20000218,000000,43.8979,44.0005,39.6083,39.8109,1404004.5359517,0
ZION.US,D,20000222,000000,39.9587,40.8546,39.0166,40.8135,843931.44361441,0
ZION.US,D,20000223,000000,40.7617,40.9046,39.3648,40.4124,517523.62805461,0
ZION.US,D,20000224,000000,40.5368,41.1579,40.2618,40.612,982335.27622331,0
ZION.US,D,20000225,000000,40.612,40.612,39.8109,39.9097,404338.49551756,0
ZION.US,D,20000228,000000,39.8833,42.0354,39.6583,41.106,1230099.8805533,0
ZION.US,D,20000229,000000,41.3085,42.5048,40.7118,42.3503,496843.86463682,0
ZION.US,D,20000302,000000,40.4614,41.7066,40.4614,41.0552,505926.84936008,0
ZION.US,D,20000303,000000,40.9046,41.0317,25.5439,30.9807,17024565.908546,0
ZION.US,D,20000306,000000,31.3328,33.8262,29.6356,33.1758,4592199.6445015,0
ZION.US,D,20000307,000000,33.4243,33.4243,31.233,31.776,1389541.2756406,0
ZION.US,D,20000308,000000,32.3815,32.3815,29.1328,29.884,1732206.4582296,0
ZION.US,D,20000309,000000,29.6854,30.0358,29.034,29.4351,1030508.3194552,0
ZION.US,D,20000310,000000,29.486,31.7231,28.7797,29.7364,982578.57958451,0
ZION.US,D,20000313,000000,30.2304,31.0843,30.0358,30.3048,2355264.4526233,0
ZION.US,D,20000314,000000,30.605,30.8319,28.7415,29.082,640869.23162875,0
ZION.US,D,20000315,000000,29.3353,31.5274,29.2825,30.9317,994770.32700261,0
ZION.US,D,20000316,000000,31.6282,33.4243,31.5754,33.0231,1396355.8143198,0
ZION.US,D,20000317,000000,32.3296,34.2743,32.2269,32.6798,1207510.4924351,0
ZION.US,D,20000320,000000,32.7316,32.9223,31.3808,31.3808,648038.5025195,0
ZION.US,D,20000321,000000,31.3328,34.0258,30.8319,33.7245,611704.51906035,0
ZION.US,D,20000322,000000,33.5269,35.4031,33.5269,33.5768,632500.82274358,0
ZION.US,D,20000323,000000,33.3235,35.1254,33.1269,35.1254,805085.71075006,0
ZION.US,D,20000324,000000,34.9218,35.1254,33.5269,33.977,692380.02895419,0
ZION.US,D,20000327,000000,34.0023,34.0767,30.9807,31.4786,1076042.850186,0
ZION.US,D,20000328,000000,31.4336,32.9752,31.0305,31.7231,951503.22003266,0
ZION.US,D,20000329,000000,31.6772,32.6309,31.0305,31.5431,1046998.7670152,0
ZION.US,D,20000330,000000,31.5754,32.7815,30.5776,30.5776,1376152.4347942,0
ZION.US,D,20000331,000000,31.0305,34.3203,30.8319,33.2227,1690133.377839,0
ZION.US,D,20000403,000000,35.2075,35.323,30.7831,31.9295,4553597.2149984,0
ZION.US,D,20000404,000000,33.1269,34.9218,32.5301,33.2227,2615100.1749738,0
ZION.US,D,20000405,000000,32.7815,33.2746,32.6895,32.8227,798511.40858289,0
ZION.US,D,20000406,000000,33.1758,34.1686,33.0231,33.9289,1878376.5750189,0
ZION.US,D,20000407,000000,33.9289,34.0258,32.1281,32.4313,1014007.6490648,0
ZION.US,D,20000410,000000,32.4313,34.2205,32.3815,33.8262,1269784.9077855,0
ZION.US,D,20000411,000000,33.5768,36.7218,33.5269,36.0203,1187192.61721,0
ZION.US,D,20000412,000000,36.0203,39.3159,35.9167,36.4204,1731729.0520545,0
ZION.US,D,20000413,000000,37.114,38.5138,36.5212,37.918,3152586.946042,0
ZION.US,D,20000414,000000,37.8183,37.8691,36.0203,36.0673,1737702.2517999,0
ZION.US,D,20000417,000000,35.9167,35.9705,34.7722,35.8687,1382012.1611232,0
ZION.US,D,20000418,000000,35.9167,36.0203,33.7245,34.8738,580030.1016528,0
ZION.US,D,20000419,000000,34.9726,34.9726,31.8278,32.6309,703854.13368508,0
ZION.US,D,20000420,000000,32.8227,34.5227,32.5301,34.3203,1439863.1578019,0
ZION.US,D,20000424,000000,34.0767,35.8188,33.071,34.7213,446527.09389065,0
ZION.US,D,20000425,000000,34.8738,37.114,34.7213,35.6174,281111.47677493,0
ZION.US,D,20000426,000000,35.9167,35.9167,33.8262,34.2743,370391.54293391,0
ZION.US,D,20000427,000000,33.8262,33.9289,32.6309,33.071,368603.5699141,0
ZION.US,D,20000428,000000,33.4243,33.7245,32.5301,33.1269,268560.90801324,0
ZION.US,D,20000501,000000,33.071,33.8782,32.8227,33.3235,389034.91855556,0
ZION.US,D,20000502,000000,33.4243,34.3203,32.8227,34.2743,723217.19655999,0
ZION.US,D,20000503,000000,34.2205,34.3203,32.3296,32.4793,401707.13899784,0
ZION.US,D,20000504,000000,32.6309,33.4243,31.4786,32.4313,637761.49121697,0
ZION.US,D,20000505,000000,32.2777,32.7316,31.9295,32.5301,395968.04206634,0
ZION.US,D,20000508,000000,32.2777,33.7245,31.9295,33.5269,794092.07904335,0
ZION.US,D,20000509,000000,33.6746,34.6195,32.9752,33.5269,660949.93719086,0
ZION.US,D,20000510,000000,33.1269,33.3235,31.1832,31.8767,373261.09139966,0
ZION.US,D,20000511,000000,32.2944,33.751,32.2455,33.1503,782138.5235713,0
ZION.US,D,20000512,000000,32.9997,34.0503,32.5966,33.6521,415570.31917031,0
ZION.US,D,20000515,000000,33.8537,34.2547,33.5504,34.0503,496246.85134718,0
ZION.US,D,20000516,000000,34.555,34.6048,33.5014,33.7,302145.9724042,0
ZION.US,D,20000517,000000,33.5014,33.6012,32.5477,33.2012,305495.99389415,0
ZION.US,D,20000518,000000,32.8461,33.9533,32.7992,33.2491,275251.75044585,0
ZION.US,D,20000519,000000,32.8461,33.751,32.7463,33.2746,517523.62805461,0
ZION.US,D,20000522,000000,33.5014,34.2029,32.6984,34.0503,235936.78967064,0
ZION.US,D,20000523,000000,33.7,35.1575,33.5504,34.555,602381.29782497,0
ZION.US,D,20000524,000000,34.5315,35.7102,34.4054,35.3571,595328.56719966,0
ZION.US,D,20000525,000000,35.3063,35.6604,34.3525,35.2573,514532.42790826,0
ZION.US,D,20000526,000000,35.2075,36.7638,35.1575,36.1114,641342.54867174,0
ZION.US,D,20000530,000000,36.4605,37.7665,36.1611,37.6099,706006.03946365,0
ZION.US,D,20000531,000000,37.114,38.2204,36.5623,37.4661,772694.67293835,0
ZION.US,D,20000601,000000,37.4162,39.0225,37.1659,38.1206,465292.1211929,0
ZION.US,D,20000602,000000,38.7456,39.8256,38.4698,38.8239,394417.23870953,0
ZION.US,D,20000605,000000,39.0733,39.0733,37.1659,38.371,318758.07164485,0
ZION.US,D,20000606,000000,38.2937,38.2937,36.7638,37.2675,494456.8337613,0
ZION.US,D,20000607,000000,36.9643,37.8691,36.6591,37.6677,343621.01722222,0
ZION.US,D,20000608,000000,37.6178,37.6178,36.1114,36.2599,117489.96637719,0
ZION.US,D,20000609,000000,36.2599,37.0622,36.2599,36.3637,145936.01397538,0
ZION.US,D,20000612,000000,36.3637,37.2138,36.1114,37.114,207724.84488638,0
ZION.US,D,20000613,000000,36.7403,37.2059,36.5623,36.9643,216568.61538059,0
ZION.US,D,20000614,000000,37.2675,37.3145,36.4126,36.5134,166372.47403199,0
ZION.US,D,20000615,000000,36.7138,37.114,35.5596,37.0162,774973.34181266,0
ZION.US,D,20000616,000000,37.3908,37.4417,35.5087,36.1611,1890090.9162619,0
ZION.US,D,20000619,000000,36.1611,39.0225,36.0614,37.8691,549311.5188785,0
ZION.US,D,20000620,000000,38.1206,39.1261,37.4162,39.0733,646125.81097001,0
ZION.US,D,20000621,000000,38.7242,38.773,37.7176,38.2204,436607.88164869,0
ZION.US,D,20000622,000000,38.0941,38.5705,37.8691,38.1206,449036.79872978,0
ZION.US,D,20000623,000000,38.2693,38.4698,38.0188,38.3182,176051.44976186,0
ZION.US,D,20000626,000000,38.1685,38.371,37.9669,38.2693,1067915.700096,0
ZION.US,D,20000627,000000,38.3465,38.371,38.0697,38.1685,429195.30739674,0
ZION.US,D,20000628,000000,38.2693,38.2693,37.918,38.0697,334895.8315595,0
ZION.US,D,20000629,000000,38.146,38.1685,37.1659,37.2138,447961.35698202,0
ZION.US,D,20000630,000000,37.4417,37.4661,36.6591,36.8802,780587.7202145,0
ZION.US,D,20000703,000000,36.9643,38.1685,36.8645,38.1685,239873.60161993,0
ZION.US,D,20000705,000000,38.1685,38.4698,37.4162,37.8183,802335.76939884,0
ZION.US,D,20000706,000000,37.8437,37.8691,35.4559,37.5679,805206.34014763,0
ZION.US,D,20000707,000000,37.3908,38.5705,37.3644,38.0697,915047.58489291,0
ZION.US,D,20000710,000000,38.1206,38.417,37.6178,38.0697,158124.69454438,0
ZION.US,D,20000711,000000,37.7665,38.8679,37.7665,38.0188,260673.99443528,0
ZION.US,D,20000712,000000,38.0443,38.773,37.518,37.518,313139.60411091,0
ZION.US,D,20000713,000000,37.8183,38.2693,37.2138,38.2693,392863.36850364,0
ZION.US,D,20000714,000000,38.0188,38.4698,37.7665,38.371,246090.10472653,0
ZION.US,D,20000717,000000,38.4698,38.4698,36.7138,36.8645,575728.33466174,0
