<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AA.US,D,20000103,000000,83.122,84.6691,81.4425,82.0755,1500538.0870429,0
AA.US,D,20000104,000000,81.5667,82.974,81.4425,82.473,2161252.6330188,0
AA.US,D,20000105,000000,83.122,87.6455,82.0755,87.1138,3018867.425417,0
AA.US,D,20000106,000000,86.9826,87.4985,85.9442,86.0764,4346781.0662141,0
AA.US,D,20000107,000000,87.1138,88.0133,85.6997,85.8259,4385463.9560571,0
AA.US,D,20000110,000000,88.2865,88.4116,85.5755,85.5755,3709564.4563147,0
AA.US,D,20000111,000000,83.122,85.6997,83.122,85.0449,2158159.2898858,0
AA.US,D,20000112,000000,84.6691,85.0449,83.8802,84.2717,1811940.3314279,0
AA.US,D,20000113,000000,84.2717,84.2717,82.473,82.7235,2026439.6273145,0
AA.US,D,20000114,000000,82.7235,82.7235,80.2629,81.051,1816677.9564995,0
AA.US,D,20000118,000000,81.692,81.692,78.981,79.1062,2379427.9153939,0
AA.US,D,20000119,000000,79.1062,80.0126,78.7097,79.2325,2412211.9186248,0
AA.US,D,20000120,000000,76.6447,77.0362,73.5432,74.4496,5007302.4040308,0
AA.US,D,20000121,000000,75.2366,78.0667,74.5757,76.3943,3551541.3141875,0
AA.US,D,20000124,000000,77.0362,77.4267,73.6615,74.4496,1775673.5498678,0
AA.US,D,20000125,000000,74.4496,75.3628,72.7751,73.2938,2436584.3228807,0
AA.US,D,20000126,000000,73.418,73.6615,71.7396,72.1322,3039369.6287328,0
AA.US,D,20000127,000000,73.0205,73.1686,71.0996,71.4723,2188136.7433451,0
AA.US,D,20000128,000000,72.2563,73.1686,70.1893,70.4418,2943049.3235899,0
AA.US,D,20000131,000000,70.8303,71.8687,70.1893,70.5651,1730124.7263238,0
AA.US,D,20000201,000000,71.7396,73.8096,71.2248,73.1686,2156320.7934955,0
AA.US,D,20000202,000000,72.8962,76.911,72.7751,75.8796,2700599.2473311,0
AA.US,D,20000203,000000,75.8796,75.8796,72.632,73.5432,1395026.3062403,0
AA.US,D,20000204,000000,73.6615,73.6615,70.9546,71.7396,1426168.0401176,0
AA.US,D,20000207,000000,71.992,71.992,69.2771,69.2771,2392096.1316274,0
AA.US,D,20000208,000000,70.1893,70.1893,66.9647,67.0869,3295938.9950045,0
AA.US,D,20000209,000000,66.9647,67.85,65.5395,65.785,5056431.6162761,0
AA.US,D,20000210,000000,66.0593,68.7623,65.785,66.5712,2616558.7295181,0
AA.US,D,20000211,000000,67.4654,69.9171,67.4654,68.8895,2374593.6862425,0
AA.US,D,20000214,000000,69.6746,73.6615,69.4043,73.5432,1996557.7716424,0
AA.US,D,20000215,000000,73.0205,75.4891,73.0205,75.0916,2505247.6850605,0
AA.US,D,20000216,000000,74.9653,76.764,74.4496,74.9653,3386266.8283333,0
