<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABT.US,D,20000103,000000,12.3535,12.6142,12.1771,12.2663,12803772.739527,0
ABT.US,D,20000104,000000,12.0652,12.1771,11.8294,11.9116,12923921.169132,0
ABT.US,D,20000105,000000,11.761,12.0246,11.761,11.8898,14113082.316435,0
ABT.US,D,20000106,000000,11.9116,12.3535,11.8472,12.3069,21043982.055233,0
ABT.US,D,20000107,000000,12.091,12.7014,12.091,12.4397,18968978.15721,0
ABT.US,D,20000110,000000,12.6142,12.639,12.2187,12.3535,12571519.078704,0
ABT.US,D,20000111,000000,12.0454,12.3287,12.0454,12.1771,11477291.892788,0
ABT.US,D,20000112,000000,12.2613,12.3209,11.973,11.9938,10028785.533759,0
ABT.US,D,20000113,000000,11.9938,12.1019,11.859,11.8818,12780707.833739,0
ABT.US,D,20000114,000000,12.1465,12.193,11.973,12.1465,13505091.19802,0
ABT.US,D,20000118,000000,11.9046,12.1465,11.6669,11.8818,13663059.816175,0
ABT.US,D,20000119,000000,11.5727,11.7748,11.5727,11.6411,20285800.101595,0
ABT.US,D,20000120,000000,11.5133,11.5727,11.1536,11.2923,18575537.589693,0
ABT.US,D,20000121,000000,11.0932,11.1328,10.8256,10.9812,22758264.147961,0
ABT.US,D,20000124,000000,10.7829,10.8712,10.564,10.564,24808593.491334,0
ABT.US,D,20000125,000000,10.564,10.7621,10.343,10.4342,27359641.705226,0
ABT.US,D,20000126,000000,10.4986,10.564,10.3648,10.455,16899872.941065,0
ABT.US,D,20000127,000000,10.4807,10.9812,10.4342,10.8474,19390041.10654,0
ABT.US,D,20000128,000000,10.9812,11.3319,10.9366,11.2259,16651797.28974,0
ABT.US,D,20000131,000000,11.2259,11.5727,10.8959,11.4657,13787499.297165,0
ABT.US,D,20000201,000000,11.3983,11.5727,11.2259,11.5727,9692471.8584737,0
ABT.US,D,20000202,000000,11.5341,11.7085,11.5341,11.6411,12402559.434999,0
ABT.US,D,20000203,000000,11.6173,11.7748,11.5975,11.7085,9843466.0043515,0
ABT.US,D,20000204,000000,11.9046,12.3466,11.9046,12.1247,16030663.564977,0
