<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFL.US,D,20000103,000000,8.57199,8.6071,8.09162,8.17439,3201810.1689002,0
AFL.US,D,20000104,000000,7.89664,8.24108,7.89664,7.95725,3640901.8073161,0
AFL.US,D,20000105,000000,7.96784,8.06818,7.88625,7.91174,1815899.3048231,0
AFL.US,D,20000106,000000,7.87477,8.11771,7.82887,8.06818,2717137.2862375,0
AFL.US,D,20000107,000000,8.05739,8.24108,8.01346,8.22873,3031851.1844463,0
AFL.US,D,20000110,000000,8.20735,8.21774,7.63587,7.74069,7407808.6737776,0
AFL.US,D,20000111,000000,7.67029,7.72963,7.49835,7.58035,8805514.5412872,0
AFL.US,D,20000112,000000,7.54661,7.56857,7.22532,7.45256,7878002.9042322,0
AFL.US,D,20000113,000000,7.52111,7.67029,7.48718,7.62379,10153364.903279,0
AFL.US,D,20000114,000000,7.70275,7.94617,7.70275,7.84094,7666763.4470112,0
AFL.US,D,20000118,000000,7.77356,7.77356,7.2822,7.30397,8299932.2416647,0
AFL.US,D,20000119,000000,7.22532,7.25905,6.84841,6.87215,9498739.1539021,0
AFL.US,D,20000120,000000,7.04201,7.54661,6.93982,7.43176,22675381.228498,0
AFL.US,D,20000121,000000,7.43176,7.43176,7.01004,7.07692,6366620.2440453,0
AFL.US,D,20000124,000000,7.11037,7.18109,6.91558,6.99837,5342610.4292708,0
AFL.US,D,20000125,000000,6.98728,7.34203,6.96365,7.29308,7023396.3791616,0
AFL.US,D,20000126,000000,7.35311,7.67029,7.2822,7.65891,6467415.114751,0
AFL.US,D,20000127,000000,7.85251,7.85251,7.41989,7.52111,4086971.7482468,0
AFL.US,D,20000128,000000,7.43176,7.82887,7.39665,7.67029,6944042.1492044,0
AFL.US,D,20000131,000000,7.68127,8.01346,7.49835,7.9345,6279241.5779701,0
AFL.US,D,20000201,000000,8.01346,8.16164,8.001,8.09162,7448546.7068986,0
AFL.US,D,20000202,000000,8.05739,8.10575,7.89664,8.10575,4523923.1971567,0
