<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASH.US,D,20000103,000000,9.90553,9.94317,9.71038,9.71038,1674964.6873063,0
ASH.US,D,20000104,000000,9.63806,9.80846,9.63806,9.69056,506702.38691574,0
ASH.US,D,20000105,000000,9.56079,9.92237,9.56079,9.80846,494327.7150033,0
ASH.US,D,20000106,000000,9.78666,9.97591,9.69056,9.92237,4796673.7789701,0
ASH.US,D,20000107,000000,10.0323,10.4881,10.0165,10.3365,550822.801301,0
ASH.US,D,20000110,000000,10.2047,10.2047,10.0729,10.167,607587.40692333,0
ASH.US,D,20000111,000000,10.167,10.3018,10.167,10.2245,365065.4393629,0
ASH.US,D,20000112,000000,10.3018,10.3612,10.2631,10.2849,343698.71447746,0
ASH.US,D,20000113,000000,10.2631,10.3186,10.0938,10.2434,253207.85359234,0
ASH.US,D,20000114,000000,10.1889,10.2434,10.0552,10.1146,490123.41542622,0
ASH.US,D,20000118,000000,10.0552,10.3186,9.95907,10.3018,567405.8105332,0
ASH.US,D,20000119,000000,10.2631,10.3186,10.0552,10.2631,525249.75796714,0
ASH.US,D,20000120,000000,10.2245,10.81,10.1313,10.4504,863893.21859539,0
ASH.US,D,20000121,000000,10.4504,10.7723,10.4316,10.604,716634.72378092,0
ASH.US,D,20000124,000000,10.5653,10.5653,9.90553,10.0165,833821.12046801,0
ASH.US,D,20000125,000000,10.0938,10.2047,10.0165,10.0938,988114.37248599,0
ASH.US,D,20000126,000000,10.0938,10.2245,9.74901,9.78666,1450693.3167094,0
ASH.US,D,20000127,000000,9.74901,9.80846,9.40694,9.71038,688805.59171843,0
ASH.US,D,20000128,000000,9.86195,9.97591,9.71038,9.76883,643004.46693801,0
ASH.US,D,20000131,000000,9.74901,9.90553,9.74901,9.88274,585394.96365757,0
ASH.US,D,20000201,000000,9.86195,9.90553,9.73118,9.90553,325437.01372144,0
ASH.US,D,20000202,000000,10.0165,10.2047,9.97591,10.0006,517098.56490955,0
ASH.US,D,20000203,000000,10.0006,10.0165,9.86195,9.94317,298736.4307411,0
ASH.US,D,20000204,000000,10.0006,10.0323,9.83024,9.95907,1118796.924118,0
ASH.US,D,20000207,000000,9.95907,10.0552,9.80846,9.80846,243378.97844661,0
ASH.US,D,20000208,000000,9.80846,9.95907,9.73118,9.90553,358603.03218585,0
ASH.US,D,20000209,000000,9.97591,9.97591,9.67472,9.67472,283560.57483674,0
ASH.US,D,20000210,000000,9.71038,9.71038,9.56079,9.63806,336954.67474771,0
ASH.US,D,20000211,000000,9.67472,9.71038,9.4855,9.6222,199531.111693,0
ASH.US,D,20000214,000000,9.63806,9.71038,9.52314,9.71038,428295.4804693,0
ASH.US,D,20000215,000000,9.57763,9.71038,9.57763,9.65985,584825.64193813,0
ASH.US,D,20000216,000000,9.69056,9.78666,9.56079,9.63806,1187930.1450387,0
ASH.US,D,20000217,000000,9.56079,9.6222,9.50234,9.56079,571902.84645537,0
ASH.US,D,20000218,000000,9.4855,9.54493,9.21822,9.33166,440657.02971799,0
ASH.US,D,20000222,000000,9.39901,9.56871,9.35889,9.47262,657336.43461994,0
ASH.US,D,20000223,000000,9.47262,9.47262,9.34156,9.34156,470729.12784537,0
ASH.US,D,20000224,000000,9.26161,9.26161,8.76707,8.89993,462866.63339019,0
ASH.US,D,20000225,000000,9.01831,9.16928,8.97492,8.97492,953256.53983403,0
ASH.US,D,20000228,000000,9.07388,9.2413,8.92271,9.19049,460049.2984275,0
ASH.US,D,20000229,000000,9.19049,9.72326,9.14779,9.53107,833263.91197665,0
ASH.US,D,20000301,000000,9.53107,9.83916,9.49441,9.82133,789415.03578736,0
ASH.US,D,20000302,000000,9.80052,10.0462,9.63013,9.80052,694429.1578514,0
ASH.US,D,20000303,000000,9.95509,9.95509,9.7401,9.76189,1438323.6919753,0
ASH.US,D,20000306,000000,9.80052,9.80052,9.45281,9.47262,764690.9278543,0
ASH.US,D,20000307,000000,9.47262,9.76189,9.47262,9.63013,1440854.347207,0
ASH.US,D,20000308,000000,9.66778,9.72326,9.51522,9.5905,997387.04857602,0
ASH.US,D,20000309,000000,9.49441,9.70444,9.43596,9.63013,455837.93280073,0
ASH.US,D,20000310,000000,9.51522,9.7817,9.3786,9.72326,820052.41789148,0
ASH.US,D,20000313,000000,9.64698,9.76189,9.47262,9.7401,581175.52254541,0
ASH.US,D,20000314,000000,9.66778,9.68759,9.2413,9.45281,2021194.0570153,0
ASH.US,D,20000315,000000,9.49441,9.83916,9.39901,9.70444,771713.57182973,0
ASH.US,D,20000316,000000,9.82133,10.3791,9.80052,10.3573,1533033.9939727,0
ASH.US,D,20000317,000000,10.163,10.2007,9.68759,9.72326,895083.77144819,0
ASH.US,D,20000320,000000,9.72326,9.83916,9.64698,9.72326,730685.05891015,0
ASH.US,D,20000321,000000,9.83916,10.0729,9.83916,9.99176,430533.39935582,0
ASH.US,D,20000322,000000,9.91446,10.0889,9.8778,10.0729,576118.24982484,0
ASH.US,D,20000323,000000,9.99176,10.2225,9.8778,10.0462,469886.24905861,0
ASH.US,D,20000324,000000,9.97591,10.2225,9.97591,10.1265,440095.78348393,0
ASH.US,D,20000327,000000,10.2007,10.2592,9.89662,9.91446,424925.98419361,0
ASH.US,D,20000328,000000,9.91446,10.185,9.89662,9.93525,490403.02910758,0
ASH.US,D,20000329,000000,9.89662,10.185,9.83916,10.1265,429979.21917148,0
ASH.US,D,20000330,000000,10.1453,10.9795,10.1453,10.9189,597757.52234194,0
ASH.US,D,20000331,000000,10.9595,11.0349,10.7723,10.7723,1213782.8020539,0
ASH.US,D,20000403,000000,10.8347,10.8347,10.6347,10.6772,662111.06535213,0
ASH.US,D,20000404,000000,10.7516,10.7723,10.595,10.6951,573028.36723051,0
ASH.US,D,20000405,000000,10.7139,10.7338,10.2671,10.3098,599156.60018439,0
ASH.US,D,20000406,000000,10.391,10.6554,10.2671,10.391,1156171.2799022,0
ASH.US,D,20000407,000000,10.4712,10.595,10.3315,10.391,1354021.6812,0
ASH.US,D,20000410,000000,10.3483,10.5088,10.3315,10.3315,934148.93198424,0
ASH.US,D,20000411,000000,10.167,10.4316,10.1046,10.2464,1753923.7550657,0
ASH.US,D,20000412,000000,10.4881,11.2657,10.4881,10.9398,1648537.6613933,0
ASH.US,D,20000413,000000,10.9398,11.1825,10.7942,10.81,672231.66740727,0
ASH.US,D,20000414,000000,10.7338,11.0566,10.3702,10.5306,673355.16931106,0
ASH.US,D,20000417,000000,10.6119,10.7723,10.4504,10.5306,553635.08908533,0
ASH.US,D,20000418,000000,10.391,10.8347,10.3702,10.7723,713269.26524791,0
ASH.US,D,20000419,000000,10.8566,11.1825,10.7338,11.0349,686003.39829082,0
ASH.US,D,20000420,000000,11.0566,11.3371,10.8754,10.9595,672231.66740727,0
ASH.US,D,20000424,000000,10.7338,11.1379,10.6772,10.9595,678410.42316028,0
ASH.US,D,20000425,000000,11.0725,11.1597,10.9189,11.1597,543241.93939853,0
