<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXP.US,D,20000103,000000,40.2253,40.2253,38.1501,38.4279,7665094.9744513,0
AXP.US,D,20000104,000000,37.9635,38.1073,36.444,36.9948,12367024.659323,0
AXP.US,D,20000105,000000,36.8558,37.499,36.0758,36.0758,10241373.009547,0
AXP.US,D,20000106,000000,35.6083,37.3223,35.6083,36.7646,13018605.632219,0
AXP.US,D,20000107,000000,36.8985,37.5913,36.3516,37.3223,7126374.3797252,0
AXP.US,D,20000110,000000,37.4583,38.3337,37.1804,37.8295,5811443.969688,0
AXP.US,D,20000111,000000,37.7769,39.1614,37.6439,38.1917,8479063.625172,0
AXP.US,D,20000112,000000,38.1917,38.8904,37.5516,38.0131,6890101.3009505,0
AXP.US,D,20000113,000000,38.3337,38.7465,37.7769,38.1917,6906745.4157507,0
AXP.US,D,20000114,000000,38.6582,39.4422,38.6145,39.0711,7451151.7505226,0
AXP.US,D,20000118,000000,38.7048,38.7048,37.0841,37.0841,6950184.9533362,0
AXP.US,D,20000119,000000,37.5913,37.8731,36.444,36.4856,7827893.7424654,0
AXP.US,D,20000120,000000,36.7646,37.8731,36.3516,37.0841,13397781.922931,0
AXP.US,D,20000121,000000,37.4583,37.6439,36.9531,37.1357,7475104.8070722,0
AXP.US,D,20000124,000000,37.7769,38.7048,36.8558,37.23,11880273.723612,0
AXP.US,D,20000125,000000,37.1357,38.8904,37.1357,38.8021,12023171.897679,0
AXP.US,D,20000126,000000,39.1614,40.1836,39.0711,39.1197,15631420.31547,0
AXP.US,D,20000127,000000,39.4006,40.2253,39.1614,39.9098,7385788.4104105,0
AXP.US,D,20000128,000000,39.4422,39.7202,38.6145,38.7465,8540773.5019833,0
AXP.US,D,20000131,000000,38.4279,40.5995,38.3763,40.3206,8773392.1098832,0
AXP.US,D,20000201,000000,40.2769,41.5185,40.0924,41.3815,10991603.537007,0
AXP.US,D,20000202,000000,41.2466,41.2466,40.0378,40.1836,10609182.858037,0
AXP.US,D,20000203,000000,40.2769,40.5032,39.3043,39.8542,8830222.3058436,0
AXP.US,D,20000204,000000,39.8542,40.0378,39.3043,39.5336,6106175.4839966,0
AXP.US,D,20000207,000000,39.5336,40.134,39.4006,39.7608,5295455.2518313,0
AXP.US,D,20000208,000000,40.0378,40.4625,39.8542,39.9098,6240546.5593557,0
