<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
B.US,D,20000103,000000,13.8912,14.3912,13.7983,13.9957,1908455,0
B.US,D,20000104,000000,13.6959,13.9957,13.5468,13.7983,2258822,0
B.US,D,20000105,000000,13.8912,14.1374,13.7983,14.0451,1624318,0
B.US,D,20000106,000000,14.0451,14.0896,13.8457,14.0451,1440028,0
B.US,D,20000107,000000,14.0896,14.1374,13.6475,13.6959,1516620,0
B.US,D,20000110,000000,13.7983,13.7983,13.6475,13.6959,1211130,0
B.US,D,20000111,000000,13.7983,14.0896,13.6475,13.9398,2419851,0
B.US,D,20000112,000000,13.7488,13.8912,13.6475,13.6959,1183323,0
B.US,D,20000113,000000,13.6959,13.9398,13.5998,13.5998,1450775,0
B.US,D,20000114,000000,13.5468,13.5998,13.4023,13.4023,2035481,0
B.US,D,20000118,000000,13.6475,13.9957,13.5468,13.8912,2960066,0
B.US,D,20000119,000000,13.7983,13.8457,13.6475,13.6959,1975697,0
B.US,D,20000120,000000,13.5998,13.5998,13.4509,13.4973,1889241,0
B.US,D,20000121,000000,13.4973,13.6475,13.4509,13.5468,1753236,0
B.US,D,20000124,000000,13.4023,13.4509,13.003,13.0991,3269234,0
B.US,D,20000125,000000,13.2981,13.2981,12.9537,13.0515,1571352,0
B.US,D,20000126,000000,13.0515,13.1585,12.8102,12.8597,1607504,0
B.US,D,20000127,000000,12.9051,13.4509,12.8102,13.4023,3385390,0
B.US,D,20000128,000000,13.3557,13.4973,12.8597,12.9051,1687387,0
B.US,D,20000131,000000,12.9537,13.0991,12.8597,12.9537,1159932,0
B.US,D,20000201,000000,12.8597,12.9051,12.6117,12.8102,935331,0
B.US,D,20000202,000000,13.0991,13.2981,12.9051,12.9537,1734405,0
B.US,D,20000203,000000,12.9537,13.2077,12.7545,13.0991,2299393,0
B.US,D,20000204,000000,13.6475,14.6363,13.4509,14.5404,6639582,0
B.US,D,20000207,000000,15.033,15.625,13.9957,14.1374,7605625,0
B.US,D,20000208,000000,14.0451,14.0896,13.4973,13.6475,2909634,0
B.US,D,20000209,000000,14.1374,14.7323,14.1374,14.5887,3789730,0
B.US,D,20000210,000000,14.6838,14.8354,14.2433,14.5887,3159019,0
B.US,D,20000211,000000,14.4398,14.4861,13.9957,14.4861,2315193,0
B.US,D,20000214,000000,14.3912,14.3912,13.7983,13.8457,1670954,0
B.US,D,20000215,000000,13.7983,14.1374,13.5998,14.1374,2047869,0
B.US,D,20000216,000000,14.2898,14.5404,14.0896,14.1374,1972537,0
B.US,D,20000217,000000,14.4861,14.5404,13.6959,13.6959,1378093,0
B.US,D,20000218,000000,13.8457,14.2433,13.7983,14.1931,2204851,0
B.US,D,20000222,000000,13.9957,14.5887,13.8457,14.3912,2133057,0
B.US,D,20000224,000000,13.6475,13.6959,13.0991,13.2077,2326949,0
B.US,D,20000225,000000,13.003,13.2526,12.8597,13.2077,1666531,0
B.US,D,20000228,000000,13.2526,13.3557,13.003,13.003,1542665,0
B.US,D,20000229,000000,13.1585,13.3557,12.9051,12.9051,2005144,0
B.US,D,20000301,000000,13.1585,13.1585,12.9537,13.1585,1092822,0
B.US,D,20000302,000000,12.9537,13.0515,12.7052,12.9537,1924253,0
B.US,D,20000303,000000,13.003,13.003,12.8597,12.8597,1874325,0
B.US,D,20000306,000000,12.8597,12.9051,12.5644,12.7545,1839565,0
B.US,D,20000307,000000,12.8597,13.5998,12.7545,13.4973,5330243,0
B.US,D,20000308,000000,13.3557,13.6959,13.0515,13.0991,2854272,0
B.US,D,20000309,000000,13.2981,13.4509,13.0515,13.2077,2004646,0
B.US,D,20000310,000000,13.0991,13.0991,12.7545,12.8102,1198866,0
B.US,D,20000313,000000,13.2077,13.3557,12.9537,13.2077,1440281,0
B.US,D,20000314,000000,13.003,13.2077,12.8597,13.1585,1399711,0
B.US,D,20000315,000000,13.1585,13.2526,12.9051,13.2077,1253086,0
B.US,D,20000316,000000,13.0991,13.2077,12.8597,13.1585,1595245,0
B.US,D,20000317,000000,13.0515,13.2077,12.8102,12.9051,1646054,0
B.US,D,20000320,000000,12.9537,13.2526,12.9537,13.003,1336637,0
B.US,D,20000321,000000,13.003,13.6475,12.9537,13.6475,3158512,0
B.US,D,20000322,000000,13.4509,13.4973,13.003,13.003,2486335,0
B.US,D,20000323,000000,12.9537,13.1585,12.9051,13.1585,1192421,0
B.US,D,20000324,000000,13.1585,13.4023,13.0515,13.2526,1479089,0
B.US,D,20000327,000000,13.0991,13.2526,12.8597,12.9537,1368489,0
B.US,D,20000328,000000,13.0515,13.0991,12.7052,12.7545,1747805,0
B.US,D,20000329,000000,12.8102,12.9537,12.3128,12.6117,2770980,0
B.US,D,20000330,000000,12.6117,12.8102,12.5644,12.5644,1036953,0
B.US,D,20000331,000000,12.5644,12.8102,12.3622,12.4106,1938415,0
B.US,D,20000403,000000,12.4106,12.6584,12.2637,12.6584,1980500,0
B.US,D,20000404,000000,12.6117,13.4023,12.3128,13.4023,5863259,0
B.US,D,20000405,000000,13.2981,13.6475,13.2981,13.5998,2854150,0
B.US,D,20000406,000000,13.4509,13.4509,13.0991,13.1585,1326021,0
B.US,D,20000407,000000,13.0991,13.2526,12.9051,12.9537,1386055,0
B.US,D,20000410,000000,13.1585,13.2526,12.8102,13.0515,1308578,0
B.US,D,20000411,000000,13.1585,13.2981,13.003,13.0515,1709379,0
B.US,D,20000412,000000,12.9051,13.3557,12.8597,12.8597,1721385,0
B.US,D,20000413,000000,12.8597,12.9537,12.5644,12.7545,1554161,0
B.US,D,20000414,000000,13.1585,13.7488,13.003,13.6475,5105643,0
B.US,D,20000417,000000,13.4023,13.5468,13.1585,13.3557,2813702,0
B.US,D,20000418,000000,13.2981,13.3557,13.0515,13.2526,1310978,0
B.US,D,20000419,000000,13.2077,13.5998,13.1585,13.5468,2204983,0
B.US,D,20000420,000000,13.4973,14.0896,13.4509,13.4973,2777925,0
B.US,D,20000424,000000,13.7488,13.8912,13.5468,13.5468,2084772,0
B.US,D,20000425,000000,13.4973,13.5998,13.1585,13.2077,1891895,0
B.US,D,20000426,000000,13.003,13.3557,12.9051,13.003,2140011,0
B.US,D,20000427,000000,13.2981,13.5468,13.2526,13.4509,3194278,0
B.US,D,20000428,000000,13.1585,13.4023,13.0991,13.2981,1125177,0
B.US,D,20000501,000000,13.1585,13.4973,13.1585,13.4509,1242092,0
B.US,D,20000502,000000,13.5998,14.7323,13.5468,14.7323,5259340,0
B.US,D,20000503,000000,14.4398,14.7859,14.0896,14.6838,4474800,0
B.US,D,20000504,000000,14.7859,15.1261,14.4398,14.6363,5260096,0
B.US,D,20000505,000000,14.7323,14.7859,14.0896,14.1931,2077192,0
B.US,D,20000508,000000,14.1374,14.2433,13.9398,14.2433,1214037,0
B.US,D,20000509,000000,14.1931,14.7323,14.0896,14.5404,1842223,0
B.US,D,20000510,000000,14.7859,14.9362,14.4861,14.6838,2110183,0
B.US,D,20000511,000000,14.4861,14.6363,14.1931,14.4398,1327788,0
B.US,D,20000512,000000,14.4861,14.7323,14.3429,14.3912,1806955,0
B.US,D,20000515,000000,14.3429,14.8354,14.3429,14.6363,2596304,0
B.US,D,20000516,000000,14.5887,14.9836,14.4398,14.5887,2303311,0
B.US,D,20000517,000000,14.4861,14.4861,13.8912,13.9398,1832995,0
B.US,D,20000518,000000,13.8912,14.1931,13.7744,13.8457,1401983,0
B.US,D,20000519,000000,13.9398,14.2433,13.8457,13.8457,1807337,0
B.US,D,20000522,000000,13.9398,14.5404,13.8457,13.9957,2712076,0
B.US,D,20000523,000000,13.8912,14.4398,13.7488,14.2433,1695602,0
B.US,D,20000524,000000,14.1931,14.882,14.1931,14.5887,2681109,0
B.US,D,20000525,000000,14.4861,14.7859,14.2898,14.2898,1900491,0
B.US,D,20000526,000000,14.1931,14.8354,14.1931,14.3912,2015636,0
B.US,D,20000530,000000,14.6363,14.8354,14.4861,14.6363,1222629,0
B.US,D,20000531,000000,14.6363,14.7323,14.2433,14.3429,1565541,0
B.US,D,20000601,000000,14.3912,14.4861,14.2898,14.3912,1027726,0
B.US,D,20000605,000000,14.9836,15.4276,14.7323,15.3768,2662403,0
B.US,D,20000606,000000,15.5795,15.775,15.3316,15.5236,2518821,0
B.US,D,20000607,000000,15.033,15.2313,14.882,15.033,1547340,0
B.US,D,20000608,000000,14.9362,15.2313,14.8354,15.033,1066024,0
B.US,D,20000612,000000,14.882,15.4276,14.882,15.2788,1138573,0
B.US,D,20000613,000000,15.7274,15.8236,15.1261,15.1261,2075673,0
B.US,D,20000614,000000,15.181,15.5236,15.0814,15.3316,2371317,0
B.US,D,20000615,000000,15.033,15.1261,14.7859,14.9362,1452540,0
B.US,D,20000616,000000,14.9836,15.181,14.882,14.882,2521094,0
B.US,D,20000619,000000,14.7859,14.7859,14.4398,14.4398,1629371,0
B.US,D,20000620,000000,14.5887,14.6363,14.0896,14.2433,2049507,0
B.US,D,20000621,000000,14.1453,14.2433,13.8912,14.0451,1816184,0
B.US,D,20000622,000000,14.1931,14.3912,14.0451,14.1453,1822124,0
B.US,D,20000623,000000,14.0451,14.0896,13.6475,13.7983,1195074,0
B.US,D,20000626,000000,13.7488,13.9957,13.7488,13.7983,618580,0
B.US,D,20000627,000000,13.7488,14.0451,13.6959,13.9957,1309464,0
B.US,D,20000628,000000,14.1453,14.7323,14.0451,14.6509,2384966,0
B.US,D,20000629,000000,14.3912,14.5887,14.0451,14.0896,1409822,0
B.US,D,20000630,000000,14.1453,14.4398,13.9398,14.3749,999917,0
B.US,D,20000703,000000,14.3912,14.4398,14.2433,14.3347,300444,0
B.US,D,20000705,000000,14.1453,14.1453,13.7983,13.7983,1526736,0
B.US,D,20000706,000000,13.8457,14.0451,13.7983,13.8457,884522,0
B.US,D,20000707,000000,13.7983,13.8912,13.5998,13.8457,838889,0
B.US,D,20000710,000000,13.8912,14.0451,13.8912,13.9957,621490,0
B.US,D,20000711,000000,13.9957,14.5404,13.9398,14.5404,1596630,0
B.US,D,20000712,000000,14.3912,14.3912,14.2433,14.2433,1107986,0
B.US,D,20000713,000000,14.3347,14.4861,14.1453,14.1931,859997,0
B.US,D,20000714,000000,14.2433,14.3347,13.8457,13.8912,1008011,0
B.US,D,20000717,000000,13.9398,14.1453,13.9398,14.1453,685190,0
B.US,D,20000718,000000,14.0451,14.2433,13.9957,14.0896,741820,0
B.US,D,20000719,000000,13.8912,13.9398,13.6475,13.6959,1396678,0
B.US,D,20000720,000000,13.6959,13.7488,13.4509,13.4973,1403372,0
B.US,D,20000721,000000,13.4509,13.4973,13.0515,13.0515,1892528,0
B.US,D,20000724,000000,13.1492,13.2981,12.9593,13.003,1759936,0
B.US,D,20000725,000000,13.2077,13.2077,12.8597,12.9051,1331963,0
B.US,D,20000726,000000,13.003,13.1492,12.8102,12.9593,2129015,0
B.US,D,20000727,000000,12.9593,13.0991,12.7052,12.8597,868723,0
B.US,D,20000728,000000,12.8102,12.9593,12.6584,12.8102,1026967,0
B.US,D,20000731,000000,12.7052,12.7052,12.5078,12.6117,1563266,0
B.US,D,20000801,000000,12.7052,12.9593,12.6584,12.9593,912578,0
B.US,D,20000802,000000,13.003,13.0991,12.8102,13.003,1072722,0
B.US,D,20000803,000000,12.9593,13.003,12.3622,12.4574,1878623,0
B.US,D,20000804,000000,12.4574,12.7545,12.4574,12.6584,1005857,0
B.US,D,20000807,000000,12.6584,12.8597,12.5644,12.6584,519487,0
B.US,D,20000808,000000,12.7052,12.7545,12.6117,12.6584,929771,0
B.US,D,20000809,000000,12.6117,12.7052,12.5078,12.6117,1060462,0
B.US,D,20000810,000000,12.6584,12.8102,12.6117,12.6584,1274828,0
B.US,D,20000811,000000,12.7545,13.6475,12.7545,13.6475,2566344,0
B.US,D,20000814,000000,13.4509,13.5468,13.0991,13.4973,1172829,0
B.US,D,20000815,000000,13.3557,13.5998,13.2526,13.4973,965288,0
B.US,D,20000816,000000,13.6959,13.9398,13.5998,13.9398,1536721,0
B.US,D,20000817,000000,13.9398,13.9957,13.3557,13.3557,1228193,0
B.US,D,20000818,000000,13.2981,13.3557,13.0991,13.2526,1635565,0
B.US,D,20000821,000000,13.2526,13.2981,12.9051,13.003,1190776,0
B.US,D,20000822,000000,12.9051,13.0991,12.7052,12.9593,1562631,0
B.US,D,20000823,000000,12.8597,13.003,12.6584,12.7052,1760568,0
B.US,D,20000824,000000,12.8597,12.9593,12.7052,12.7545,1502094,0
B.US,D,20000825,000000,12.9051,12.9051,12.7545,12.8102,680520,0
B.US,D,20000830,000000,12.5644,12.6584,12.5078,12.6584,995117,0
B.US,D,20000831,000000,12.8102,13.0515,12.6117,12.6184,4098519,0
B.US,D,20000901,000000,12.6584,12.7545,12.5644,12.7545,1527619,0
B.US,D,20000905,000000,12.6117,12.8597,12.5644,12.8102,1239564,0
B.US,D,20000906,000000,12.7052,13.0991,12.5644,12.9593,2492653,0
B.US,D,20000907,000000,12.9593,13.0515,12.6117,12.6584,2542958,0
B.US,D,20000908,000000,12.6584,13.003,12.6584,13.003,3012905,0
B.US,D,20000911,000000,12.9051,13.003,12.7052,12.8102,1299471,0
B.US,D,20000912,000000,12.9051,13.0991,12.6584,12.7052,2365503,0
B.US,D,20000913,000000,12.7052,12.7545,12.5644,12.7052,1258403,0
B.US,D,20000914,000000,12.7052,12.7052,12.5078,12.5644,706680,0
B.US,D,20000915,000000,12.5644,12.6117,12.3128,12.3128,2456384,0
B.US,D,20000918,000000,12.3622,12.5078,12.0662,12.1667,1694594,0
B.US,D,20000919,000000,12.3128,12.3128,11.962,12.0662,1235395,0
B.US,D,20000920,000000,12.0662,12.0662,11.7745,11.8204,1390611,0
B.US,D,20000921,000000,11.9154,12.1156,11.8204,12.1156,1155138,0
B.US,D,20000922,000000,12.4574,12.4574,12.1063,12.1667,1594107,0
B.US,D,20000925,000000,12.2124,12.2124,11.962,12.017,1018372,0
B.US,D,20000926,000000,12.1667,12.2124,11.8652,11.8652,887428,0
B.US,D,20000927,000000,11.7745,12.4106,11.7745,12.3128,3844462,0
B.US,D,20000928,000000,12.2124,12.2124,11.8652,11.962,1332847,0
B.US,D,20000929,000000,11.7745,12.1667,11.718,12.0662,1183823,0
B.US,D,20001002,000000,11.962,12.017,11.7745,11.8204,969333,0
B.US,D,20001003,000000,11.8204,11.8652,11.6684,11.718,1042762,0
B.US,D,20001004,000000,11.718,11.962,11.718,11.8652,1149824,0
B.US,D,20001005,000000,11.9154,11.9154,11.3214,11.4246,2122188,0
B.US,D,20001006,000000,11.4246,11.6221,11.0763,11.1732,1573250,0
B.US,D,20001009,000000,11.2728,11.4713,11.2262,11.4246,718058,0
B.US,D,20001010,000000,11.4246,11.6924,11.2728,11.4246,1296576,0
B.US,D,20001011,000000,11.5679,11.6221,10.878,10.9274,2502892,0
B.US,D,20001012,000000,11.0763,11.7745,10.9274,11.6684,5317860,0
B.US,D,20001013,000000,11.4713,11.4713,10.9274,11.0269,2549412,0
B.US,D,20001016,000000,11.0269,11.2262,10.7775,10.9274,1058439,0
B.US,D,20001017,000000,10.7775,10.8298,10.53,10.6322,1408431,0
B.US,D,20001018,000000,10.7775,10.9833,10.2858,10.4365,2212437,0
B.US,D,20001019,000000,10.4824,10.53,10.1906,10.3818,1587028,0
B.US,D,20001020,000000,10.4824,10.6787,10.3324,10.3818,1811257,0
B.US,D,20001023,000000,10.53,10.6322,10.4365,10.4365,1921343,0
B.US,D,20001024,000000,10.53,10.53,9.98595,10.0391,2300913,0
B.US,D,20001025,000000,9.88996,10.0846,9.7383,10.0846,2335670,0
B.US,D,20001026,000000,10.0391,10.4824,9.93752,10.3818,2439316,0
B.US,D,20001027,000000,10.2382,10.8298,10.1906,10.7775,2220903,0
B.US,D,20001030,000000,10.878,11.2728,10.728,10.878,3811602,0
B.US,D,20001031,000000,10.878,10.9274,10.4824,10.5837,4450910,0
