<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BA.US,D,20000103,000000,32.935,32.984,31.482,31.782,3284168,0
BA.US,D,20000104,000000,31.528,32.533,31.426,31.728,4471634,0
BA.US,D,20000105,000000,33.24,34.293,32.732,33.739,9500335,0
BA.US,D,20000106,000000,33.433,34.391,32.533,34.091,6127409,0
BA.US,D,20000107,000000,34.696,35.499,34.589,35.04,7479446,0
BA.US,D,20000110,000000,35.04,35.193,34.444,34.589,2992000,0
BA.US,D,20000111,000000,34.344,34.742,33.837,33.94,3049889,0
BA.US,D,20000112,000000,33.837,34.945,33.644,34.091,2897764,0
BA.US,D,20000113,000000,34.293,34.344,33.24,33.537,3778254,0
BA.US,D,20000114,000000,34.542,34.996,33.987,34.792,4773883,0
BA.US,D,20000118,000000,34.696,35.595,34.141,35.595,7294581,0
BA.US,D,20000119,000000,35.899,38.063,35.794,37.707,14270487,0
BA.US,D,20000120,000000,37.66,37.909,36.197,36.797,11130351,0
BA.US,D,20000121,000000,37.149,37.149,35.595,36.148,5468010,0
BA.US,D,20000124,000000,36.248,36.552,34.542,35.04,4115733,0
BA.US,D,20000125,000000,35.595,36.398,35.392,36.148,6295466,0
BA.US,D,20000126,000000,36.148,36.797,35.595,36.552,3846718,0
BA.US,D,20000127,000000,36.398,37.107,35.499,35.65,4156687,0
BA.US,D,20000128,000000,35.442,36.102,35.193,35.298,2848344,0
BA.US,D,20000131,000000,34.792,35.248,34.742,35.193,3002335,0
BA.US,D,20000201,000000,34.696,34.945,34.293,34.589,3330976,0
BA.US,D,20000202,000000,34.344,35.748,34.344,35.298,4102410,0
BA.US,D,20000203,000000,35.595,35.65,34.141,34.391,3596503,0
BA.US,D,20000204,000000,34.589,34.945,33.691,34.792,3643930,0
BA.US,D,20000207,000000,34.696,34.696,32.984,33.088,3771157,0
BA.US,D,20000208,000000,33.185,33.288,31.637,32.437,6352106,0
BA.US,D,20000209,000000,31.981,31.981,30.478,30.973,6877810,0
BA.US,D,20000210,000000,30.829,31.932,30.775,31.577,5054844,0
BA.US,D,20000211,000000,31.577,32.034,31.081,31.684,3899872,0
BA.US,D,20000214,000000,31.482,31.528,30.222,30.372,3244458,0
BA.US,D,20000215,000000,30.273,30.728,29.672,30.576,4931229,0
BA.US,D,20000216,000000,29.971,30.123,29.272,29.572,4261129,0
BA.US,D,20000217,000000,29.572,30.077,29.014,29.773,4233119,0
BA.US,D,20000218,000000,29.672,29.773,28.47,28.565,6920755,0
BA.US,D,20000222,000000,28.517,31.728,28.47,30.88,5939687,0
BA.US,D,20000223,000000,30.677,30.728,29.416,29.477,4831021,0
BA.US,D,20000224,000000,29.272,29.368,28.47,29.014,5241820,0
BA.US,D,20000225,000000,29.416,30.172,29.226,30.028,3946929,0
BA.US,D,20000228,000000,29.773,29.875,29.014,29.368,4448230,0
BA.US,D,20000229,000000,29.518,29.875,28.671,29.321,4373288,0
BA.US,D,20000301,000000,28.97,29.073,28.517,28.821,3532891,0
BA.US,D,20000302,000000,28.821,29.518,28.069,28.517,5051857,0
BA.US,D,20000303,000000,28.671,28.97,28.316,28.517,4835131,0
BA.US,D,20000306,000000,28.671,28.717,27.763,27.869,3587664,0
BA.US,D,20000307,000000,27.869,27.869,27.11,27.619,4437898,0
BA.US,D,20000308,000000,27.011,27.159,26.507,26.507,5146966,0
BA.US,D,20000309,000000,26.607,27.41,26.413,26.814,4029340,0
BA.US,D,20000310,000000,26.958,26.958,25.659,25.705,6366551,0
BA.US,D,20000313,000000,25.61,26.308,25.4,25.909,4260754,0
BA.US,D,20000314,000000,26.01,26.863,25.756,26.261,4640680,0
BA.US,D,20000315,000000,26.11,28.163,26.11,27.713,6049108,0
BA.US,D,20000316,000000,27.763,28.517,27.563,28.267,5882177,0
BA.US,D,20000317,000000,29.572,30.929,28.069,30.172,19052333,0
BA.US,D,20000320,000000,29.518,29.926,28.869,29.368,7203215,0
BA.US,D,20000321,000000,29.518,29.723,28.717,29.014,5185306,0
BA.US,D,20000322,000000,29.321,29.518,28.366,28.768,4182206,0
BA.US,D,20000323,000000,28.267,28.517,27.666,27.869,5079493,0
BA.US,D,20000324,000000,28.565,28.92,28.163,28.565,7217028,0
BA.US,D,20000327,000000,28.768,29.626,28.671,29.477,3154457,0
BA.US,D,20000328,000000,29.321,30.328,29.272,30.172,6294470,0
BA.US,D,20000329,000000,29.971,30.328,29.626,30.077,3399694,0
BA.US,D,20000330,000000,30.077,30.929,29.875,30.677,4121831,0
BA.US,D,20000331,000000,30.775,30.829,30.028,30.028,5776237,0
BA.US,D,20000403,000000,29.971,29.971,29.416,29.518,4026723,0
BA.US,D,20000404,000000,29.672,30.372,29.014,29.626,4984639,0
BA.US,D,20000405,000000,29.272,29.572,28.565,28.615,3634843,0
BA.US,D,20000406,000000,28.565,28.92,28.267,28.671,3697712,0
BA.US,D,20000407,000000,28.717,28.821,28.069,28.316,2964740,0
BA.US,D,20000410,000000,28.163,28.267,27.763,27.812,3053126,0
BA.US,D,20000411,000000,27.763,28.869,27.763,28.316,2802286,0
BA.US,D,20000412,000000,28.517,30.478,28.47,29.875,5751464,0
BA.US,D,20000413,000000,29.875,29.875,28.97,29.368,3630861,0
BA.US,D,20000414,000000,28.565,29.166,27.619,28.069,4661850,0
BA.US,D,20000417,000000,27.869,28.069,27.063,28.021,4682637,0
BA.US,D,20000418,000000,27.511,27.812,27.261,27.619,4206477,0
BA.US,D,20000419,000000,28.517,29.971,28.214,29.572,7156652,0
BA.US,D,20000420,000000,29.773,31.981,29.773,31.826,10096620,0
BA.US,D,20000424,000000,31.482,32.732,29.773,30.077,12796704,0
BA.US,D,20000425,000000,30.372,31.426,30.372,30.973,6721703,0
BA.US,D,20000426,000000,31.128,32.18,30.973,31.728,6645395,0
BA.US,D,20000427,000000,30.973,31.981,30.929,31.637,3954520,0
BA.US,D,20000428,000000,31.482,31.826,30.929,31.528,2307456,0
BA.US,D,20000501,000000,31.528,31.932,30.973,31.025,3592769,0
BA.US,D,20000502,000000,31.025,31.025,30.028,30.123,3177113,0
BA.US,D,20000503,000000,29.626,30.328,29.226,29.626,4122078,0
BA.US,D,20000504,000000,30.372,31.232,30.028,30.328,3711028,0
BA.US,D,20000505,000000,30.172,31.684,30.123,31.375,3479238,0
BA.US,D,20000508,000000,30.973,31.375,30.328,30.372,3916806,0
BA.US,D,20000509,000000,30.576,31.128,30.273,30.429,3195910,0
BA.US,D,20000510,000000,30.077,30.222,29.121,29.368,6075373,0
BA.US,D,20000511,000000,29.572,30.429,29.518,29.723,3668827,0
BA.US,D,20000512,000000,29.971,29.971,29.518,29.626,3056361,0
BA.US,D,20000515,000000,29.166,29.875,29.014,29.626,3626870,0
BA.US,D,20000516,000000,29.626,30.172,29.272,29.773,4749984,0
BA.US,D,20000517,000000,29.477,29.875,29.121,29.773,3410646,0
BA.US,D,20000518,000000,29.572,30.077,29.572,29.971,2552073,0
BA.US,D,20000519,000000,29.477,29.773,28.869,29.416,2731083,0
BA.US,D,20000522,000000,29.773,30.028,28.869,29.121,3714762,0
BA.US,D,20000523,000000,29.166,30.222,29.166,29.572,3549821,0
BA.US,D,20000524,000000,29.672,31.081,29.626,30.973,5779351,0
BA.US,D,20000525,000000,30.775,30.829,30.172,30.576,3768537,0
BA.US,D,20000526,000000,30.273,31.025,30.273,30.478,2616803,0
BA.US,D,20000530,000000,30.88,31.637,30.728,31.528,2894653,0
BA.US,D,20000531,000000,31.528,31.577,31.081,31.128,2736933,0
BA.US,D,20000601,000000,31.528,32.085,31.331,32.085,2891542,0
BA.US,D,20000602,000000,31.932,32.333,31.482,31.782,4294117,0
BA.US,D,20000605,000000,31.177,31.426,30.728,31.025,3084744,0
BA.US,D,20000606,000000,31.232,32.034,31.128,31.782,3666464,0
BA.US,D,20000607,000000,31.637,31.883,30.677,30.728,3539243,0
BA.US,D,20000608,000000,30.677,30.775,30.028,30.429,3089348,0
BA.US,D,20000609,000000,30.88,31.637,30.775,31.232,3378776,0
BA.US,D,20000612,000000,30.775,31.128,30.328,30.372,1934250,0
