<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBWI.US,D,20000103,000000,9.03429,9.08781,8.3821,8.43788,4358073.8288325,0
BBWI.US,D,20000104,000000,8.41101,8.55592,8.24281,8.26946,5428704.1409627,0
BBWI.US,D,20000105,000000,8.24281,8.30792,8.14906,8.14906,1969383.8664631,0
BBWI.US,D,20000106,000000,8.33557,8.33557,7.87677,8.02089,4780542.4774139,0
BBWI.US,D,20000107,000000,8.13815,8.16401,7.97918,8.07282,3531694.0369992,0
BBWI.US,D,20000110,000000,8.04764,8.11444,7.95458,7.96737,3095654.1643068,0
BBWI.US,D,20000111,000000,7.97918,8.03416,7.67,7.72174,4008884.7075959,0
BBWI.US,D,20000112,000000,7.74791,7.8391,7.52589,7.63291,3296482.8668743,0
BBWI.US,D,20000113,000000,7.61797,7.63291,7.26482,7.29069,5184910.0610872,0
BBWI.US,D,20000114,000000,7.20353,7.52589,7.20353,7.30446,4736663.2026923,0
BBWI.US,D,20000118,000000,7.26482,7.41148,7.04358,7.11008,2357027.8390613,0
BBWI.US,D,20000119,000000,7.12365,7.17559,6.96833,7.07093,3733873.7625515,0
BBWI.US,D,20000120,000000,7.02312,7.13674,6.81969,7.08274,3398708.239563,0
BBWI.US,D,20000121,000000,7.16212,7.16212,6.88776,6.92721,5722259.3759123,0
BBWI.US,D,20000124,000000,6.92721,6.92721,6.61381,6.81408,2447029.9609099,0
BBWI.US,D,20000125,000000,6.7345,6.88776,6.72043,6.77336,5679284.8494647,0
BBWI.US,D,20000126,000000,6.91511,6.95603,6.74709,6.78664,3214166.0224998,0
BBWI.US,D,20000127,000000,6.88776,6.95603,6.55291,6.61381,6786109.1588423,0
BBWI.US,D,20000128,000000,6.62905,6.64076,6.27787,6.34496,8456514.3835667,0
BBWI.US,D,20000131,000000,6.39286,6.4333,6.30561,6.38489,2999766.0958209,0
BBWI.US,D,20000201,000000,6.41953,6.68187,6.39286,6.47244,6893307.5973252,0
BBWI.US,D,20000202,000000,6.65531,7.27849,6.57957,6.91511,8085161.9793284,0
BBWI.US,D,20000203,000000,7.27849,7.48733,7.02312,7.24386,10531290.241677,0
BBWI.US,D,20000204,000000,7.29069,7.39771,7.18986,7.38434,7830055.4963138,0
BBWI.US,D,20000207,000000,7.4224,7.4224,7.24386,7.26482,6037529.5860108,0
BBWI.US,D,20000208,000000,7.38434,7.41148,7.25566,7.38434,4980911.6898469,0
BBWI.US,D,20000209,000000,7.38434,7.39771,7.12365,7.17559,2935531.0015036,0
BBWI.US,D,20000210,000000,7.22901,7.22901,7.08274,7.13674,3187926.2894094,0
BBWI.US,D,20000211,000000,7.15081,7.15081,6.88776,6.92721,2654195.9676807,0
BBWI.US,D,20000214,000000,6.94146,6.99529,6.80129,6.96833,3184312.3791686,0
BBWI.US,D,20000215,000000,7.02312,7.09611,7.00709,7.03472,3132291.3865513,0
BBWI.US,D,20000216,000000,7.02312,7.02312,6.34496,6.47244,5858407.7260234,0
BBWI.US,D,20000217,000000,6.52684,6.61381,6.3728,6.38489,4190706.5804103,0
BBWI.US,D,20000218,000000,6.33148,6.41953,6.27787,6.3728,3177072.3598338,0
BBWI.US,D,20000222,000000,6.55291,6.59226,6.38489,6.54061,3180236.9456508,0
BBWI.US,D,20000223,000000,6.59226,6.70696,6.34496,6.38489,5885547.1245324,0
BBWI.US,D,20000224,000000,6.39286,6.40614,6.0044,6.07148,7109060.5801307,0
BBWI.US,D,20000225,000000,6.05722,6.29233,6.05722,6.26656,6599754.3955177,0
BBWI.US,D,20000228,000000,6.4993,6.57957,6.31918,6.51326,5406539.84139,0
