<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBY.US,D,20000103,000000,17.7114,17.753,16.5617,17.7114,28179931.968511,0
BBY.US,D,20000104,000000,17.4025,17.9808,16.8696,17.5937,16708070.625227,0
BBY.US,D,20000105,000000,17.4749,17.9065,16.0983,17.4749,16119170.724498,0
BBY.US,D,20000106,000000,17.2278,17.8224,16.9854,17.3243,8653865.3496997,0
BBY.US,D,20000107,000000,17.3243,17.8659,17.2509,17.8659,8331375.0378379,0
BBY.US,D,20000110,000000,18.1121,18.3061,17.443,17.6718,5510767.7237628,0
BBY.US,D,20000111,000000,17.4981,17.5618,17.0222,17.1352,7636816.6145771,0
BBY.US,D,20000112,000000,16.8696,17.2162,16.2711,16.691,5934022.2744136,0
BBY.US,D,20000113,000000,16.691,17.0357,16.2498,16.2498,3983732.5509193,0
BBY.US,D,20000114,000000,16.9632,17.0645,16.7518,16.8088,6412711.1918576,0
BBY.US,D,20000118,000000,16.6215,16.7885,16.4632,16.7297,3567655.2472649,0
BBY.US,D,20000119,000000,16.8503,17.7896,16.776,17.4025,8442895.3067626,0
BBY.US,D,20000120,000000,17.4749,17.4749,16.7885,16.832,6755096.6376583,0
BBY.US,D,20000121,000000,16.8696,16.9024,16.3753,16.5732,7961922.3902384,0
BBY.US,D,20000124,000000,16.8503,16.9024,15.6976,15.8347,4512634.2300028,0
BBY.US,D,20000125,000000,15.8347,16.4082,15.5595,16.4082,5065995.9337039,0
BBY.US,D,20000126,000000,16.3309,16.3888,15.8347,15.8935,3671345.6980275,0
BBY.US,D,20000127,000000,15.966,16.1398,15.3934,15.6841,3150270.7296245,0
BBY.US,D,20000128,000000,15.7169,15.7169,14.9542,15.3337,4917299.8248739,0
BBY.US,D,20000131,000000,15.1049,15.158,14.4937,14.6433,5707070.4528782,0
BBY.US,D,20000201,000000,14.6433,15.4061,14.4937,15.2438,8785928.1445927,0
BBY.US,D,20000202,000000,15.1821,15.3732,14.6433,15.2535,4935561.4592436,0
BBY.US,D,20000203,000000,15.4929,16.0607,15.3337,15.966,7535406.0195858,0
BBY.US,D,20000204,000000,16.6003,17.4981,16.5403,17.443,13412042.428672,0
BBY.US,D,20000207,000000,17.0645,17.1352,16.5403,16.8696,5639247.5922074,0
BBY.US,D,20000208,000000,16.8696,17.7114,16.8696,17.5618,5453709.1798459,0
BBY.US,D,20000209,000000,17.753,17.753,16.5617,16.8088,4563182.5996706,0
BBY.US,D,20000210,000000,16.832,16.9854,16.498,16.691,4128838.4825103,0
BBY.US,D,20000211,000000,16.8503,16.8503,16.3753,16.4632,3288855.0928665,0
BBY.US,D,20000214,000000,16.5617,16.635,16.1938,16.2498,4332310.1720042,0
BBY.US,D,20000215,000000,16.2498,16.3888,16.16,16.2711,3901236.1614634,0
BBY.US,D,20000216,000000,16.2498,17.1205,16.2161,16.8696,6585860.0745144,0
BBY.US,D,20000217,000000,17.1352,17.1352,16.635,16.691,5632073.4526928,0
BBY.US,D,20000218,000000,16.6804,17.7114,16.6804,17.2162,8037248.7834884,0
BBY.US,D,20000222,000000,16.832,16.8841,15.8694,16.4834,5471643.4928055,0
BBY.US,D,20000223,000000,17.1738,17.1892,16.2922,16.4834,3477983.6824671,0
BBY.US,D,20000224,000000,16.498,16.498,15.353,15.8694,6136849.6793598,0
BBY.US,D,20000225,000000,15.8694,15.9437,14.5651,14.7177,7923770.8010662,0
BBY.US,D,20000228,000000,14.7804,15.966,14.4937,15.8492,7323132.9059717,0
BBY.US,D,20000229,000000,16.4082,16.8841,16.3309,16.7518,7639423.7917585,0
BBY.US,D,20000301,000000,16.7518,17.0782,16.7113,16.8696,6044893.0796545,0
BBY.US,D,20000302,000000,17.1352,17.753,16.4438,17.4981,9702873.4987101,0
BBY.US,D,20000303,000000,17.8659,19.2995,17.807,18.5542,12618366.731946,0
BBY.US,D,20000306,000000,19.4734,19.6105,18.7078,19.4734,8883755.8131357,0
BBY.US,D,20000307,000000,19.3198,19.3198,17.9065,18.0021,6396408.3068125,0
BBY.US,D,20000308,000000,18.0899,18.6942,18.0706,18.6942,3262764.6761617,0
BBY.US,D,20000309,000000,18.5967,19.8354,18.3061,19.6316,4886647.6249721,0
BBY.US,D,20000310,000000,19.7416,19.7416,18.9019,19.1316,3729388.2778293,0
BBY.US,D,20000313,000000,18.3998,19.1055,18.3998,18.8439,3721891.9960407,0
BBY.US,D,20000314,000000,18.8439,19.5129,18.6731,19.2243,3858838.7164047,0
BBY.US,D,20000315,000000,19.2995,20.6994,18.9423,20.2785,6017822.7703738,0
BBY.US,D,20000316,000000,21.1435,23.0946,21.0132,22.8446,16634699.873819,0
BBY.US,D,20000317,000000,23.4644,24.3014,22.3463,22.8446,12189890.576141,0
BBY.US,D,20000320,000000,22.7682,22.7682,21.4225,21.7343,6018153.1992656,0
BBY.US,D,20000321,000000,21.575,22.8349,21.1222,22.5443,6500755.4720499,0
BBY.US,D,20000322,000000,22.499,23.5783,22.2333,23.4644,5959130.7268879,0
BBY.US,D,20000323,000000,23.3098,24.84,22.9237,24.7618,8647675.2460698,0
BBY.US,D,20000324,000000,24.5302,25.1287,23.8833,23.9017,6153154.6360592,0
BBY.US,D,20000327,000000,23.8273,23.8389,22.6525,23.1911,3798193.1027305,0
BBY.US,D,20000328,000000,23.0782,25.2398,22.8879,25.1519,10896325.685701,0
BBY.US,D,20000329,000000,24.9144,25.454,24.228,25.454,6708468.8741215,0
BBY.US,D,20000330,000000,24.84,26.2186,24.7618,25.7447,11908486.352043,0
BBY.US,D,20000331,000000,25.7581,26.4494,24.84,26.3712,6482488.658544,0
BBY.US,D,20000403,000000,26.3712,27.2565,25.4145,25.4348,7313343.3026576,0
BBY.US,D,20000404,000000,24.84,24.84,22.5443,23.7694,10260468.628371,0
BBY.US,D,20000405,000000,23.7694,24.2145,23.0579,23.8273,4734697.9827583,0
BBY.US,D,20000406,000000,23.808,25.0669,23.1506,24.5504,5264254.3046622,0
BBY.US,D,20000407,000000,25.1104,25.511,24.8631,25.0669,5365008.1851787,0
BBY.US,D,20000410,000000,25.3044,25.511,24.6257,24.7425,2688537.2683912,0
BBY.US,D,20000411,000000,24.7116,24.7116,24.0542,24.3969,2482132.116133,0
BBY.US,D,20000412,000000,24.7233,26.7941,24.4963,25.3787,7548123.9065279,0
BBY.US,D,20000413,000000,26.0661,26.2544,25.3373,25.9715,6368365.3557467,0
BBY.US,D,20000414,000000,25.0254,25.0254,21.0643,21.5084,11446099.283818,0
BBY.US,D,20000417,000000,21.465,22.6525,20.1964,22.3463,10740786.902075,0
BBY.US,D,20000418,000000,22.3251,24.6894,21.7141,24.4587,6578689.0424814,0
BBY.US,D,20000419,000000,24.6692,24.6692,23.3832,23.8389,3162989.6523939,0
BBY.US,D,20000420,000000,23.9992,24.4732,23.9364,24.4423,2196810.3933855,0
BBY.US,D,20000424,000000,23.8592,24.9144,23.6343,24.1092,5358817.0457217,0
BBY.US,D,20000425,000000,24.4963,24.84,23.9789,24.3014,2729953.7850468,0
BBY.US,D,20000426,000000,24.3014,25.7447,23.808,25.565,6881290.4353681,0
BBY.US,D,20000427,000000,24.84,25.9493,24.3371,25.625,7419326.0391184,0
BBY.US,D,20000428,000000,25.6471,25.7987,24.5697,24.7618,4253730.2453704,0
BBY.US,D,20000501,000000,24.5302,26.2399,24.5186,26.0479,5428596.5840626,0
BBY.US,D,20000502,000000,25.7447,25.7447,24.9935,25.398,4102427.9951861,0
BBY.US,D,20000503,000000,24.6113,24.7233,23.1708,24.6894,5862936.557914,0
BBY.US,D,20000504,000000,24.6894,24.9009,22.5994,23.3098,6852269.6633809,0
BBY.US,D,20000505,000000,22.998,23.3832,22.3087,22.5994,5621964.8145864,0
BBY.US,D,20000508,000000,22.5231,22.5231,21.2932,21.5596,5824788.0762236,0
BBY.US,D,20000509,000000,21.3926,21.66,20.0448,20.6772,8359413.8455947,0
BBY.US,D,20000510,000000,20.6994,21.6203,20.6772,21.2748,6104891.3012991,0
BBY.US,D,20000511,000000,22.1562,22.5443,21.7141,22.5443,3973622.8769858,0
BBY.US,D,20000512,000000,22.3696,22.6737,21.6783,21.9071,2282570.6744976,0
BBY.US,D,20000515,000000,21.9284,23.0782,21.8868,22.8668,1989095.9554868,0
BBY.US,D,20000516,000000,23.7694,24.5302,23.7086,23.9364,5410013.8432463,0
BBY.US,D,20000517,000000,23.0579,23.4942,22.4806,23.0203,2914839.6262427,0
BBY.US,D,20000518,000000,23.6468,24.0542,23.2867,23.6139,2721146.1459631,0
BBY.US,D,20000519,000000,22.8446,23.1506,22.4468,22.7094,3048865.3137693,0
BBY.US,D,20000522,000000,22.8349,22.8349,21.604,22.1156,2522890.8824865,0
BBY.US,D,20000523,000000,22.0809,22.805,21.9661,22.3946,2218005.4905196,0
BBY.US,D,20000524,000000,21.9284,21.9284,19.6316,20.5498,8992337.44016,0
BBY.US,D,20000525,000000,21.0643,21.465,20.7776,21.4524,5721090.3746702,0
BBY.US,D,20000526,000000,20.6994,21.0286,19.0089,19.1316,6428038.3276358,0
