<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDX.US,D,20000103,000000,15.3986,15.4348,15.062,15.3986,1270926,0
BDX.US,D,20000104,000000,14.9891,15.2887,14.9891,14.9891,1036811,0
BDX.US,D,20000105,000000,15.136,15.2532,14.8422,15.0998,1227540,0
BDX.US,D,20000106,000000,15.0998,16.0589,15.062,15.7275,700540,0
BDX.US,D,20000107,000000,15.8758,16.6813,15.8375,16.6078,1467385,0
BDX.US,D,20000110,000000,16.536,16.5706,16.2054,16.2412,840842,0
BDX.US,D,20000111,000000,16.388,16.5706,15.9482,15.9866,936946,0
BDX.US,D,20000112,000000,15.6908,15.7275,15.3617,15.4724,1375045,0
BDX.US,D,20000113,000000,15.5445,16.7553,15.5086,16.536,1114416,0
BDX.US,D,20000114,000000,16.4602,16.4602,15.8013,16.095,1034192,0
BDX.US,D,20000118,000000,15.9866,16.4247,15.7275,16.1318,1481136,0
BDX.US,D,20000119,000000,15.9866,16.8281,15.8758,16.6813,1455106,0
BDX.US,D,20000120,000000,16.6813,16.8281,16.2412,16.353,1231302,0
BDX.US,D,20000121,000000,17.0488,17.3055,16.6813,16.9374,2093756,0
BDX.US,D,20000124,000000,16.863,16.863,15.9482,16.388,1403206,0
BDX.US,D,20000125,000000,16.2412,16.4602,15.766,15.9866,1108844,0
BDX.US,D,20000126,000000,16.095,16.388,15.766,15.766,1156654,0
BDX.US,D,20000127,000000,15.8375,16.388,15.6908,16.388,1392898,0
BDX.US,D,20000128,000000,16.2412,16.2412,15.5086,15.5824,1327078,0
BDX.US,D,20000131,000000,15.5445,15.766,15.1765,15.3986,1229666,0
BDX.US,D,20000201,000000,15.4724,15.9482,15.3617,15.9482,768320,0
BDX.US,D,20000202,000000,15.8013,15.8013,15.2887,15.4724,1336088,0
BDX.US,D,20000203,000000,15.4724,15.4724,15.062,15.2887,1080848,0
BDX.US,D,20000204,000000,15.4348,15.5445,15.2532,15.2887,1091983,0
BDX.US,D,20000207,000000,15.4348,15.5445,15.2532,15.2887,904532,0
BDX.US,D,20000208,000000,15.2887,15.2887,14.8422,15.0998,1277967,0
BDX.US,D,20000209,000000,14.9536,15.2532,14.5512,15.2149,2435762,0
BDX.US,D,20000210,000000,15.1765,15.2532,14.5877,14.7702,1396826,0
BDX.US,D,20000211,000000,14.9162,14.9536,14.5877,14.6962,1199546,0
BDX.US,D,20000214,000000,14.8084,15.2149,14.6962,15.1765,1257012,0
BDX.US,D,20000215,000000,14.9162,14.9891,14.1113,14.7702,1326918,0
BDX.US,D,20000216,000000,14.6962,15.136,14.5877,15.062,1464274,0
BDX.US,D,20000217,000000,14.9891,15.5445,14.6962,15.4724,1452322,0
BDX.US,D,20000218,000000,15.6183,18.7389,15.6183,17.9693,7134727,0
BDX.US,D,20000222,000000,17.7857,17.7857,16.6446,17.0843,3237314,0
BDX.US,D,20000223,000000,16.9374,18.0079,16.863,17.6396,4311945,0
BDX.US,D,20000224,000000,17.2678,18.8119,16.9752,18.8119,4038702,0
BDX.US,D,20000225,000000,18.8119,20.2473,18.7389,20.0632,6077127,0
BDX.US,D,20000228,000000,19.6189,19.6572,18.0792,18.2284,3369757,0
BDX.US,D,20000229,000000,18.2284,18.7389,17.7857,18.2284,2501742,0
BDX.US,D,20000301,000000,18.1898,18.994,17.9693,18.4105,4024948,0
BDX.US,D,20000302,000000,18.7785,19.0316,18.0792,18.4836,2851431,0
BDX.US,D,20000303,000000,18.5174,18.7785,18.1154,18.5174,2734539,0
BDX.US,D,20000306,000000,18.5572,18.5572,17.8227,18.1154,1644195,0
BDX.US,D,20000307,000000,17.7857,17.7857,16.9013,17.4132,2987155,0
BDX.US,D,20000308,000000,17.507,17.878,17.0289,17.7348,3105351,0
BDX.US,D,20000309,000000,17.8409,18.4644,17.4324,18.209,2456880,0
BDX.US,D,20000310,000000,18.8739,19.4611,18.6903,18.8739,4541305,0
BDX.US,D,20000313,000000,18.7269,18.7269,17.7348,18.06,1402386,0
BDX.US,D,20000314,000000,18.209,18.3167,17.3957,17.4701,1821170,0
BDX.US,D,20000315,000000,17.322,18.06,17.0673,17.9524,2656452,0
BDX.US,D,20000316,000000,17.9524,18.3913,17.768,18.2804,2669550,0
BDX.US,D,20000317,000000,18.4297,18.6903,18.0978,18.4297,2476196,0
BDX.US,D,20000320,000000,18.2804,18.6539,18.1716,18.2804,1156980,0
BDX.US,D,20000321,000000,18.2804,18.3167,17.9162,18.2804,1294337,0
BDX.US,D,20000322,000000,18.136,18.2804,17.659,18.2469,1456255,0
BDX.US,D,20000323,000000,18.1716,18.1716,17.4324,17.6957,1530909,0
BDX.US,D,20000324,000000,17.1034,17.4324,16.0707,16.5183,2648263,0
BDX.US,D,20000327,000000,16.5183,16.5516,15.7032,15.8878,2423809,0
BDX.US,D,20000328,000000,15.8139,16.2176,15.7032,15.9978,2285796,0
BDX.US,D,20000329,000000,15.9222,15.9616,15.7032,15.8516,1847693,0
BDX.US,D,20000330,000000,15.9222,16.0331,15.558,15.6318,2697046,0
BDX.US,D,20000331,000000,15.6318,16.1804,15.4849,15.521,2427903,0
BDX.US,D,20000403,000000,15.6678,15.9616,15.521,15.9222,2181182,0
BDX.US,D,20000404,000000,16.0707,16.5516,15.6318,15.9616,2902677,0
BDX.US,D,20000405,000000,15.9222,16.3637,15.8139,16.0331,1209534,0
BDX.US,D,20000406,000000,15.8878,16.0331,15.7404,15.9222,2589981,0
BDX.US,D,20000407,000000,16.3637,16.3637,15.6318,15.7404,1677596,0
BDX.US,D,20000410,000000,15.4472,15.833,15.4472,15.6678,1046633,0
BDX.US,D,20000411,000000,15.6678,16.2906,15.521,16.1804,1489322,0
BDX.US,D,20000412,000000,16.328,17.6211,16.2906,16.9573,2795118,0
BDX.US,D,20000413,000000,16.8837,17.1034,16.5898,16.846,1180223,0
BDX.US,D,20000414,000000,16.6991,16.7368,15.7032,15.8516,1143557,0
BDX.US,D,20000417,000000,15.7404,15.8878,15.1826,15.3676,1407461,0
BDX.US,D,20000418,000000,15.4113,15.7785,15.2208,15.7785,1210676,0
BDX.US,D,20000419,000000,15.7785,15.7785,15.1826,15.2208,2117172,0
BDX.US,D,20000420,000000,15.3315,15.4849,14.708,15.0748,2075912,0
BDX.US,D,20000424,000000,14.8536,15.2591,14.8536,15.0378,2100466,0
BDX.US,D,20000425,000000,15.1826,15.3676,15.0378,15.3315,1658442,0
BDX.US,D,20000426,000000,15.4849,15.8139,15.0748,15.1826,1579857,0
BDX.US,D,20000427,000000,15.0378,15.3676,14.8188,15.1826,1377180,0
BDX.US,D,20000428,000000,15.1826,15.3315,14.9279,15.1139,941528,0
BDX.US,D,20000501,000000,14.8188,15.521,14.8188,15.2208,2059378,0
BDX.US,D,20000502,000000,15.1139,15.8139,15.0378,15.4472,1972443,0
BDX.US,D,20000503,000000,15.3315,16.1437,15.2591,15.8139,2442150,0
BDX.US,D,20000504,000000,15.9222,15.9222,15.1492,15.3315,1178259,0
