<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEN.US,D,20000103,000000,6.92152,7.01813,6.73203,6.85566,1815401.3061116,0
BEN.US,D,20000104,000000,6.83975,6.86873,6.61112,6.73203,2377206.9985189,0
BEN.US,D,20000105,000000,6.71904,6.85566,6.58487,6.83975,3731259.5974437,0
BEN.US,D,20000106,000000,6.82677,7.43685,6.82677,7.2615,5524846.2214332,0
BEN.US,D,20000107,000000,7.47471,7.47471,7.13903,7.31262,2206757.9536254,0
BEN.US,D,20000110,000000,7.36678,7.41001,7.27603,7.35371,1159061.9085452,0
BEN.US,D,20000111,000000,7.2615,7.34014,7.19075,7.23476,1265416.5541036,0
BEN.US,D,20000112,000000,7.15181,7.31262,7.15181,7.2615,1330871.8731483,0
BEN.US,D,20000113,000000,7.34014,7.39782,7.22051,7.2615,4405331.9427925,0
BEN.US,D,20000114,000000,7.2615,7.2896,7.09737,7.22051,7714340.5806099,0
BEN.US,D,20000118,000000,7.17826,7.2896,7.11327,7.20519,1969945.6266882,0
BEN.US,D,20000119,000000,7.19075,7.2615,7.15181,7.20519,1677678.8959515,0
BEN.US,D,20000120,000000,7.19075,7.44895,7.16528,7.41001,3152644.2920872,0
BEN.US,D,20000121,000000,7.70802,7.82844,7.57258,7.6525,4377605.2532872,0
BEN.US,D,20000124,000000,7.66695,7.85596,7.66695,7.74618,2705382.3336413,0
BEN.US,D,20000125,000000,7.8018,8.47442,7.77438,8.32679,7322984.957885,0
BEN.US,D,20000126,000000,7.94769,8.32679,7.81478,8.22062,4094432.499586,0
BEN.US,D,20000127,000000,8.19486,8.19486,7.90924,7.97657,3004918.9171038,0
BEN.US,D,20000128,000000,7.94769,7.94769,7.69134,7.7333,2149933.4070161,0
BEN.US,D,20000131,000000,7.7333,7.76121,7.62488,7.72003,2555836.9335041,0
BEN.US,D,20000201,000000,7.72003,7.72003,7.53121,7.57258,2405386.6447347,0
BEN.US,D,20000202,000000,7.57258,7.82844,7.41001,7.69134,10961978.708089,0
BEN.US,D,20000203,000000,7.74618,7.8018,7.59824,7.6525,1230880.1421057,0
BEN.US,D,20000204,000000,7.63719,7.90924,7.63719,7.85596,3498539.2527356,0
BEN.US,D,20000207,000000,7.78814,7.8826,7.69134,7.69134,1972221.6829193,0
BEN.US,D,20000208,000000,7.7333,7.74618,7.57258,7.59824,1554503.3647656,0
BEN.US,D,20000209,000000,7.59824,7.59824,7.24861,7.2615,1634051.5812851,0
BEN.US,D,20000210,000000,7.2896,7.5032,7.15181,7.17826,1493601.1829722,0
BEN.US,D,20000211,000000,7.12585,7.34014,7.0316,7.13903,1479508.2854975,0
BEN.US,D,20000214,000000,7.13903,7.13903,6.83975,6.89547,2294486.0354476,0
BEN.US,D,20000215,000000,6.89547,7.00398,6.83975,6.96251,3325818.2507667,0
BEN.US,D,20000216,000000,6.95021,7.32843,6.70577,6.97548,3185820.8091643,0
BEN.US,D,20000217,000000,6.93479,6.93479,6.6641,6.6926,2114490.0568082,0
BEN.US,D,20000218,000000,6.67737,6.74792,6.38239,6.44835,3099929.1491189,0
BEN.US,D,20000222,000000,6.49012,6.55608,6.34043,6.42201,8877479.0995503,0
BEN.US,D,20000223,000000,6.42201,6.59814,6.2326,6.34043,1511326.9572319,0
BEN.US,D,20000224,000000,6.36931,6.36931,6.0833,6.2326,4877143.7450358,0
BEN.US,D,20000225,000000,6.2326,6.24587,5.9906,5.9906,3290362.6030915,0
BEN.US,D,20000228,000000,6.04349,6.0833,5.94884,6.02846,4031716.4413723,0
BEN.US,D,20000229,000000,5.81242,5.97528,5.74431,5.88073,3913984.5890249,0
BEN.US,D,20000301,000000,5.78607,5.93576,5.32656,5.88073,8434327.5695345,0
BEN.US,D,20000302,000000,5.88073,5.93576,5.74431,5.92014,4281709.6036296,0
BEN.US,D,20000303,000000,5.85457,6.1116,5.82823,6.01509,1864950.8760505,0
BEN.US,D,20000306,000000,6.44835,6.47723,5.94884,6.00182,4070342.7860216,0
BEN.US,D,20000307,000000,6.02846,6.05676,5.69151,5.70459,2606295.4912309,0
BEN.US,D,20000308,000000,5.70459,5.71991,5.44961,5.47606,2645381.9661133,0
BEN.US,D,20000309,000000,5.47606,5.70459,5.36598,5.69151,4011261.6541709,0
BEN.US,D,20000310,000000,5.51547,5.88716,5.44961,5.67853,3923976.2811699,0
BEN.US,D,20000313,000000,5.58408,5.62331,5.47606,5.57051,4888514.8030912,0
BEN.US,D,20000314,000000,5.51547,5.54193,5.40784,5.44961,5879838.2334838,0
BEN.US,D,20000315,000000,5.82823,6.12506,5.46269,6.05676,3515361.1631521,0
BEN.US,D,20000316,000000,6.00182,6.62439,5.9906,6.58487,5296225.0324769,0
BEN.US,D,20000317,000000,6.92152,6.92152,6.49012,6.49012,5052593.7599465,0
BEN.US,D,20000320,000000,6.49012,6.65083,6.28549,6.36931,2213572.8000628,0
BEN.US,D,20000321,000000,6.31418,6.50319,6.19083,6.49012,1786760.5048738,0
BEN.US,D,20000322,000000,6.43538,6.56935,6.25953,6.51656,2039034.8473069,0
BEN.US,D,20000323,000000,6.46162,6.89547,6.40658,6.89547,2930376.7945462,0
BEN.US,D,20000324,000000,6.83975,7.5032,6.81389,7.35371,5509854.5840599,0
BEN.US,D,20000327,000000,7.32843,7.36678,6.92152,7.04262,3399001.5031925,0
BEN.US,D,20000328,000000,7.07131,7.15181,6.81389,6.88132,2924474.0102636,0
BEN.US,D,20000329,000000,6.89547,7.17826,6.86873,6.88132,3565356.5162789,0
BEN.US,D,20000330,000000,6.90923,7.16528,6.7853,7.09737,3044467.5717971,0
BEN.US,D,20000331,000000,6.97548,7.29975,6.89547,7.23476,2875837.5272685,0
BEN.US,D,20000403,000000,7.23476,7.55873,7.23476,7.29975,2735842.135244,0
BEN.US,D,20000404,000000,7.35371,7.41001,6.92152,7.07131,3189459.834683,0
BEN.US,D,20000405,000000,7.08458,7.46212,7.01813,7.36678,3202183.6141366,0
BEN.US,D,20000406,000000,7.38337,7.57258,7.35371,7.51745,1671321.1053805,0
BEN.US,D,20000407,000000,7.46212,7.51745,7.2896,7.34014,1690405.749772,0
BEN.US,D,20000410,000000,7.16528,7.29975,7.08458,7.16528,2233123.723421,0
BEN.US,D,20000411,000000,7.27603,7.43685,7.19075,7.39782,2939009.6165594,0
BEN.US,D,20000412,000000,7.42387,7.84132,7.41001,7.84132,4999876.5674004,0
BEN.US,D,20000413,000000,7.70802,7.72003,7.51745,7.51745,5236218.5162152,0
BEN.US,D,20000414,000000,7.46212,7.46212,6.7853,6.88132,3103095.7469372,0
BEN.US,D,20000417,000000,6.71904,6.89547,6.65083,6.74792,2882651.3489169,0
BEN.US,D,20000418,000000,6.63961,7.19075,6.50319,7.16528,2103123.0979084,0
BEN.US,D,20000419,000000,7.11327,7.32843,6.89547,7.08458,1723582.2668491,0
BEN.US,D,20000420,000000,6.95021,7.20519,6.95021,7.20519,1321780.9704798,0
BEN.US,D,20000424,000000,7.23476,7.32843,7.09737,7.2896,2630841.2358727,0
BEN.US,D,20000425,000000,7.16528,7.51745,7.09737,7.49003,2203574.9591841,0
BEN.US,D,20000426,000000,7.35371,7.43685,7.08458,7.2615,2172672.4487603,0
BEN.US,D,20000427,000000,7.05804,7.09737,6.6926,6.95021,3379002.7470684,0
BEN.US,D,20000428,000000,7.24861,7.24861,6.76129,6.97548,3382636.6486424,0
BEN.US,D,20000501,000000,6.70577,7.13903,6.70577,6.81389,5015322.1862732,0
BEN.US,D,20000502,000000,6.7853,6.89547,6.71904,6.83975,3019007.7154227,0
BEN.US,D,20000503,000000,6.7853,6.96251,6.52993,6.65083,2839472.8918053,0
BEN.US,D,20000504,000000,6.62439,6.65083,6.46162,6.46162,1289515.4907684,0
BEN.US,D,20000505,000000,6.46162,6.71904,6.43538,6.43538,1254971.9052479,0
BEN.US,D,20000508,000000,6.49012,6.74792,6.46162,6.65083,1615858.5032697,0
BEN.US,D,20000509,000000,6.59814,6.83975,6.50319,6.61112,1205419.2609423,0
BEN.US,D,20000510,000000,6.63961,6.65083,6.39331,6.47723,1209516.3671162,0
BEN.US,D,20000511,000000,6.543,6.65083,6.46162,6.63961,1359506.5256525,0
BEN.US,D,20000512,000000,6.543,6.80052,6.52993,6.71904,1180425.6835347,0
BEN.US,D,20000515,000000,6.89547,6.97548,6.88132,6.95021,1399965.1929228,0
BEN.US,D,20000516,000000,6.93479,6.98865,6.86873,6.96251,1729495.2990211,0
BEN.US,D,20000517,000000,6.81389,6.96251,6.74792,6.89547,1330871.8731483,0
BEN.US,D,20000518,000000,6.86873,7.19075,6.85566,6.89547,1253599.71286,0
BEN.US,D,20000519,000000,6.62439,6.82677,6.44835,6.46162,1752681.1487423,0
BEN.US,D,20000522,000000,6.51656,6.65083,6.21972,6.42201,1706774.7034778,0
BEN.US,D,20000523,000000,6.46162,6.61112,6.43538,6.543,1787686.9140737,0
BEN.US,D,20000524,000000,6.58487,6.86873,6.58487,6.6926,1881315.7306006,0
BEN.US,D,20000525,000000,6.63961,6.83975,6.28549,6.36931,1924498.2868679,0
BEN.US,D,20000526,000000,6.42201,6.543,6.3538,6.39331,3455819.9010683,0
BEN.US,D,20000530,000000,6.38239,6.51656,6.3538,6.47723,1412698.1954768,0
BEN.US,D,20000531,000000,6.39331,6.63961,6.3538,6.49012,3032646.6313979,0
BEN.US,D,20000601,000000,6.47723,6.70577,6.39331,6.58487,3430808.9022486,0
BEN.US,D,20000602,000000,6.63961,7.09737,6.63961,7.01813,2686741.42286,0
BEN.US,D,20000605,000000,7.04262,7.12585,6.89547,6.92152,1567230.218586,0
BEN.US,D,20000606,000000,6.86873,6.89547,6.70577,6.81389,1485868.1256465,0
BEN.US,D,20000607,000000,6.80052,7.19075,6.80052,7.05804,2291754.9729279,0
BEN.US,D,20000608,000000,7.01813,7.05804,6.67737,6.6926,1731319.4233307,0
BEN.US,D,20000609,000000,6.71904,7.00398,6.55608,6.61112,2457210.2213269,0
BEN.US,D,20000612,000000,6.6641,6.73203,6.50319,6.52993,1028149.2208778,0
BEN.US,D,20000613,000000,6.50319,6.70577,6.50319,6.6926,1108601.3012405,0
BEN.US,D,20000614,000000,6.89547,6.89547,6.6926,6.6926,2755833.7178456,0
BEN.US,D,20000615,000000,6.67737,6.67737,6.09892,6.39331,5792571.3066838,0
BEN.US,D,20000616,000000,6.39331,6.46162,6.32745,6.38239,3346278.1619128,0
BEN.US,D,20000619,000000,6.36931,6.81389,6.36931,6.65083,3973075.968765,0
BEN.US,D,20000620,000000,6.62439,6.76129,6.59814,6.70577,2670382.7170435,0
BEN.US,D,20000621,000000,6.65083,6.73203,6.39331,6.49012,1976308.5412039,0
BEN.US,D,20000622,000000,6.43538,6.50319,6.38239,6.46162,1774045.9485206,0
BEN.US,D,20000623,000000,6.47723,6.47723,6.19083,6.32745,1824049.499959,0
BEN.US,D,20000626,000000,6.3538,6.6641,6.31418,6.65083,3081732.9967368,0
BEN.US,D,20000627,000000,6.6641,6.80052,6.55608,6.63961,1331794.1831924,0
BEN.US,D,20000628,000000,6.58487,6.76129,6.55608,6.68596,1835856.0933131,0
