<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BGSI.US,D,20030317,000000,2.46676,2.46676,2.46676,2.46676,0,0
BGSI.US,D,20030410,000000,2.46427,2.46427,2.46427,2.46427,0,0
BGSI.US,D,20030414,000000,2.4736,2.4736,2.4736,2.4736,0,0
BGSI.US,D,20030415,000000,2.4082,2.4082,2.4082,2.4082,0,0
BGSI.US,D,20030423,000000,2.3803,2.3803,2.3803,2.3803,0,0
BGSI.US,D,20030425,000000,2.3803,2.3803,2.3803,2.3803,0,0
BGSI.US,D,20030501,000000,2.48695,2.48695,2.48695,2.48695,0,0
BGSI.US,D,20030508,000000,2.45854,2.45854,2.45854,2.45854,0,0
BGSI.US,D,20030509,000000,2.48222,2.48222,2.48222,2.48222,0,0
BGSI.US,D,20030512,000000,2.51533,2.51533,2.51533,2.51533,0,0
BGSI.US,D,20030513,000000,2.50587,2.50587,2.50587,2.50587,0,0
BGSI.US,D,20030514,000000,2.47746,2.47746,2.47746,2.47746,0,0
BGSI.US,D,20030520,000000,2.48222,2.48222,2.48222,2.48222,0,0
BGSI.US,D,20030521,000000,2.51533,2.51533,2.51533,2.51533,0,0
BGSI.US,D,20030527,000000,2.51533,2.51533,2.51533,2.51533,0,0
BGSI.US,D,20030528,000000,2.52,2.52,2.52,2.52,0,0
BGSI.US,D,20030529,000000,2.53854,2.53854,2.53854,2.53854,0,0
BGSI.US,D,20030530,000000,2.59602,2.59602,2.59602,2.59602,0,0
BGSI.US,D,20030602,000000,2.52893,2.52893,2.52893,2.52893,0,0
BGSI.US,D,20030605,000000,2.61996,2.61996,2.61996,2.61996,0,0
BGSI.US,D,20030624,000000,2.75884,2.75884,2.75884,2.75884,0,0
BGSI.US,D,20030625,000000,2.84032,2.84032,2.84032,2.84032,0,0
BGSI.US,D,20030627,000000,2.86485,2.86485,2.86485,2.86485,0,0
BGSI.US,D,20030630,000000,2.78453,2.78453,2.78453,2.78453,0,0
BGSI.US,D,20030801,000000,2.75717,2.75717,2.75717,2.75717,0,0
BGSI.US,D,20030813,000000,2.67368,2.67368,2.67368,2.67368,0,0
BGSI.US,D,20030829,000000,2.80673,2.80673,2.80673,2.80673,0,0
BGSI.US,D,20030904,000000,2.7819,2.7819,2.7819,2.7819,0,0
