<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BMY.US,D,20000103,000000,40.1167,40.511,39.7284,40.233,4944375.3414025,0
BMY.US,D,20000104,000000,38.0105,38.1268,36.7982,37.1925,14675617.282338,0
BMY.US,D,20000105,000000,37.6162,37.7769,36.675,36.951,10007245.471167,0
BMY.US,D,20000106,000000,36.9924,37.6586,36.5271,37.4665,10144810.952084,0
BMY.US,D,20000107,000000,38.5585,43.5732,38.4008,42.9444,15121063.449194,0
BMY.US,D,20000110,000000,43.0291,43.0291,41.8494,42.4802,9855851.8103811,0
BMY.US,D,20000111,000000,42.4802,42.6369,41.6967,41.8878,7880285.9357337,0
BMY.US,D,20000112,000000,41.8878,42.3983,41.7311,41.7725,5165203.1251021,0
BMY.US,D,20000113,000000,42.1648,42.2052,40.7909,40.989,6099202.3668722,0
BMY.US,D,20000114,000000,42.2397,42.2397,41.2226,42.1244,6284660.692046,0
BMY.US,D,20000118,000000,41.1486,41.7725,40.7593,40.9486,5240616.3707662,0
BMY.US,D,20000119,000000,40.9486,41.4256,39.9314,40.166,5803251.5172314,0
BMY.US,D,20000120,000000,40.2823,40.4005,38.524,38.7921,6388023.5210149,0
BMY.US,D,20000121,000000,38.251,38.7921,37.3108,38.3663,8124411.2956431,0
BMY.US,D,20000124,000000,39.4987,39.5806,36.3666,36.7982,7084581.6826454,0
BMY.US,D,20000125,000000,37.225,38.0903,37.1077,37.5413,8781091.052285,0
BMY.US,D,20000126,000000,37.5413,38.7172,37.3108,38.5585,9502979.0627995,0
BMY.US,D,20000127,000000,39.1893,39.3815,38.7566,39.0316,10626074.022423,0
BMY.US,D,20000128,000000,39.7363,41.2226,39.4268,40.2823,10519809.396225,0
BMY.US,D,20000131,000000,40.2823,42.0061,38.9912,41.5418,7610388.3550553,0
BMY.US,D,20000201,000000,40.2823,40.913,39.6574,40.5188,6129771.684598,0
BMY.US,D,20000202,000000,40.7593,40.8736,40.2074,40.642,4788025.2891962,0
BMY.US,D,20000203,000000,40.913,41.1063,40.0034,40.989,4287257.271333,0
BMY.US,D,20000204,000000,40.989,41.1063,39.8151,40.5582,4307502.8873808,0
BMY.US,D,20000207,000000,40.2823,40.5582,39.2632,40.2823,4681037.2429205,0
BMY.US,D,20000208,000000,40.4005,40.4409,39.0671,39.9748,6521799.4170899,0
BMY.US,D,20000209,000000,39.6574,39.8151,38.8749,39.1893,4917440.3725131,0
BMY.US,D,20000210,000000,39.2632,39.2632,37.8557,38.4817,5589842.5941382,0
BMY.US,D,20000211,000000,37.8557,38.0903,37.4665,37.6162,4974504.316472,0
BMY.US,D,20000214,000000,37.698,38.7921,37.698,38.324,4600678.766595,0
BMY.US,D,20000215,000000,38.5585,39.0316,38.0509,38.9143,6839147.47014,0
BMY.US,D,20000216,000000,38.9143,40.0034,38.8749,39.8526,6271852.1996642,0
BMY.US,D,20000217,000000,40.2823,40.2823,39.4987,39.8151,6206635.8288763,0
BMY.US,D,20000218,000000,39.341,39.341,37.4665,37.4665,8481497.7368925,0
BMY.US,D,20000222,000000,37.9346,38.251,37.225,37.5828,8060214.6123429,0
BMY.US,D,20000223,000000,37.9346,38.2076,37.3836,37.5828,5758855.0342506,0
BMY.US,D,20000224,000000,37.0683,37.3836,35.8905,36.2837,8384110.986831,0
BMY.US,D,20000225,000000,36.3666,36.4838,34.7166,35.5002,7343556.9391406,0
BMY.US,D,20000228,000000,34.7984,35.8619,34.7984,35.309,7763683.4032564,0
BMY.US,D,20000229,000000,35.8165,37.0683,35.5002,35.8905,6998260.3173999,0
BMY.US,D,20000301,000000,35.5435,35.7426,31.5046,32.1354,21586966.743518,0
BMY.US,D,20000302,000000,32.6439,33.5832,32.3689,33.0431,15304924.771278,0
BMY.US,D,20000303,000000,32.9189,32.9525,31.5046,32.2941,13085669.82092,0
BMY.US,D,20000306,000000,31.6603,31.6603,28.6877,29.1115,25369090.111157,0
BMY.US,D,20000307,000000,29.1115,29.627,26.6032,27.2724,24993946.577154,0
BMY.US,D,20000308,000000,27.7435,30.6461,27.7435,29.9375,23882797.68766,0
BMY.US,D,20000309,000000,30.6835,33.9351,30.2943,33.6995,21572995.503015,0
BMY.US,D,20000310,000000,33.0766,33.6995,32.5256,32.8371,17911548.344732,0
BMY.US,D,20000313,000000,31.6603,32.7612,31.5046,31.9383,8233003.4473098,0
BMY.US,D,20000314,000000,29.7788,31.0768,29.7788,30.0537,14202211.386034,0
BMY.US,D,20000315,000000,30.8787,32.2103,30.4421,31.6603,14828032.659841,0
BMY.US,D,20000316,000000,32.0545,35.3415,32.0171,34.9167,22034748.552758,0
BMY.US,D,20000317,000000,34.484,35.1523,33.3486,33.5447,10523592.893381,0
