<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
C.US,D,20000103,000000,340.846,340.846,318.595,324.791,2032450.2784055,0
C.US,D,20000104,000000,318.595,319.574,304.587,304.587,2904141.7835547,0
C.US,D,20000105,000000,311.87,318.595,303.002,317.009,2105710.5502798,0
C.US,D,20000106,000000,314.415,335.139,313.965,331.986,2251600.7992821,0
C.US,D,20000107,000000,331.007,336.734,323.245,331.007,1685232.4460346,0
C.US,D,20000110,000000,336.734,336.734,327.856,329.402,1027535.7120284,0
C.US,D,20000111,000000,326.886,333.054,323.715,325.31,1204364.5456222,0
C.US,D,20000112,000000,327.856,336.734,327.395,336.734,1384564.48564,0
C.US,D,20000113,000000,336.734,343.42,335.139,340.846,1495995.8977062,0
C.US,D,20000114,000000,345.995,358.975,345.486,355.324,2689305.2573532,0
C.US,D,20000118,000000,355.843,360.943,350.126,358.397,1899280.3376425,0
C.US,D,20000119,000000,355.324,368.245,354.266,366.189,2362789.0830668,0
C.US,D,20000120,000000,366.688,367.756,350.126,358.975,1641373.3299131,0
C.US,D,20000121,000000,356.303,358.397,342.441,345.486,1870568.7263853,0
C.US,D,20000124,000000,349.147,349.147,334.61,338.281,1381469.1970144,0
C.US,D,20000125,000000,348.04,352.171,337.703,342.441,1863205.4127178,0
C.US,D,20000126,000000,345.995,358.975,345.016,355.843,1612483.9694083,0
C.US,D,20000127,000000,358.975,364.594,353.728,361.569,1751130.4257888,0
C.US,D,20000128,000000,352.171,358.397,342.892,343.91,1458693.0728053,0
C.US,D,20000131,000000,347.052,354.844,344.39,349.147,1644013.0083977,0
C.US,D,20000201,000000,352.671,358.397,351.702,356.841,1446947.3207868,0
C.US,D,20000202,000000,357.399,358.975,349.147,353.728,1593796.8027987,0
C.US,D,20000203,000000,355.324,356.303,337.703,345.995,2296296.5627251,0
C.US,D,20000204,000000,349.147,354.844,333.054,336.147,1771815.739115,0
C.US,D,20000207,000000,339.779,345.016,333.054,334.16,1503455.2368296,0
C.US,D,20000208,000000,339.779,345.016,338.78,343.91,1595812.3158212,0
C.US,D,20000209,000000,338.78,342.441,331.526,333.054,1528971.4478158,0
C.US,D,20000210,000000,334.61,338.78,325.31,330.029,1358625.3540297,0
C.US,D,20000211,000000,333.054,338.78,324.791,331.526,1602723.0839901,0
C.US,D,20000214,000000,333.054,335.139,319.574,331.526,1394236.4964342,0
C.US,D,20000215,000000,324.791,337.204,323.715,337.204,1695561.3118078,0
C.US,D,20000216,000000,332.574,337.204,325.907,329.402,1100089.0731012,0
C.US,D,20000217,000000,333.054,336.147,320.651,322.227,1555807.4980443,0
C.US,D,20000218,000000,322.227,323.715,306.682,316.031,2464089.8095557,0
C.US,D,20000222,000000,315.443,321.728,307.171,313.475,2353319.338658,0
C.US,D,20000223,000000,312.389,317.636,310.343,312.878,1879499.0937663,0
C.US,D,20000224,000000,307.171,309.325,294.729,302.551,3814528.4827125,0
C.US,D,20000225,000000,303.002,311.302,289.619,294.729,2277769.7790577,0
C.US,D,20000228,000000,304.117,310.832,301.033,301.033,3897275.8653015,0
C.US,D,20000229,000000,310.343,320.181,309.325,318.076,3078753.859288,0
C.US,D,20000301,000000,326.886,326.886,314.983,317.009,2020441.9887047,0
C.US,D,20000302,000000,319.114,319.574,307.171,316.51,1403345.6346103,0
C.US,D,20000303,000000,328.423,330.488,324.791,328.423,2237184.7223568,0
C.US,D,20000306,000000,331.526,333.054,313.475,320.651,1500492.7493661,0
C.US,D,20000307,000000,324.312,324.791,309.325,309.325,1384109.8970464,0
C.US,D,20000308,000000,311.87,312.878,302.032,310.343,1426793.2121093,0
C.US,D,20000309,000000,301.552,309.325,297.901,309.325,1821492.5676861,0
C.US,D,20000310,000000,306.173,311.302,299.467,301.033,1482848.5826533,0
C.US,D,20000313,000000,294.279,306.682,293.281,306.682,2330812.6063157,0
C.US,D,20000314,000000,307.768,309.325,302.551,305.664,1440599.4252359,0
C.US,D,20000315,000000,303.002,321.141,299.957,321.141,2876015.5189584,0
C.US,D,20000316,000000,329.402,350.126,323.715,345.016,4147787.8913939,0
C.US,D,20000317,000000,347.561,354.844,345.016,350.126,2369011.3282873,0
C.US,D,20000320,000000,345.016,352.671,339.779,345.016,1653153.8145433,0
C.US,D,20000321,000000,345.995,357.399,341.834,356.841,2498325.9491583,0
C.US,D,20000322,000000,357.878,362.539,353.728,360.943,1800363.9027879,0
C.US,D,20000323,000000,360.943,379.65,356.841,379.062,2644671.8083015,0
C.US,D,20000324,000000,379.65,383.203,366.189,371.886,2219218.7682127,0
C.US,D,20000327,000000,371.886,379.062,358.397,368.745,1555643.0289127,0
C.US,D,20000328,000000,363.116,380.169,362.539,374.462,1731282.7813316,0
C.US,D,20000329,000000,374.462,377.006,365.7,372.876,1362728.9099402,0
C.US,D,20000330,000000,369.224,374.462,360.444,374.462,1408985.5978121,0
C.US,D,20000331,000000,368.745,372.876,363.116,367.756,1408825.2148702,0
C.US,D,20000403,000000,368.745,383.203,367.756,380.668,1976572.6571092,0
C.US,D,20000404,000000,380.668,387.941,343.91,362.539,2865459.8696622,0
C.US,D,20000405,000000,360.943,365.7,356.303,360.444,1502005.6610673,0
C.US,D,20000406,000000,365.7,367.756,360.943,364.124,1028080.1967932,0
C.US,D,20000407,000000,367.257,368.745,360.943,362.539,1143575.3244213,0
C.US,D,20000410,000000,362.539,384.789,361.569,382.214,1897477.3064795,0
C.US,D,20000411,000000,381.646,389.438,377.006,389.438,1849867.0683008,0
C.US,D,20000412,000000,394.069,401.842,384.31,386.874,2554203.5704546,0
C.US,D,20000413,000000,386.874,386.874,377.515,384.31,1749503.1007788,0
C.US,D,20000414,000000,374.462,374.462,350.713,356.303,2620266.0193403,0
C.US,D,20000417,000000,351.702,367.257,348.53,364.124,2405479.5489615,0
C.US,D,20000418,000000,366.189,386.874,364.124,381.646,1806942.6680514,0
C.US,D,20000419,000000,381.167,381.646,353.728,366.189,2880069.0190462,0
C.US,D,20000420,000000,373.943,375.998,367.257,375.998,1254840.2242612,0
C.US,D,20000424,000000,372.395,381.646,371.387,379.65,1301360.4713627,0
C.US,D,20000425,000000,382.713,396.213,382.214,396.213,1535340.795862,0
C.US,D,20000426,000000,389.438,394.069,380.668,383.8,1356767.1593069,0
C.US,D,20000427,000000,378.074,381.167,370.81,378.573,1352354.0745339,0
C.US,D,20000428,000000,385.768,385.768,363.116,363.116,1337486.4736574,0
C.US,D,20000501,000000,370.81,381.646,363.625,371.387,1082092.4725349,0
C.US,D,20000502,000000,371.886,380.169,368.245,376.527,1001657.8732621,0
C.US,D,20000503,000000,374.462,385.768,367.756,370.291,1436912.6606652,0
C.US,D,20000504,000000,368.245,371.886,357.399,360.943,1511041.2478305,0
C.US,D,20000505,000000,356.841,369.224,356.841,366.688,967471.78948223,0
C.US,D,20000508,000000,365.113,372.395,363.116,367.756,1175796.9725487,0
C.US,D,20000509,000000,371.886,374.971,362.539,366.189,1144492.6739875,0
C.US,D,20000510,000000,359.963,364.594,347.052,347.561,1553608.1064896,0
C.US,D,20000511,000000,355.324,366.189,351.193,362.539,1344881.4552944,0
C.US,D,20000512,000000,362.539,375.518,358.975,370.81,1411169.6661559,0
C.US,D,20000515,000000,371.387,388.411,369.224,387.343,1474045.9086974,0
C.US,D,20000516,000000,388.949,390.506,377.006,379.65,1394458.1722202,0
C.US,D,20000517,000000,379.65,384.789,374.971,375.998,1139643.3884742,0
C.US,D,20000518,000000,381.646,388.411,378.074,379.062,1305856.3014752,0
C.US,D,20000519,000000,374.971,378.074,370.81,375.518,1233430.6338276,0
C.US,D,20000522,000000,378.074,379.65,366.688,377.515,1034088.9386068,0
C.US,D,20000523,000000,375.518,389.438,375.518,383.8,1304167.6836211,0
C.US,D,20000524,000000,381.167,388.949,371.387,378.074,2022298.1403327,0
C.US,D,20000525,000000,370.291,375.518,357.878,360.444,1873514.8690903,0
C.US,D,20000526,000000,357.399,361.569,351.193,358.975,1431175.6504602,0
C.US,D,20000530,000000,366.189,374.462,364.594,371.387,1141721.2158882,0
C.US,D,20000531,000000,373.365,382.713,372.876,382.713,1203219.3909856,0
C.US,D,20000601,000000,387.941,395.644,385.768,389.929,1773062.0269444,0
C.US,D,20000602,000000,405.003,411.699,403.917,410.113,1824199.6682992,0
C.US,D,20000605,000000,405.492,410.113,403.917,409.105,1260777.4577567,0
C.US,D,20000606,000000,405.492,405.992,394.069,399.266,1082267.1571405,0
C.US,D,20000607,000000,402.321,410.113,397.71,408.615,1172901.9072139,0
C.US,D,20000608,000000,407.577,408.038,395.155,397.192,1143202.4596198,0
C.US,D,20000609,000000,399.756,404.504,392.581,394.069,1037057.5553547,0
C.US,D,20000612,000000,396.732,399.756,392.581,394.069,831949.22505437,0
C.US,D,20000613,000000,397.71,403.408,392.042,402.321,1051898.5959987,0
C.US,D,20000614,000000,402.918,416.319,402.321,413.285,1455298.4707913,0
C.US,D,20000615,000000,413.765,414.274,398.2,399.266,1616123.7427986,0
C.US,D,20000616,000000,399.266,402.321,380.668,385.768,2370017.5524775,0
C.US,D,20000619,000000,387.941,397.71,386.874,396.213,1165546.7659255,0
C.US,D,20000620,000000,399.266,400.843,391.514,396.213,1023714.1032007,0
C.US,D,20000621,000000,390.506,390.506,384.789,384.789,1103668.5751949,0
C.US,D,20000622,000000,384.789,387.343,372.395,383.203,1128944.7225418,0
C.US,D,20000623,000000,382.214,386.874,379.062,381.167,1006188.4359863,0
C.US,D,20000626,000000,385.768,394.627,382.713,394.069,1199756.3452956,0
C.US,D,20000627,000000,394.069,397.71,391.514,393.569,914072.44218125,0
C.US,D,20000628,000000,395.155,400.843,387.941,395.155,1081287.4931828,0
C.US,D,20000629,000000,385.768,394.627,385.768,385.768,1039829.013454,0
C.US,D,20000630,000000,385.317,387.941,369.224,370.81,2087179.6804228,0
C.US,D,20000703,000000,373.943,386.874,372.876,384.31,711138.98629806,0
C.US,D,20000705,000000,387.343,396.213,385.768,389.438,1212226.3744216,0
C.US,D,20000706,000000,386.385,395.155,379.65,393.569,1198906.4178578,0
C.US,D,20000707,000000,396.213,402.321,394.627,401.342,1306984.0898061,0
C.US,D,20000710,000000,401.842,405.492,400.354,401.842,919950.42592754,0
C.US,D,20000711,000000,405.492,414.274,402.321,411.699,1155784.85896,0
C.US,D,20000712,000000,414.274,420.46,411.699,411.699,1302764.0774918,0
C.US,D,20000713,000000,412.776,416.319,406.491,410.113,835574.69678109,0
C.US,D,20000714,000000,411.699,418.865,411.181,418.865,947437.20185062,0
C.US,D,20000717,000000,418.865,421.527,403.408,408.615,1292499.569205,0
C.US,D,20000718,000000,405.492,411.181,402.321,410.602,776293.27954422,0
C.US,D,20000719,000000,408.038,421.047,408.038,418.865,1103295.7103934,0
C.US,D,20000720,000000,419.931,435.438,419.931,434.448,1473352.278012,0
C.US,D,20000721,000000,434.957,443.22,430.836,436.495,1970592.5186228,0
C.US,D,20000724,000000,434.957,440.656,429.3,435.438,1055025.5525937,0
C.US,D,20000725,000000,437.024,437.601,429.3,433.93,1146164.9470832,0
C.US,D,20000726,000000,435.438,436.495,428.232,428.741,1202705.5526428,0
C.US,D,20000727,000000,430.836,436.005,427.743,430.836,855458.09539733,0
C.US,D,20000728,000000,428.741,429.819,416.319,423.015,885262.76237365,0
C.US,D,20000731,000000,423.015,434.448,414.773,433.93,1343090.6827002,0
C.US,D,20000801,000000,437.024,437.024,431.307,433.93,1072167.1179852,0
C.US,D,20000802,000000,433.93,439.059,431.864,437.024,1017156.7904326,0
C.US,D,20000803,000000,436.005,443.22,434.448,440.175,1344881.4552944,0
