<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CAG.US,D,20000103,000000,11.6467,11.871,11.3523,11.8457,2823852,0
CAG.US,D,20000104,000000,11.5175,11.7119,11.4838,11.6116,3694927,0
CAG.US,D,20000105,000000,11.5823,11.6467,11.3881,11.4178,2028486,0
CAG.US,D,20000106,000000,11.3881,11.7752,11.3236,11.7423,2621704,0
CAG.US,D,20000107,000000,12.2629,12.3569,11.9053,12.0003,2251341,0
CAG.US,D,20000110,000000,12.0003,12.3242,11.7752,11.9053,1571904,0
CAG.US,D,20000111,000000,11.7119,12.3905,11.7119,12.29,2196687,0
CAG.US,D,20000112,000000,12.1959,12.6499,12.1959,12.3242,2379153,0
CAG.US,D,20000113,000000,12.1959,12.2629,11.9053,11.9715,1264179,0
CAG.US,D,20000114,000000,11.8457,11.871,11.5175,11.5823,2757832,0
CAG.US,D,20000118,000000,11.5823,11.7119,11.4178,11.6116,2540569,0
CAG.US,D,20000119,000000,11.4838,11.8064,11.4838,11.7752,2332815,0
CAG.US,D,20000120,000000,11.7119,12.0003,11.6467,11.9382,2823346,0
CAG.US,D,20000121,000000,12.0003,12.1665,11.7423,11.9715,2641389,0
CAG.US,D,20000124,000000,11.9382,12.0361,11.5823,11.6467,1336989,0
CAG.US,D,20000125,000000,11.5175,11.7119,11.3523,11.3523,2089077,0
CAG.US,D,20000126,000000,11.3663,11.5232,10.9718,11.1002,2974922,0
CAG.US,D,20000127,000000,11.3663,11.4284,10.9398,11.006,1684774,0
CAG.US,D,20000128,000000,11.006,11.006,10.6477,10.8032,1676628,0
CAG.US,D,20000131,000000,10.8032,11.3663,10.4801,11.2016,1711255,0
CAG.US,D,20000201,000000,11.0339,11.1002,10.8032,11.006,1700725,0
CAG.US,D,20000202,000000,10.8767,10.9718,10.1896,10.5834,2252367,0
CAG.US,D,20000203,000000,10.5834,10.9038,10.3819,10.74,2848973,0
CAG.US,D,20000204,000000,10.74,11.006,10.6477,10.9718,2445685,0
CAG.US,D,20000207,000000,10.9718,10.9718,10.5477,10.7108,1523188,0
CAG.US,D,20000208,000000,10.7108,10.74,10.5477,10.74,1139932,0
CAG.US,D,20000209,000000,10.7108,10.74,10.3491,10.3819,2605917,0
CAG.US,D,20000210,000000,10.3819,10.6085,9.89174,9.95617,2893782,0
CAG.US,D,20000211,000000,10.0938,10.1896,9.69687,9.86213,2275618,0
CAG.US,D,20000214,000000,9.92606,10.0201,9.56855,9.69687,1493994,0
CAG.US,D,20000215,000000,9.69687,9.99236,9.50296,9.69687,3531640,0
CAG.US,D,20000216,000000,9.69687,9.76403,9.33689,9.53241,5052117,0
CAG.US,D,20000217,000000,9.73377,9.76403,9.27287,9.33689,2629676,0
CAG.US,D,20000218,000000,9.14393,9.4031,9.07757,9.33689,5030729,0
CAG.US,D,20000222,000000,8.87785,9.46711,8.87785,9.33689,2255246,0
CAG.US,D,20000223,000000,9.23958,9.30918,8.78635,8.81244,2081606,0
CAG.US,D,20000224,000000,8.81244,8.84999,8.29609,8.55462,3294188,0
CAG.US,D,20000225,000000,8.84999,8.84999,8.3616,8.42621,2249817,0
CAG.US,D,20000228,000000,8.42621,8.71827,8.38945,8.58987,1930381,0
CAG.US,D,20000229,000000,8.55462,8.81244,8.38945,8.55462,2613725,0
CAG.US,D,20000301,000000,8.68553,8.87785,8.58987,8.74776,3904382,0
CAG.US,D,20000302,000000,8.74776,8.81244,8.3616,8.42621,5337602,0
CAG.US,D,20000303,000000,8.42621,8.74776,8.38945,8.49008,4512533,0
CAG.US,D,20000306,000000,8.45403,8.49008,8.19547,8.3616,4397283,0
CAG.US,D,20000307,000000,8.29609,8.3616,7.9361,8.09403,7561621,0
CAG.US,D,20000308,000000,7.9647,8.3616,7.9647,8.2601,2919419,0
