<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CL.US,D,20000103,000000,23.5057,23.5057,22.7691,22.86,3202702.5201824,0
CL.US,D,20000104,000000,22.4946,22.7464,22.2181,22.2655,3102196.8644115,0
CL.US,D,20000105,000000,22.3119,22.4946,21.2109,21.5101,4168976.4648072,0
CL.US,D,20000106,000000,21.3017,22.0334,21.2544,21.4627,7632115.4478718,0
CL.US,D,20000107,000000,21.7145,22.8876,21.3017,22.7464,7326943.5268936,0
CL.US,D,20000110,000000,23.319,23.3674,22.6783,23.3674,4011397.2238945,0
CL.US,D,20000111,000000,23.1374,23.801,23.1167,23.483,5065283.7195198,0
CL.US,D,20000112,000000,23.2292,23.6637,23.0693,23.6429,3068262.2045541,0
CL.US,D,20000113,000000,23.5531,24.1258,23.4356,23.801,3476559.7217668,0
CL.US,D,20000114,000000,24.2404,24.5099,22.7908,23.2529,6176776.4978837,0
CL.US,D,20000118,000000,23.1581,23.3674,22.7908,23.1374,3817241.1025333,0
CL.US,D,20000119,000000,23.1374,23.2292,22.4472,22.5874,3249255.8341471,0
CL.US,D,20000120,000000,22.541,23.4109,22.2181,22.7464,4054011.0061997,0
CL.US,D,20000121,000000,23.2292,23.2292,22.1727,22.5173,4790888.7566728,0
CL.US,D,20000124,000000,23.1039,23.1996,22.2734,22.3455,3978774.0533685,0
CL.US,D,20000125,000000,22.7405,22.7602,21.8162,21.9564,2537371.3232174,0
CL.US,D,20000126,000000,22.0008,22.3237,21.6997,22.1599,1799449.4449446,0
CL.US,D,20000127,000000,22.0008,22.5785,22.0008,22.2063,2729678.1939847,0
CL.US,D,20000128,000000,22.3011,22.5044,21.5408,21.91,4128192.6911674,0
CL.US,D,20000131,000000,21.6336,21.9762,21.5408,21.8162,4487824.3332224,0
CL.US,D,20000201,000000,21.8162,22.1599,21.52,21.9564,4065586.5452402,0
CL.US,D,20000202,000000,22.2734,22.6881,22.0008,22.5785,3959830.8812115,0
CL.US,D,20000203,000000,22.46,22.7405,21.4982,22.0937,5614849.3987486,0
CL.US,D,20000204,000000,21.91,21.9347,20.2541,20.7132,8547098.5132098,0
CL.US,D,20000207,000000,20.7132,20.9177,19.7219,20.7587,7768912.3933644,0
CL.US,D,20000208,000000,20.7587,21.8636,20.7587,21.6098,7176205.2978986,0
CL.US,D,20000209,000000,22.0008,22.0008,21.1734,21.4232,5834250.9301888,0
CL.US,D,20000210,000000,21.4489,21.5408,21.126,21.1734,3215324.2124889,0
CL.US,D,20000211,000000,21.2198,21.2198,20.4822,20.5721,4342345.2270829,0
CL.US,D,20000214,000000,20.5977,20.5977,19.5165,19.8838,5211548.706525,0
CL.US,D,20000215,000000,20.1613,20.5493,19.8138,20.5049,5668249.8010294,0
CL.US,D,20000216,000000,20.5721,20.8959,20.2976,20.3884,4032961.349248,0
CL.US,D,20000217,000000,20.4822,20.6224,19.7002,19.864,3528122.0135176,0
CL.US,D,20000218,000000,19.3308,20.2077,19.1443,19.5402,5510925.7688516,0
CL.US,D,20000222,000000,19.5402,19.864,18.6604,19.2844,4092164.7120452,0
CL.US,D,20000223,000000,19.1027,19.1235,18.7571,18.9172,4028760.5324554,0
CL.US,D,20000224,000000,18.6861,19.008,17.6286,18.069,6515619.7681202,0
CL.US,D,20000225,000000,18.1114,18.3167,17.675,17.7668,7801802.9254221,0
CL.US,D,20000228,000000,17.9919,18.8974,17.675,18.7779,6994414.647376,0
CL.US,D,20000229,000000,18.8688,19.7002,18.6417,19.2153,6539827.126798,0
CL.US,D,20000301,000000,19.239,19.7466,18.9636,19.5165,4590161.0103918,0
CL.US,D,20000302,000000,19.6063,19.6488,19.3308,19.3792,4065061.9495077,0
CL.US,D,20000303,000000,19.3792,20.2976,19.3536,20.2077,3770156.1037047,0
CL.US,D,20000306,000000,20.2541,20.2541,19.3792,19.4464,2945932.1510295,0
CL.US,D,20000307,000000,16.9373,18.3167,16.8485,17.2158,22023722.864582,0
CL.US,D,20000308,000000,17.3531,17.6286,15.6043,16.178,20877498.40543,0
CL.US,D,20000309,000000,16.1089,16.34,15.8314,16.1997,6893133.2380701,0
CL.US,D,20000310,000000,16.1997,16.1997,15.0494,15.7396,10541748.207315,0
CL.US,D,20000313,000000,14.9121,16.2668,14.9121,15.9726,7558189.984372,0
CL.US,D,20000314,000000,15.5599,16.0407,15.4631,15.9015,4190025.1090258,0
CL.US,D,20000315,000000,16.1563,19.8838,16.1089,19.0771,15542307.143316,0
CL.US,D,20000316,000000,19.0771,19.2844,18.3167,18.8688,12555857.567445,0
CL.US,D,20000317,000000,18.5024,19.1235,18.3395,18.3859,6688462.9219304,0
CL.US,D,20000320,000000,18.3859,18.7779,18.0926,18.5024,4899800.0969614,0
CL.US,D,20000321,000000,18.3622,18.9636,18.3167,18.5252,5501455.7018727,0
CL.US,D,20000322,000000,18.3622,18.7571,17.8577,18.6189,6561657.60095,0
CL.US,D,20000323,000000,18.4806,19.8838,18.4106,19.5609,7783648.6723301,0
CL.US,D,20000324,000000,19.5847,20.6224,19.5847,20.0221,6107329.340039,0
CL.US,D,20000327,000000,20.2541,20.4358,19.864,19.9519,4404696.1642752,0
CL.US,D,20000328,000000,19.6488,20.9413,19.6488,20.9413,5651151.828534,0
CL.US,D,20000329,000000,20.9858,21.2198,20.5049,20.7824,5720863.3097113,0
CL.US,D,20000330,000000,20.343,20.7824,20.0882,20.6886,7583183.2239154,0
CL.US,D,20000331,000000,20.7587,21.4982,20.5977,20.7587,5666673.9883656,0
CL.US,D,20000403,000000,20.8485,22.4186,20.7824,22.2734,4950571.444181,0
CL.US,D,20000404,000000,22.0937,22.6881,21.8162,22.3455,7607392.6080593,0
CL.US,D,20000405,000000,22.2309,22.7405,21.4489,21.52,4498087.3701985,0
CL.US,D,20000406,000000,21.5624,22.0937,20.9858,21.7214,4035601.544373,0
CL.US,D,20000407,000000,21.7214,22.0937,21.6336,21.8359,3304240.1509562,0
CL.US,D,20000410,000000,21.3561,22.4186,21.3097,22.1835,5738487.9034053,0
CL.US,D,20000411,000000,22.4186,23.1503,22.3692,23.0594,6585605.6999606,0
CL.US,D,20000412,000000,23.0594,24.0281,22.7859,22.8293,8095921.8776263,0
CL.US,D,20000413,000000,22.46,22.6457,21.284,21.7214,7693673.415067,0
CL.US,D,20000414,000000,20.5276,21.126,20.0418,20.5276,6611907.3906363,0
CL.US,D,20000417,000000,20.2541,21.2198,20.0882,21.2198,5953948.8904529,0
CL.US,D,20000418,000000,20.9858,20.9858,20.1129,20.343,6069179.6851258,0
CL.US,D,20000419,000000,20.6224,20.6224,19.4464,20.5049,10508334.092258,0
CL.US,D,20000420,000000,20.343,21.126,20.1129,21.0371,7262757.5173703,0
CL.US,D,20000424,000000,21.0243,21.6928,20.9522,21.6484,5182086.2759241,0
CL.US,D,20000425,000000,21.6266,22.1519,21.4627,21.8527,6929436.6805886,0
CL.US,D,20000426,000000,21.9722,21.9722,21.0243,21.3017,4374177.4530779,0
CL.US,D,20000427,000000,21.0006,22.1085,20.8159,21.6711,6010506.9944597,0
CL.US,D,20000428,000000,20.8613,21.3265,20.262,21.0924,5257061.9436222,0
CL.US,D,20000501,000000,20.6778,20.8613,20.3548,20.3548,3411050.0701154,0
CL.US,D,20000502,000000,20.3548,20.9789,20.2838,20.7232,3358964.1953652,0
CL.US,D,20000503,000000,20.7458,21.3511,20.4239,20.4921,2835699.1940789,0
CL.US,D,20000504,000000,20.5829,20.7004,20.4012,20.657,2640235.6343186,0
CL.US,D,20000505,000000,20.7705,21.4351,20.5829,21.0924,3044851.866806,0
CL.US,D,20000508,000000,21.2297,21.9722,21.0243,21.2721,2827023.1098303,0
CL.US,D,20000509,000000,21.3265,21.9486,21.3017,21.7865,4677764.4467948,0
CL.US,D,20000510,000000,21.5101,22.0621,21.4133,21.4864,4987408.5970296,0
CL.US,D,20000511,000000,21.7865,22.4324,21.6484,22.2221,5322831.8676738,0
CL.US,D,20000512,000000,22.2221,22.2221,21.3709,21.7263,2565257.9411544,0
CL.US,D,20000515,000000,21.6928,22.0621,21.6484,21.8745,2767827.8488978,0
CL.US,D,20000516,000000,21.8063,21.8063,21.2721,21.4351,3131664.3586777,0
CL.US,D,20000517,000000,21.4627,21.7382,21.208,21.6266,2256144.4630504,0
CL.US,D,20000518,000000,21.1378,21.9722,21.1378,21.8063,2409254.5129057,0
CL.US,D,20000519,000000,21.7382,21.7382,20.8367,21.0243,3447354.525367,0
CL.US,D,20000522,000000,21.048,21.2721,20.6778,20.8851,2476603.2878203,0
CL.US,D,20000523,000000,20.8851,21.1872,20.5602,20.657,4052957.7638023,0
CL.US,D,20000524,000000,20.5602,21.048,20.5602,20.9049,4627786.0695724,0
CL.US,D,20000525,000000,20.6778,20.8613,20.5375,20.6778,4274994.4267021,0
CL.US,D,20000526,000000,20.7458,21.048,20.4012,20.5829,2141443.3277755,0
CL.US,D,20000530,000000,20.7232,20.7705,19.868,19.9855,3566000.2559668,0
CL.US,D,20000531,000000,19.7544,19.9371,19.0406,19.4326,9734097.6314028,0
CL.US,D,20000601,000000,19.9855,20.2838,19.3862,19.6893,6747918.455263,0
CL.US,D,20000602,000000,20.0309,20.262,19.9144,20.1238,3382376.5585795,0
CL.US,D,20000605,000000,20.1692,20.1692,19.5945,19.5945,2791768.858777,0
CL.US,D,20000606,000000,19.1995,20.2126,19.1995,20.1475,3192956.9898074,0
CL.US,D,20000607,000000,20.3104,21.4627,20.2838,21.048,5699820.7418911,0
CL.US,D,20000608,000000,20.5829,20.9789,20.1238,20.8613,5008454.2030491,0
CL.US,D,20000609,000000,21.0006,21.2504,20.9522,21.0006,2293507.2243648,0
CL.US,D,20000612,000000,21.048,21.6266,21.048,21.208,2423459.1070074,0
CL.US,D,20000613,000000,21.208,21.2297,20.2126,20.5138,4811142.4054281,0
CL.US,D,20000614,000000,20.5138,21.2721,20.4693,21.0924,4762219.2960693,0
CL.US,D,20000615,000000,21.1626,21.7145,21.1626,21.596,3952725.5459615,0
CL.US,D,20000616,000000,21.4133,21.5101,21.1626,21.3709,5652995.0027295,0
CL.US,D,20000619,000000,21.3265,21.5101,21.1152,21.2721,2593410.9078901,0
CL.US,D,20000620,000000,20.9522,21.3511,20.6333,21.1872,4077954.041545,0
CL.US,D,20000621,000000,21.1378,21.2504,20.5138,21.048,3125346.9297596,0
