<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLX.US,D,20000103,000000,33.2701,33.3665,32.6062,32.8963,1005377.5290164,0
CLX.US,D,20000104,000000,32.6062,32.7744,31.8066,32.0219,858185.55344027,0
CLX.US,D,20000105,000000,32.195,33.6094,31.7692,32.8649,1037820.7051654,0
CLX.US,D,20000106,000000,31.8066,33.7737,31.4731,33.1472,1452776.1467445,0
CLX.US,D,20000107,000000,33.2701,35.3671,32.8963,34.9855,1413653.1941209,0
CLX.US,D,20000110,000000,35.3179,35.613,34.3628,34.6117,624390.32670845,0
CLX.US,D,20000111,000000,34.0668,35.2815,33.6969,34.9461,1231093.9880365,0
CLX.US,D,20000112,000000,34.7789,35.2048,34.1121,34.9117,921410.60364421,0
CLX.US,D,20000113,000000,35.3179,37.7089,34.7789,36.7814,2841368.4869356,0
CLX.US,D,20000114,000000,36.2041,37.1188,35.9513,36.2867,1313529.7500341,0
CLX.US,D,20000118,000000,35.3671,35.9513,34.9117,35.2815,1025011.1916492,0
CLX.US,D,20000119,000000,35.613,35.613,33.6094,34.7356,1592171.9996408,0
CLX.US,D,20000120,000000,35.7841,35.7841,33.8612,34.7789,1185837.2315362,0
CLX.US,D,20000121,000000,34.7789,34.7789,33.3665,33.8612,1710110.2144103,0
CLX.US,D,20000124,000000,33.7737,33.816,32.4351,32.6898,1592584.7833925,0
CLX.US,D,20000125,000000,32.6898,33.3999,30.7305,31.6029,1604840.190641,0
CLX.US,D,20000126,000000,31.7279,32.195,31.6925,31.9807,814327.78817724,0
CLX.US,D,20000127,000000,33.4137,33.4137,31.3984,31.7348,2620937.8966964,0
CLX.US,D,20000128,000000,32.2364,32.2364,30.2309,31.4898,1765676.3976154,0
CLX.US,D,20000131,000000,31.4898,32.4961,31.4898,32.0701,1511266.3843089,0
CLX.US,D,20000201,000000,32.0299,32.3672,31.6561,32.2364,1470744.4404481,0
CLX.US,D,20000202,000000,32.2039,33.5436,32.1606,32.4439,1505836.1428858,0
CLX.US,D,20000203,000000,32.5737,33.0419,30.5544,31.3197,1709552.0413076,0
CLX.US,D,20000204,000000,30.9371,31.3984,29.0034,29.4735,2534602.0399414,0
CLX.US,D,20000207,000000,28.2087,29.1352,28.0798,28.6749,1810927.0538632,0
CLX.US,D,20000208,000000,29.2139,30.5997,28.7978,30.2309,1577408.3719109,0
CLX.US,D,20000209,000000,30.4787,30.5544,29.9761,30.0971,1531734.7648239,0
CLX.US,D,20000210,000000,29.9329,29.9329,27.9648,28.129,1190155.193589,0
