<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMA.US,D,20000103,000000,30.5052,30.5052,29.3916,29.6862,1504404.723336,0
CMA.US,D,20000104,000000,29.4354,29.4354,28.3188,28.4452,908455.58766841,0
CMA.US,D,20000105,000000,28.1145,28.6962,28.1145,28.3645,1056248.1602932,0
CMA.US,D,20000106,000000,28.3645,29.3546,28.3645,29.1874,782084.53808172,0
CMA.US,D,20000107,000000,29.2681,29.3546,28.9374,29.1495,669774.47957106,0
CMA.US,D,20000110,000000,28.1963,29.0249,27.9901,28.1963,808018.615217,0
CMA.US,D,20000111,000000,27.8695,27.8695,27.3335,27.4561,882528.70758911,0
CMA.US,D,20000112,000000,27.4561,28.0377,27.4104,27.9453,781539.61812921,0
CMA.US,D,20000113,000000,28.0377,28.5269,27.9901,28.2419,1572775.7269603,0
CMA.US,D,20000114,000000,28.8566,29.2681,28.7302,29.0629,953077.33472166,0
CMA.US,D,20000118,000000,29.0249,29.0249,28.0377,28.4044,630742.78870972,0
CMA.US,D,20000119,000000,28.5269,29.1056,28.4452,28.4919,1346783.0285492,0
CMA.US,D,20000120,000000,28.4919,28.4919,27.2538,27.2538,1002750.3869195,0
CMA.US,D,20000121,000000,27.2538,27.2888,26.7558,26.925,882803.22386705,0
CMA.US,D,20000124,000000,27.0816,27.2538,26.4271,26.6741,670589.80319809,0
CMA.US,D,20000125,000000,26.5068,27.0496,26.4271,26.6303,701299.6410491,0
CMA.US,D,20000126,000000,26.3842,27.9453,26.3482,27.8325,684648.73797243,0
CMA.US,D,20000127,000000,27.9122,28.3645,27.7878,28.2829,619691.19518262,0
CMA.US,D,20000128,000000,28.2829,28.4044,27.7878,28.0377,1424706.5817558,0
CMA.US,D,20000131,000000,28.2829,29.3108,28.1963,29.1495,740194.5878469,0
CMA.US,D,20000201,000000,29.1874,29.3546,28.9374,29.0629,973412.10230737,0
CMA.US,D,20000202,000000,29.0629,29.1056,28.7302,28.9015,919510.26564805,0
CMA.US,D,20000203,000000,28.8566,29.0629,28.5269,29.0249,1143721.1786296,0
CMA.US,D,20000204,000000,28.8566,29.1874,28.5708,28.5708,952534.47107088,0
CMA.US,D,20000207,000000,28.5708,28.6077,27.8695,27.9901,542860.56633358,0
CMA.US,D,20000208,000000,28.1602,28.6077,28.1145,28.1963,469582.19868428,0
CMA.US,D,20000209,000000,28.1145,28.1963,27.6186,27.6622,558556.31726711,0
CMA.US,D,20000210,000000,27.5378,27.5825,26.3842,26.5905,725723.36458021,0
CMA.US,D,20000211,000000,26.5477,27.3335,26.2977,26.6303,901356.20602318,0
CMA.US,D,20000214,000000,26.6303,26.8774,26.0565,26.2646,533309.04490213,0
CMA.US,D,20000215,000000,26.2977,27.0028,26.0128,26.7966,565928.15888857,0
CMA.US,D,20000216,000000,26.6303,27.0028,26.1761,26.7558,709761.32257555,0
CMA.US,D,20000217,000000,26.9581,27.2061,26.0128,26.2208,669774.47957106,0
CMA.US,D,20000218,000000,26.0565,26.0565,24.6131,25.0693,1291652.5516196,0
CMA.US,D,20000222,000000,25.0693,25.399,24.3213,24.9019,1452409.0783596,0
CMA.US,D,20000223,000000,24.4916,24.5712,24.0335,24.4448,1091318.385915,0
CMA.US,D,20000224,000000,24.5246,24.5246,23.5822,24.2396,1093095.0305903,0
CMA.US,D,20000225,000000,24.0763,24.9019,23.089,23.2962,1775696.720213,0
CMA.US,D,20000228,000000,23.9099,25.0693,23.8292,24.8203,1361520.542887,0
CMA.US,D,20000229,000000,24.8203,24.8203,23.8652,24.2834,629381.51697933,0
CMA.US,D,20000301,000000,24.1162,24.1958,23.5365,23.9099,659950.49816337,0
CMA.US,D,20000302,000000,23.6638,23.7495,23.0472,23.623,623919.97964414,0
CMA.US,D,20000303,000000,24.2834,24.3213,23.5365,24.1958,864782.82385318,0
CMA.US,D,20000306,000000,23.9915,24.1958,23.6638,23.8652,479952.12819532,0
CMA.US,D,20000307,000000,23.8292,23.8292,22.6378,22.9199,562920.81764132,0
CMA.US,D,20000308,000000,23.089,23.089,22.0581,22.3071,825622.6141351,0
CMA.US,D,20000309,000000,22.2613,22.6718,22.2613,22.5103,586122.06980731,0
CMA.US,D,20000310,000000,22.6378,22.7992,22.4305,22.4666,473945.67090765,0
CMA.US,D,20000313,000000,22.2769,22.9888,21.9832,22.7379,581484.08130599,0
CMA.US,D,20000314,000000,22.5676,23.4849,22.2332,22.8624,1055970.5595627,0
CMA.US,D,20000315,000000,22.8186,24.6949,22.8186,24.6949,1571001.1385866,0
CMA.US,D,20000316,000000,26.5341,28.701,26.2753,27.6535,2490775.6390042,0
CMA.US,D,20000317,000000,27.7421,28.4452,27.5758,27.6992,1071937.7423216,0
CMA.US,D,20000320,000000,27.5329,27.5329,26.2753,26.4115,598265.55954109,0
CMA.US,D,20000321,000000,26.5341,28.4452,26.5341,28.1145,1038105.4103278,0
CMA.US,D,20000322,000000,28.1145,28.7865,27.8695,28.701,950220.10349906,0
CMA.US,D,20000323,000000,28.701,29.5745,28.2886,29.4947,959357.28013644,0
CMA.US,D,20000324,000000,29.3682,29.7009,28.6135,28.9908,1350608.7778761,0
CMA.US,D,20000327,000000,28.9082,28.9529,27.8695,28.0747,979008.32740438,0
CMA.US,D,20000328,000000,28.1145,28.9529,27.8695,28.3645,945434.06127479,0
CMA.US,D,20000329,000000,28.4919,28.6135,27.3627,27.8695,1864674.9513992,0
CMA.US,D,20000330,000000,27.9035,27.9035,27.0329,27.2811,1192166.618708,0
CMA.US,D,20000331,000000,27.1585,28.1963,26.6955,27.9453,1098827.9997509,0
CMA.US,D,20000403,000000,28.1145,29.4499,28.1145,29.2817,937659.18451866,0
CMA.US,D,20000404,000000,28.5338,30.1152,28.1145,28.9082,959628.71196183,0
CMA.US,D,20000405,000000,29.2448,29.8235,28.701,28.8275,871197.45702979,0
CMA.US,D,20000406,000000,28.9529,28.9529,28.4452,28.5785,657905.50611524,0
