<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMI.US,D,20000103,000000,8.85812,8.89556,8.50181,8.7421,1035187.618711,0
CMI.US,D,20000104,000000,8.73288,8.73288,8.41225,8.50181,895195.60054719,0
CMI.US,D,20000105,000000,8.50181,8.66527,8.38206,8.50827,1149969.7871359,0
CMI.US,D,20000106,000000,8.22616,8.86665,7.68857,8.81589,4119291.8964635,0
CMI.US,D,20000107,000000,8.81589,9.24147,8.77699,9.04528,2689875.8640789,0
CMI.US,D,20000110,000000,9.00246,9.21815,8.83891,9.17052,1360760.4190942,0
CMI.US,D,20000111,000000,9.10751,9.10751,8.5703,8.64891,1031432.2654467,0
CMI.US,D,20000112,000000,8.64891,8.85283,8.6004,8.688,908602.61989095,0
CMI.US,D,20000113,000000,8.73288,9.05293,8.7266,8.83891,815808.65711374,0
CMI.US,D,20000114,000000,8.88056,8.91878,8.62577,8.62577,594291.79739462,0
CMI.US,D,20000118,000000,8.53817,8.60559,8.41225,8.54513,685476.46884097,0
CMI.US,D,20000119,000000,8.54513,8.54513,8.32954,8.35414,1537757.9740568,0
CMI.US,D,20000120,000000,8.39716,8.39716,8.10622,8.1654,767541.14242802,0
CMI.US,D,20000121,000000,8.2095,8.31386,7.8236,7.94933,1447648.8847683,0
CMI.US,D,20000124,000000,7.98039,7.99529,7.59871,7.70385,1387043.8100379,0
CMI.US,D,20000125,000000,7.67397,7.70385,7.4279,7.49523,1687946.5927139,0
CMI.US,D,20000126,000000,7.54686,7.61331,7.39018,7.51718,3010621.8109459,0
CMI.US,D,20000127,000000,7.47279,7.47279,7.20419,7.36048,1671849.5974995,0
CMI.US,D,20000128,000000,7.48797,7.50895,7.02505,7.13696,2266147.5177527,0
CMI.US,D,20000131,000000,7.09218,7.19683,6.98027,7.06984,1612855.855053,0
CMI.US,D,20000201,000000,6.92824,7.06984,6.876,6.88345,1405277.6828978,0
CMI.US,D,20000202,000000,6.88345,6.98781,6.75664,6.75664,1313561.3432312,0
CMI.US,D,20000203,000000,6.85366,6.96528,6.75664,6.90559,3335659.8816796,0
CMI.US,D,20000204,000000,6.90559,6.98781,6.90559,6.94294,1601054.0451342,0
CMI.US,D,20000207,000000,6.95048,7.01005,6.72686,6.8611,1803261.4498357,0
CMI.US,D,20000208,000000,6.90559,7.02505,6.77174,6.82377,1568869.2389931,0
CMI.US,D,20000209,000000,6.83868,6.90559,6.75664,6.75664,1219696.9006784,0
CMI.US,D,20000210,000000,6.75664,6.82377,6.69658,6.77174,2119718.3342653,0
CMI.US,D,20000211,000000,6.83868,6.83868,6.44375,6.4809,1714763.6928309,0
CMI.US,D,20000214,000000,6.49579,6.62995,6.47296,6.54028,1685797.4693514,0
CMI.US,D,20000215,000000,6.54028,6.71186,6.54028,6.64484,2567587.0710314,0
CMI.US,D,20000216,000000,6.83868,6.85366,6.73401,6.85366,2402921.9737312,0
CMI.US,D,20000217,000000,6.65228,6.72686,6.58486,6.66738,1419756.2024936,0
CMI.US,D,20000218,000000,6.77174,7.76245,6.68953,7.53188,3264863.308838,0
CMI.US,D,20000222,000000,7.48797,7.51718,7.12952,7.51718,2760142.809653,0
CMI.US,D,20000224,000000,7.05494,7.05494,6.42102,6.47296,2783200.4746,0
CMI.US,D,20000225,000000,6.33155,6.42102,6.24248,6.39849,2887259.4766934,0
CMI.US,D,20000228,000000,6.3539,6.3539,6.17486,6.26433,1572624.5922573,0
CMI.US,D,20000229,000000,6.31676,6.31676,6.15281,6.2123,1820959.5725696,0
CMI.US,D,20000301,000000,6.25688,6.42837,6.22739,6.31676,1336084.2785285,0
CMI.US,D,20000302,000000,6.15281,6.19711,6.04081,6.13782,1589790.0262946,0
CMI.US,D,20000303,000000,6.18966,6.4658,6.11548,6.45806,1462133.5272226,0
CMI.US,D,20000306,000000,6.36133,6.40583,6.15281,6.15281,1139241.5184223,0
