<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CMS.US,D,20000103,000000,17.4063,17.4388,16.5934,16.5934,2360862.821484,0
CMS.US,D,20000104,000000,16.6249,16.8742,16.6249,16.8013,667099.67056789,0
CMS.US,D,20000105,000000,16.7708,17.4388,16.6998,17.2625,2692804.0994559,0
CMS.US,D,20000106,000000,17.2625,17.5058,16.9451,17.1195,535697.28341717,0
CMS.US,D,20000107,000000,17.3619,17.5738,17.225,17.5058,776576.96486884,0
CMS.US,D,20000110,000000,17.4063,17.6102,17.1195,17.2625,376817.48981819,0
CMS.US,D,20000111,000000,17.1934,17.7561,17.1934,17.7196,2150236.1958484,0
CMS.US,D,20000112,000000,17.6102,17.7196,17.4743,17.6102,2219083.4636616,0
CMS.US,D,20000113,000000,17.7561,18.0024,17.6102,17.7886,720158.72002042,0
CMS.US,D,20000114,000000,17.7886,17.7886,17.3619,17.5433,404435.9621758,0
CMS.US,D,20000118,000000,17.4388,17.4388,17.1195,17.1934,612284.90871812,0
CMS.US,D,20000119,000000,17.225,17.5058,17.159,17.3619,748807.27797528,0
CMS.US,D,20000120,000000,17.4063,17.5058,17.0496,17.4063,572236.39853305,0
CMS.US,D,20000121,000000,17.4388,17.7886,17.225,17.6517,829197.59365339,0
CMS.US,D,20000124,000000,17.7196,18.036,17.5738,17.5738,960741.0467135,0
CMS.US,D,20000125,000000,17.6102,17.6102,17.159,17.2625,1044352.5364661,0
CMS.US,D,20000126,000000,17.3619,17.3619,16.8742,17.1195,1616150.5143312,0
CMS.US,D,20000127,000000,17.2625,17.2625,16.8358,16.8742,836502.57506113,0
CMS.US,D,20000128,000000,16.7362,17.0171,16.5559,16.5934,751728.05270318,0
CMS.US,D,20000131,000000,16.7362,17.0821,16.488,16.8742,1435636.893465,0
CMS.US,D,20000201,000000,14.6966,14.9745,12.7949,13.2185,5884757.2334493,0
CMS.US,D,20000202,000000,12.9377,12.9377,11.4252,12.0233,9145123.2740386,0
CMS.US,D,20000203,000000,11.9169,12.5475,11.8479,12.3416,7372579.3796189,0
CMS.US,D,20000204,000000,12.5121,12.584,11.5129,11.6489,4844208.402223,0
CMS.US,D,20000207,000000,11.6489,11.7612,11.4744,11.6164,1020379.4507738,0
CMS.US,D,20000208,000000,11.6489,11.8341,11.5838,11.6164,1179703.7542166,0
CMS.US,D,20000209,000000,11.6164,11.6489,11.3286,11.4065,1873841.3957022,0
CMS.US,D,20000210,000000,11.4065,11.4065,10.3334,10.7306,4081370.6480097,0
CMS.US,D,20000211,000000,10.763,10.763,10.3334,10.6507,1638800.2191183,0
CMS.US,D,20000214,000000,10.7306,11.0833,10.6507,10.9719,1044202.3367928,0
CMS.US,D,20000215,000000,11.1532,11.2971,11.0074,11.0833,1090682.0316376,0
CMS.US,D,20000216,000000,10.9404,11.0498,10.5896,10.6871,1344717.3777167,0
CMS.US,D,20000217,000000,10.6871,10.6871,10.298,10.5049,1873106.6351382,0
CMS.US,D,20000218,000000,10.4773,10.5896,10.2595,10.4773,1326009.3994908,0
CMS.US,D,20000222,000000,10.4773,10.5049,10.2595,10.4428,1001817.6127705,0
CMS.US,D,20000223,000000,10.5393,10.5393,10.0082,10.0437,1574782.6826915,0
CMS.US,D,20000224,000000,10.1167,10.1167,9.65353,9.72447,1019499.5648498,0
CMS.US,D,20000225,000000,9.72447,9.72447,9.25662,9.3993,1106910.7003916,0
CMS.US,D,20000228,000000,9.54415,9.54415,9.18972,9.44364,1192999.4698908,0
CMS.US,D,20000229,000000,9.50867,9.68604,9.47616,9.58061,1336240.2299397,0
CMS.US,D,20000301,000000,9.58061,9.72447,9.54415,9.68604,711825.68274077,0
CMS.US,D,20000302,000000,9.68604,9.86636,9.65353,9.65353,1640707.1460515,0
CMS.US,D,20000303,000000,9.72447,9.79443,9.61904,9.76191,1314464.3219007,0
CMS.US,D,20000306,000000,10.154,10.298,9.72447,9.89888,2656554.2201974,0
CMS.US,D,20000307,000000,9.89888,10.0082,9.79443,9.86636,1231150.1869066,0
CMS.US,D,20000308,000000,9.86636,9.94028,9.76191,9.83384,1242403.9989141,0
CMS.US,D,20000309,000000,9.83384,9.86636,9.65353,9.79443,861203.31727881,0
CMS.US,D,20000310,000000,9.76191,9.94028,9.76191,9.83384,658912.77351091,0
CMS.US,D,20000313,000000,9.86636,9.9757,9.79443,9.83384,786075.06447915,0
CMS.US,D,20000314,000000,9.86636,10.0082,9.76191,10.0082,2833708.6456676,0
CMS.US,D,20000315,000000,10.0082,10.7955,9.89888,10.2201,4043955.7064205,0
CMS.US,D,20000316,000000,10.9404,11.2241,10.7306,11.1148,665053.70745065,0
CMS.US,D,20000317,000000,11.1532,11.2626,10.8704,10.9059,1197530.8316559,0
CMS.US,D,20000320,000000,11.0074,11.1946,10.9719,11.1148,847616.33602196,0
CMS.US,D,20000321,000000,11.0498,11.2241,10.9404,11.0833,630119.09019605,0
CMS.US,D,20000322,000000,11.0833,11.1946,10.5393,10.7955,1486793.075435,0
CMS.US,D,20000323,000000,10.9059,10.9404,10.5896,10.8704,1037628.0564983,0
CMS.US,D,20000324,000000,10.8704,11.0498,10.763,10.9059,480006.69509408,0
CMS.US,D,20000327,000000,11.0074,11.2971,10.8704,10.8704,914411.55154197,0
CMS.US,D,20000328,000000,10.9059,11.0833,10.7306,10.8301,1220917.3267324,0
CMS.US,D,20000329,000000,10.6871,11.0074,10.6507,10.7955,1244154.6369981,0
CMS.US,D,20000330,000000,11.0074,11.0833,10.6507,10.7306,1384039.2462391,0
CMS.US,D,20000331,000000,10.7306,10.7306,10.298,10.3639,3534716.9073435,0
CMS.US,D,20000403,000000,10.4034,10.4428,10.2201,10.298,1582820.3949379,0
CMS.US,D,20000404,000000,10.298,10.6507,10.154,10.4034,966737.87015589,0
CMS.US,D,20000405,000000,10.4034,10.6871,10.3334,10.5393,995532.5683334,0
CMS.US,D,20000406,000000,10.5896,10.6162,10.4428,10.4428,989831.0699243,0
CMS.US,D,20000407,000000,10.4773,10.5049,10.4034,10.4428,1149005.1736939,0
CMS.US,D,20000410,000000,10.4428,10.6507,10.3334,10.5393,667537.07637322,0
CMS.US,D,20000411,000000,10.6871,10.7306,10.5896,10.6162,594455.80155347,0
CMS.US,D,20000412,000000,10.6507,10.9719,10.6507,10.7306,890877.90138026,0
CMS.US,D,20000413,000000,10.6507,11.2626,10.6507,11.1532,1585746.2439791,0
CMS.US,D,20000414,000000,11.2626,11.2626,10.6871,11.0833,1191978.5180575,0
CMS.US,D,20000417,000000,11.0074,11.0833,10.6507,11.0833,671919.25332774,0
CMS.US,D,20000418,000000,11.0074,11.2241,10.8301,11.1148,1354659.987171,0
CMS.US,D,20000419,000000,10.7955,10.9719,10.7955,10.9719,633629.50012789,0
CMS.US,D,20000420,000000,10.8704,10.9719,10.7955,10.7955,459394.83452293,0
CMS.US,D,20000424,000000,10.8301,11.1946,10.7306,11.1532,725855.14411624,0
CMS.US,D,20000425,000000,11.0074,11.371,10.7306,11.3286,864712.71234799,0
CMS.US,D,20000426,000000,11.371,11.371,11.0074,11.1532,1087613.0869618,0
CMS.US,D,20000427,000000,11.1148,11.1148,10.6162,10.6871,5367332.552178,0
CMS.US,D,20000428,000000,10.9404,11.1602,10.7216,11.0833,4867157.4914941,0
CMS.US,D,20000501,000000,11.1602,11.7386,11.1602,11.709,3103086.6854009,0
CMS.US,D,20000502,000000,11.709,12.3623,11.709,12.2135,4720846.7719067,0
CMS.US,D,20000503,000000,12.0677,12.0677,11.775,11.9928,867493.43602918,0
CMS.US,D,20000504,000000,12.0361,12.6914,11.9238,12.4736,1560021.5053401,0
CMS.US,D,20000505,000000,12.4736,12.4736,12.1031,12.2864,584807.50226988,0
CMS.US,D,20000508,000000,12.5406,12.7594,12.5406,12.584,1816980.6707351,0
CMS.US,D,20000509,000000,12.6136,12.6136,12.4736,12.5041,1257314.3610763,0
CMS.US,D,20000510,000000,12.5041,12.5041,12.3258,12.4312,857109.36131899,0
CMS.US,D,20000511,000000,12.5041,12.7594,12.3948,12.7594,1457265.6464189,0
CMS.US,D,20000512,000000,12.8007,12.9456,12.3623,12.3948,784027.07163658,0
CMS.US,D,20000515,000000,12.5406,12.8007,12.4736,12.6914,1596274.4291866,0
CMS.US,D,20000516,000000,12.8007,13.0885,12.584,12.9101,723669.12995226,0
CMS.US,D,20000517,000000,13.053,13.053,12.6136,12.7268,622079.34822439,0
CMS.US,D,20000518,000000,12.65,13.1959,12.584,12.9101,831242.54190799,0
CMS.US,D,20000519,000000,12.7594,12.9456,12.6136,12.65,738281.12249305,0
CMS.US,D,20000522,000000,12.7268,12.8678,12.584,12.7594,777014.37067417,0
CMS.US,D,20000523,000000,12.7594,12.8007,12.4312,12.5406,875821.39899554,0
CMS.US,D,20000524,000000,12.6914,13.1959,12.65,12.8678,728925.10365477,0
CMS.US,D,20000525,000000,12.9456,12.9791,12.65,12.8007,1028273.0525228,0
CMS.US,D,20000526,000000,12.7268,13.1289,12.6914,13.053,471091.1266491,0
CMS.US,D,20000530,000000,13.2727,13.3821,12.8372,12.9101,465825.00432001,0
CMS.US,D,20000531,000000,12.9791,13.5249,12.9456,13.2727,1197090.3812626,0
CMS.US,D,20000601,000000,13.5674,13.7092,13.458,13.4915,2487439.5366989,0
CMS.US,D,20000602,000000,13.7092,13.8206,13.4915,13.7092,1061451.9573801,0
CMS.US,D,20000605,000000,13.6018,13.6334,13.1959,13.2403,807854.01710628,0
CMS.US,D,20000606,000000,13.2727,13.4915,12.9791,13.0885,825101.60796825,0
CMS.US,D,20000607,000000,13.2403,13.3486,13.0204,13.0204,418617.65294988,0
CMS.US,D,20000608,000000,13.0885,13.0885,12.8007,12.9101,442299.47305956,0
CMS.US,D,20000609,000000,13.0204,13.2403,12.9791,13.2403,497105.10114542,0
CMS.US,D,20000612,000000,13.1289,13.4915,13.1289,13.458,967463.4969559,0
CMS.US,D,20000613,000000,13.4915,13.5249,13.2727,13.3486,601612.61301323,0
CMS.US,D,20000614,000000,13.458,13.458,13.2727,13.3486,496374.40003212,0
CMS.US,D,20000615,000000,13.2727,13.6018,13.2727,13.6018,1080749.57081,0
CMS.US,D,20000616,000000,13.6018,13.7092,13.4146,13.5674,1812448.2941073,0
CMS.US,D,20000619,000000,13.6018,13.6777,13.3486,13.4146,640639.15650233,0
CMS.US,D,20000620,000000,13.3486,13.4146,13.1959,13.1959,575014.07762627,0
CMS.US,D,20000621,000000,13.2727,13.458,13.1959,13.2403,637429.14591707,0
CMS.US,D,20000622,000000,13.3821,13.3821,13.053,13.2403,868367.23277717,0
CMS.US,D,20000623,000000,13.1959,13.3486,13.0885,13.1289,1463989.1115239,0
CMS.US,D,20000626,000000,13.053,13.3821,13.053,13.1624,1059842.3852055,0
CMS.US,D,20000627,000000,13.3062,13.3062,12.9101,12.9791,1110713.3907688,0
CMS.US,D,20000628,000000,12.9791,13.3821,12.7268,13.1702,705545.71261697,0
