<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNP.US,D,20000103,000000,11.5239,11.5583,11.2123,11.2683,1069151.7762362,0
CNP.US,D,20000104,000000,11.2123,11.4285,11.2123,11.3991,1971260.445079,0
CNP.US,D,20000105,000000,11.3618,12.096,11.3618,11.8758,1223340.5621978,0
CNP.US,D,20000106,000000,12.037,12.157,11.9436,11.9436,1787142.3309405,0
CNP.US,D,20000107,000000,12.0606,12.2188,12.0026,12.1264,1057084.8277696,0
CNP.US,D,20000110,000000,12.0606,12.1264,11.9436,11.9722,482468.37944938,0
CNP.US,D,20000111,000000,11.9073,12.037,11.748,11.8758,988761.40340111,0
CNP.US,D,20000112,000000,11.748,12.1264,11.748,12.0606,646224.66248801,0
CNP.US,D,20000113,000000,12.0606,12.1264,11.8758,12.037,992995.31332505,0
CNP.US,D,20000114,000000,11.7814,11.8758,11.7166,11.7166,794142.94850457,0
CNP.US,D,20000118,000000,11.6527,11.7814,11.5239,11.6202,811851.71927728,0
CNP.US,D,20000119,000000,11.5583,11.813,11.5583,11.7166,676467.31220664,0
CNP.US,D,20000120,000000,11.6527,11.6842,11.5239,11.5907,576023.34342473,0
CNP.US,D,20000121,000000,11.6527,11.748,11.5239,11.6842,1371262.9173252,0
CNP.US,D,20000124,000000,11.6842,11.7166,11.3361,11.3618,1039224.4826147,0
CNP.US,D,20000125,000000,11.4943,11.5907,10.7346,10.8623,1252645.2818468,0
CNP.US,D,20000126,000000,10.9263,11.3618,10.8299,11.3037,1406833.0505306,0
CNP.US,D,20000127,000000,11.2378,11.4943,11.2378,11.3618,753874.0094514,0
CNP.US,D,20000128,000000,11.2683,11.4629,11.1169,11.2378,1242612.8888458,0
CNP.US,D,20000131,000000,11.2683,11.5583,11.2378,11.5583,682105.06540186,0
CNP.US,D,20000201,000000,11.5239,11.5583,11.2123,11.3037,572885.04161901,0
CNP.US,D,20000202,000000,11.4629,11.4943,11.3037,11.3991,960872.73435619,0
CNP.US,D,20000203,000000,11.6527,12.2188,11.5907,12.1924,2653366.5277587,0
CNP.US,D,20000204,000000,12.1924,12.1924,11.6527,11.813,1908106.8261486,0
CNP.US,D,20000207,000000,11.748,11.7814,11.5583,11.6527,842725.08119024,0
CNP.US,D,20000208,000000,11.6527,11.7814,11.6202,11.748,1165992.5472885,0
CNP.US,D,20000209,000000,11.748,11.8444,11.7166,11.748,1533127.0637809,0
CNP.US,D,20000210,000000,11.7814,11.9722,11.6202,11.6842,1618065.6853594,0
CNP.US,D,20000211,000000,11.6527,11.6842,11.3037,11.3991,1900435.5347656,0
CNP.US,D,20000214,000000,11.4943,11.6605,11.4629,11.4943,3675035.8485383,0
CNP.US,D,20000215,000000,11.5239,11.5239,11.2378,11.3991,740396.09676944,0
CNP.US,D,20000216,000000,11.3618,11.3991,11.1739,11.2378,736165.23867869,0
CNP.US,D,20000217,000000,11.2378,11.3037,10.9203,10.9803,649200.19985647,0
CNP.US,D,20000218,000000,10.8859,10.9498,10.6913,10.9203,1138410.0788411,0
CNP.US,D,20000222,000000,11.0177,11.2378,10.9203,10.9203,2207871.1075082,0
CNP.US,D,20000223,000000,10.9498,11.0177,10.8161,10.9498,1166145.1389485,0
