<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVX.US,D,20000103,000000,24.0993,24.0993,23.1756,23.4683,7022055.0093181,0
CVX.US,D,20000104,000000,23.2799,23.6038,23.1532,23.4683,5925437.4157204,0
CVX.US,D,20000105,000000,23.3122,24.2935,23.3122,23.8867,8910570.3055204,0
CVX.US,D,20000106,000000,23.9433,25.0328,23.9433,24.9108,6967317.5306068,0
CVX.US,D,20000107,000000,25.257,25.5067,24.9781,25.3448,7181777.8423639,0
CVX.US,D,20000110,000000,25.2775,25.2775,24.6046,24.6651,3368590.5149719,0
CVX.US,D,20000111,000000,24.6651,24.9449,24.4007,24.4289,4467124.3150487,0
CVX.US,D,20000112,000000,24.4289,24.5939,24.0993,24.3499,4789451.9802909,0
CVX.US,D,20000113,000000,24.2748,25.0474,24.1764,24.5753,5206844.6072022,0
CVX.US,D,20000114,000000,24.0886,24.5352,24.0105,24.4212,5878383.2175624,0
CVX.US,D,20000118,000000,24.5549,25.1186,24.4007,25.0659,6909700.10326,0
CVX.US,D,20000119,000000,24.9781,24.9781,24.622,24.6786,8045364.6330565,0
CVX.US,D,20000120,000000,24.7499,24.7499,24.3626,24.5549,5473156.2974894,0
CVX.US,D,20000121,000000,24.6651,25.222,24.6514,24.8562,6318182.8496103,0
CVX.US,D,20000124,000000,25.1186,25.3624,24.6786,24.9245,5660092.5433624,0
CVX.US,D,20000125,000000,24.9245,25.4004,24.5939,24.8562,6169025.2962686,0
CVX.US,D,20000126,000000,25.0474,25.1897,24.2748,24.622,4290757.4499101,0
CVX.US,D,20000127,000000,24.508,24.5939,23.4527,23.6605,5682809.1762982,0
CVX.US,D,20000128,000000,23.4527,23.4867,22.9737,23.1756,6507356.2075953,0
CVX.US,D,20000131,000000,23.0332,23.557,22.6626,23.4683,5858536.2806861,0
CVX.US,D,20000201,000000,23.3999,23.6945,23.1532,23.3473,4179685.1411262,0
CVX.US,D,20000202,000000,23.2069,23.557,23.1357,23.1863,5471555.8703552,0
