<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
D.US,D,20000103,000000,10.4478,10.4478,10.1988,10.2124,3327435.2096025,0
D.US,D,20000104,000000,10.2124,10.4819,10.1121,10.4674,5345338.3610289,0
D.US,D,20000105,000000,10.5812,10.9043,10.5812,10.7496,10281439.283702,0
D.US,D,20000106,000000,10.8848,11.0191,10.8041,10.8721,7757061.1945367,0
D.US,D,20000107,000000,10.8498,10.9714,10.8176,10.8721,5352399.8660355,0
D.US,D,20000110,000000,10.986,10.986,10.8498,10.8721,4192436.6904595,0
D.US,D,20000111,000000,10.8498,10.9714,10.8176,10.9043,3814019.3510066,0
D.US,D,20000112,000000,10.9043,11.1534,10.9043,10.986,5665024.5714584,0
D.US,D,20000113,000000,10.986,11.1534,10.986,11.1408,7735233.4166921,0
D.US,D,20000114,000000,11.1739,11.1866,11.094,11.1534,6324281.6231935,0
D.US,D,20000118,000000,11.1534,11.1866,11.0523,11.1408,3708421.4900502,0
D.US,D,20000119,000000,11.242,11.3821,11.1866,11.3228,6065904.7309699,0
D.US,D,20000120,000000,11.3228,11.3821,11.2829,11.3704,4974621.6791021,0
D.US,D,20000121,000000,11.3704,11.423,11.3228,11.3432,7356817.1048155,0
D.US,D,20000124,000000,11.4036,11.5583,11.3432,11.3704,1267809.373691,0
D.US,D,20000125,000000,11.3704,11.423,11.1866,11.2556,2070219.1209977,0
D.US,D,20000126,000000,11.423,11.4415,11.3228,11.4415,1774291.5044647,0
D.US,D,20000127,000000,11.4415,11.4415,11.3821,11.4036,1449154.0012442,0
D.US,D,20000128,000000,10.9169,11.1156,10.7856,10.8848,8879150.9868144,0
D.US,D,20000131,000000,10.9549,11.1866,10.9043,11.1866,5555893.9028459,0
D.US,D,20000201,000000,11.1866,11.1866,10.9364,11.0056,3648082.203964,0
D.US,D,20000202,000000,11.0191,11.1156,10.9549,11.094,2143399.0017523,0
D.US,D,20000203,000000,11.3228,11.3704,11.2226,11.242,10583472.759192,0
D.US,D,20000204,000000,11.2712,11.3228,11.0338,11.0338,5915052.4054488,0
D.US,D,20000207,000000,11.094,11.1156,10.9169,10.9549,3832635.9526078,0
D.US,D,20000208,000000,10.9169,11.0726,10.9043,10.9364,4790387.506718,0
D.US,D,20000209,000000,10.9549,10.9714,10.8721,10.9043,3435922.6153898,0
D.US,D,20000210,000000,11.094,11.094,10.9043,10.9364,2879371.8246274,0
D.US,D,20000211,000000,10.8721,10.9169,10.7856,10.8361,2351067.0538911,0
D.US,D,20000214,000000,10.7856,10.9714,10.7378,10.8041,2515721.7855891,0
D.US,D,20000215,000000,10.8721,10.9169,10.8498,10.8848,3932451.6411731,0
D.US,D,20000216,000000,10.9169,10.9364,10.8721,10.9043,3228580.3049693,0
D.US,D,20000217,000000,10.9043,10.9714,10.8721,10.9364,2629338.8527549,0
D.US,D,20000218,000000,10.9169,10.9714,10.8176,10.9043,3599612.4528503,0
D.US,D,20000222,000000,10.8848,10.9043,10.8361,10.8848,2904085.0369975,0
D.US,D,20000223,000000,10.8041,10.8721,10.4478,10.4478,4765677.3770771,0
D.US,D,20000224,000000,10.518,10.518,10.1335,10.3495,3142882.488535,0
D.US,D,20000225,000000,10.3495,10.3495,9.94667,9.94667,2733973.8746265,0
D.US,D,20000228,000000,9.94964,10.1928,9.83866,10.0946,7433207.1342373,0
D.US,D,20000229,000000,10.1063,10.1394,9.98861,10.0012,2254132.6895456,0
D.US,D,20000301,000000,10.0012,10.0012,9.49029,9.83866,3338028.4946887,0
