<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAL.US,D,20000103,000000,7865.16,7865.16,7588.3,7673.83,251424,0
DAL.US,D,20000104,000000,7549.4,7788.93,7424.97,7491.86,283155,0
DAL.US,D,20000105,000000,7530.73,7597.63,7473.21,7558.73,235784,0
DAL.US,D,20000106,000000,7568.08,7597.63,7443.64,7519.85,222224,0
DAL.US,D,20000107,000000,7558.73,7788.93,7491.86,7770.27,297050,0
DAL.US,D,20000110,000000,7770.27,7942.89,7740.7,7837.16,305152,0
DAL.US,D,20000111,000000,7818.45,8201.08,7818.45,7885.35,378230,0
DAL.US,D,20000112,000000,7980.22,8067.34,7904.04,7980.22,251816,0
DAL.US,D,20000113,000000,7904.04,7952.21,7645.83,7645.83,829375,0
DAL.US,D,20000114,000000,7760.93,7827.81,7634.95,7673.83,329621,0
DAL.US,D,20000118,000000,7645.83,8095.32,7645.83,8000.45,452328,0
DAL.US,D,20000119,000000,7961.55,8037.78,7692.51,7788.93,424478,0
DAL.US,D,20000120,000000,7683.16,7922.68,7443.64,7501.19,417274,0
DAL.US,D,20000121,000000,7289.66,7376.76,7183.91,7194.79,598262,0
DAL.US,D,20000124,000000,7155.9,7309.88,7137.27,7213.48,695027,0
DAL.US,D,20000125,000000,7137.27,7174.6,7068.84,7117.04,646587,0
DAL.US,D,20000126,000000,7098.36,7271.02,7059.5,7232.11,558711,0
DAL.US,D,20000127,000000,7289.66,7386.08,7222.8,7328.57,487545,0
DAL.US,D,20000128,000000,7252.34,7424.97,7241.46,7252.34,394998,0
DAL.US,D,20000131,000000,7367.43,7386.08,6983.28,7107.72,288780,0
DAL.US,D,20000201,000000,7079.73,7328.57,7068.84,7271.02,330299,0
DAL.US,D,20000202,000000,7241.46,7482.53,7098.36,7424.97,349653,0
DAL.US,D,20000203,000000,7319.22,7424.97,7261.69,7376.76,458965,0
DAL.US,D,20000204,000000,7319.22,7443.64,7309.88,7328.57,295811,0
DAL.US,D,20000207,000000,7322.35,7476.31,7313.03,7389.21,338962,0
DAL.US,D,20000208,000000,7389.21,7563.4,7351.89,7505.88,296487,0
DAL.US,D,20000209,000000,7389.21,7485.65,7303.69,7313.03,285853,0
