<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DD.US,D,20000103,000000,15.8752,15.9781,15.6565,15.7264,4564037,0
DD.US,D,20000104,000000,15.4166,15.5927,15.2977,15.2977,7302167,0
DD.US,D,20000105,000000,15.3193,15.7959,15.257,15.7959,12864516,0
DD.US,D,20000106,000000,15.7712,16.7777,15.7108,16.2398,17203655,0
DD.US,D,20000107,000000,16.4838,16.7137,16.3646,16.5993,12216544,0
DD.US,D,20000110,000000,16.5104,16.5955,16.1536,16.1801,6012153,0
DD.US,D,20000111,000000,15.9483,16.1197,15.9396,16.0216,4730304,0
DD.US,D,20000112,000000,16.0216,16.4199,15.9483,16.333,11300618,0
DD.US,D,20000113,000000,16.1886,16.5179,16.1886,16.3646,7700009,0
DD.US,D,20000114,000000,16.3646,16.5955,16.2512,16.4838,7809854,0
DD.US,D,20000118,000000,16.3646,16.3951,15.4078,15.45,9352970,0
DD.US,D,20000119,000000,15.565,15.7959,15.2107,15.3193,9902233,0
DD.US,D,20000120,000000,15.3466,15.3466,14.5873,14.9186,9186715,0
DD.US,D,20000121,000000,14.6426,14.7565,14.1703,14.4801,12902370,0
DD.US,D,20000124,000000,14.7036,14.999,14.3246,14.9783,9295079,0
DD.US,D,20000125,000000,14.9783,15.0158,14.1995,14.4732,10478956,0
DD.US,D,20000126,000000,14.4648,14.7565,14.1703,14.3763,9086512,0
DD.US,D,20000127,000000,14.5873,14.7651,13.992,14.1185,10879021,0
DD.US,D,20000128,000000,14.1434,14.1617,13.5557,13.6091,11554460,0
DD.US,D,20000131,000000,13.6369,13.8354,13.4442,13.8158,7697779,0
DD.US,D,20000201,000000,13.7874,14.312,13.7276,14.215,7979092,0
DD.US,D,20000202,000000,14.1088,14.1703,13.4358,13.654,10049941,0
DD.US,D,20000203,000000,13.7089,13.7546,13.4358,13.6369,8055526,0
DD.US,D,20000204,000000,13.7546,13.7691,13.2202,13.3012,6417416,0
DD.US,D,20000207,000000,13.3987,13.4299,13.1468,13.2202,7800951,0
DD.US,D,20000208,000000,13.4586,13.4586,13.1318,13.2284,6235559,0
DD.US,D,20000209,000000,13.283,13.3904,12.8085,12.8455,8808164,0
DD.US,D,20000210,000000,12.8724,12.8995,12.5271,12.5621,8285635,0
DD.US,D,20000211,000000,12.5451,12.7762,12.3325,12.5413,7579756,0
DD.US,D,20000214,000000,12.5092,12.8085,12.2762,12.5451,10998520,0
DD.US,D,20000215,000000,12.5621,13.0352,12.5092,12.9161,14009798,0
DD.US,D,20000216,000000,12.9105,12.9863,12.6427,12.7203,6503511,0
DD.US,D,20000217,000000,12.8085,12.8995,12.5413,12.768,5994339,0
DD.US,D,20000218,000000,12.768,12.768,12.2149,12.4231,7388262,0
DD.US,D,20000222,000000,12.4231,13.6451,12.4231,13.5321,9289892,0
DD.US,D,20000223,000000,13.4151,13.5192,13.0432,13.1318,7725980,0
DD.US,D,20000224,000000,13.0432,13.0502,12.2801,12.768,6143529,0
DD.US,D,20000225,000000,12.768,12.768,12.4516,12.5451,5418356,0
DD.US,D,20000228,000000,12.3482,13.0884,12.2149,12.7551,8598854,0
DD.US,D,20000229,000000,12.7551,12.9863,12.4373,12.8627,6893941,0
DD.US,D,20000301,000000,12.8811,12.8995,12.1426,12.2585,7106214,0
DD.US,D,20000302,000000,12.0975,12.1532,11.6915,11.7973,9470996,0
DD.US,D,20000303,000000,12.2149,13.362,12.0975,13.0158,14266613,0
DD.US,D,20000306,000000,13.1318,13.2124,12.1344,12.357,10473017,0
DD.US,D,20000307,000000,11.9748,12.1691,11.3008,11.382,15258240,0
DD.US,D,20000308,000000,11.5389,11.8507,10.9089,11.637,16609121,0
DD.US,D,20000309,000000,11.3264,11.5305,11.1478,11.3692,9572674,0
DD.US,D,20000310,000000,11.4054,11.8137,11.265,11.6202,7273959,0
DD.US,D,20000313,000000,11.2891,12.0083,11.2723,11.8268,7455809,0
DD.US,D,20000314,000000,11.8439,11.8755,11.5034,11.5305,6899127,0
DD.US,D,20000315,000000,11.5915,12.6308,11.5915,12.6308,11826866,0
DD.US,D,20000316,000000,12.5988,13.3012,12.1261,13.2743,15484625,0
DD.US,D,20000317,000000,13.2743,13.2743,12.4516,12.6308,10259251,0
DD.US,D,20000320,000000,12.8085,13.0432,12.6308,12.8085,6479757,0
DD.US,D,20000321,000000,12.5777,13.1043,12.5691,12.978,6430764,0
DD.US,D,20000322,000000,12.978,12.978,12.3825,12.413,6620793,0
DD.US,D,20000323,000000,12.3905,12.8381,12.3905,12.5691,7754934,0
DD.US,D,20000324,000000,12.5691,13.058,12.4516,12.8529,7099526,0
DD.US,D,20000327,000000,12.5691,13.2124,12.5691,12.9341,7926383,0
DD.US,D,20000328,000000,12.8455,13.5192,12.8455,12.8627,8532064,0
DD.US,D,20000329,000000,12.8627,13.2319,12.7406,13.0748,7127736,0
DD.US,D,20000330,000000,13.058,14.1784,13.0386,13.9284,13111686,0
DD.US,D,20000331,000000,13.9847,14.2396,13.6058,13.6272,10364647,0
DD.US,D,20000403,000000,13.9847,14.3291,13.9284,14.3291,7839546,0
DD.US,D,20000404,000000,14.2237,15.0032,13.8667,14.2029,13079028,0
DD.US,D,20000405,000000,14.2029,14.4582,13.4998,13.833,6988195,0
DD.US,D,20000406,000000,13.833,14.2396,13.7183,14.1048,7219033,0
DD.US,D,20000407,000000,14.1048,14.2194,13.6841,13.8072,8120118,0
DD.US,D,20000410,000000,13.7456,14.0821,13.6584,13.8419,4920312,0
DD.US,D,20000411,000000,13.6272,14.211,13.6272,14.0695,9358910,0
DD.US,D,20000412,000000,14.0695,14.8221,13.9847,14.3246,11949340,0
DD.US,D,20000413,000000,14.3454,14.3588,13.6928,13.7823,12843730,0
DD.US,D,20000414,000000,13.5679,13.6733,12.663,12.8037,9727801,0
DD.US,D,20000417,000000,12.7324,13.1814,12.671,12.8724,6352098,0
DD.US,D,20000418,000000,12.7075,12.8037,11.9552,12.4338,9269847,0
DD.US,D,20000419,000000,12.6427,12.7851,12.1691,12.194,7753454,0
DD.US,D,20000420,000000,12.0716,12.6113,12.0716,12.5988,8272276,0
DD.US,D,20000424,000000,12.6553,13.1468,12.6344,13.0305,7060199,0
DD.US,D,20000425,000000,13.0305,13.3422,12.8627,12.9105,8648593,0
DD.US,D,20000426,000000,12.7324,12.895,12.55,12.6198,8558773,0
DD.US,D,20000427,000000,12.6198,13.2895,12.6198,13.0305,12379834,0
