<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIS.US,D,20000103,000000,25.482,26.196,25.149,26.143,9413133,0
DIS.US,D,20000104,000000,26.309,27.904,26.25,27.685,17982372,0
DIS.US,D,20000105,000000,28.073,28.955,27.685,28.785,22208900,0
DIS.US,D,20000106,000000,28.839,28.955,27.685,27.685,8854058,0
DIS.US,D,20000107,000000,27.957,28.073,26.962,27.245,7588493,0
DIS.US,D,20000110,000000,30.6,31.426,29.72,31.366,38052400,0
DIS.US,D,20000111,000000,31.093,32.14,30.819,31.702,22557318,0
DIS.US,D,20000112,000000,31.366,31.426,29.111,29.446,14677190,0
DIS.US,D,20000113,000000,30.106,30.6,29.552,30.43,9783013,0
DIS.US,D,20000114,000000,30.43,30.6,29.226,29.331,9132290,0
DIS.US,D,20000118,000000,29.5,30.43,28.891,30.158,9076529,0
DIS.US,D,20000119,000000,29.993,30.545,29.771,30.381,7339561,0
DIS.US,D,20000120,000000,30.6,30.987,29.226,29.392,8079773,0
DIS.US,D,20000121,000000,29.331,29.392,28.567,28.618,9280832,0
DIS.US,D,20000124,000000,28.839,29.72,28.284,29.111,9346814,0
DIS.US,D,20000125,000000,33.241,33.241,31.92,32.8,33509933,0
DIS.US,D,20000126,000000,32.746,32.746,31.806,32.032,11652057,0
DIS.US,D,20000127,000000,32.246,32.915,32.032,32.476,10999744,0
DIS.US,D,20000128,000000,32.193,32.8,31.866,32.14,8403434,0
DIS.US,D,20000131,000000,31.532,31.866,31.313,31.752,8860643,0
DIS.US,D,20000201,000000,31.481,31.866,31.426,31.481,8107936,0
DIS.US,D,20000202,000000,31.426,33.241,31.313,32.582,10543670,0
DIS.US,D,20000203,000000,32.915,33.682,32.854,33.127,12220564,0
DIS.US,D,20000204,000000,33.241,33.462,32.36,33.355,7027712,0
DIS.US,D,20000207,000000,33.241,33.628,32.854,33.241,6893934,0
DIS.US,D,20000208,000000,32.915,33.187,32.36,32.854,6475677,0
DIS.US,D,20000209,000000,32.633,34.121,32.476,32.968,6899269,0
DIS.US,D,20000210,000000,32.246,33.127,32.246,32.307,6358818,0
DIS.US,D,20000211,000000,32.414,33.795,32.193,33.127,8118954,0
DIS.US,D,20000214,000000,32.36,32.685,32.032,32.36,5827448,0
DIS.US,D,20000215,000000,31.974,32.526,30.925,32.246,7934866,0
DIS.US,D,20000216,000000,31.974,32.582,31.974,32.307,5013645,0
DIS.US,D,20000217,000000,32.089,32.246,31.206,31.92,5328559,0
DIS.US,D,20000218,000000,31.806,31.806,30.873,31.039,7275169,0
DIS.US,D,20000222,000000,30.873,30.987,28.511,29.163,14277442,0
DIS.US,D,20000223,000000,29.279,30.274,28.511,29.832,9378950,0
DIS.US,D,20000224,000000,29.72,29.771,28.343,29.004,9341928,0
DIS.US,D,20000225,000000,28.723,28.891,27.132,27.132,9456174,0
DIS.US,D,20000228,000000,28.23,28.785,27.957,28.618,8899369,0
DIS.US,D,20000229,000000,28.398,29.72,28.179,29.72,6168936,0
DIS.US,D,20000301,000000,29.552,30.381,29.004,30.325,8122702,0
DIS.US,D,20000302,000000,30.106,30.274,29.552,30.158,7380898,0
DIS.US,D,20000303,000000,31.806,31.92,30.485,31.92,16311497,0
DIS.US,D,20000306,000000,31.366,32.14,31.093,31.481,8224228,0
DIS.US,D,20000307,000000,31.806,31.806,30.987,31.481,8501097,0
DIS.US,D,20000308,000000,31.366,31.426,30.485,30.545,7051901,0
DIS.US,D,20000309,000000,30.713,31.702,30.274,31.702,6299536,0
DIS.US,D,20000310,000000,31.039,31.26,30.325,30.713,7911582,0
DIS.US,D,20000313,000000,28.955,31.039,28.839,30.545,5878780,0
DIS.US,D,20000314,000000,30.381,30.381,29.552,29.832,6262059,0
DIS.US,D,20000315,000000,29.72,30.545,29.392,30.43,7442223,0
DIS.US,D,20000316,000000,30.6,31.039,29.5,30.873,9337954,0
DIS.US,D,20000317,000000,30.381,32.307,30.213,32.193,9806862,0
DIS.US,D,20000320,000000,33.073,34.563,32.968,34.509,19029208,0
DIS.US,D,20000321,000000,34.563,35.057,33.795,34.289,14969732,0
DIS.US,D,20000322,000000,34.95,36.208,34.783,35.443,15377315,0
DIS.US,D,20000323,000000,34.887,36.648,34.834,36.324,9146031,0
DIS.US,D,20000324,000000,36.27,36.49,35.936,36.208,7428142,0
DIS.US,D,20000327,000000,36.27,36.877,35.001,36.49,6495209,0
DIS.US,D,20000328,000000,36.048,37.151,35.556,35.831,8506094,0
DIS.US,D,20000329,000000,35.882,35.996,35.223,35.716,5783613,0
DIS.US,D,20000330,000000,35.001,35.882,34.783,35.223,6070588,0
DIS.US,D,20000331,000000,36.27,36.27,35.223,36.048,6002905,0
DIS.US,D,20000403,000000,36.208,36.595,35.936,36.543,5456660,0
DIS.US,D,20000404,000000,36.49,36.648,33.566,35.936,7898182,0
DIS.US,D,20000405,000000,35.116,35.663,34.341,35.001,5758629,0
DIS.US,D,20000406,000000,35.329,36.048,35.001,35.389,4050503,0
DIS.US,D,20000407,000000,35.831,36.156,35.443,35.882,3694822,0
DIS.US,D,20000410,000000,35.663,36.156,35.223,36.104,4106605,0
DIS.US,D,20000411,000000,36.648,37.151,36.49,37.151,7756343,0
DIS.US,D,20000412,000000,37.257,38.137,35.001,35.057,9426649,0
DIS.US,D,20000413,000000,35.663,35.663,34.341,34.341,5689466,0
DIS.US,D,20000414,000000,33.904,34.563,32.968,34.007,9240633,0
DIS.US,D,20000417,000000,32.8,33.904,32.414,33.904,7323776,0
DIS.US,D,20000418,000000,33.682,34.783,33.241,34.563,4789924,0
DIS.US,D,20000419,000000,35.608,36.27,35.001,35.831,9611419,0
DIS.US,D,20000420,000000,35.936,37.151,35.716,36.931,6093189,0
DIS.US,D,20000424,000000,35.936,36.208,35.116,35.223,4306708,0
DIS.US,D,20000425,000000,35.495,35.495,34.73,35.443,4200525,0
DIS.US,D,20000426,000000,35.882,37.151,35.663,37.035,6724836,0
DIS.US,D,20000427,000000,35.882,36.931,35.768,36.375,5237255,0
DIS.US,D,20000428,000000,37.151,38.137,36.931,38.137,13142705,0
DIS.US,D,20000501,000000,38.085,38.356,36.71,36.71,9992315,0
DIS.US,D,20000502,000000,36.27,37.642,35.274,37.592,10415114,0
DIS.US,D,20000503,000000,35.936,36.71,34.677,36.048,7297428,0
DIS.US,D,20000504,000000,36.595,36.648,34.448,34.73,7984945,0
DIS.US,D,20000505,000000,34.677,35.389,34.341,34.614,3889016,0
DIS.US,D,20000508,000000,34.677,35.936,34.614,35.495,4013254,0
