<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUK.US,D,20000103,000000,23.2997,23.3172,22.3968,22.4871,2160763.5007744,0
DUK.US,D,20000104,000000,22.4512,23.0654,22.2519,22.8322,1730854.2135773,0
DUK.US,D,20000105,000000,23.0654,24.0947,22.8322,23.7691,3713605.7153365,0
DUK.US,D,20000106,000000,24.1092,24.5271,23.9848,24.4008,2248346.531964,0
DUK.US,D,20000107,000000,24.636,25.1064,24.5806,25.0501,3020003.8335239,0
DUK.US,D,20000110,000000,25.0656,25.1064,24.8878,25.015,2067088.3543201,0
DUK.US,D,20000111,000000,24.6885,24.9606,24.5271,24.6885,1809107.1820714,0
DUK.US,D,20000112,000000,24.671,25.1589,24.671,24.9771,1429082.0401837,0
DUK.US,D,20000113,000000,25.015,25.4281,24.8517,25.1949,1641750.468596,0
DUK.US,D,20000114,000000,25.1949,25.5011,25.0501,25.3582,2188179.5628149,0
DUK.US,D,20000118,000000,25.0501,25.1589,24.7255,24.9606,1304568.7112075,0
DUK.US,D,20000119,000000,25.1589,25.6458,25.015,25.6458,1930009.073017,0
DUK.US,D,20000120,000000,25.7722,26.0239,25.573,26.0055,1925053.8919472,0
DUK.US,D,20000121,000000,26.1493,26.5487,26.0958,26.331,2040433.6780752,0
DUK.US,D,20000124,000000,26.4419,26.855,26.2941,26.676,2092983.7025689,0
DUK.US,D,20000125,000000,26.7829,26.9978,26.2416,26.5848,2140581.6326919,0
DUK.US,D,20000126,000000,26.6196,26.9978,26.5137,26.7091,1521043.0396981,0
DUK.US,D,20000127,000000,26.676,26.9647,26.4011,26.9647,1844135.0442686,0
DUK.US,D,20000128,000000,26.855,26.855,26.1678,26.5487,1484300.0016612,0
DUK.US,D,20000131,000000,26.5487,26.9978,26.331,26.9074,1508285.7120226,0
DUK.US,D,20000201,000000,26.855,26.9647,26.4759,26.8189,1114176.9907153,0
DUK.US,D,20000202,000000,26.8189,26.855,26.2416,26.3495,1627852.0911267,0
DUK.US,D,20000203,000000,26.3495,26.7295,25.8791,26.1493,3249804.4712372,0
DUK.US,D,20000204,000000,25.8616,25.918,24.9771,25.0656,1888881.893257,0
DUK.US,D,20000207,000000,25.0501,25.573,24.5806,24.7255,1544843.5481092,0
DUK.US,D,20000208,000000,24.7789,25.5379,24.741,24.9606,2819519.6356408,0
