<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ED.US,D,20000103,000000,17.8281,17.8672,17.5112,17.5112,929562.37486865,0
ED.US,D,20000104,000000,17.4088,17.7979,17.4088,17.7345,962309.31732453,0
ED.US,D,20000105,000000,17.8281,18.6131,17.8281,18.5391,1306406.5264364,0
ED.US,D,20000106,000000,18.2836,18.6131,18.187,18.5742,1087715.5249325,0
ED.US,D,20000107,000000,18.5742,18.7761,18.4816,18.7067,624768.87999384,0
ED.US,D,20000110,000000,18.734,18.734,18.1529,18.2173,769501.87486521,0
ED.US,D,20000111,000000,18.2173,18.2836,17.7979,17.8672,869979.22385543,0
ED.US,D,20000112,000000,17.8672,18.1529,17.8281,17.9286,1196502.1516432,0
ED.US,D,20000113,000000,18.0915,18.0915,17.6341,17.7658,723010.73281842,0
ED.US,D,20000114,000000,17.7033,17.8281,17.4088,17.4722,1033081.2291926,0
ED.US,D,20000118,000000,17.246,17.3463,16.8569,16.9222,1182919.9742513,0
ED.US,D,20000119,000000,17.05,17.3786,17.0216,17.246,724770.41695616,0
ED.US,D,20000120,000000,17.246,17.3085,17.0216,17.05,840746.52239024,0
ED.US,D,20000121,000000,17.1845,17.7658,17.1143,17.4088,1110878.546671,0
ED.US,D,20000124,000000,17.8281,17.8964,17.6341,17.6341,1027969.3262632,0
ED.US,D,20000125,000000,17.7033,17.7658,17.05,17.1143,785953.28082185,0
ED.US,D,20000126,000000,17.246,17.6341,17.1143,17.6341,545692.81769035,0
ED.US,D,20000127,000000,17.6341,17.7658,17.0216,17.2781,749687.99554748,0
ED.US,D,20000128,000000,17.2781,17.5415,16.8569,16.888,1008954.2779148,0
ED.US,D,20000131,000000,16.9222,17.05,16.7575,16.9583,887869.34592236,0
ED.US,D,20000201,000000,16.9905,17.1504,16.8569,17.05,1000811.1242215,0
ED.US,D,20000202,000000,17.05,17.1143,16.7575,16.8569,629401.8945243,0
ED.US,D,20000203,000000,16.888,17.1845,16.8569,17.0216,1621911.9446812,0
ED.US,D,20000204,000000,17.0216,17.05,16.3995,16.7262,1380688.5774674,0
