<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EIX.US,D,20000103,000000,16.3373,16.3765,15.8944,16.0558,1127175.5925479,0
EIX.US,D,20000104,000000,15.9356,16.4165,15.9356,16.2171,1068055.6739855,0
EIX.US,D,20000105,000000,16.618,17.617,16.5348,17.2524,1985623.4456445,0
EIX.US,D,20000106,000000,17.0989,17.2163,16.7362,17.2163,1806618.9128188,0
EIX.US,D,20000107,000000,17.2955,17.9358,17.2955,17.9358,4205338.1609253,0
EIX.US,D,20000110,000000,17.8996,17.9797,17.6943,17.9358,1361863.1961841,0
EIX.US,D,20000111,000000,17.9358,17.9797,17.7774,17.8556,1433381.3384375,0
EIX.US,D,20000112,000000,17.8185,18.0579,17.8185,17.8996,923092.29984611,0
EIX.US,D,20000113,000000,17.8185,17.9358,17.7373,17.7774,1266765.8234606,0
EIX.US,D,20000114,000000,17.617,17.6943,17.4568,17.617,1064173.8771942,0
EIX.US,D,20000118,000000,17.4568,17.617,17.1351,17.2955,1541771.9472874,0
EIX.US,D,20000119,000000,17.0178,17.5379,17.0178,17.4568,1513852.6736593,0
EIX.US,D,20000120,000000,17.2163,17.2524,17.0989,17.1743,1175698.563875,0
EIX.US,D,20000121,000000,17.2955,17.617,17.2163,17.576,1517135.0678367,0
EIX.US,D,20000124,000000,17.6943,18.7795,17.6572,18.2594,2377827.1006856,0
EIX.US,D,20000125,000000,18.2594,18.6202,18.2594,18.5008,4191307.4345521,0
EIX.US,D,20000126,000000,18.54,18.6202,18.4588,18.583,1339031.6846744,0
EIX.US,D,20000127,000000,18.4588,18.9389,18.3786,18.583,2462769.406599,0
EIX.US,D,20000128,000000,18.583,18.583,18.0991,18.0991,1298116.830484,0
EIX.US,D,20000131,000000,18.1391,18.6622,17.9358,18.6622,1440993.5470597,0
EIX.US,D,20000201,000000,18.8225,18.8225,18.0189,18.3415,2017572.8324104,0
EIX.US,D,20000202,000000,18.2985,18.3786,18.1792,18.2985,1408298.4870761,0
EIX.US,D,20000203,000000,18.2594,19.2175,18.2594,18.8987,1537885.0361393,0
EIX.US,D,20000204,000000,18.8635,18.8987,18.0189,18.1792,1251241.7049095,0
EIX.US,D,20000207,000000,18.0189,18.1792,17.8556,18.1792,1276621.1889638,0
EIX.US,D,20000208,000000,18.0579,18.0579,17.6943,17.8556,2090872.8165639,0
EIX.US,D,20000209,000000,17.8185,18.0189,17.617,17.9358,1643290.906376,0
EIX.US,D,20000210,000000,17.7373,18.1792,17.617,17.617,1128821.3925577,0
EIX.US,D,20000211,000000,17.6572,18.0991,17.6572,17.7774,727064.11906309,0
EIX.US,D,20000214,000000,17.7774,18.0991,17.7373,17.8996,932794.23464601,0
EIX.US,D,20000215,000000,17.9358,18.0189,17.8556,17.9358,783201.34475504,0
EIX.US,D,20000216,000000,17.9797,18.2594,17.9358,18.1792,896064.97003928,0
EIX.US,D,20000217,000000,18.1391,18.2193,17.8996,17.9797,568812.62315406,0
EIX.US,D,20000218,000000,17.9797,18.0189,17.3736,17.4568,1387098.4553773,0
EIX.US,D,20000222,000000,17.4568,17.576,17.2163,17.4958,851581.31769211,0
EIX.US,D,20000223,000000,17.576,17.576,17.0617,17.0989,940259.14979305,0
EIX.US,D,20000224,000000,16.7362,16.7362,16.0157,16.2171,1763918.125243,0
EIX.US,D,20000225,000000,16.3765,16.5348,16.2171,16.4967,1252138.7630876,0
EIX.US,D,20000228,000000,16.4967,17.1743,16.4165,16.9787,1663448.6321643,0
EIX.US,D,20000229,000000,16.8985,16.8985,16.4165,16.8193,1067907.357639,0
EIX.US,D,20000301,000000,16.657,16.7792,16.177,16.4967,1020580.1229256,0
EIX.US,D,20000302,000000,16.2562,16.4967,16.2562,16.4165,1115681.5871344,0
EIX.US,D,20000303,000000,16.4967,16.657,16.3373,16.4165,882486.35280484,0
EIX.US,D,20000306,000000,11.7679,12.5715,11.2145,11.4942,11853721.651384,0
EIX.US,D,20000307,000000,11.8089,11.8089,10.0863,10.2496,11491239.569298,0
EIX.US,D,20000308,000000,10.449,10.449,10.1695,10.4089,6205890.4139925,0
EIX.US,D,20000309,000000,10.491,10.5282,9.89472,10.0482,6335184.4218484,0
EIX.US,D,20000310,000000,10.0482,10.0863,9.77152,9.81453,4668606.8262098,0
EIX.US,D,20000313,000000,9.92399,10.5282,9.89472,10.449,3377202.0775557,0
