<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMR.US,D,20000103,000000,18.4422,18.6682,18.2605,18.6682,3172343.762607,0
EMR.US,D,20000104,000000,18.6426,18.6682,18.4196,18.4422,2411873.4251161,0
EMR.US,D,20000105,000000,18.4422,18.8883,18.4196,18.7812,3092427.5563743,0
EMR.US,D,20000106,000000,18.6426,19.456,18.6054,19.3145,3661441.6539948,0
EMR.US,D,20000107,000000,19.6181,20.3273,19.3765,20.1859,3760273.1133101,0
EMR.US,D,20000110,000000,20.1073,20.121,19.0091,19.127,3610327.4097378,0
EMR.US,D,20000111,000000,19.0464,19.456,19.0091,19.0896,2675622.1518103,0
EMR.US,D,20000112,000000,19.1495,19.5758,19.127,19.347,1921931.6208708,0
EMR.US,D,20000113,000000,19.4353,20.1623,19.3765,19.9432,3009971.4676573,0
EMR.US,D,20000114,000000,19.9019,20.0218,19.7369,19.7606,3794726.9500567,0
EMR.US,D,20000118,000000,19.68,19.6967,19.2477,19.512,2967327.9096337,0
EMR.US,D,20000119,000000,19.5955,20.2212,19.5758,20.0013,3280777.9118922,0
EMR.US,D,20000120,000000,20.0591,20.2212,19.5552,19.5955,3310997.9325055,0
EMR.US,D,20000121,000000,19.3765,19.6406,19.3352,19.4757,3485511.7819204,0
EMR.US,D,20000124,000000,19.5552,19.5552,18.7261,18.845,3535213.0574846,0
EMR.US,D,20000125,000000,18.6809,18.8047,18.5277,18.5424,2707252.0871493,0
EMR.US,D,20000126,000000,18.6259,18.6426,18.0935,18.3116,3607502.4903414,0
EMR.US,D,20000127,000000,18.3116,18.6426,17.9147,18.0631,3751522.4801096,0
EMR.US,D,20000128,000000,18.0327,18.4786,17.9147,18.1603,4614214.1801916,0
EMR.US,D,20000131,000000,17.9943,18.1741,17.8578,17.8578,2815687.2544235,0
EMR.US,D,20000201,000000,17.8705,17.9756,17.6329,17.7124,3322291.5021573,0
EMR.US,D,20000202,000000,17.7909,17.8116,17.3519,17.3519,5150187.4097583,0
EMR.US,D,20000203,000000,17.064,17.9756,17.064,17.5483,4419083.0001335,0
EMR.US,D,20000204,000000,17.2673,17.4265,16.6769,16.7791,6765444.762966,0
EMR.US,D,20000207,000000,16.2881,16.5572,15.9855,16.1897,6006098.2852999,0
EMR.US,D,20000208,000000,16.2104,16.4963,16.069,16.176,6007794.2549267,0
EMR.US,D,20000209,000000,16.0915,16.1476,15.5464,15.5679,4560558.0174724,0
EMR.US,D,20000210,000000,15.5807,15.7084,14.9353,15.1436,5881004.7464931,0
EMR.US,D,20000211,000000,15.2212,15.3764,14.9737,15.0345,4780823.3452414,0
EMR.US,D,20000214,000000,15.1161,15.1623,14.8115,15.0345,3469135.393333,0
EMR.US,D,20000215,000000,14.95,15.7084,14.8391,15.5277,6363600.7423188,0
EMR.US,D,20000216,000000,15.5807,16.1122,15.3911,15.9688,4179335.3994244,0
EMR.US,D,20000217,000000,16.1681,16.1897,15.843,16.1299,5881570.7483614,0
EMR.US,D,20000218,000000,16.1476,16.7006,16.0286,16.3401,5448667.8841882,0
EMR.US,D,20000222,000000,16.0837,16.5365,16.0286,16.2104,4140652.8364896,0
EMR.US,D,20000223,000000,16.1681,16.235,15.8076,15.8656,4393666.8694775,0
EMR.US,D,20000224,000000,15.843,16.0837,15.5198,15.8223,3763095.9967287,0
EMR.US,D,20000225,000000,16.3401,16.3499,15.5404,15.5611,3807714.4533573,0
EMR.US,D,20000228,000000,15.5611,15.6799,15.1907,15.1907,3820705.0106249,0
EMR.US,D,20000229,000000,15.1907,15.3341,14.8027,14.8872,5434267.4121948,0
EMR.US,D,20000301,000000,14.6946,14.8449,14.4354,14.5816,6883194.5293311,0
