<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETN.US,D,20000103,000000,10.0976,10.2521,9.95297,9.95894,2394046.797604,0
ETN.US,D,20000104,000000,9.92551,9.9678,9.50441,9.61754,1792544.3731737,0
ETN.US,D,20000105,000000,9.61754,9.79757,9.45522,9.69625,1604004.4321966,0
ETN.US,D,20000106,000000,9.66477,9.90384,9.41685,9.89691,2744350.6820317,0
ETN.US,D,20000107,000000,9.90384,10.2846,9.8871,10.2019,1752101.8625978,0
ETN.US,D,20000110,000000,10.1852,10.2521,9.93333,9.94421,2564924.4603555,0
ETN.US,D,20000111,000000,9.97566,10.1695,9.95297,9.95894,1891653.7835007,0
ETN.US,D,20000112,000000,9.95894,10.1695,9.88219,9.93333,2900417.2803248,0
ETN.US,D,20000113,000000,9.97566,10.0455,9.91462,9.95297,2075064.5891229,0
ETN.US,D,20000114,000000,9.91462,10.1085,9.91462,9.95297,1932665.5203546,0
ETN.US,D,20000118,000000,9.91462,10.2383,9.91462,10.1773,2580873.9773696,0
ETN.US,D,20000119,000000,10.0878,10.1449,10.0386,10.0818,5267122.9200262,0
ETN.US,D,20000120,000000,10.0721,10.1085,9.8389,9.95297,3206297.1196572,0
ETN.US,D,20000121,000000,9.62836,9.6569,9.32171,9.35782,4692960.637023,0
ETN.US,D,20000124,000000,9.64607,10.2383,9.63722,10.1518,6433098.5830279,0
ETN.US,D,20000125,000000,10.2314,10.2314,9.71101,9.81037,5831028.9652707,0
ETN.US,D,20000126,000000,9.82709,9.89691,9.68052,9.77397,6188173.7297892,0
ETN.US,D,20000127,000000,9.76807,10.1449,9.76807,9.9678,2364996.944392,0
ETN.US,D,20000128,000000,9.95894,10.0553,9.76807,9.77397,2192971.6808051,0
ETN.US,D,20000131,000000,9.86448,10.0976,9.86448,9.9678,1671219.8908725,0
ETN.US,D,20000201,000000,9.99725,10.0553,9.8871,9.95297,2244806.8487448,0
ETN.US,D,20000202,000000,9.91462,9.99725,9.81037,9.81037,967754.80939677,0
ETN.US,D,20000203,000000,9.8389,9.8389,9.46801,9.67067,1912158.1272144,0
ETN.US,D,20000204,000000,9.68641,9.79757,9.36078,9.48867,2406005.6318193,0
ETN.US,D,20000207,000000,9.51523,9.51523,9.33441,9.39914,2327968.7750086,0
ETN.US,D,20000208,000000,9.40505,9.52704,9.27233,9.41685,2924911.290362,0
ETN.US,D,20000209,000000,9.40505,9.40505,9.12506,9.22924,2074495.3628449,0
ETN.US,D,20000210,000000,9.21361,9.22924,8.91649,9.10873,2521637.8513406,0
ETN.US,D,20000211,000000,9.0984,9.0984,8.62717,8.7227,3034282.0208253,0
ETN.US,D,20000214,000000,8.68884,9.0563,8.44388,8.97572,4151273.7296547,0
ETN.US,D,20000215,000000,8.97572,9.31778,8.8978,9.1528,4139311.8460129,0
ETN.US,D,20000216,000000,9.16058,9.20249,8.983,9.12506,2087593.6660917,0
