<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETR.US,D,20000103,000000,6.2744,6.2744,6.09205,6.1533,2872311.7421713,0
ETR.US,D,20000104,000000,6.1386,6.2453,6.09205,6.1685,1665114.5513274,0
ETR.US,D,20000105,000000,6.2159,6.51825,6.19805,6.42845,4585026.1990547,0
ETR.US,D,20000106,000000,6.41285,6.41285,6.2914,6.3061,2337533.743973,0
ETR.US,D,20000107,000000,6.32175,6.3655,6.2914,6.3061,4466787.6754235,0
ETR.US,D,20000110,000000,6.35155,6.39805,6.2587,6.2744,2230660.0896082,0
ETR.US,D,20000111,000000,6.2587,6.3655,6.2587,6.32175,1858019.5495765,0
ETR.US,D,20000112,000000,6.2914,6.3655,6.2587,6.2914,2105841.3156275,0
ETR.US,D,20000113,000000,6.2587,6.3061,6.1685,6.1685,2815214.2449238,0
ETR.US,D,20000114,000000,6.2159,6.2453,6.1386,6.1533,2856218.2275368,0
ETR.US,D,20000118,000000,6.09205,6.09205,5.96805,5.9858,2199545.513526,0
ETR.US,D,20000119,000000,5.9389,5.9858,5.8795,5.90865,7871701.1642318,0
ETR.US,D,20000120,000000,5.96805,5.96805,5.7898,5.83305,3499712.5293133,0
ETR.US,D,20000121,000000,5.84965,5.9389,5.83305,5.8962,3376349.0675909,0
ETR.US,D,20000124,000000,5.8795,5.95635,5.60665,5.60665,4476300.9397088,0
ETR.US,D,20000125,000000,5.60665,5.63575,5.42225,5.42225,4623459.876325,0
ETR.US,D,20000126,000000,5.43695,5.48345,5.3928,5.4066,2744566.6710808,0
ETR.US,D,20000127,000000,5.42225,5.60665,5.4066,5.60665,3988012.3318658,0
ETR.US,D,20000128,000000,5.54235,5.84965,5.52985,5.7572,4896151.8093991,0
ETR.US,D,20000131,000000,5.7572,6.09205,5.7572,6.07875,4333185.5322287,0
ETR.US,D,20000201,000000,6.09205,6.2744,6.09205,6.2159,4094160.5690435,0
ETR.US,D,20000202,000000,6.1685,6.2159,6.03315,6.07875,3108045.4607109,0
ETR.US,D,20000203,000000,6.10775,6.2587,6.09205,6.19805,2139870.9941102,0
ETR.US,D,20000204,000000,6.22795,6.22795,6.0618,6.07875,2276410.6291249,0
ETR.US,D,20000207,000000,6.07875,6.12295,6.0028,6.0028,1967461.2703417,0
ETR.US,D,20000208,000000,6.0028,6.09205,6.0028,6.0028,1578375.7017915,0
ETR.US,D,20000209,000000,6.0028,6.01575,5.80095,5.82005,2882933.282715,0
ETR.US,D,20000210,000000,5.82005,5.90865,5.696,5.696,2930893.6579222,0
ETR.US,D,20000211,000000,5.71025,5.76795,5.67735,5.71025,8106322.1286291,0
ETR.US,D,20000214,000000,5.67735,5.8795,5.67735,5.80095,1944032.9819252,0
ETR.US,D,20000215,000000,5.76795,5.7884,5.6173,5.6303,3292888.0290491,0
ETR.US,D,20000216,000000,5.6173,5.6303,5.49415,5.5245,2803502.3396576,0
ETR.US,D,20000217,000000,5.5245,5.6004,5.41505,5.41505,2171715.4652635,0
ETR.US,D,20000218,000000,5.4776,5.4776,5.27835,5.29095,4963870.8471904,0
ETR.US,D,20000222,000000,5.33785,5.432,5.3217,5.33785,3758135.6854305,0
ETR.US,D,20000223,000000,5.30745,5.35575,5.24665,5.26135,3608068.3632395,0
ETR.US,D,20000224,000000,5.23105,5.26135,4.93622,5.0296,3481406.9400458,0
ETR.US,D,20000225,000000,5.06005,5.1685,4.99918,4.99918,2546908.3991018,0
ETR.US,D,20000228,000000,4.87688,5.1685,4.87688,5.1524,2769454.7496394,0
ETR.US,D,20000229,000000,5.1229,5.1524,4.94516,4.99918,3612461.1673176,0
ETR.US,D,20000301,000000,5.04565,5.04565,4.95316,5.0296,4053899.9151534,0
ETR.US,D,20000302,000000,5.04565,5.06005,5.0158,5.04565,2188556.7865048,0
ETR.US,D,20000303,000000,5.06005,5.0755,5.0158,5.0296,2200635.8782485,0
ETR.US,D,20000306,000000,4.78264,4.81388,3.93468,4.11918,6862513.7592504,0
ETR.US,D,20000307,000000,4.2587,4.50526,4.2587,4.273,12273331.151439,0
ETR.US,D,20000308,000000,4.273,4.30606,4.15031,4.273,8741046.494843,0
ETR.US,D,20000309,000000,4.2587,4.44496,4.22655,4.3985,4308662.4012055,0
ETR.US,D,20000310,000000,4.3985,4.52179,4.3985,4.42799,2757749.561199,0
ETR.US,D,20000313,000000,4.44496,4.53606,4.44496,4.50526,2677960.3874318,0
ETR.US,D,20000314,000000,4.45836,4.48962,4.22655,4.33642,1913652.7787979,0
ETR.US,D,20000315,000000,4.31901,4.66196,4.31901,4.53606,4505962.4424746,0
ETR.US,D,20000316,000000,4.62858,4.82954,4.62858,4.78264,4302440.3815657,0
