<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
F.US,D,20000103,000000,15.0385,15.1685,14.8616,14.9323,3792162.196225,0
F.US,D,20000104,000000,14.7733,14.8988,14.3436,14.4382,6832407.2771599,0
F.US,D,20000105,000000,14.5435,14.6856,14.4743,14.4885,4706990.6896872,0
F.US,D,20000106,000000,14.5435,14.7733,14.3665,14.5088,4245758.7377671,0
F.US,D,20000107,000000,14.9657,15.6801,14.8616,15.5749,8643050.3954848,0
F.US,D,20000110,000000,15.6111,15.7333,15.1073,15.292,4625196.7802007,0
F.US,D,20000111,000000,14.9657,15.2584,14.7564,14.881,3950662.0039564,0
F.US,D,20000112,000000,14.951,15.5397,14.951,15.3098,4590745.8085743,0
F.US,D,20000113,000000,15.5052,15.5052,15.0808,15.1269,3672359.779462,0
F.US,D,20000114,000000,14.9826,15.0977,14.5805,14.7564,6975295.7813908,0
F.US,D,20000118,000000,15.3275,15.6801,15.1499,15.4689,7252913.6468809,0
F.US,D,20000119,000000,15.5397,15.6474,15.0561,15.2391,4213175.3309607,0
F.US,D,20000120,000000,15.2584,15.3098,14.6856,14.8942,6363884.9222936,0
F.US,D,20000121,000000,14.8095,14.8271,14.3436,14.3869,8405989.5675796,0
F.US,D,20000124,000000,14.7733,14.8095,14.3665,14.5805,7391220.9048848,0
F.US,D,20000125,000000,14.5964,14.6141,14.0076,14.2968,6094239.5564101,0
F.US,D,20000126,000000,14.0076,14.0411,13.4903,13.6884,13550110.329346,0
F.US,D,20000127,000000,14.0625,14.256,13.8846,14.2374,10056609.189613,0
F.US,D,20000128,000000,14.1472,14.3665,14.0625,14.1146,5625881.2214704,0
F.US,D,20000131,000000,14.3489,14.4558,14.1472,14.332,4625702.4140434,0
F.US,D,20000201,000000,14.2968,14.4008,13.9661,14.3489,6918953.2398314,0
F.US,D,20000202,000000,14.3869,14.5611,13.8078,14.0076,9321830.4598993,0
F.US,D,20000203,000000,13.7885,14.0782,13.7707,14.0411,5872281.0046471,0
F.US,D,20000204,000000,14.0782,14.1146,13.8246,13.8405,4028207.2317569,0
F.US,D,20000207,000000,13.9661,13.9661,13.5877,13.8078,3482474.4759748,0
F.US,D,20000208,000000,13.9377,14.0782,13.8246,13.8626,4896026.4830716,0
F.US,D,20000209,000000,13.7203,13.7547,13.5787,13.5877,4209276.1813942,0
F.US,D,20000210,000000,13.5548,13.6081,13.2651,13.5365,5421743.1519439,0
F.US,D,20000211,000000,13.5877,13.5877,13.0167,13.2871,4942864.9182608,0
F.US,D,20000214,000000,13.2474,13.5787,12.9582,13.5548,5332985.7481925,0
F.US,D,20000215,000000,13.5011,13.5011,13.0891,13.3606,4295140.0474052,0
F.US,D,20000216,000000,13.1588,13.3772,13.0386,13.3349,5515580.6487335,0
F.US,D,20000217,000000,13.1951,13.4294,13.0386,13.2137,5692747.0552887,0
F.US,D,20000218,000000,13.0167,13.0891,12.4925,12.4925,8494227.7634253,0
F.US,D,20000222,000000,12.7832,12.9292,12.5287,12.6896,6852435.8069608,0
F.US,D,20000223,000000,12.7301,12.746,12.387,12.387,3554592.3409613,0
F.US,D,20000224,000000,12.387,12.4579,11.863,12.2413,8115305.5353816,0
F.US,D,20000225,000000,12.2041,12.746,12.168,12.3694,7638633.0869189,0
F.US,D,20000228,000000,12.746,12.746,12.2555,12.2969,8568217.7179192,0
F.US,D,20000229,000000,12.4579,12.4747,11.863,11.9929,7151265.4080674,0
F.US,D,20000301,000000,12.0618,12.1503,11.8276,11.9804,8984479.9306419,0
F.US,D,20000302,000000,11.9523,12.0443,11.8452,11.9142,5009381.2199597,0
F.US,D,20000303,000000,11.9142,12.4385,11.8966,12.2969,7763524.6460955,0
F.US,D,20000306,000000,12.3509,12.5647,11.9523,12.0796,6563786.7530252,0
F.US,D,20000307,000000,12.098,12.2201,11.704,11.8452,6444151.7497044,0
F.US,D,20000308,000000,11.8452,12.281,11.5896,12.2555,7311123.7532601,0
F.US,D,20000309,000000,12.1158,12.1503,11.7568,11.9929,5517277.4065954,0
F.US,D,20000310,000000,11.7568,12.0443,11.704,11.8276,5618758.2319666,0
F.US,D,20000313,000000,11.6799,12.281,11.6623,12.2555,5540866.8655622,0
F.US,D,20000314,000000,12.0796,12.0796,11.5896,11.8091,9129566.3018896,0
F.US,D,20000315,000000,11.8091,12.6896,11.7726,12.6896,13957372.93837,0
F.US,D,20000316,000000,12.6788,12.7832,12.3103,12.6161,13648533.597049,0
F.US,D,20000317,000000,12.7991,13.2474,12.746,12.8541,11260083.343495,0
F.US,D,20000320,000000,12.6896,12.746,12.4226,12.5984,7195894.6645207,0
F.US,D,20000321,000000,12.4057,13.2296,12.3103,13.1951,8447560.135194,0
F.US,D,20000322,000000,12.8893,13.0386,12.4579,12.6788,8638814.1566898,0
F.US,D,20000323,000000,12.6161,13.0386,12.58,12.8176,11588271.380298,0
F.US,D,20000324,000000,12.6788,13.0386,12.6788,12.8541,5962387.8964845,0
F.US,D,20000327,000000,12.7301,12.976,12.6576,12.7301,5346398.0535042,0
F.US,D,20000328,000000,12.6401,12.8893,12.58,12.8176,4829168.5674566,0
F.US,D,20000329,000000,12.8718,13.1775,12.8718,12.9069,5605014.4932858,0
F.US,D,20000330,000000,13.1775,13.4294,13.0167,13.4294,9182851.2857821,0
F.US,D,20000331,000000,13.4119,13.4481,13.1588,13.2296,4754841.523734,0
F.US,D,20000403,000000,13.4631,13.8246,13.4631,13.5365,8676652.98818,0
F.US,D,20000404,000000,14.0411,14.3489,13.4481,14.1322,12847405.97908,0
F.US,D,20000405,000000,14.0245,14.2968,13.8246,14.2038,7346417.4479577,0
F.US,D,20000406,000000,14.3665,14.4885,14.2968,14.3869,7616574.1035435,0
F.US,D,20000407,000000,14.4558,14.5088,13.8626,13.8626,4179751.4634268,0
F.US,D,20000410,000000,14.332,14.9792,14.256,14.7069,9489319.6907825,0
F.US,D,20000411,000000,14.6044,15.2082,14.5832,14.9606,7681562.1919947,0
F.US,D,20000412,000000,15.2504,15.7509,15.2082,15.4467,9533098.305961,0
F.US,D,20000413,000000,15.4797,15.8218,15.1214,15.6801,9528348.5151199,0
F.US,D,20000414,000000,15.8394,16.1301,14.4743,15.0507,17742587.476735,0
F.US,D,20000417,000000,15.5148,16.4864,14.9792,16.4341,20049075.27619,0
F.US,D,20000418,000000,16.1301,16.1646,15.6616,15.9525,8915078.0094061,0
F.US,D,20000419,000000,15.8218,15.9711,15.628,15.8394,6028397.4331686,0
F.US,D,20000420,000000,15.8394,15.8819,15.7703,15.8819,6832582.6088057,0
F.US,D,20000424,000000,15.7509,16.024,15.6616,15.9286,5183662.0069779,0
F.US,D,20000425,000000,15.9525,15.9711,15.7509,15.8394,5404260.8901078,0
F.US,D,20000426,000000,15.8588,15.9869,15.5944,15.8394,6601457.0399012,0
F.US,D,20000427,000000,15.788,15.8819,15.4114,15.8819,7602316.8128167,0
F.US,D,20000428,000000,15.9869,15.9869,15.6945,15.911,5325694.2140744,0
F.US,D,20000501,000000,15.9711,15.9711,15.5511,15.7113,4601603.9277181,0
F.US,D,20000502,000000,15.5511,15.6739,15.369,15.4733,4203165.5907479,0
F.US,D,20000503,000000,15.4042,15.5148,15.1685,15.422,5682051.8248998,0
F.US,D,20000504,000000,15.3337,15.4733,15.2275,15.2976,5536794.6466938,0
F.US,D,20000505,000000,15.2584,15.6945,15.2462,15.369,5086084.8558608,0
F.US,D,20000508,000000,15.3337,15.6616,15.2976,15.5688,4501143.4194079,0
F.US,D,20000509,000000,15.5688,15.6945,15.3849,15.422,7081527.528775,0
