<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GD.US,D,20000103,000000,18.9688,18.9688,17.8307,17.8544,2523568.2640163,0
GD.US,D,20000104,000000,18.5555,18.857,18.33,18.6019,3472400.098998,0
GD.US,D,20000105,000000,18.9222,20.5181,18.8768,19.8784,4553858.9903817,0
GD.US,D,20000106,000000,19.8784,20.2165,19.647,19.9456,3796624.9676099,0
GD.US,D,20000107,000000,20.1067,20.9462,20.083,20.4647,2979381.480043,0
GD.US,D,20000110,000000,20.6031,20.8315,20.1067,20.2907,3194567.1900154,0
GD.US,D,20000111,000000,20.1977,20.2165,19.8784,20.0168,1046333.9406334,0
GD.US,D,20000112,000000,19.8784,19.9456,19.2821,19.3731,3544744.6122928,0
GD.US,D,20000113,000000,19.733,19.8784,19.0548,19.3731,1615895.3990823,0
GD.US,D,20000114,000000,19.5501,19.8784,19.031,19.5105,1664644.9348064,0
GD.US,D,20000118,000000,18.8688,19.4433,18.8244,18.939,2419250.3259736,0
GD.US,D,20000119,000000,18.7295,18.8688,18.3241,18.5485,1767654.1197532,0
GD.US,D,20000120,000000,18.4585,18.4833,17.7941,18.0294,2394615.6280144,0
GD.US,D,20000121,000000,18.1392,18.1827,17.9998,18.0462,2280862.3285863,0
GD.US,D,20000124,000000,18.1392,18.2747,16.7193,16.9794,2203800.6402994,0
GD.US,D,20000125,000000,16.9794,17.3205,16.5819,17.2078,3210818.3837917,0
GD.US,D,20000126,000000,17.2918,17.4767,16.7025,17.1524,3720094.2649298,0
GD.US,D,20000127,000000,17.8861,17.9088,17.1158,17.1831,2759207.5395687,0
GD.US,D,20000128,000000,17.275,17.5411,17.0476,17.275,3007162.6469988,0
GD.US,D,20000131,000000,17.2236,17.2918,16.8173,17.2236,1059961.5598107,0
GD.US,D,20000201,000000,17.275,17.7022,16.9794,17.6567,1485628.9529786,0
GD.US,D,20000202,000000,17.9543,18.066,17.2918,17.3581,1991757.353719,0
GD.US,D,20000203,000000,17.6349,17.6795,16.7718,16.9072,2320176.5029252,0
GD.US,D,20000204,000000,17.0476,17.275,16.6333,16.6481,2946088.1767864,0
GD.US,D,20000207,000000,16.841,16.8568,15.443,16.2676,7058290.5331234,0
GD.US,D,20000208,000000,16.1301,16.314,15.6051,15.7119,5430082.3363667,0
GD.US,D,20000209,000000,15.5349,15.5349,14.9644,15.258,4342859.4697944,0
GD.US,D,20000210,000000,15.2808,15.8019,15.2402,15.4182,1582077.1786257,0
GD.US,D,20000211,000000,15.3994,15.4182,15.1473,15.1473,2036574.5617482,0
GD.US,D,20000214,000000,15.354,15.3747,14.9891,15.1928,1497942.7620541,0
GD.US,D,20000215,000000,15.1928,15.354,14.9387,15.0989,3053554.6066281,0
GD.US,D,20000216,000000,15.354,15.4666,15.0741,15.1928,1703959.1091453,0
GD.US,D,20000217,000000,15.2156,15.8493,15.1473,15.7633,2638115.5133519,0
GD.US,D,20000218,000000,15.8019,15.8345,15.1473,15.3074,2489755.1005655,0
GD.US,D,20000222,000000,15.354,15.9007,15.3074,15.7119,1321022.4034217,0
GD.US,D,20000223,000000,15.8019,15.9007,15.5586,15.7633,1465703.3388022,0
GD.US,D,20000224,000000,15.7119,15.7356,15.1928,15.443,3455099.0708217,0
GD.US,D,20000225,000000,15.4182,15.874,15.3994,15.6951,1299527.0946511,0
GD.US,D,20000228,000000,15.7781,15.874,15.4914,15.7356,963769.21865612,0
GD.US,D,20000229,000000,15.7119,16.0638,15.6288,15.8019,1517342.4476293,0
