<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GE.US,D,20000103,000000,245.147,246.376,239.113,240.626,4563264.6826735,0
GE.US,D,20000104,000000,236.073,237.269,230.935,230.935,4573935.2654186,0
GE.US,D,20000105,000000,230.305,235.781,228.518,230.305,5643199.7584398,0
GE.US,D,20000106,000000,229.441,235.481,228.518,233.638,4109084.5172024,0
GE.US,D,20000107,000000,237.269,243.314,235.781,242.751,4164539.558578,0
GE.US,D,20000110,000000,244.8,246.951,242.39,242.39,3148309.3596925,0
GE.US,D,20000111,000000,242.123,244.8,241.524,243.02,3126909.8017677,0
GE.US,D,20000112,000000,242.123,245.739,241.524,243.666,3792546.7449782,0
GE.US,D,20000113,000000,245.43,248.504,245.147,246.376,3091862.9163276,0
GE.US,D,20000114,000000,245.739,247.872,239.686,242.123,3821082.8739468,0
GE.US,D,20000118,000000,239.987,239.987,235.15,237.269,3783121.4443735,0
GE.US,D,20000119,000000,234.851,242.123,234.575,238.474,3070399.8883651,0
GE.US,D,20000120,000000,239.113,239.987,228.518,233.976,6359889.4612082,0
GE.US,D,20000121,000000,237.269,237.561,230.637,230.935,4963480.0832554,0
GE.US,D,20000124,000000,233.069,233.976,218.851,221.561,5606665.1353152,0
GE.US,D,20000125,000000,221.255,225.169,219.757,222.184,5249248.8505831,0
GE.US,D,20000126,000000,225.169,227.895,222.774,226.729,3278632.3881871,0
GE.US,D,20000127,000000,227.035,227.336,219.757,227.336,3978885.8899819,0
GE.US,D,20000128,000000,224.895,225.169,214.314,214.92,6171257.7784413,0
GE.US,D,20000131,000000,214.92,217.93,213.376,214.92,4503903.6951754,0
GE.US,D,20000201,000000,215.22,219.757,214.92,217.93,5652750.7297193,0
GE.US,D,20000202,000000,219.757,220.631,214.92,214.92,4511657.1949858,0
GE.US,D,20000203,000000,217.93,224.303,216.733,223.405,4183272.105517,0
GE.US,D,20000204,000000,226.107,229.441,225.169,227.035,3756323.1250384,0
GE.US,D,20000207,000000,227.035,227.336,217.93,218.851,3780699.4277334,0
GE.US,D,20000208,000000,218.851,221.892,218.851,219.757,3865495.398156,0
GE.US,D,20000209,000000,219.757,220.631,214.92,214.92,3313182.937932,0
GE.US,D,20000210,000000,215.817,219.466,213.376,217.047,3963192.2884499,0
GE.US,D,20000211,000000,216.433,220.057,214.03,214.314,4249520.8615107,0
GE.US,D,20000214,000000,214.314,217.93,214.03,215.512,3006758.4815216,0
GE.US,D,20000215,000000,214.92,222.774,214.669,220.341,3892044.9149433,0
GE.US,D,20000216,000000,219.143,219.466,215.512,217.33,3004464.6743575,0
GE.US,D,20000217,000000,216.141,217.33,208.248,210.108,5979461.4795926,0
GE.US,D,20000218,000000,210.108,211.58,200.426,200.709,7304474.6814908,0
GE.US,D,20000222,000000,202.545,208.248,200.426,207.673,5630421.9704417,0
GE.US,D,20000223,000000,208.248,213.108,205.837,209.177,4539757.9194957,0
GE.US,D,20000224,000000,208.886,213.108,202.221,210.108,5710563.0482964,0
GE.US,D,20000225,000000,207.673,209.816,201.648,202.221,5514303.5363937,0
GE.US,D,20000228,000000,201.929,211.856,201.929,207.389,5591530.0701153,0
GE.US,D,20000229,000000,209.484,214.92,208.554,212.219,4667722.4013876,0
GE.US,D,20000301,000000,214.03,214.669,209.484,210.658,5518333.8837905,0
GE.US,D,20000302,000000,210.658,218.205,209.816,216.733,4111503.9950411,0
GE.US,D,20000303,000000,220.057,225.169,219.757,223.405,4913545.6657626,0
GE.US,D,20000306,000000,223.672,223.672,215.817,220.341,3824865.6881962,0
GE.US,D,20000307,000000,220.341,220.341,207.673,208.248,6126346.3797353,0
GE.US,D,20000308,000000,208.886,212.219,207.052,208.886,4944809.7369531,0
GE.US,D,20000309,000000,208.886,211.58,204.057,206.751,3908915.250975,0
GE.US,D,20000310,000000,209.816,214.92,208.248,210.958,4279976.3244206,0
GE.US,D,20000313,000000,206.751,209.177,204.631,207.389,3982482.1023204,0
GE.US,D,20000314,000000,207.673,207.987,203.426,203.695,3943095.1356994,0
GE.US,D,20000315,000000,203.426,215.817,202.545,214.03,5357493.1917489,0
GE.US,D,20000316,000000,214.314,223.672,214.03,222.774,6203948.6560803,0
GE.US,D,20000317,000000,221.561,226.729,220.057,224.303,6588156.9131436,0
GE.US,D,20000320,000000,224.303,227.336,220.631,225.815,3224792.0245718,0
GE.US,D,20000321,000000,222.474,242.751,221.255,241.247,7680125.908066,0
GE.US,D,20000322,000000,241.247,243.666,238.184,241.839,4489202.7650338,0
GE.US,D,20000323,000000,243.02,256.619,242.123,256.619,6476132.29653,0
GE.US,D,20000324,000000,252.678,256.049,249.977,255.144,4771497.1824957,0
GE.US,D,20000327,000000,252.986,254.506,250.574,253.316,3392520.4851089,0
GE.US,D,20000328,000000,251.206,254.207,249.977,249.977,4509981.5859895,0
GE.US,D,20000329,000000,252.401,264.172,252.401,261.171,8090947.1519543,0
GE.US,D,20000330,000000,259.683,260.579,252.678,254.506,5162284.7436712,0
