<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPC.US,D,20000103,000000,15.5237,15.5237,14.7807,15.0118,853651.42608671,0
GPC.US,D,20000104,000000,14.9753,15.0118,14.705,14.8593,562960.55192951,0
GPC.US,D,20000105,000000,14.8593,14.9753,14.7807,14.7807,332928.58364116,0
GPC.US,D,20000106,000000,14.7807,14.9753,14.6598,14.7807,422928.53018948,0
GPC.US,D,20000107,000000,14.938,15.8333,14.938,15.7538,726239.33806795,0
GPC.US,D,20000110,000000,15.6791,15.7135,15.1247,15.5602,689953.46768987,0
GPC.US,D,20000111,000000,15.791,15.8333,15.2063,15.3242,920553.14986217,0
GPC.US,D,20000112,000000,15.4432,15.9109,15.049,15.2063,1566143.5419326,0
GPC.US,D,20000113,000000,15.2456,15.9454,15.049,15.5602,796393.71647958,0
GPC.US,D,20000114,000000,15.2063,15.8333,15.0952,15.4432,722833.05476427,0
GPC.US,D,20000118,000000,15.5237,15.7135,15.3242,15.4786,437103.06393707,0
GPC.US,D,20000119,000000,15.5602,15.9109,15.4058,15.6339,455806.08244709,0
GPC.US,D,20000120,000000,15.6791,15.6791,14.9753,15.1709,438521.33123854,0
GPC.US,D,20000121,000000,15.3635,15.3635,15.0118,15.0952,638924.33227186,0
GPC.US,D,20000124,000000,15.2456,15.4432,15.0118,15.0118,355461.12734686,0
GPC.US,D,20000125,000000,15.049,15.3635,14.7394,14.7807,1061009.4309026,0
GPC.US,D,20000126,000000,14.7807,14.7807,14.3552,14.4661,1203584.9736281,0
GPC.US,D,20000127,000000,14.5468,14.6598,14.3552,14.3552,617101.9396253,0
GPC.US,D,20000128,000000,14.3856,14.5064,14.1556,14.1959,735733.79320236,0
GPC.US,D,20000131,000000,14.2725,15.4786,14.2333,15.049,934583.21161777,0
GPC.US,D,20000201,000000,14.9753,15.0118,14.1959,14.3856,641053.76804086,0
GPC.US,D,20000202,000000,14.3856,14.5064,14.2333,14.3552,718584.35731022,0
GPC.US,D,20000203,000000,14.3552,14.7394,14.1959,14.4278,469137.18463592,0
GPC.US,D,20000204,000000,14.3856,14.5468,14.0406,14.1959,449003.68992367,0
GPC.US,D,20000207,000000,14.1959,14.5468,14.0406,14.3069,406344.7733645,0
GPC.US,D,20000208,000000,14.2725,14.5468,14.1959,14.1959,499317.58724059,0
GPC.US,D,20000209,000000,14.1959,14.3069,13.961,14.0406,488830.14151348,0
GPC.US,D,20000210,000000,14.0406,14.1959,13.4528,13.8066,742250.29396702,0
GPC.US,D,20000211,000000,13.8066,14.0406,13.3329,13.4902,623480.07284835,0
GPC.US,D,20000214,000000,13.5344,13.961,13.4902,13.7644,603208.21059451,0
GPC.US,D,20000215,000000,13.843,14.0002,13.6091,14.0002,514775.07297321,0
